Date,Price,Open,High,Low,Vol.,Change %
"Nov 02, 2012",34.0,37.75,34.0,34.0,0.10K,-9.93%
"Nov 06, 2012",31.0,34.0,31.0,31.0,0.10K,-8.82%
"Nov 08, 2012",28.0,31.0,28.0,28.0,0.20K,-9.68%
"Nov 09, 2012",26.75,28.0,26.75,26.75,1.40K,-4.46%
"Nov 12, 2012",26.0,26.75,26.0,26.0,0.20K,-2.80%
"Nov 13, 2012",24.75,26.0,24.75,24.75,0.40K,-4.81%
"Nov 14, 2012",24.5,24.75,24.5,24.5,2.20K,-1.01%
"Nov 15, 2012",24.5,24.5,24.5,24.5,1.00K,0.00%
"Nov 16, 2012",24.5,24.5,25.0,24.0,1.10K,0.00%
"Nov 21, 2012",24.0,24.5,24.0,24.0,0.20K,-2.04%
"Nov 22, 2012",24.0,24.0,24.5,24.0,1.40K,0.00%
"Nov 23, 2012",24.75,24.0,24.75,24.75,2.10K,3.13%
"Nov 26, 2012",24.5,24.75,24.5,24.5,0.10K,-1.01%
"Nov 28, 2012",24.5,0.0,25.0,24.5,-,0.00%
"Nov 29, 2012",22.25,24.5,24.0,22.25,3.80K,-9.18%
"Nov 30, 2012",22.5,22.25,24.0,22.25,1.00K,1.12%
"Dec 04, 2012",22.25,22.5,22.5,22.25,1.90K,-1.11%
"Dec 05, 2012",23.25,22.25,23.25,23.25,0.40K,4.49%
"Dec 07, 2012",24.0,23.25,24.0,24.0,0.50K,3.23%
"Dec 10, 2012",25.0,24.0,25.0,25.0,0.30K,4.17%
"Dec 11, 2012",25.0,25.0,25.0,25.0,0.30K,0.00%
"Dec 13, 2012",25.0,25.0,25.0,25.0,0.60K,0.00%
"Dec 14, 2012",24.0,0.0,25.0,24.0,-,-4.00%
"Dec 17, 2012",25.0,24.0,25.0,25.0,1.00K,4.17%
"Dec 18, 2012",23.75,24.0,25.0,23.0,0.80K,-5.00%
"Dec 19, 2012",25.0,25.0,25.0,25.0,0.10K,5.26%
"Dec 20, 2012",24.0,24.0,24.0,24.0,0.20K,-4.00%
"Dec 21, 2012",25.0,25.0,25.0,25.0,2.60K,4.17%
"Dec 24, 2012",25.0,25.0,25.0,25.0,0.70K,0.00%
"Dec 28, 2012",25.0,25.0,25.0,25.0,0.30K,0.00%
"Jan 03, 2013",24.0,25.0,25.0,22.5,0.50K,-4.00%
"Jan 04, 2013",25.0,25.0,25.0,25.0,0.40K,4.17%
"Jan 07, 2013",24.0,24.0,24.0,24.0,5.90K,-4.00%
"Jan 08, 2013",24.75,24.75,24.75,24.75,0.30K,3.13%
"Jan 09, 2013",24.5,24.5,25.0,24.5,10.80K,-1.01%
"Jan 10, 2013",24.0,24.25,24.5,24.0,11.60K,-2.04%
"Jan 11, 2013",24.0,24.0,24.0,24.0,1.70K,0.00%
"Jan 14, 2013",24.0,24.0,24.0,24.0,5.20K,0.00%
"Jan 15, 2013",24.0,24.0,24.0,24.0,2.10K,0.00%
"Jan 16, 2013",24.75,24.25,25.0,24.25,0.80K,3.13%
"Jan 17, 2013",24.0,24.0,24.0,24.0,0.90K,-3.03%
"Jan 18, 2013",24.0,24.75,24.75,24.0,1.70K,0.00%
"Jan 21, 2013",23.5,25.0,25.0,22.5,15.70K,-2.08%
"Jan 22, 2013",24.0,24.0,24.0,24.0,0.20K,2.13%
"Jan 23, 2013",22.5,22.5,23.0,22.5,7.50K,-6.25%
"Jan 24, 2013",22.0,22.0,22.0,22.0,2.00K,-2.22%
"Jan 25, 2013",22.25,22.25,22.5,22.0,4.50K,1.14%
"Jan 28, 2013",22.25,22.0,22.5,22.0,6.10K,0.00%
"Jan 29, 2013",22.0,22.0,22.0,22.0,0.60K,-1.12%
"Jan 30, 2013",22.0,22.0,22.25,22.0,6.00K,0.00%
"Jan 31, 2013",24.0,24.0,24.0,24.0,0.10K,9.09%
"Feb 04, 2013",23.75,24.0,24.0,23.0,1.20K,-1.04%
"Feb 05, 2013",23.75,23.75,23.75,23.75,0.40K,0.00%
"Feb 06, 2013",23.75,24.0,24.0,23.75,0.80K,0.00%
"Feb 07, 2013",23.5,23.5,23.5,23.5,0.40K,-1.05%
"Feb 08, 2013",22.25,23.0,23.0,22.0,3.00K,-5.32%
"Feb 12, 2013",22.25,22.25,22.25,22.25,1.20K,0.00%
"Feb 13, 2013",22.25,22.25,22.25,22.25,0.40K,0.00%
"Feb 14, 2013",22.25,22.25,22.25,22.25,0.40K,0.00%
"Feb 15, 2013",23.0,23.0,23.0,23.0,2.80K,3.37%
"Feb 19, 2013",23.0,23.0,23.0,23.0,0.60K,0.00%
"Feb 20, 2013",24.0,24.0,24.0,24.0,0.50K,4.35%
"Feb 21, 2013",24.0,24.0,24.0,24.0,0.20K,0.00%
"Feb 26, 2013",23.0,23.0,23.0,23.0,1.80K,-4.17%
"Feb 27, 2013",23.0,23.0,23.0,23.0,1.00K,0.00%
"Feb 28, 2013",23.0,23.0,23.0,23.0,2.00K,0.00%
"Mar 06, 2013",23.0,23.0,23.0,23.0,0.40K,0.00%
"Mar 08, 2013",24.0,24.0,24.0,24.0,0.50K,4.35%
"Mar 11, 2013",24.0,24.0,24.0,24.0,0.20K,0.00%
"Mar 12, 2013",24.0,24.0,24.0,24.0,1.00K,0.00%
"Mar 13, 2013",24.0,24.0,24.0,24.0,0.30K,0.00%
"Mar 18, 2013",24.0,24.0,25.5,24.0,1.30K,0.00%
"Mar 19, 2013",24.5,24.0,25.0,24.0,1.90K,2.08%
"Mar 20, 2013",24.0,24.0,24.0,24.0,4.20K,-2.04%
"Mar 22, 2013",24.25,26.25,26.25,24.0,1.10K,1.04%
"Mar 25, 2013",26.25,26.25,26.25,26.25,0.10K,8.25%
"Mar 26, 2013",25.5,24.0,26.25,24.0,5.10K,-2.86%
"Apr 08, 2013",25.5,25.5,25.5,25.5,0.40K,0.00%
"Apr 10, 2013",25.5,25.5,25.5,25.5,3.00K,0.00%
"Apr 12, 2013",25.5,25.5,25.5,25.5,2.20K,0.00%
"Apr 15, 2013",25.0,25.0,25.0,25.0,0.10K,-1.96%
"Apr 16, 2013",25.0,25.0,25.0,25.0,0.40K,0.00%
"Apr 17, 2013",25.0,25.0,25.0,25.0,0.40K,0.00%
"Apr 22, 2013",25.0,27.0,27.0,25.0,4.60K,0.00%
"Apr 23, 2013",24.75,25.0,25.0,24.5,3.50K,-1.00%
"Apr 24, 2013",24.0,24.0,24.0,24.0,2.30K,-3.03%
"Apr 29, 2013",25.0,25.0,25.0,25.0,1.20K,4.17%
"Apr 30, 2013",26.0,27.0,27.0,25.0,1.00K,4.00%
"May 02, 2013",27.0,27.0,27.0,27.0,0.20K,3.85%
"May 06, 2013",27.0,27.0,27.0,27.0,2.00K,0.00%
"May 07, 2013",27.75,27.0,28.0,27.0,2.10K,2.78%
"May 08, 2013",28.0,29.5,29.5,27.0,4.80K,0.90%
"May 09, 2013",27.25,27.0,28.0,27.0,1.70K,-2.68%
"May 10, 2013",28.0,28.0,28.0,28.0,0.50K,2.75%
"May 13, 2013",26.0,26.0,26.0,26.0,4.30K,-7.14%
"May 14, 2013",26.0,26.0,26.0,26.0,1.10K,0.00%
"May 22, 2013",28.0,28.0,28.0,28.0,1.80K,7.69%
"May 27, 2013",28.0,28.0,28.0,28.0,0.30K,0.00%
"May 28, 2013",28.0,28.0,28.0,28.0,24.50K,0.00%
"May 30, 2013",28.0,28.0,28.0,28.0,0.20K,0.00%
"May 31, 2013",28.0,28.0,28.0,28.0,23.60K,0.00%
"Jun 04, 2013",28.0,28.0,28.0,28.0,4.00K,0.00%
"Jun 06, 2013",28.0,28.0,28.0,28.0,0.20K,0.00%
"Jun 07, 2013",27.5,27.5,27.5,27.5,0.10K,-1.79%
"Jun 10, 2013",26.75,28.0,28.0,26.0,4.30K,-2.73%
"Jun 11, 2013",27.5,27.5,27.5,27.5,1.20K,2.80%
"Jun 12, 2013",27.75,27.5,28.0,27.0,14.40K,0.91%
"Jun 13, 2013",27.5,27.75,27.75,27.5,0.50K,-0.90%
"Jun 14, 2013",27.5,27.5,28.0,27.5,1.30K,0.00%
"Jun 17, 2013",27.5,27.5,27.5,27.5,8.80K,0.00%
"Jun 18, 2013",27.5,27.5,27.5,27.5,5.10K,0.00%
"Jun 19, 2013",27.5,27.5,27.5,27.5,0.20K,0.00%
"Jun 20, 2013",27.75,27.5,28.0,27.5,16.60K,0.91%
"Jun 21, 2013",27.5,27.5,27.5,27.5,25.00K,-0.90%
"Jun 25, 2013",27.5,27.5,27.5,27.5,15.00K,0.00%
"Jun 26, 2013",27.5,27.5,27.5,27.5,0.50K,0.00%
"Jun 27, 2013",27.5,27.5,27.5,27.5,14.40K,0.00%
"Jun 28, 2013",27.25,27.25,27.25,27.25,0.80K,-0.91%
"Jul 01, 2013",27.25,27.5,27.5,27.25,0.20K,0.00%
"Jul 05, 2013",27.0,27.0,27.0,27.0,0.90K,-0.92%
"Jul 08, 2013",27.0,27.0,27.0,27.0,0.60K,0.00%
"Jul 10, 2013",26.25,27.0,27.0,25.0,0.60K,-2.78%
