"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 15, 2012","120.00","120.00","120.00","120.00","0.40K","0.00%"
"Nov 22, 2012","120.00","120.00","120.00","120.00","0.30K","0.00%"
"Nov 26, 2012","125.00","120.00","125.00","125.00","1.60K","4.17%"
"Nov 27, 2012","125.00","125.00","125.00","125.00","1.40K","0.00%"
"Dec 07, 2012","120.00","125.00","120.00","120.00","0.20K","-4.00%"
"Dec 13, 2012","120.00","120.00","120.00","120.00","0.10K","0.00%"
"Dec 18, 2012","118.00","118.00","118.00","118.00","1.50K","-1.67%"
"Dec 31, 2012","118.00","118.00","118.00","118.00","0.10K","0.00%"
"Jan 04, 2013","118.00","118.00","118.00","118.00","2.00K","0.00%"
"Jan 08, 2013","118.00","118.00","118.00","118.00","0.20K","0.00%"
"Jan 09, 2013","118.00","118.00","118.00","118.00","0.30K","0.00%"
"Jan 14, 2013","118.00","118.00","118.00","118.00","0.10K","0.00%"
"Jan 16, 2013","118.00","118.00","118.00","118.00","1.50K","0.00%"
"Jan 18, 2013","118.00","118.00","118.00","118.00","0.30K","0.00%"
"Jan 22, 2013","118.00","118.00","118.00","118.00","0.10K","0.00%"
"Jan 23, 2013","118.00","118.00","118.00","118.00","0.10K","0.00%"
"Jan 24, 2013","118.00","118.00","118.00","118.00","0.10K","0.00%"
"Jan 29, 2013","118.00","118.00","118.00","118.00","0.20K","0.00%"
"Jan 30, 2013","113.00","113.00","113.00","113.00","0.70K","-4.24%"
"Jan 31, 2013","112.00","113.00","113.00","111.00","0.60K","-0.88%"
"Feb 01, 2013","118.00","118.00","118.00","118.00","0.30K","5.36%"
"Feb 11, 2013","120.00","120.00","120.00","120.00","0.10K","1.69%"
"Feb 12, 2013","120.00","120.00","120.00","120.00","0.40K","0.00%"
"Feb 27, 2013","115.00","115.00","115.00","115.00","0.20K","-4.17%"
"Feb 28, 2013","115.00","115.00","115.00","115.00","0.50K","0.00%"
"Mar 01, 2013","115.00","115.00","115.00","115.00","1.00K","0.00%"
"Mar 05, 2013","115.00","115.00","115.00","115.00","0.40K","0.00%"
"Mar 07, 2013","115.00","115.00","115.00","115.00","1.30K","0.00%"
"Mar 08, 2013","115.00","116.00","116.00","115.00","6.20K","0.00%"
"Mar 11, 2013","115.00","115.00","115.00","115.00","2.00K","0.00%"
"Mar 12, 2013","120.00","120.00","120.00","120.00","2.90K","4.35%"
"Mar 13, 2013","120.00","120.00","120.00","120.00","1.00K","0.00%"
"Mar 15, 2013","115.00","120.00","120.00","115.00","1.50K","-4.17%"
"Mar 21, 2013","121.00","121.00","121.00","121.00","0.80K","5.22%"
"Mar 25, 2013","125.00","125.00","125.00","125.00","0.10K","3.31%"
"Mar 26, 2013","120.00","120.00","120.00","120.00","0.10K","-4.00%"
"Mar 28, 2013","120.00","120.00","120.00","120.00","2.00K","0.00%"
"Apr 02, 2013","125.00","125.00","125.00","125.00","0.10K","4.17%"
"Apr 04, 2013","125.00","125.00","125.00","125.00","0.10K","0.00%"
"Apr 05, 2013","125.00","125.00","125.00","125.00","12.00K","0.00%"
"Apr 08, 2013","125.00","125.00","125.00","125.00","5.00K","0.00%"
"Apr 16, 2013","125.00","125.00","125.00","125.00","0.10K","0.00%"
"Apr 17, 2013","130.00","130.00","130.00","130.00","0.10K","4.00%"
"Apr 18, 2013","130.00","130.00","130.00","130.00","0.10K","0.00%"
"Apr 25, 2013","125.00","126.00","126.00","125.00","3.30K","-3.85%"
"Apr 30, 2013","125.00","125.00","125.00","125.00","1.50K","0.00%"
"May 02, 2013","127.00","125.00","130.00","125.00","0.80K","1.60%"
"May 06, 2013","127.00","130.00","130.00","126.00","1.70K","0.00%"
"May 07, 2013","130.00","130.00","130.00","130.00","0.20K","2.36%"
"May 13, 2013","126.00","126.00","126.00","126.00","0.10K","-3.08%"
"May 15, 2013","126.00","126.00","126.00","126.00","24.60K","0.00%"
"May 17, 2013","125.00","125.00","125.00","125.00","0.20K","-0.79%"
"May 21, 2013","130.00","130.00","130.00","130.00","0.10K","4.00%"
"May 22, 2013","130.00","130.00","130.00","130.00","0.40K","0.00%"
"May 24, 2013","127.00","127.00","127.00","127.00","0.50K","-2.31%"
"May 29, 2013","129.00","129.00","129.00","129.00","0.20K","1.57%"
"May 30, 2013","130.00","130.00","130.00","130.00","0.20K","0.78%"
"May 31, 2013","130.00","130.00","132.00","130.00","1.10K","0.00%"
"Jun 03, 2013","131.00","131.00","131.00","131.00","0.20K","0.77%"
"Jun 04, 2013","136.00","144.00","144.00","135.00","0.60K","3.82%"
"Jun 06, 2013","138.00","140.00","140.00","136.00","0.50K","1.47%"
"Jun 07, 2013","138.00","138.00","138.00","138.00","0.40K","0.00%"
"Jun 10, 2013","146.00","145.00","148.00","145.00","1.90K","5.80%"
"Jun 11, 2013","148.00","148.00","148.00","148.00","0.40K","1.37%"
"Jun 12, 2013","146.00","146.00","148.00","146.00","1.80K","-1.35%"
"Jun 13, 2013","147.00","148.00","148.00","144.00","3.70K","0.68%"
"Jun 14, 2013","147.00","148.00","148.00","147.00","0.90K","0.00%"
"Jun 17, 2013","147.00","147.00","150.00","144.00","1.20K","0.00%"
"Jun 18, 2013","147.00","147.00","147.00","147.00","0.90K","0.00%"
"Jun 19, 2013","147.00","147.00","147.00","147.00","1.40K","0.00%"
"Jun 21, 2013","146.00","144.00","147.00","144.00","0.30K","-0.68%"
"Jun 24, 2013","144.00","145.00","145.00","144.00","0.30K","-1.37%"
"Jun 26, 2013","138.00","139.00","139.00","137.00","0.60K","-4.17%"
"Jun 27, 2013","135.00","135.00","135.00","135.00","0.10K","-2.17%"
"Jul 02, 2013","135.00","135.00","135.00","135.00","0.20K","0.00%"
"Jul 11, 2013","135.00","135.00","135.00","135.00","1.40K","0.00%"
"Jul 18, 2013","135.00","135.00","135.00","135.00","0.10K","0.00%"
"Jul 22, 2013","135.00","135.00","135.00","135.00","0.10K","0.00%"
"Jul 24, 2013","135.00","135.00","135.00","135.00","0.10K","0.00%"
"Jul 25, 2013","135.00","135.00","135.00","135.00","0.90K","0.00%"
"Jul 29, 2013","135.00","135.00","135.00","135.00","0.60K","0.00%"
"Jul 30, 2013","130.00","135.00","135.00","125.00","0.20K","-3.70%"
"Jul 31, 2013","125.00","125.00","125.00","125.00","0.90K","-3.85%"
"Aug 07, 2013","125.00","125.00","125.00","125.00","1.00K","0.00%"
"Aug 08, 2013","135.00","135.00","135.00","135.00","0.10K","8.00%"
"Aug 15, 2013","122.00","122.00","122.00","122.00","2.60K","-9.63%"
"Aug 19, 2013","122.00","122.00","122.00","122.00","0.20K","0.00%"
"Aug 21, 2013","122.00","122.00","122.00","122.00","1.10K","0.00%"
"Aug 22, 2013","122.00","122.00","122.00","122.00","0.60K","0.00%"
"Sep 03, 2013","122.00","122.00","122.00","122.00","1.00K","0.00%"
"Sep 20, 2013","110.00","110.00","110.00","110.00","2.00K","-9.84%"
