"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 30, 2012","72.00","75.00","72.00","72.00","60.10K","-4.00%"
"Oct 31, 2012","72.00","72.00","72.00","72.00","0.60K","0.00%"
"Nov 05, 2012","72.00","72.00","73.00","72.00","59.50K","0.00%"
"Nov 06, 2012","71.00","72.00","71.00","71.00","68.90K","-1.39%"
"Nov 07, 2012","70.00","71.00","73.00","70.00","24.20K","-1.41%"
"Nov 08, 2012","70.00","71.00","70.00","70.00","6.60K","0.00%"
"Nov 12, 2012","71.00","70.00","71.00","71.00","8.00K","1.43%"
"Nov 13, 2012","71.00","71.00","71.00","70.00","72.20K","0.00%"
"Nov 14, 2012","71.00","71.00","71.00","71.00","1.00K","0.00%"
"Nov 15, 2012","71.00","71.00","71.00","71.00","59.00K","0.00%"
"Nov 16, 2012","70.00","71.00","71.00","70.00","212.10K","-1.41%"
"Nov 19, 2012","71.50","70.00","72.00","71.00","1.10K","2.14%"
"Nov 20, 2012","71.00","71.50","72.00","71.00","5.80K","-0.70%"
"Nov 21, 2012","70.00","71.00","71.00","70.00","15.70K","-1.41%"
"Nov 22, 2012","70.00","70.00","71.00","70.00","10.30K","0.00%"
"Nov 23, 2012","70.00","70.00","70.00","70.00","40.10K","0.00%"
"Nov 26, 2012","70.00","70.00","70.00","70.00","11.20K","0.00%"
"Nov 28, 2012","70.00","70.00","71.00","70.00","18.80K","0.00%"
"Nov 29, 2012","70.00","0.00","70.00","70.00","-","0.00%"
"Nov 30, 2012","68.00","70.00","68.00","68.00","2.00K","-2.86%"
"Dec 06, 2012","70.00","68.00","70.00","70.00","1.80K","2.94%"
"Dec 10, 2012","67.50","70.00","67.50","67.50","1.00K","-3.57%"
"Dec 13, 2012","67.50","67.50","68.00","67.50","13.20K","0.00%"
"Dec 14, 2012","69.00","67.50","70.00","69.00","130.00K","2.22%"
"Dec 18, 2012","69.00","70.00","70.00","69.00","488.60K","0.00%"
"Dec 24, 2012","69.00","69.00","69.00","69.00","20.30K","0.00%"
"Dec 31, 2012","72.00","72.00","72.00","72.00","1.00K","4.35%"
"Jan 02, 2013","67.50","67.50","67.50","67.50","0.30K","-6.25%"
"Jan 07, 2013","70.00","70.00","70.00","70.00","3.00K","3.70%"
"Jan 08, 2013","72.00","72.00","72.00","72.00","0.10K","2.86%"
"Jan 09, 2013","71.50","72.00","72.00","70.00","5.10K","-0.69%"
"Jan 11, 2013","72.00","72.00","72.00","72.00","9.60K","0.70%"
"Jan 16, 2013","70.00","72.00","72.00","70.00","91.00K","-2.78%"
"Jan 30, 2013","71.00","71.00","71.00","71.00","0.10K","1.43%"
"Feb 04, 2013","75.00","75.00","75.00","75.00","50.00K","5.63%"
"Feb 05, 2013","75.00","75.00","75.00","75.00","30.00K","0.00%"
"Feb 06, 2013","75.00","75.00","75.00","75.00","10.00K","0.00%"
"Feb 07, 2013","75.00","75.00","75.00","75.00","0.10K","0.00%"
"Feb 08, 2013","75.00","75.00","75.00","75.00","20.00K","0.00%"
"Feb 11, 2013","75.00","75.00","75.00","75.00","5.40K","0.00%"
"Feb 13, 2013","75.00","75.00","75.00","75.00","40.00K","0.00%"
"Feb 14, 2013","77.00","77.00","77.00","77.00","0.40K","2.67%"
"Feb 21, 2013","76.50","76.50","76.50","76.50","7.20K","-0.65%"
"Feb 22, 2013","77.00","77.50","77.50","77.00","21.20K","0.65%"
"Feb 26, 2013","77.00","77.00","77.00","77.00","0.20K","0.00%"
"Mar 06, 2013","78.00","78.00","80.00","78.00","21.90K","1.30%"
"Mar 07, 2013","80.50","80.00","81.00","80.00","11.90K","3.21%"
"Mar 08, 2013","85.00","85.00","85.00","85.00","0.90K","5.59%"
"Mar 15, 2013","89.00","89.00","89.00","89.00","0.10K","4.71%"
"Mar 19, 2013","81.50","85.00","85.00","81.00","0.60K","-8.43%"
"Mar 20, 2013","76.00","76.00","76.00","76.00","0.30K","-6.75%"
"Mar 28, 2013","80.00","80.00","80.00","80.00","5.00K","5.26%"
"Apr 02, 2013","80.00","80.00","81.00","80.00","0.50K","0.00%"
"Apr 03, 2013","85.00","85.00","85.00","85.00","5.00K","6.25%"
"Apr 04, 2013","85.00","85.00","86.00","85.00","15.40K","0.00%"
"Apr 05, 2013","85.00","85.00","86.00","85.00","85.90K","0.00%"
"Apr 10, 2013","85.00","85.00","85.00","85.00","21.60K","0.00%"
"Apr 12, 2013","85.50","86.00","86.00","85.00","1.90K","0.59%"
"Apr 15, 2013","85.00","85.00","85.00","85.00","6.90K","-0.58%"
"Apr 16, 2013","85.00","85.00","85.00","85.00","0.10K","0.00%"
"Apr 18, 2013","84.00","85.00","85.00","83.00","2.10K","-1.18%"
"Apr 22, 2013","82.00","83.00","83.00","82.00","3.00K","-2.38%"
"Apr 23, 2013","84.50","85.00","85.00","82.50","10.20K","3.05%"
"Apr 25, 2013","86.00","86.00","86.00","86.00","0.40K","1.78%"
