"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2012","13.15","13.00","13.50","12.90","23.50K","1.15%"
"Jun 12, 2012","13.10","13.15","13.30","13.00","48.00K","-0.38%"
"Jun 13, 2012","12.90","13.10","13.10","12.75","23.20K","-1.53%"
"Jun 14, 2012","12.75","12.90","13.10","12.70","39.90K","-1.16%"
"Jun 15, 2012","12.35","12.75","12.75","12.30","26.90K","-3.14%"
"Jun 18, 2012","12.35","12.35","12.40","12.35","1.80K","0.00%"
"Jun 19, 2012","12.35","12.35","12.70","12.35","13.40K","0.00%"
"Jun 20, 2012","12.35","12.35","12.35","12.30","19.70K","0.00%"
"Jun 21, 2012","12.00","12.35","12.30","11.55","0.60K","-2.83%"
"Jun 22, 2012","11.40","12.00","11.55","11.00","13.40K","-5.00%"
"Jun 25, 2012","11.50","11.40","11.55","11.50","17.60K","0.88%"
"Jun 26, 2012","11.52","11.50","11.60","11.50","0.80K","0.17%"
"Jun 27, 2012","11.75","11.50","12.00","11.75","12.50K","2.00%"
"Jun 28, 2012","12.00","11.75","12.10","11.75","31.10K","2.13%"
"Jun 29, 2012","11.95","12.00","12.00","11.75","9.80K","-0.42%"
"Jul 02, 2012","12.20","11.95","12.50","11.95","1.90K","2.09%"
"Jul 03, 2012","12.25","12.20","12.50","12.00","17.40K","0.41%"
"Jul 04, 2012","12.45","12.25","12.50","12.10","23.50K","1.63%"
"Jul 05, 2012","12.25","12.40","12.50","12.25","34.80K","-1.61%"
"Jul 06, 2012","12.41","12.25","12.50","12.25","28.10K","1.31%"
"Jul 09, 2012","12.05","12.40","12.45","11.65","12.50K","-2.90%"
"Jul 10, 2012","12.05","12.05","12.45","11.85","19.60K","0.00%"
"Jul 11, 2012","12.05","12.05","12.05","12.05","30.00K","0.00%"
"Jul 12, 2012","12.05","12.05","12.10","12.05","20.10K","0.00%"
"Jul 13, 2012","12.40","12.05","12.60","12.30","13.80K","2.90%"
"Jul 16, 2012","12.45","12.40","12.60","12.30","56.60K","0.40%"
"Jul 17, 2012","12.40","12.45","12.50","12.30","59.40K","-0.40%"
"Jul 18, 2012","12.35","12.40","12.40","12.30","11.20K","-0.40%"
