"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 29, 2012","280.00","280.00","280.00","280.00","0.20K","0.00%"
"Jul 05, 2012","278.00","280.00","278.00","278.00","0.30K","-0.71%"
"Jul 06, 2012","270.00","278.00","270.00","270.00","2.00K","-2.88%"
"Jul 09, 2012","245.00","270.00","245.00","245.00","0.10K","-9.26%"
"Jul 10, 2012","250.00","245.00","250.00","250.00","0.20K","2.04%"
"Jul 11, 2012","265.00","250.00","265.00","265.00","0.10K","6.00%"
"Jul 12, 2012","264.00","265.00","265.00","262.00","1.40K","-0.38%"
"Jul 16, 2012","260.00","264.00","260.00","260.00","0.60K","-1.52%"
"Jul 17, 2012","253.00","260.00","260.00","250.00","0.90K","-2.69%"
"Jul 18, 2012","254.00","253.00","255.00","253.00","1.20K","0.40%"
"Jul 19, 2012","247.00","254.00","247.00","247.00","0.50K","-2.76%"
"Jul 20, 2012","247.00","247.00","247.00","247.00","0.40K","0.00%"
"Jul 23, 2012","248.00","247.00","248.00","248.00","0.10K","0.40%"
"Jul 24, 2012","248.00","248.00","248.00","248.00","1.00K","0.00%"
"Jul 27, 2012","248.00","248.00","248.00","248.00","0.70K","0.00%"
"Aug 13, 2012","247.00","248.00","247.00","247.00","0.30K","-0.40%"
"Aug 16, 2012","245.00","248.00","245.00","245.00","0.20K","-0.81%"
"Aug 21, 2012","241.00","248.00","245.00","240.00","0.30K","-1.63%"
"Aug 23, 2012","235.00","248.00","235.00","235.00","0.10K","-2.49%"
"Aug 24, 2012","227.00","235.00","235.00","220.00","0.20K","-3.40%"
"Aug 28, 2012","225.00","248.00","225.00","225.00","0.10K","-0.88%"
"Aug 29, 2012","225.00","225.00","225.00","225.00","0.10K","0.00%"
"Sep 05, 2012","212.00","248.00","220.00","205.00","0.20K","-5.78%"
"Sep 10, 2012","208.00","248.00","210.00","200.00","0.70K","-1.89%"
"Sep 11, 2012","202.00","208.00","208.00","200.00","0.30K","-2.88%"
"Sep 12, 2012","211.00","202.00","212.00","208.00","0.80K","4.46%"
"Sep 13, 2012","203.00","211.00","208.00","200.00","0.50K","-3.79%"
"Sep 14, 2012","200.00","203.00","201.00","200.00","0.80K","-1.48%"
"Sep 17, 2012","204.00","200.00","205.00","202.00","0.60K","2.00%"
"Sep 18, 2012","203.00","204.00","204.00","203.00","0.70K","-0.49%"
"Sep 19, 2012","205.00","203.00","205.00","205.00","14.30K","0.99%"
"Sep 24, 2012","204.00","248.00","205.00","200.00","7.00K","-0.49%"
"Sep 26, 2012","200.00","248.00","204.00","200.00","1.90K","-1.96%"
"Sep 27, 2012","202.00","200.00","205.00","200.00","2.10K","1.00%"
"Sep 28, 2012","220.00","202.00","220.00","220.00","1.40K","8.91%"
"Oct 02, 2012","200.00","248.00","201.00","200.00","34.40K","-9.09%"
"Oct 03, 2012","200.00","200.00","205.00","200.00","12.80K","0.00%"
"Oct 04, 2012","200.00","200.00","205.00","200.00","3.90K","0.00%"
"Oct 05, 2012","200.00","200.00","200.00","200.00","2.20K","0.00%"
"Oct 08, 2012","200.00","200.00","200.00","200.00","0.10K","0.00%"
"Oct 09, 2012","219.00","200.00","220.00","215.00","166.80K","9.50%"
"Oct 10, 2012","219.00","219.00","219.00","219.00","0.20K","0.00%"
"Oct 12, 2012","215.00","248.00","215.00","215.00","0.20K","-1.83%"
"Oct 15, 2012","215.00","215.00","218.00","215.00","11.80K","0.00%"
"Oct 17, 2012","210.00","248.00","210.00","210.00","0.10K","-2.33%"
"Oct 18, 2012","215.00","210.00","215.00","215.00","0.10K","2.38%"
"Oct 19, 2012","210.00","215.00","210.00","210.00","0.10K","-2.33%"
"Oct 22, 2012","210.00","210.00","210.00","210.00","0.20K","0.00%"
