"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 15, 2012","20.00","20.00","20.00","20.00","4.68K","0.00%"
"Nov 20, 2012","20.00","20.00","20.00","20.00","2.40K","0.00%"
"Nov 21, 2012","20.00","20.00","20.00","20.00","1.80K","0.00%"
"Nov 22, 2012","20.00","20.00","20.00","20.00","0.24K","0.00%"
"Nov 23, 2012","20.00","20.00","20.00","20.00","1.56K","0.00%"
"Nov 27, 2012","20.83","20.00","20.83","20.83","0.48K","4.15%"
"Nov 29, 2012","20.00","20.83","20.00","20.00","0.12K","-3.98%"
"Nov 30, 2012","20.00","20.00","20.00","20.00","0.60K","0.00%"
"Dec 07, 2012","20.83","20.00","20.83","20.83","2.40K","4.15%"
"Dec 11, 2012","20.83","20.83","20.83","20.83","0.36K","0.00%"
"Dec 17, 2012","20.00","20.83","20.00","20.00","0.36K","-3.98%"
"Dec 18, 2012","20.83","20.83","20.83","20.83","9.60K","4.15%"
"Dec 27, 2012","20.00","20.00","20.00","20.00","0.12K","-3.98%"
"Jan 11, 2013","20.21","20.21","20.21","20.21","0.12K","1.05%"
"Jan 14, 2013","21.04","21.04","21.04","21.04","0.24K","4.11%"
"Jan 15, 2013","20.83","21.67","21.67","20.83","5.88K","-1.00%"
"Jan 16, 2013","20.21","20.21","20.83","20.21","1.68K","-2.98%"
"Jan 18, 2013","20.83","20.83","20.83","20.83","0.48K","3.07%"
"Jan 21, 2013","20.83","20.83","20.83","20.83","0.60K","0.00%"
"Jan 22, 2013","21.25","21.25","21.25","21.25","0.36K","2.02%"
"Jan 24, 2013","21.25","21.25","21.25","21.25","0.24K","0.00%"
"Jan 28, 2013","20.00","20.83","20.83","20.00","15.00K","-5.88%"
"Jan 31, 2013","20.00","20.00","20.00","20.00","7.20K","0.00%"
"Feb 01, 2013","18.75","19.17","19.17","18.75","7.80K","-6.25%"
"Feb 04, 2013","20.00","20.00","20.00","20.00","8.40K","6.67%"
"Feb 07, 2013","21.67","21.88","21.88","19.58","1.32K","8.35%"
"Feb 20, 2013","20.00","20.21","20.21","20.00","0.96K","-7.71%"
"Feb 26, 2013","20.21","20.21","20.21","20.21","0.12K","1.05%"
"Feb 28, 2013","20.00","20.00","20.00","20.00","0.24K","-1.04%"
"Mar 06, 2013","19.17","19.17","19.17","19.17","0.12K","-4.15%"
"Mar 07, 2013","17.50","18.33","19.17","17.50","27.84K","-8.71%"
