"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 24, 2012","38.87","39.32","39.09","38.87","25.89K","-1.14%"
"Jul 25, 2012","39.32","38.87","39.32","39.32","0.11K","1.16%"
"Jul 26, 2012","37.96","39.32","37.96","37.96","2.10K","-3.46%"
"Jul 27, 2012","38.19","37.96","38.41","38.19","2.32K","0.61%"
"Jul 30, 2012","38.41","38.19","38.41","38.41","3.32K","0.58%"
"Jul 31, 2012","38.19","38.41","38.41","38.19","2.77K","-0.57%"
"Aug 01, 2012","38.41","38.19","38.41","38.41","6.64K","0.58%"
"Aug 02, 2012","38.41","38.41","38.64","38.41","0.78K","0.00%"
"Aug 03, 2012","39.09","38.41","39.32","38.87","1.66K","1.77%"
"Aug 06, 2012","39.54","39.09","39.54","39.54","2.77K","1.15%"
"Aug 07, 2012","39.54","39.54","39.54","39.54","0.11K","0.00%"
"Aug 08, 2012","39.77","39.54","39.77","39.77","-","0.58%"
"Aug 09, 2012","39.54","39.09","39.77","39.54","13.72K","-0.58%"
"Aug 10, 2012","39.54","39.54","39.77","39.54","4.76K","0.00%"
"Aug 13, 2012","39.54","39.54","39.77","39.54","22.13K","0.00%"
"Aug 14, 2012","39.54","39.54","39.54","39.54","0.22K","0.00%"
"Aug 15, 2012","38.64","39.54","39.54","38.64","18.81K","-2.28%"
"Aug 16, 2012","40.67","38.64","40.67","40.67","0.11K","5.25%"
"Aug 17, 2012","40.67","40.67","40.67","40.67","1.00K","0.00%"
"Aug 21, 2012","38.87","40.67","39.77","38.64","38.83K","-4.43%"
"Aug 22, 2012","38.87","38.87","38.87","38.87","0.89K","0.00%"
"Aug 23, 2012","39.77","38.87","39.77","39.77","48.90K","2.32%"
"Aug 24, 2012","40.67","39.77","40.90","40.67","8.19K","2.26%"
"Aug 27, 2012","40.22","40.67","40.90","37.96","7.41K","-1.11%"
"Aug 28, 2012","40.67","40.22","41.58","40.67","8.19K","1.12%"
"Aug 29, 2012","43.38","40.67","44.29","43.38","5.31K","6.66%"
"Aug 30, 2012","43.38","43.38","43.38","43.38","2.32K","0.00%"
"Aug 31, 2012","48.00","48.00","48.00","48.00","73.50K","10.65%"
"Sep 03, 2012","48.00","48.00","48.00","48.00","0.30K","0.00%"
"Sep 04, 2012","49.50","48.00","50.00","49.50","0.50K","3.13%"
"Sep 05, 2012","49.00","49.50","49.50","49.00","6.00K","-1.01%"
"Sep 06, 2012","48.00","49.00","50.00","48.00","1.10K","-2.04%"
"Sep 07, 2012","48.00","48.00","49.00","48.00","5.20K","0.00%"
"Sep 10, 2012","48.00","48.00","48.00","48.00","0.20K","0.00%"
"Sep 12, 2012","45.75","43.25","46.00","45.00","5.90K","-4.69%"
"Sep 13, 2012","44.00","45.75","45.00","44.00","1.50K","-3.83%"
"Sep 14, 2012","42.50","44.00","42.50","42.50","0.10K","-3.41%"
"Sep 18, 2012","43.00","43.25","43.00","43.00","2.70K","1.18%"
"Sep 19, 2012","43.75","43.00","43.75","43.50","100.20K","1.74%"
"Sep 20, 2012","42.75","43.75","43.00","42.75","4.10K","-2.29%"
"Sep 24, 2012","42.50","43.25","42.75","42.50","1.10K","-0.58%"
