"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 24, 2012","9.86","9.90","9.99","9.81","2.85M","-0.40%"
"Jul 25, 2012","9.94","9.86","10.29","9.86","169.28K","0.81%"
"Jul 26, 2012","9.94","9.94","10.03","9.90","381.73K","0.00%"
"Jul 27, 2012","9.99","9.94","10.03","9.90","345.33K","0.50%"
"Jul 30, 2012","9.99","9.99","10.07","9.90","565.95K","0.00%"
"Jul 31, 2012","9.90","9.99","9.99","9.81","492.10K","-0.90%"
"Aug 01, 2012","9.81","9.90","9.94","9.43","828.80K","-0.91%"
"Aug 02, 2012","9.86","9.81","9.94","9.86","1.47M","0.51%"
"Aug 03, 2012","9.81","9.86","9.90","9.77","262.73K","-0.51%"
"Aug 06, 2012","9.60","9.81","9.81","9.43","179.90K","-2.14%"
"Aug 07, 2012","9.69","9.60","9.81","9.47","433.53K","0.94%"
"Aug 08, 2012","9.56","9.69","9.69","9.43","1.63M","-1.34%"
"Aug 09, 2012","9.47","9.56","9.69","9.34","557.90K","-0.94%"
"Aug 10, 2012","9.51","9.47","9.60","9.43","817.72K","0.42%"
"Aug 13, 2012","9.47","9.51","9.60","9.43","530.48K","-0.42%"
"Aug 14, 2012","9.43","9.47","9.60","9.43","282.68K","-0.42%"
"Aug 15, 2012","9.47","9.43","9.69","9.43","484.63K","0.42%"
"Aug 16, 2012","9.43","9.47","9.51","9.43","1.31M","-0.42%"
"Aug 17, 2012","9.47","9.43","9.69","9.43","217.93K","0.42%"
"Aug 21, 2012","9.34","9.47","9.51","8.70","513.10K","-1.37%"
"Aug 22, 2012","9.39","9.34","9.43","9.26","1.28M","0.54%"
"Aug 23, 2012","9.39","9.39","9.47","9.34","3.10M","0.00%"
"Aug 24, 2012","9.43","9.39","9.51","9.39","683.67K","0.43%"
"Aug 27, 2012","9.47","9.43","9.60","9.43","948.15K","0.42%"
"Aug 28, 2012","9.69","9.47","9.86","9.56","1.66M","2.32%"
"Aug 29, 2012","9.81","9.69","9.90","9.60","1.81M","1.24%"
"Aug 30, 2012","9.86","9.81","9.99","9.81","383.37K","0.51%"
"Aug 31, 2012","9.90","9.86","10.07","9.86","206.85K","0.41%"
"Sep 03, 2012","9.94","9.90","10.07","9.90","1.27M","0.40%"
"Sep 04, 2012","10.03","9.94","10.20","9.90","382.55K","0.91%"
