"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 24, 2012","115.64","114.67","117.56","115.64","119.03K","0.85%"
"Oct 25, 2012","115.64","115.64","116.60","113.71","61.33K","0.00%"
"Oct 26, 2012","115.64","115.64","115.64","115.64","230.07K","0.00%"
"Oct 29, 2012","115.64","115.64","115.64","115.64","85.30K","0.00%"
"Oct 30, 2012","115.64","115.64","116.60","115.64","92.46K","0.00%"
"Oct 31, 2012","114.67","115.64","115.64","114.67","5.50K","-0.84%"
"Nov 01, 2012","114.67","114.67","115.64","114.67","114.36K","0.00%"
"Nov 02, 2012","112.75","114.67","112.75","112.75","0.52K","-1.67%"
"Nov 05, 2012","113.71","112.75","114.67","112.75","167.59K","0.85%"
"Nov 06, 2012","113.71","113.71","114.67","113.71","0.62K","0.00%"
"Nov 07, 2012","113.71","113.71","114.67","113.71","83.12K","0.00%"
"Nov 08, 2012","114.67","113.71","115.64","114.67","235.88K","0.84%"
"Nov 09, 2012","115.64","114.67","115.64","115.64","108.44K","0.85%"
"Nov 12, 2012","115.64","115.64","115.64","115.64","32.79K","0.00%"
"Nov 13, 2012","114.67","115.64","115.64","113.71","115.60K","-0.84%"
"Nov 14, 2012","114.67","114.67","115.64","113.71","144.66K","0.00%"
"Nov 15, 2012","113.71","114.67","113.71","113.71","0.93K","-0.84%"
"Nov 16, 2012","113.71","113.71","114.67","113.71","5.40K","0.00%"
"Nov 19, 2012","112.75","113.71","115.64","110.82","17.54K","-0.84%"
"Nov 20, 2012","102.15","112.75","110.82","102.15","22.10K","-9.40%"
"Nov 21, 2012","110.82","102.15","111.78","107.93","60.60K","8.49%"
"Nov 22, 2012","113.71","110.82","115.64","112.75","36.94K","2.61%"
"Nov 23, 2012","113.71","113.71","115.64","112.75","3.94K","0.00%"
"Nov 26, 2012","113.71","113.71","114.67","113.71","1.56K","0.00%"
"Nov 27, 2012","113.71","1,445.45","115.64","113.71","76.27K","0.00%"
"Nov 28, 2012","113.71","113.71","113.71","113.71","1.45K","0.00%"
"Nov 29, 2012","113.71","113.71","114.67","113.71","5.71K","0.00%"
"Nov 30, 2012","109.85","113.71","113.71","108.89","2.08K","-3.39%"
"Dec 03, 2012","113.71","109.85","113.71","113.71","0.52K","3.51%"
"Dec 04, 2012","111.78","113.71","112.75","109.85","25.22K","-1.70%"
"Dec 05, 2012","112.75","111.78","113.71","112.75","26.05K","0.87%"
"Dec 07, 2012","109.85","105.04","111.78","102.15","9.55K","-2.57%"
"Dec 10, 2012","105.04","109.85","107.93","103.11","2.28K","-4.38%"
"Dec 11, 2012","106.00","105.04","106.00","106.00","0.52K","0.91%"
"Dec 13, 2012","105.04","106.00","106.00","104.07","2.91K","-0.91%"
"Dec 14, 2012","105.04","105.04","105.04","105.04","40.78K","0.00%"
"Dec 17, 2012","104.07","105.04","105.04","103.11","52.30K","-0.92%"
"Dec 18, 2012","106.00","106.00","107.93","106.00","36.74K","1.85%"
"Dec 19, 2012","108.89","106.96","110.82","106.96","17.95K","2.73%"
"Dec 20, 2012","109.85","109.85","109.85","109.85","0.31K","0.88%"
"Dec 21, 2012","109.85","110.82","110.82","109.85","0.31K","0.00%"
"Dec 24, 2012","109.85","109.85","110.82","109.85","0.93K","0.00%"
"Dec 27, 2012","110.82","110.82","110.82","110.82","0.21K","0.88%"
"Dec 28, 2012","110.82","110.82","110.82","110.82","1.66K","0.00%"
"Dec 31, 2012","110.82","110.82","110.82","110.82","8.41K","0.00%"
"Jan 02, 2013","113.71","113.71","113.71","113.71","9.03K","2.61%"
"Jan 03, 2013","113.71","114.67","115.64","112.75","2.49K","0.00%"
"Jan 04, 2013","114.67","113.71","115.64","113.71","73.06K","0.84%"
"Jan 07, 2013","116.60","116.60","119.49","116.60","1.45K","1.68%"
"Jan 08, 2013","115.64","115.64","116.60","115.64","13.39K","-0.82%"
"Jan 09, 2013","119.49","117.56","121.42","117.56","28.12K","3.33%"
"Jan 10, 2013","117.56","120.45","120.45","117.56","5.19K","-1.62%"
"Jan 11, 2013","119.49","117.56","120.45","117.56","73.26K","1.64%"
"Jan 14, 2013","120.45","119.49","121.42","120.45","50.23K","0.80%"
"Jan 15, 2013","124.31","120.45","128.16","120.45","15.05K","3.20%"
"Jan 16, 2013","126.24","126.24","127.20","126.24","19.51K","1.55%"
"Jan 17, 2013","132.98","129.13","134.91","128.16","536.10K","5.34%"
"Jan 18, 2013","133.95","131.05","134.91","131.05","207.96K","0.73%"
"Jan 21, 2013","132.02","132.98","132.98","130.09","29.16K","-1.44%"
"Jan 22, 2013","130.09","130.09","132.02","130.09","26.36K","-1.46%"
"Jan 23, 2013","129.13","129.13","129.13","129.13","5.50K","-0.74%"
"Jan 24, 2013","125.27","128.16","129.13","125.27","418.42K","-2.99%"
"Jan 25, 2013","125.27","125.27","125.27","125.27","27.19K","0.00%"
"Jan 28, 2013","119.49","119.49","119.49","119.49","0.21K","-4.61%"
"Jan 29, 2013","121.42","123.35","123.35","120.45","19.61K","1.62%"
"Jan 30, 2013","120.45","120.45","120.45","120.45","0.73K","-0.80%"
"Jan 31, 2013","123.35","123.35","125.27","121.42","27.71K","2.41%"
"Feb 01, 2013","124.31","123.35","125.27","123.35","57.39K","0.78%"
"Feb 04, 2013","126.24","125.27","127.20","125.27","34.97K","1.55%"
"Feb 05, 2013","126.24","125.27","127.20","125.27","13.59K","0.00%"
"Feb 06, 2013","133.95","127.20","138.76","127.20","305.09K","6.11%"
"Feb 07, 2013","132.02","132.98","132.98","132.02","15.57K","-1.44%"
"Feb 08, 2013","133.95","133.95","136.84","133.95","35.18K","1.46%"
"Feb 11, 2013","134.91","133.95","134.91","133.95","80.11K","0.72%"
"Feb 12, 2013","133.95","133.95","134.91","133.95","155.45K","-0.71%"
"Feb 13, 2013","134.91","134.91","135.87","134.91","9.34K","0.72%"
"Feb 14, 2013","134.91","134.91","135.87","134.91","40.26K","0.00%"
"Feb 15, 2013","134.91","134.91","135.87","134.91","532.67K","0.00%"
"Feb 18, 2013","134.91","134.91","134.91","134.91","5.71K","0.00%"
"Feb 19, 2013","134.91","134.91","135.87","134.91","109.27K","0.00%"
"Feb 20, 2013","134.91","134.91","134.91","134.91","232.76K","0.00%"
"Feb 21, 2013","134.91","134.91","134.91","134.91","11.52K","0.00%"
"Feb 22, 2013","134.91","134.91","135.87","134.91","59.05K","0.00%"
"Feb 25, 2013","134.91","134.91","135.87","134.91","6.33K","0.00%"
"Feb 26, 2013","135.87","135.87","135.87","135.87","104.50K","0.71%"
"Feb 27, 2013","134.91","134.91","136.84","134.91","40.47K","-0.71%"
"Feb 28, 2013","134.91","135.87","135.87","134.91","2.80K","0.00%"
"Mar 01, 2013","135.87","135.87","136.84","135.87","96.61K","0.71%"
"Mar 05, 2013","136.84","136.84","136.84","136.84","0.31K","0.71%"
"Mar 06, 2013","136.84","136.84","137.80","136.84","16.19K","0.00%"
"Mar 07, 2013","138.76","137.80","144.55","137.80","224.67K","1.40%"
"Mar 08, 2013","140.69","139.73","144.55","139.73","173.30K","1.39%"
"Mar 12, 2013","144.55","144.55","148.40","144.55","4.26K","2.74%"
"Mar 13, 2013","144.55","144.55","145.51","144.55","63.09K","0.00%"
"Mar 14, 2013","144.55","144.55","144.55","144.55","17.85K","0.00%"
"Mar 15, 2013","139.73","140.69","140.69","130.09","59.98K","-3.33%"
"Mar 18, 2013","138.76","139.73","139.73","134.91","108.24K","-0.69%"
"Mar 19, 2013","137.80","139.73","139.73","135.87","3.22K","-0.69%"
"Mar 20, 2013","139.73","139.73","139.73","139.73","4.46K","1.40%"
"Mar 21, 2013","139.73","139.73","139.73","139.73","5.40K","0.00%"
"Mar 22, 2013","139.73","139.73","141.65","139.73","1.66K","0.00%"
"Mar 25, 2013","140.69","140.69","140.69","140.69","2.49K","0.69%"
"Mar 26, 2013","139.73","142.62","142.62","137.80","39.75K","-0.68%"
"Mar 27, 2013","140.69","140.69","140.69","140.69","23.56K","0.69%"
"Mar 28, 2013","139.73","139.73","140.69","139.73","9.65K","-0.68%"
"Apr 02, 2013","144.55","144.55","150.33","144.55","34.87K","3.45%"
"Apr 03, 2013","147.44","149.36","158.04","146.47","50.95K","2.00%"
"Apr 04, 2013","146.47","144.55","147.44","144.55","42.65K","-0.66%"
"Apr 05, 2013","148.40","148.40","149.36","148.40","33.73K","1.32%"
"Apr 08, 2013","148.40","149.36","149.36","148.40","0.42K","0.00%"
"Apr 10, 2013","148.40","148.40","149.36","146.47","48.77K","0.00%"
"Apr 11, 2013","147.44","146.47","149.36","145.51","7.58K","-0.65%"
"Apr 12, 2013","148.40","148.40","149.36","146.47","325.75K","0.65%"
"Apr 15, 2013","148.40","148.40","150.33","146.47","11.93K","0.00%"
"Apr 16, 2013","147.44","150.33","150.33","146.47","16.50K","-0.65%"
"Apr 17, 2013","148.40","149.36","149.36","146.47","55.31K","0.65%"
"Apr 18, 2013","146.47","147.44","147.44","146.47","28.33K","-1.30%"
"Apr 19, 2013","148.40","148.40","149.36","147.44","122.45K","1.32%"
"Apr 22, 2013","136.84","146.47","146.47","135.87","1.04K","-7.79%"
"Apr 23, 2013","144.55","146.47","146.47","142.62","0.31K","5.63%"
"Apr 24, 2013","144.55","144.55","144.55","144.55","7.78K","0.00%"
"Apr 25, 2013","144.55","141.65","149.36","141.65","15.36K","0.00%"
"Apr 26, 2013","144.55","144.55","144.55","144.55","4.15K","0.00%"
"Apr 29, 2013","144.55","144.55","144.55","144.55","0.10K","0.00%"
