"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 18, 2013","835.00","835.00","835.00","835.00","-","14.38%"
"Aug 04, 2014","46.25","45.75","47.00","45.75","3.60M","-94.46%"
"Aug 05, 2014","46.25","46.25","46.50","46.00","698.30K","0.00%"
"Aug 06, 2014","46.25","46.25","46.50","46.25","641.70K","0.00%"
"Aug 07, 2014","46.00","46.50","46.50","46.00","1.07M","-0.54%"
"Aug 08, 2014","46.00","46.00","46.25","45.75","658.10K","0.00%"
"Aug 11, 2014","45.75","46.00","46.25","45.50","982.00K","-0.54%"
"Aug 12, 2014","45.00","46.00","46.00","45.00","396.60K","-1.64%"
"Aug 13, 2014","45.25","46.00","46.00","45.00","592.20K","0.56%"
"Aug 14, 2014","45.75","45.25","46.00","45.00","3.13M","1.10%"
"Aug 15, 2014","45.50","45.25","46.25","45.25","3.27M","-0.55%"
"Aug 18, 2014","45.75","46.25","46.50","45.25","1.58M","0.55%"
"Aug 19, 2014","45.75","45.50","46.00","45.50","1.09M","0.00%"
"Aug 20, 2014","46.00","46.25","46.25","45.75","1.03M","0.55%"
"Aug 21, 2014","45.75","46.00","46.25","45.50","705.10K","-0.54%"
"Aug 22, 2014","45.75","45.50","46.25","45.50","597.40K","0.00%"
"Aug 25, 2014","46.00","46.25","46.25","46.00","1.03M","0.55%"
"Aug 26, 2014","45.75","46.00","46.25","45.75","408.20K","-0.54%"
"Aug 27, 2014","46.00","46.00","46.50","45.75","754.90K","0.55%"
"Aug 28, 2014","46.00","46.00","46.25","46.00","531.70K","0.00%"
"Aug 29, 2014","46.75","46.00","47.00","46.00","298.00K","1.63%"
"Sep 01, 2014","48.00","47.50","49.50","47.00","1.04M","2.67%"
"Sep 02, 2014","48.75","48.00","49.00","48.00","1.46M","1.56%"
"Sep 03, 2014","48.50","49.25","49.25","48.00","1.38M","-0.51%"
"Sep 04, 2014","48.50","49.00","49.00","48.00","3.66M","0.00%"
"Sep 05, 2014","47.75","48.50","48.50","47.75","305.00K","-1.55%"
"Sep 08, 2014","48.00","48.00","48.50","47.50","627.90K","0.52%"
"Sep 09, 2014","48.00","48.00","48.50","47.75","1.49M","0.00%"
"Sep 10, 2014","48.00","48.00","48.50","48.00","894.10K","0.00%"
"Sep 11, 2014","48.75","48.25","50.00","48.25","529.10K","1.56%"
"Sep 12, 2014","50.50","49.00","52.50","49.00","2.34M","3.59%"
"Sep 15, 2014","52.50","51.50","54.00","51.50","3.25M","3.96%"
"Sep 16, 2014","53.00","53.00","54.00","50.50","2.68M","0.95%"
"Sep 17, 2014","51.50","52.00","53.50","50.00","1.50M","-2.83%"
"Sep 18, 2014","54.50","53.00","56.50","53.00","2.95M","5.83%"
"Sep 19, 2014","57.00","56.00","59.50","56.00","2.07M","4.59%"
"Sep 22, 2014","58.50","59.00","60.00","57.50","4.43M","2.63%"
"Sep 23, 2014","59.00","60.00","63.00","55.00","3.50M","0.85%"
"Sep 24, 2014","54.50","57.00","57.50","53.50","3.30M","-7.63%"
"Sep 25, 2014","52.00","55.00","55.00","50.00","2.97M","-4.59%"
"Sep 26, 2014","53.50","54.00","54.00","52.50","977.80K","2.88%"
"Sep 29, 2014","53.50","54.00","54.00","53.00","1.19M","0.00%"
"Sep 30, 2014","51.50","54.00","54.00","51.00","6.18M","-3.74%"
"Oct 01, 2014","50.50","52.00","52.50","50.00","7.56M","-1.94%"
"Oct 02, 2014","49.75","50.50","51.00","49.50","1.85M","-1.49%"
"Oct 03, 2014","50.75","50.50","53.00","50.50","1.12M","2.01%"
"Oct 06, 2014","50.50","50.50","52.00","50.50","1.69M","-0.49%"
"Oct 07, 2014","50.50","51.00","51.50","50.50","5.90M","0.00%"
"Oct 08, 2014","50.50","51.50","51.50","50.00","1.99M","0.00%"
"Oct 09, 2014","49.75","50.50","50.50","49.50","1.21M","-1.49%"
"Oct 10, 2014","49.25","50.00","50.00","49.00","438.30K","-1.01%"
"Oct 13, 2014","48.75","49.25","49.25","48.75","1.64M","-1.02%"
"Oct 14, 2014","48.75","49.00","49.25","48.50","4.28M","0.00%"
"Oct 15, 2014","49.25","49.00","49.75","49.00","2.24M","1.03%"
"Oct 16, 2014","50.50","49.50","51.50","49.50","2.59M","2.54%"
