"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 08, 2012","15.10","14.60","15.35","14.95","96.90K","3.42%"
"Oct 09, 2012","15.25","15.10","15.50","15.15","198.20K","0.99%"
"Oct 10, 2012","15.25","15.25","15.35","15.10","307.20K","0.00%"
"Oct 11, 2012","15.15","15.25","15.25","15.10","121.10K","-0.66%"
"Oct 12, 2012","15.15","15.15","15.30","15.15","135.60K","0.00%"
"Oct 15, 2012","15.00","15.15","15.30","15.00","50.70K","-0.99%"
"Oct 16, 2012","14.80","15.00","15.15","14.60","45.10K","-1.33%"
"Oct 17, 2012","14.95","14.80","15.30","14.80","278.40K","1.01%"
"Oct 18, 2012","15.10","14.95","15.25","15.00","42.50K","1.00%"
"Oct 19, 2012","15.05","15.10","15.20","15.00","21.30K","-0.33%"
"Oct 22, 2012","15.05","15.05","15.20","15.00","52.70K","0.00%"
"Oct 23, 2012","15.10","15.05","15.30","15.00","96.00K","0.33%"
"Oct 24, 2012","15.10","15.10","15.20","15.00","75.40K","0.00%"
"Oct 25, 2012","15.30","15.10","15.40","15.15","148.10K","1.32%"
"Oct 26, 2012","15.75","15.30","16.00","15.40","98.40K","2.94%"
"Oct 29, 2012","16.25","15.75","16.50","16.00","100.50K","3.17%"
"Oct 30, 2012","15.45","16.25","16.25","15.20","130.90K","-4.92%"
"Oct 31, 2012","15.45","15.45","15.50","15.40","113.70K","0.00%"
"Nov 01, 2012","15.45","15.45","15.80","15.45","26.50K","0.00%"
"Nov 02, 2012","15.50","15.45","15.60","15.45","18.70K","0.32%"
"Nov 05, 2012","15.45","15.50","15.50","15.40","29.00K","-0.32%"
"Nov 06, 2012","15.45","15.45","15.50","15.45","47.00K","0.00%"
"Nov 07, 2012","15.25","15.45","15.45","14.85","66.30K","-1.29%"
"Nov 08, 2012","14.75","15.45","15.30","13.75","112.80K","-3.28%"
"Nov 09, 2012","14.80","14.75","15.30","14.70","113.70K","0.34%"
"Nov 12, 2012","15.00","14.80","15.30","15.00","39.50K","1.35%"
"Nov 13, 2012","15.00","15.00","15.10","15.00","135.70K","0.00%"
"Nov 14, 2012","15.00","15.00","15.30","15.00","168.80K","0.00%"
"Nov 15, 2012","15.40","15.00","15.55","15.00","129.40K","2.67%"
"Nov 16, 2012","15.50","15.40","15.60","15.40","241.30K","0.65%"
"Nov 19, 2012","15.60","15.50","15.80","15.50","80.20K","0.65%"
"Nov 20, 2012","15.60","15.60","15.90","15.50","542.20K","0.00%"
"Nov 21, 2012","15.65","15.80","16.00","15.60","30.70K","0.32%"
"Nov 22, 2012","15.85","15.65","15.95","15.65","301.90K","1.28%"
"Nov 23, 2012","15.65","15.85","15.75","15.65","237.90K","-1.26%"
"Nov 26, 2012","15.65","15.65","15.80","15.60","57.40K","0.00%"
"Nov 27, 2012","15.60","15.65","15.75","15.50","60.60K","-0.32%"
"Nov 28, 2012","15.15","15.60","15.50","15.00","4.30K","-2.88%"
"Nov 29, 2012","15.45","15.15","15.50","15.00","933.10K","1.98%"
