"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 11, 2014","128.00","128.00","129.00","128.00","619.10K","0.00%"
"Nov 12, 2014","129.00","129.00","130.00","128.00","61.50K","0.78%"
"Nov 13, 2014","127.00","128.00","128.00","127.00","26.00K","-1.55%"
"Nov 14, 2014","127.00","127.00","127.00","127.00","2.60K","0.00%"
"Nov 17, 2014","123.00","123.00","123.00","123.00","1.20K","-3.15%"
"Nov 18, 2014","130.00","130.00","130.00","130.00","13.80K","5.69%"
"Nov 19, 2014","131.00","135.00","135.00","130.00","18.20K","0.77%"
"Nov 20, 2014","129.00","130.00","130.00","129.00","21.10K","-1.53%"
"Nov 21, 2014","130.00","131.00","131.00","130.00","44.50K","0.78%"
"Nov 24, 2014","135.00","135.00","135.00","135.00","0.40K","3.85%"
"Nov 25, 2014","129.00","128.00","130.00","128.00","5.90K","-4.44%"
"Nov 26, 2014","128.00","128.00","129.00","128.00","28.40K","-0.78%"
"Nov 27, 2014","128.00","128.00","128.00","128.00","6.60K","0.00%"
"Nov 28, 2014","127.00","128.00","128.00","127.00","35.40K","-0.78%"
"Dec 01, 2014","128.00","128.00","128.00","128.00","0.10K","0.79%"
"Dec 03, 2014","127.00","127.00","127.00","127.00","2.10K","-0.78%"
"Dec 04, 2014","127.00","127.00","127.00","127.00","104.00K","0.00%"
"Dec 05, 2014","127.00","127.00","128.00","127.00","221.00K","0.00%"
"Dec 08, 2014","126.00","126.00","127.00","126.00","58.70K","-0.79%"
"Dec 09, 2014","127.00","129.00","129.00","126.00","8.40K","0.79%"
"Dec 10, 2014","125.00","125.00","125.00","125.00","0.50K","-1.57%"
"Dec 11, 2014","126.00","126.00","126.00","126.00","3.40K","0.80%"
"Dec 15, 2014","126.00","126.00","127.00","126.00","88.10K","0.00%"
"Dec 16, 2014","124.00","126.00","126.00","124.00","352.30K","-1.59%"
"Dec 17, 2014","126.00","125.00","127.00","120.00","465.60K","1.61%"
"Dec 18, 2014","124.00","120.00","125.00","120.00","151.00K","-1.59%"
"Dec 19, 2014","120.00","124.00","124.00","120.00","74.40K","-3.23%"
"Dec 22, 2014","120.00","120.00","120.00","120.00","42.10K","0.00%"
"Dec 23, 2014","120.00","121.00","121.00","120.00","209.50K","0.00%"
"Dec 24, 2014","122.00","124.00","128.00","121.00","462.10K","1.67%"
"Dec 29, 2014","123.00","124.00","124.00","123.00","52.10K","0.82%"
"Dec 30, 2014","123.00","124.00","124.00","123.00","88.20K","0.00%"
"Dec 31, 2014","123.00","123.00","123.00","123.00","4.70K","0.00%"
"Jan 02, 2015","125.00","125.00","125.00","125.00","1.50K","1.63%"
"Jan 05, 2015","124.00","124.00","124.00","124.00","0.40K","-0.80%"
"Jan 06, 2015","123.00","123.00","124.00","123.00","7.30K","-0.81%"
"Jan 07, 2015","122.00","125.00","125.00","120.00","36.20K","-0.81%"
"Jan 12, 2015","125.00","125.00","125.00","125.00","5.00K","2.46%"
"Jan 13, 2015","125.00","125.00","125.00","125.00","0.20K","0.00%"
"Jan 14, 2015","124.00","125.00","125.00","124.00","0.70K","-0.80%"
"Jan 15, 2015","125.00","125.00","125.00","125.00","0.50K","0.81%"
"Jan 16, 2015","124.00","125.00","125.00","124.00","1.30K","-0.80%"
"Jan 21, 2015","126.00","126.00","126.00","126.00","3.50K","1.61%"
"Jan 22, 2015","124.00","125.00","125.00","124.00","3.00K","-1.59%"
"Jan 23, 2015","124.00","124.00","125.00","124.00","10.70K","0.00%"
"Jan 26, 2015","123.00","124.00","124.00","123.00","15.10K","-0.81%"
"Jan 27, 2015","124.00","124.00","124.00","124.00","0.30K","0.81%"
"Jan 28, 2015","122.00","123.00","124.00","120.00","2.90K","-1.61%"
"Jan 29, 2015","120.00","120.00","124.00","120.00","1.00K","-1.64%"
"Jan 30, 2015","124.00","124.00","124.00","124.00","5.00K","3.33%"
"Feb 02, 2015","124.00","124.00","124.00","124.00","80.00K","0.00%"
"Feb 03, 2015","124.00","124.00","124.00","124.00","12.90K","0.00%"
"Feb 04, 2015","124.00","124.00","124.00","124.00","5.80K","0.00%"
"Feb 06, 2015","124.00","124.00","124.00","124.00","13.80K","0.00%"
"Feb 09, 2015","122.00","124.00","124.00","122.00","134.00K","-1.61%"
"Feb 10, 2015","121.00","121.00","121.00","121.00","0.20K","-0.82%"
"Feb 11, 2015","121.00","124.00","124.00","121.00","0.50K","0.00%"
"Feb 12, 2015","121.00","120.00","122.00","120.00","173.60K","0.00%"
"Feb 13, 2015","122.00","123.00","123.00","122.00","6.90K","0.83%"
"Feb 16, 2015","122.00","123.00","123.00","122.00","146.10K","0.00%"
"Feb 17, 2015","123.00","123.00","124.00","122.00","15.40K","0.82%"
"Feb 18, 2015","124.00","124.00","124.00","124.00","8.60K","0.81%"
"Feb 19, 2015","128.00","128.00","128.00","128.00","1.00K","3.23%"
"Feb 20, 2015","125.00","125.00","125.00","125.00","19.60K","-2.34%"
"Feb 24, 2015","128.00","128.00","128.00","128.00","0.10K","2.40%"
"Feb 26, 2015","126.00","128.00","130.00","126.00","4.50K","-1.56%"
"Mar 04, 2015","126.00","126.00","126.00","126.00","5.20K","0.00%"
"Mar 05, 2015","126.00","126.00","126.00","126.00","1.00K","0.00%"
"Mar 09, 2015","126.00","126.00","127.00","126.00","143.10K","0.00%"
"Mar 10, 2015","127.00","127.00","127.00","127.00","0.10K","0.79%"
"Mar 12, 2015","126.00","126.00","126.00","126.00","0.50K","-0.79%"
"Mar 13, 2015","124.00","124.00","124.00","124.00","7.20K","-1.59%"
"Mar 16, 2015","125.00","125.00","126.00","125.00","2.20K","0.81%"
"Mar 17, 2015","125.00","125.00","125.00","125.00","14.70K","0.00%"
"Mar 18, 2015","125.00","125.00","125.00","125.00","1.90K","0.00%"
"Mar 19, 2015","125.00","125.00","125.00","125.00","0.10K","0.00%"
"Mar 20, 2015","120.00","120.00","120.00","120.00","0.10K","-4.00%"
"Mar 23, 2015","129.00","120.00","130.00","120.00","254.00K","7.50%"
"Mar 25, 2015","128.00","129.00","129.00","128.00","1.00K","-0.78%"
"Mar 26, 2015","127.00","128.00","128.00","127.00","1.00K","-0.78%"
"Mar 27, 2015","125.00","125.00","125.00","125.00","9.60K","-1.57%"
"Mar 31, 2015","127.00","128.00","129.00","127.00","139.70K","1.60%"
"Apr 01, 2015","127.00","127.00","127.00","127.00","0.50K","0.00%"
"Apr 02, 2015","127.00","127.00","127.00","127.00","292.00K","0.00%"
"Apr 07, 2015","127.00","127.00","129.00","127.00","5.20K","0.00%"
"Apr 08, 2015","127.00","127.00","128.00","127.00","1.30K","0.00%"
"Apr 09, 2015","127.00","127.00","127.00","127.00","1.10K","0.00%"
"Apr 10, 2015","122.00","122.00","127.00","122.00","1.10K","-3.94%"
"Apr 13, 2015","120.00","121.00","122.00","120.00","1.00K","-1.64%"
"Apr 14, 2015","123.00","121.00","125.00","121.00","84.40K","2.50%"
"Apr 15, 2015","121.00","124.00","124.00","121.00","1.10K","-1.63%"
"Apr 16, 2015","120.00","122.00","122.00","120.00","24.00K","-0.83%"
"Apr 20, 2015","125.00","122.00","125.00","122.00","83.40K","4.17%"
"Apr 21, 2015","120.00","121.00","123.00","120.00","27.50K","-4.00%"
"Apr 22, 2015","120.00","120.00","121.00","120.00","68.00K","0.00%"
"Apr 23, 2015","116.00","116.00","116.00","116.00","0.10K","-3.33%"
"Apr 24, 2015","123.00","123.00","123.00","120.00","1.00M","6.03%"
"Apr 27, 2015","120.00","120.00","121.00","120.00","165.40K","-2.44%"
"Apr 28, 2015","123.00","121.00","127.00","121.00","18.10K","2.50%"
"Apr 29, 2015","125.00","120.00","130.00","120.00","60.70K","1.63%"
"Apr 30, 2015","127.00","128.00","130.00","120.00","56.50K","1.60%"
"May 04, 2015","138.00","130.00","139.00","130.00","256.40K","8.66%"
"May 05, 2015","137.00","137.00","137.00","137.00","2.00K","-0.72%"
"May 08, 2015","134.00","134.00","135.00","132.00","7.10K","-2.19%"
"May 22, 2015","121.00","121.00","121.00","121.00","0.20K","-9.70%"
"May 26, 2015","116.00","120.00","120.00","116.00","75.20K","-4.13%"
"May 27, 2015","116.00","120.00","120.00","116.00","42.40K","0.00%"
"May 28, 2015","120.00","120.00","122.00","120.00","5.80K","3.45%"
"May 29, 2015","117.00","120.00","120.00","117.00","18.00K","-2.50%"
"Jun 02, 2015","118.00","120.00","120.00","117.00","2.00K","0.85%"
"Jun 03, 2015","116.00","117.00","117.00","116.00","21.40K","-1.69%"
"Jun 04, 2015","116.00","118.00","118.00","116.00","10.20K","0.00%"
"Jun 05, 2015","117.00","117.00","117.00","117.00","0.90K","0.86%"
"Jun 08, 2015","116.00","117.00","118.00","116.00","23.60K","-0.85%"
