"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 18, 2011","175.00","175.00","175.00","175.00","0.20K","0.00%"
"Aug 19, 2011","175.00","175.00","185.00","127.00","0.20K","0.00%"
"Feb 10, 2012","140.00","140.00","140.00","140.00","0.80K","-20.00%"
"Feb 23, 2012","135.00","135.00","140.00","135.00","1.80K","-3.57%"
"Mar 07, 2012","135.00","135.00","135.00","135.00","4.00K","0.00%"
"Jun 18, 2012","135.00","135.00","135.00","135.00","0.20K","0.00%"
"Jul 10, 2012","140.00","140.00","140.00","140.00","0.30K","3.70%"
"Sep 18, 2012","154.00","154.00","154.00","154.00","2.30K","10.00%"
"Sep 20, 2012","154.00","154.00","154.00","154.00","3.00K","0.00%"
"Nov 16, 2012","160.00","160.00","160.00","160.00","0.30K","3.90%"
"Nov 21, 2012","165.00","165.00","165.00","165.00","0.20K","3.13%"
"Dec 06, 2012","160.00","160.00","160.00","160.00","0.10K","-3.03%"
"Jan 30, 2013","169.00","169.00","169.00","169.00","0.30K","5.63%"
"Jan 31, 2013","169.00","169.00","169.00","169.00","0.30K","0.00%"
"Jul 16, 2013","175.00","175.00","175.00","175.00","1.50K","3.55%"
"Aug 16, 2013","175.00","175.00","175.00","175.00","2.80K","0.00%"
"Nov 14, 2013","46.50","46.50","46.75","46.25","1.06M","-73.43%"
"Nov 15, 2013","46.00","46.50","46.50","46.00","3.19M","-1.08%"
"Nov 18, 2013","46.50","46.50","47.00","46.00","1.23M","1.09%"
"Nov 19, 2013","47.00","46.75","47.50","46.75","1.76M","1.08%"
"Nov 20, 2013","47.50","47.50","48.50","47.25","1.16M","1.06%"
"Nov 21, 2013","48.75","47.75","49.50","47.75","211.80K","2.63%"
"Nov 22, 2013","49.00","48.75","49.50","48.50","1.35M","0.51%"
"Nov 25, 2013","49.00","49.00","49.50","49.00","1.80M","0.00%"
"Nov 26, 2013","48.75","49.00","49.25","48.75","2.25M","-0.51%"
"Nov 27, 2013","48.75","48.75","49.00","48.50","2.99M","0.00%"
"Nov 28, 2013","48.50","48.75","48.75","48.00","682.40K","-0.51%"
"Nov 29, 2013","48.00","48.50","48.50","47.00","724.80K","-1.03%"
"Dec 02, 2013","46.75","47.50","47.50","46.75","1.12M","-2.60%"
"Dec 03, 2013","46.50","46.75","47.00","46.00","4.15M","-0.53%"
"Dec 04, 2013","46.00","46.50","46.50","45.75","6.84M","-1.08%"
"Dec 05, 2013","45.50","46.00","46.00","45.00","1.40M","-1.09%"
"Dec 06, 2013","45.00","45.50","45.50","44.75","973.20K","-1.10%"
"Dec 09, 2013","44.75","45.00","45.25","44.50","2.49M","-0.56%"
"Dec 10, 2013","44.50","45.00","45.00","44.50","6.19M","-0.56%"
"Dec 11, 2013","44.75","44.75","45.00","44.50","1.78M","0.56%"
"Dec 16, 2013","45.00","44.75","45.25","44.75","735.00K","0.56%"
"Dec 17, 2013","44.75","45.00","45.00","44.50","3.19M","-0.56%"
"Dec 18, 2013","44.50","44.50","44.75","44.25","1.32M","-0.56%"
"Dec 19, 2013","44.50","44.25","44.75","44.25","4.91M","0.00%"
"Dec 20, 2013","44.50","44.75","44.75","44.25","4.68M","0.00%"
"Dec 23, 2013","44.50","44.50","45.00","44.50","1.36M","0.00%"
"Dec 24, 2013","46.25","44.75","47.00","44.75","157.40K","3.93%"
"Dec 27, 2013","46.75","46.25","48.00","46.25","1.67M","1.08%"
"Dec 30, 2013","47.50","48.00","49.00","47.50","1.84M","1.60%"
"Dec 31, 2013","47.25","47.50","48.25","47.00","1.37M","-0.53%"
"Jan 02, 2014","47.75","48.25","48.25","47.00","1.90M","1.06%"
"Jan 03, 2014","48.00","47.75","48.25","47.75","2.23M","0.52%"
"Jan 06, 2014","48.50","48.25","49.25","48.25","976.50K","1.04%"
"Jan 07, 2014","48.50","48.50","49.00","48.50","667.50K","0.00%"
"Jan 08, 2014","48.25","48.25","49.00","48.25","233.60K","-0.52%"
"Jan 09, 2014","48.50","48.25","48.75","48.00","2.36M","0.52%"
"Jan 10, 2014","47.50","48.00","48.25","47.00","1.42M","-2.06%"
"Jan 13, 2014","46.75","48.00","48.00","46.50","374.50K","-1.58%"
"Jan 14, 2014","46.75","46.75","47.25","46.75","2.04M","0.00%"
"Jan 15, 2014","46.00","47.00","47.00","46.00","3.77M","-1.60%"
"Jan 16, 2014","45.75","46.00","46.25","45.75","1.00M","-0.54%"
"Jan 17, 2014","45.75","46.00","46.00","45.50","409.60K","0.00%"
"Jan 20, 2014","45.25","45.75","45.75","45.00","5.84M","-1.09%"
"Jan 21, 2014","45.50","45.50","46.25","45.25","2.56M","0.55%"
"Jan 22, 2014","45.50","45.50","45.75","45.25","2.56M","0.00%"
"Jan 23, 2014","45.50","45.50","46.00","45.25","4.06M","0.00%"
"Jan 24, 2014","45.75","45.50","46.00","45.50","641.10K","0.55%"
"Jan 27, 2014","46.00","45.75","46.50","45.75","6.09M","0.55%"
"Jan 28, 2014","46.25","46.00","46.50","46.00","712.10K","0.54%"
"Jan 29, 2014","45.50","46.25","46.25","45.25","3.79M","-1.62%"
"Jan 30, 2014","45.25","45.25","45.50","44.75","2.08M","-0.55%"
"Jan 31, 2014","43.25","45.25","45.50","42.50","3.18M","-4.42%"
"Feb 03, 2014","42.50","42.50","43.50","42.25","765.30K","-1.73%"
"Feb 04, 2014","44.00","45.50","45.50","43.50","3.72M","3.53%"
"Feb 05, 2014","44.00","45.00","45.00","44.00","1.42M","0.00%"
