Date	Open	High	Low	Close	Vol.	Change %
08-05-2012	8.65	8.9	8.5	8.75	186.70K	1.16%
09-05-2012	8.75	8.7	8.5	8.55	94.90K	-2.29%
10-05-2012	8.55	8.75	8.45	8.6	76.80K	0.58%
11-05-2012	8.6	8.85	8.15	8.6	141.80K	0.00%
14-05-2012	8.6	8.8	8.6	8.65	91.70K	0.58%
15-05-2012	8.65	8.8	8.5	8.6	135.00K	-0.58%
16-05-2012	8.6	8.7	8.6	8.65	88.20K	0.58%
17-05-2012	8.65	8.7	8.55	8.6	255.20K	-0.58%
18-05-2012	8.6	8.6	8.45	8.55	173.00K	-0.58%
21-05-2012	8.55	8.6	8.4	8.5	57.30K	-0.58%
22-05-2012	8.5	8.6	8.4	8.45	41.80K	-0.59%
23-05-2012	8.45	8.6	8.2	8.4	633.30K	-0.59%
24-05-2012	8.4	8.5	8.05	8.35	136.80K	-0.60%
25-05-2012	8.35	8.5	8.2	8.3	74.30K	-0.60%
28-05-2012	8.3	8.3	8	8.05	183.90K	-3.01%
29-05-2012	8.05	8.4	8	8	341.80K	-0.62%
30-05-2012	8	8.3	7.9	8	266.40K	0.00%
31-05-2012	8	8.3	7.8	7.9	558.40K	-1.25%
04-06-2012	7.9	8.3	8	8	107.40K	1.27%
05-06-2012	8	8.45	7.9	8	542.20K	0.00%
06-06-2012	8	8.5	8	8.15	80.10K	1.87%
07-06-2012	8.15	8.45	8	8.1	21.20K	-0.61%
08-06-2012	8.1	8.3	8.05	8.15	515.10K	0.62%
11-06-2012	8.15	8.3	8.15	8.2	192.20K	0.61%
12-06-2012	8.2	8.2	8.1	8.15	159.30K	-0.61%
13-06-2012	8.15	8.15	8.1	8.1	87.50K	-0.61%
14-06-2012	8.1	8.2	8.1	8.1	272.80K	0.00%
15-06-2012	8.1	8.25	8.1	8.15	154.40K	0.62%
18-06-2012	8.15	8.3	8.15	8.2	247.50K	0.61%
19-06-2012	8.2	8.5	8.15	8.2	286.20K	0.00%
20-06-2012	8.2	8.3	8.2	8.2	903.00K	0.00%
21-06-2012	8.2	8.4	8.2	8.2	1.91M	0.00%
22-06-2012	8.2	8.8	8.2	8.45	257.80K	3.05%
25-06-2012	8.45	8.85	8.65	8.75	2.61M	3.55%
26-06-2012	8.75	9	8.8	8.85	397.60K	1.14%
27-06-2012	8.85	9	8.85	8.95	265.50K	1.13%
28-06-2012	8.95	9	8.4	8.85	153.70K	-1.12%
29-06-2012	8.85	9	8.5	8.6	46.00K	-2.82%
02-07-2012	8.6	9	8.6	8.7	105.10K	1.16%
03-07-2012	8.7	8.85	8.6	8.7	72.50K	0.00%
04-07-2012	8.7	8.9	8.6	8.7	141.90K	0.00%
05-07-2012	8.7	8.8	8.55	8.65	169.80K	-0.57%
06-07-2012	8.65	8.8	8.6	8.65	161.40K	0.00%
09-07-2012	8.65	8.9	8.35	8.6	140.60K	-0.58%
10-07-2012	8.6	8.7	8.45	8.55	203.40K	-0.58%
11-07-2012	8.55	8.6	8.4	8.5	615.90K	-0.58%
12-07-2012	8.5	8.7	8.5	8.55	286.40K	0.59%
13-07-2012	8.55	8.55	8.3	8.45	160.50K	-1.17%
16-07-2012	8.45	8.6	8.35	8.45	407.90K	0.00%
17-07-2012	8.45	8.6	8.3	8.4	105.00K	-0.59%
18-07-2012	8.4	8.45	8.35	8.4	142.20K	0.00%
19-07-2012	8.4	8.5	8.1	8.3	181.60K	-1.19%
20-07-2012	8.3	8.4	8.25	8.3	165.10K	0.00%
23-07-2012	8.3	8.4	8.25	8.25	173.50K	-0.60%
24-07-2012	8.25	8.5	8.25	8.3	1.27M	0.61%
25-07-2012	8.3	8.4	8.25	8.3	573.60K	0.00%
26-07-2012	8.3	8.5	8.25	8.3	1.08M	0.00%
27-07-2012	8.3	8.5	8.25	8.3	478.30K	0.00%
