"Date","Price","Open","High","Low","Vol.","Change %"
"May 09, 2012","15.35","15.40","15.40","15.30","896.70K","-0.32%"
"May 10, 2012","15.35","15.35","15.45","15.30","525.00K","0.00%"
"May 11, 2012","15.30","15.35","15.40","15.30","206.60K","-0.33%"
"May 14, 2012","15.30","15.30","15.40","15.30","48.10K","0.00%"
"May 15, 2012","15.25","15.30","15.35","15.15","191.20K","-0.33%"
"May 16, 2012","15.25","15.25","15.30","15.20","698.40K","0.00%"
"May 17, 2012","15.00","15.25","15.25","15.00","1.56M","-1.64%"
"May 18, 2012","15.10","15.00","15.25","14.15","750.60K","0.67%"
"May 21, 2012","15.00","15.10","15.25","14.90","698.80K","-0.66%"
"May 22, 2012","14.80","15.00","15.00","14.70","32.20K","-1.33%"
"May 23, 2012","14.80","14.80","14.90","14.50","218.60K","0.00%"
"May 24, 2012","14.80","14.80","14.90","14.75","2.64M","0.00%"
"May 25, 2012","14.95","14.80","15.00","14.85","760.90K","1.01%"
"May 28, 2012","14.90","14.95","15.00","14.80","597.60K","-0.33%"
"May 29, 2012","14.65","14.90","15.00","14.25","64.50K","-1.68%"
"May 30, 2012","14.55","14.65","14.70","14.45","754.60K","-0.68%"
"May 31, 2012","14.55","14.55","14.70","14.50","621.40K","0.00%"
"Jun 04, 2012","14.20","14.55","14.60","14.00","210.00K","-2.41%"
"Jun 05, 2012","14.05","14.20","14.50","14.00","280.00K","-1.06%"
"Jun 06, 2012","14.00","14.05","14.50","14.00","219.30K","-0.36%"
"Jun 07, 2012","14.00","14.00","14.50","14.00","1.24M","0.00%"
"Jun 08, 2012","14.20","14.00","14.50","14.00","184.30K","1.43%"
"Jun 11, 2012","14.45","14.20","14.55","14.15","191.30K","1.76%"
"Jun 12, 2012","14.40","14.45","14.50","14.20","837.00K","-0.35%"
"Jun 13, 2012","14.40","14.40","14.50","14.35","158.60K","0.00%"
"Jun 14, 2012","14.45","14.40","14.50","14.20","895.00K","0.35%"
"Jun 15, 2012","14.55","14.45","14.70","14.45","153.10K","0.69%"
"Jun 18, 2012","14.55","14.55","14.65","14.50","54.30K","0.00%"
"Jun 19, 2012","14.70","14.55","15.00","14.50","130.30K","1.03%"
"Jun 20, 2012","14.70","14.70","15.00","14.60","573.70K","0.00%"
"Jun 21, 2012","14.65","14.70","15.00","14.55","125.90K","-0.34%"
"Jun 22, 2012","14.60","14.65","14.75","14.50","506.10K","-0.34%"
"Jun 25, 2012","14.80","14.60","15.00","14.55","178.50K","1.37%"
"Jun 26, 2012","14.90","14.80","15.00","14.85","753.40K","0.68%"
"Jun 27, 2012","15.05","14.90","15.40","15.00","107.10K","1.01%"
"Jun 28, 2012","15.20","15.05","15.30","15.00","803.90K","1.00%"
"Jun 29, 2012","15.10","15.20","15.25","15.00","94.90K","-0.66%"
"Jul 02, 2012","15.00","15.10","15.10","15.00","1.16M","-0.66%"
"Jul 03, 2012","15.15","15.00","15.20","15.00","589.40K","1.00%"
"Jul 04, 2012","15.25","15.15","15.40","15.00","1.04M","0.66%"
"Jul 05, 2012","15.15","15.25","15.30","15.10","104.30K","-0.66%"
"Jul 06, 2012","15.17","15.15","15.30","15.10","181.20K","0.13%"
"Jul 09, 2012","15.30","15.15","15.35","15.20","579.50K","0.86%"
"Jul 10, 2012","15.15","15.30","15.30","15.15","322.80K","-0.98%"
"Jul 11, 2012","15.15","15.15","15.25","15.15","414.20K","0.00%"
"Jul 12, 2012","15.20","15.15","15.30","15.15","580.70K","0.33%"
"Jul 13, 2012","15.25","15.20","15.40","15.20","453.40K","0.33%"
"Jul 16, 2012","15.20","15.25","15.30","15.15","439.50K","-0.33%"
"Jul 17, 2012","15.15","15.20","15.40","15.15","104.60K","-0.33%"
"Jul 18, 2012","15.20","15.15","15.30","15.20","35.70K","0.33%"
"Jul 19, 2012","15.20","15.20","15.25","15.15","341.50K","0.00%"
"Jul 20, 2012","15.20","15.20","15.25","15.15","79.10K","0.00%"
"Jul 23, 2012","15.20","15.20","15.25","15.15","67.70K","0.00%"
"Jul 24, 2012","15.15","15.20","15.25","15.10","193.50K","-0.33%"
"Jul 25, 2012","15.15","15.15","15.30","15.15","260.10K","0.00%"
"Jul 26, 2012","15.20","15.15","15.25","15.20","825.40K","0.33%"
"Jul 27, 2012","15.20","15.20","15.35","15.15","445.80K","0.00%"
"Jul 30, 2012","15.30","15.20","15.35","15.25","238.70K","0.66%"
"Jul 31, 2012","15.35","15.30","15.50","15.30","217.80K","0.33%"
"Aug 01, 2012","15.35","15.35","15.50","15.35","185.40K","0.00%"
"Aug 02, 2012","15.50","15.35","15.60","15.40","203.20K","0.98%"
"Aug 03, 2012","15.55","15.50","15.60","15.50","61.50K","0.32%"
"Aug 06, 2012","15.45","15.55","15.50","15.40","159.00K","-0.64%"
"Aug 07, 2012","15.40","15.45","15.55","15.35","39.60K","-0.32%"
"Aug 08, 2012","15.40","15.40","15.80","15.30","399.10K","0.00%"
"Aug 09, 2012","15.45","15.40","15.75","15.35","38.60K","0.32%"
"Aug 10, 2012","15.55","15.45","15.80","15.45","859.10K","0.65%"
