"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 08, 2012","18.75","19.10","18.80","18.75","10.80K","-0.79%"
"Nov 09, 2012","18.90","18.75","19.00","18.80","7.00K","0.80%"
"Nov 12, 2012","19.00","18.90","19.40","18.90","126.20K","0.53%"
"Nov 13, 2012","19.05","19.00","19.20","18.90","11.70K","0.26%"
"Nov 14, 2012","19.00","19.05","19.05","19.00","15.90K","-0.26%"
"Nov 15, 2012","18.95","19.00","19.10","18.75","45.90K","-0.26%"
"Nov 16, 2012","18.95","18.95","19.10","18.75","19.80K","0.00%"
"Nov 19, 2012","18.45","18.95","18.75","18.05","48.10K","-2.64%"
"Nov 20, 2012","18.30","18.45","18.65","18.00","19.80K","-0.81%"
"Nov 21, 2012","18.25","18.30","18.45","17.65","9.50K","-0.27%"
"Nov 22, 2012","17.75","18.25","17.95","17.50","152.10K","-2.74%"
"Nov 23, 2012","17.55","17.75","18.00","17.50","65.60K","-1.13%"
"Nov 26, 2012","17.95","17.55","18.00","17.55","0.90K","2.28%"
"Nov 27, 2012","17.60","900.00","17.90","17.50","46.80K","-1.95%"
"Nov 28, 2012","17.90","17.60","18.00","17.55","75.50K","1.70%"
"Nov 29, 2012","17.50","17.90","18.00","17.50","17.50K","-2.23%"
"Nov 30, 2012","17.50","17.50","17.55","16.70","14.00K","0.00%"
"Dec 03, 2012","17.05","17.45","17.75","17.00","1.60K","-2.57%"
"Dec 04, 2012","17.55","17.05","17.85","17.50","15.70K","2.93%"
"Dec 05, 2012","18.10","17.55","18.85","17.00","27.40K","3.13%"
"Dec 06, 2012","17.15","18.10","18.00","16.75","7.20K","-5.25%"
"Dec 07, 2012","17.50","17.15","17.55","17.00","38.10K","2.04%"
"Dec 10, 2012","17.00","17.50","17.00","17.00","2.00K","-2.86%"
"Dec 11, 2012","17.15","17.00","17.40","17.00","15.60K","0.88%"
"Dec 13, 2012","17.15","17.15","17.40","17.00","5.70K","0.00%"
"Dec 14, 2012","16.75","17.15","17.10","16.75","15.60K","-2.33%"
"Dec 17, 2012","16.75","16.75","16.80","16.55","14.70K","0.00%"
"Dec 18, 2012","16.70","16.85","16.85","16.50","20.50K","-0.30%"
"Dec 19, 2012","16.60","16.75","16.75","16.25","62.60K","-0.60%"
"Dec 20, 2012","16.75","16.80","16.80","16.75","9.30K","0.90%"
"Dec 21, 2012","16.75","16.85","17.10","16.75","30.40K","0.00%"
"Dec 24, 2012","17.00","16.75","18.35","16.75","5.70K","1.49%"
"Dec 27, 2012","17.00","17.50","17.70","17.00","143.00K","0.00%"
"Dec 28, 2012","17.10","17.10","17.10","17.10","0.70K","0.59%"
"Dec 31, 2012","17.25","17.30","17.30","17.20","0.80K","0.88%"
"Jan 02, 2013","17.35","17.25","17.50","17.10","2.60K","0.58%"
"Jan 03, 2013","17.05","17.50","17.50","17.00","9.60K","-1.73%"
"Jan 04, 2013","17.35","17.50","17.50","17.05","6.50K","1.76%"
"Jan 07, 2013","17.40","17.40","17.45","17.40","31.60K","0.29%"
"Jan 08, 2013","17.45","17.50","17.50","17.35","9.20K","0.29%"
"Jan 09, 2013","17.50","18.10","18.10","17.50","48.80K","0.29%"
"Jan 10, 2013","17.65","17.50","17.75","17.50","165.20K","0.86%"
"Jan 11, 2013","17.70","17.65","17.90","17.50","13.80K","0.28%"
"Jan 14, 2013","17.50","17.50","17.85","17.35","14.60K","-1.13%"
"Jan 15, 2013","17.75","17.50","17.90","17.50","69.30K","1.43%"
"Jan 16, 2013","18.50","17.70","19.50","17.70","146.30K","4.23%"
"Jan 17, 2013","18.75","19.00","19.00","18.50","69.60K","1.35%"
"Jan 18, 2013","19.00","19.30","19.30","19.00","65.20K","1.33%"
"Jan 21, 2013","18.75","19.00","19.00","18.50","4.00K","-1.32%"
"Jan 22, 2013","18.50","18.90","18.90","17.85","16.50K","-1.33%"
"Jan 23, 2013","17.80","17.85","18.00","17.65","5.20K","-3.78%"
"Jan 24, 2013","17.50","17.75","17.75","17.35","12.70K","-1.69%"
"Jan 25, 2013","17.60","18.00","18.00","17.25","12.70K","0.57%"
"Jan 28, 2013","17.55","18.00","18.00","17.50","8.50K","-0.28%"
