"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 12, 2012","33.85","33.24","34.65","33.45","90.70K","1.84%"
"Nov 13, 2012","33.85","33.85","34.25","33.85","52.36K","0.00%"
"Nov 14, 2012","33.65","33.85","34.25","33.45","235.88K","-0.59%"
"Nov 15, 2012","33.45","33.65","33.85","32.84","179.30K","-0.59%"
"Nov 16, 2012","32.24","33.45","33.04","32.24","209.58K","-3.62%"
"Nov 19, 2012","32.04","32.24","33.04","31.43","100.63K","-0.62%"
"Nov 20, 2012","32.24","32.04","33.04","32.24","88.22K","0.62%"
"Nov 21, 2012","32.84","32.24","33.04","32.44","92.32K","1.86%"
"Nov 22, 2012","33.24","32.84","33.85","32.24","365.92K","1.22%"
"Nov 23, 2012","35.46","36.57","36.35","35.02","760.17K","6.68%"
"Nov 26, 2012","36.13","35.46","36.57","35.46","1.29M","1.89%"
"Nov 27, 2012","36.13","36.13","36.35","32.80","403.16K","0.00%"
"Nov 28, 2012","35.90","36.13","36.35","33.69","71.97K","-0.64%"
"Nov 29, 2012","36.13","35.90","36.35","33.69","140.78K","0.64%"
"Nov 30, 2012","34.35","36.13","34.57","33.69","280.88K","-4.93%"
"Dec 03, 2012","33.69","34.35","35.24","33.02","34.52K","-1.92%"
"Dec 04, 2012","33.69","33.69","34.35","33.69","20.08K","0.00%"
"Dec 05, 2012","33.91","33.69","34.35","33.69","151.16K","0.65%"
"Dec 06, 2012","33.91","33.91","34.13","33.69","40.27K","0.00%"
"Dec 07, 2012","33.91","33.91","34.35","33.91","21.66K","0.00%"
"Dec 10, 2012","33.91","33.91","34.35","33.91","125.32K","0.00%"
"Dec 11, 2012","34.13","33.91","34.35","33.91","84.26K","0.65%"
"Dec 13, 2012","34.13","34.13","34.57","33.91","44.22K","0.00%"
"Dec 14, 2012","33.91","34.13","34.13","33.91","28.43K","-0.64%"
"Dec 17, 2012","33.91","33.91","34.13","33.69","367.74K","0.00%"
"Dec 18, 2012","33.47","33.24","33.91","33.24","81.33K","-1.30%"
"Dec 19, 2012","33.91","33.91","34.13","33.69","80.09K","1.31%"
"Dec 20, 2012","33.69","33.69","34.13","33.69","15.12K","-0.65%"
"Dec 21, 2012","33.69","33.69","34.57","33.69","39.71K","0.00%"
"Dec 24, 2012","34.13","34.13","34.57","34.13","34.74K","1.31%"
"Dec 27, 2012","34.13","34.13","34.35","34.13","8.57K","0.00%"
"Dec 28, 2012","33.91","34.13","34.13","33.69","20.19K","-0.64%"
"Dec 31, 2012","33.91","33.69","34.57","33.69","76.03K","0.00%"
"Jan 02, 2013","34.57","34.35","34.80","34.35","63.28K","1.95%"
"Jan 03, 2013","34.57","34.35","34.80","34.13","34.29K","0.00%"
"Jan 04, 2013","36.13","34.80","36.35","34.57","154.43K","4.51%"
"Jan 07, 2013","35.24","35.24","35.46","35.24","13.76K","-2.46%"
"Jan 08, 2013","35.24","35.46","35.46","35.24","33.16K","0.00%"
"Jan 09, 2013","37.45","35.46","38.56","35.46","427.52K","6.27%"
"Jan 10, 2013","37.01","36.57","38.12","36.35","208.01K","-1.17%"
"Jan 11, 2013","36.79","37.01","37.45","36.79","85.84K","-0.59%"
"Jan 14, 2013","37.01","37.01","37.23","36.79","185.67K","0.60%"
"Jan 15, 2013","38.78","37.23","39.45","37.23","209.36K","4.78%"
"Jan 16, 2013","39.45","38.34","40.56","38.12","726.56K","1.73%"
"Jan 17, 2013","39.89","39.89","40.11","39.45","194.92K","1.12%"
"Jan 18, 2013","39.89","39.01","40.78","39.01","397.29K","0.00%"
"Jan 21, 2013","38.34","40.78","40.78","37.68","34.07K","-3.89%"
"Jan 22, 2013","39.67","38.56","39.89","37.45","466.89K","3.47%"
"Jan 23, 2013","37.45","37.68","38.34","36.57","40.50K","-5.60%"
"Jan 24, 2013","37.01","37.68","37.68","37.01","17.94K","-1.17%"
"Jan 25, 2013","37.01","37.01","37.23","36.35","101.86K","0.00%"
"Jan 28, 2013","37.01","36.79","37.23","36.79","17.26K","0.00%"
"Jan 29, 2013","37.01","37.01","37.45","36.79","27.98K","0.00%"
"Jan 30, 2013","37.23","37.23","37.68","36.79","31.36K","0.59%"
"Jan 31, 2013","37.68","37.45","38.12","37.01","111.34K","1.21%"
"Feb 01, 2013","37.68","37.01","38.12","37.01","172.25K","0.00%"
"Feb 04, 2013","37.68","37.23","37.90","37.23","287.87K","0.00%"
"Feb 05, 2013","37.68","37.45","38.12","37.45","51.78K","0.00%"
"Feb 06, 2013","38.12","38.34","38.56","38.12","18.16K","1.17%"
"Feb 07, 2013","39.67","38.34","40.34","38.34","277.61K","4.07%"
"Feb 08, 2013","39.89","39.89","40.11","39.01","198.08K","0.55%"
"Feb 11, 2013","40.56","40.34","40.78","39.45","1.29M","1.68%"
"Feb 12, 2013","41.44","39.89","42.11","39.89","1.57M","2.17%"
"Feb 13, 2013","39.89","40.78","41.22","38.78","23.80K","-3.74%"
"Feb 14, 2013","39.67","39.45","40.78","39.01","110.77K","-0.55%"
"Feb 15, 2013","40.11","39.89","40.78","39.89","49.41K","1.11%"
"Feb 18, 2013","40.34","40.78","40.78","39.89","110.10K","0.57%"
"Feb 19, 2013","40.11","39.89","40.34","39.89","146.98K","-0.57%"
"Feb 20, 2013","40.34","40.11","41.22","40.11","836.20K","0.57%"
"Feb 21, 2013","40.11","40.11","40.34","39.89","818.15K","-0.57%"
"Feb 22, 2013","40.11","40.11","40.34","39.89","46.81K","0.00%"
"Feb 25, 2013","39.23","39.89","39.89","38.78","64.18K","-2.19%"
"Feb 26, 2013","39.01","38.78","39.67","37.23","153.07K","-0.56%"
"Feb 27, 2013","39.45","39.45","39.89","39.23","162.89K","1.13%"
"Feb 28, 2013","40.11","40.11","40.34","39.89","37.45K","1.67%"
"Mar 01, 2013","40.78","40.11","41.44","40.11","298.14K","1.67%"
"Mar 05, 2013","40.11","40.78","41.67","39.67","336.60K","-1.64%"
"Mar 06, 2013","41.67","41.67","42.11","41.67","264.07K","3.89%"
"Mar 07, 2013","42.11","41.89","43.00","41.89","62.61K","1.06%"
"Mar 08, 2013","43.44","43.00","44.33","43.00","109.31K","3.16%"
"Mar 11, 2013","46.54","43.44","47.43","43.44","129.38K","7.14%"
"Mar 12, 2013","49.64","47.43","50.53","47.43","252.00K","6.66%"
