"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2012","173.78","172.81","175.73","171.83","7.38K","0.56%"
"Jun 12, 2012","174.76","173.78","175.73","173.78","4.00K","0.56%"
"Jun 13, 2012","175.73","174.76","176.71","173.78","12.50K","0.56%"
"Jun 14, 2012","176.71","175.73","177.69","175.73","5.94K","0.56%"
"Jun 15, 2012","177.69","176.71","178.66","176.71","2.25K","0.55%"
"Jun 18, 2012","178.66","177.69","185.50","177.69","5.63K","0.55%"
"Jun 19, 2012","186.47","178.66","196.24","178.66","6.35K","4.37%"
"Jun 20, 2012","192.33","186.47","197.21","190.38","7.99K","3.14%"
"Jun 21, 2012","188.43","192.33","195.26","186.47","9.32K","-2.03%"
"Jun 22, 2012","194.28","188.43","196.24","187.45","82.15K","3.10%"
"Jun 25, 2012","194.28","194.28","196.24","194.28","38.62K","0.00%"
"Jun 26, 2012","195.26","194.28","196.24","195.26","13.83K","0.50%"
"Jun 27, 2012","196.24","195.26","199.17","195.26","9.94K","0.50%"
"Jun 28, 2012","195.26","196.24","197.21","195.26","11.57K","-0.50%"
"Jun 29, 2012","196.24","195.26","198.19","195.26","47.22K","0.50%"
"Jul 02, 2012","194.28","196.24","196.24","187.45","5.12K","-1.00%"
"Jul 03, 2012","195.26","194.28","198.19","195.26","12.29K","0.50%"
"Jul 04, 2012","195.26","195.26","196.24","194.28","2.97K","0.00%"
"Jul 05, 2012","194.28","195.26","196.24","192.33","5.02K","-0.50%"
"Jul 06, 2012","194.28","194.28","196.24","180.62","0.92K","0.00%"
"Jul 09, 2012","185.50","184.52","190.38","183.54","22.23K","-4.52%"
"Jul 10, 2012","186.47","185.50","190.38","186.47","6.86K","0.52%"
"Jul 11, 2012","190.38","186.47","191.35","188.43","65.55K","2.10%"
"Jul 12, 2012","190.38","190.38","192.33","186.47","3.18K","0.00%"
"Jul 13, 2012","187.45","190.38","188.43","185.50","2.66K","-1.54%"
"Jul 16, 2012","187.45","187.45","190.38","185.50","3.69K","0.00%"
"Jul 17, 2012","189.40","187.45","190.38","188.43","20.69K","1.04%"
"Jul 18, 2012","189.40","189.40","191.35","188.43","5.02K","0.00%"
"Jul 19, 2012","189.40","189.40","191.35","187.45","8.50K","0.00%"
"Jul 20, 2012","194.28","189.40","197.21","191.35","9.01K","2.58%"
"Jul 23, 2012","196.24","194.28","196.24","196.24","2.36K","1.01%"
"Jul 24, 2012","195.26","196.24","197.21","195.26","2.66K","-0.50%"
"Jul 25, 2012","195.26","195.26","198.19","190.38","229.34K","0.00%"
"Jul 26, 2012","195.26","195.26","196.24","194.28","22.12K","0.00%"
"Jul 27, 2012","195.26","195.26","196.24","195.26","2.15K","0.00%"
"Jul 30, 2012","195.26","195.26","195.26","195.26","0.62K","0.00%"
"Jul 31, 2012","190.38","0.00","190.38","190.38","-","-2.50%"
"Aug 01, 2012","186.47","195.26","195.26","182.57","4.51K","-2.05%"
"Aug 02, 2012","186.47","186.47","195.26","186.47","1.43K","0.00%"
"Aug 03, 2012","194.28","186.47","197.21","186.47","8.30K","4.19%"
"Aug 06, 2012","194.28","194.28","199.17","191.35","6.76K","0.00%"
"Aug 07, 2012","191.35","194.28","197.21","190.38","8.50K","-1.51%"
"Aug 08, 2012","195.26","191.35","197.21","187.45","8.91K","2.04%"
"Aug 09, 2012","186.47","195.26","192.33","183.54","3.59K","-4.50%"
"Aug 10, 2012","192.33","186.47","195.26","191.35","4.61K","3.14%"
"Aug 13, 2012","188.43","192.33","191.35","185.50","10.14K","-2.03%"
"Aug 14, 2012","191.35","188.43","197.21","186.47","15.88K","1.55%"
"Aug 15, 2012","193.31","191.35","195.26","191.35","15.47K","1.02%"
"Aug 16, 2012","195.26","193.31","197.21","195.26","4.00K","1.01%"
"Aug 17, 2012","195.26","195.26","197.21","189.40","13.42K","0.00%"
"Aug 21, 2012","194.28","195.26","195.26","192.33","1.54K","-0.50%"
"Aug 22, 2012","194.28","194.28","197.21","192.33","68.42K","0.00%"
