"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 11, 2016","12.50","12.50","12.50","12.50","200.00K","-3.85%"
"Aug 12, 2016","12.50","12.30","12.50","12.30","175.00K","0.00%"
"Aug 15, 2016","12.50","12.50","12.50","12.50","15.00K","0.00%"
"Aug 17, 2016","12.40","12.40","12.40","12.40","0.10K","-0.80%"
"Aug 19, 2016","12.50","12.50","12.50","12.50","0.10K","0.81%"
"Aug 23, 2016","12.50","12.50","12.50","12.50","0.50K","0.00%"
"Aug 24, 2016","12.30","12.30","12.30","12.30","1.10K","-1.60%"
"Aug 29, 2016","11.90","12.00","12.00","11.50","1.50K","-3.25%"
"Sep 02, 2016","11.80","11.90","11.90","11.20","0.70K","-0.84%"
"Sep 06, 2016","11.20","11.20","11.20","11.20","0.10K","-5.08%"
"Sep 13, 2016","11.20","11.20","11.20","11.20","0.30K","0.00%"
"Sep 15, 2016","11.10","11.10","11.10","11.10","0.20K","-0.89%"
"Sep 16, 2016","11.05","11.10","11.10","11.00","0.70K","-0.45%"
"Sep 20, 2016","10.75","10.75","10.75","10.75","0.10K","-2.71%"
"Sep 21, 2016","10.60","10.00","10.75","10.00","0.70K","-1.40%"
"Sep 23, 2016","10.60","10.60","10.60","10.60","0.10K","0.00%"
"Sep 27, 2016","10.55","10.55","10.55","10.55","0.50K","-0.47%"
"Sep 28, 2016","9.95","10.25","10.50","9.50","0.60K","-5.69%"
"Sep 29, 2016","9.95","9.95","9.95","9.95","0.50K","0.00%"
"Oct 03, 2016","9.35","9.00","10.45","9.00","0.80K","-6.03%"
"Oct 05, 2016","8.85","8.45","9.50","8.45","3.50K","-5.35%"
"Oct 06, 2016","8.55","8.55","8.55","8.55","0.10K","-3.39%"
"Oct 10, 2016","7.70","7.70","7.75","7.70","3.70K","-9.94%"
"Oct 11, 2016","7.70","7.75","8.00","7.05","5.30K","0.00%"
"Oct 12, 2016","7.00","7.00","7.00","7.00","4.50K","-9.09%"
"Oct 13, 2016","6.30","6.30","6.30","6.30","0.10K","-10.00%"
"Oct 18, 2016","6.90","6.90","6.90","6.90","0.70K","9.52%"
"Oct 19, 2016","6.95","7.00","7.00","6.95","0.60K","0.72%"
"Oct 21, 2016","6.30","6.30","6.30","6.30","2.50K","-9.35%"
"Oct 24, 2016","5.70","5.70","5.70","5.70","0.90K","-9.52%"
"Oct 25, 2016","6.25","6.25","6.25","6.25","9.80K","9.65%"
"Oct 26, 2016","6.05","6.30","6.35","5.70","509.40K","-3.20%"
"Oct 28, 2016","5.45","5.50","5.50","5.45","217.40K","-9.92%"
"Nov 01, 2016","5.95","5.95","5.95","5.95","0.10K","9.17%"
"Nov 02, 2016","6.50","6.50","6.50","6.50","0.10K","9.24%"
"Nov 04, 2016","7.15","7.10","7.15","7.10","1.10K","10.00%"
"Nov 07, 2016","6.45","6.50","6.50","6.45","64.00K","-9.79%"
"Nov 08, 2016","6.90","6.90","6.90","6.90","0.10K","6.98%"
"Nov 09, 2016","6.50","6.90","6.90","6.50","12.50K","-5.80%"
"Nov 10, 2016","6.50","6.45","6.50","6.45","45.50K","0.00%"
"Nov 11, 2016","6.45","6.45","6.45","6.45","1.20K","-0.77%"
"Nov 14, 2016","6.25","6.25","6.25","6.25","0.50K","-3.10%"
"Nov 15, 2016","5.70","6.25","6.25","5.65","149.90K","-8.80%"
"Nov 16, 2016","5.80","6.25","6.25","5.80","1.20K","1.75%"
"Nov 17, 2016","6.20","6.20","6.20","6.20","2.90K","6.90%"
"Nov 18, 2016","6.00","6.00","6.00","6.00","0.40K","-3.23%"
"Nov 23, 2016","6.15","6.15","6.15","6.15","1.00K","2.50%"
"Nov 29, 2016","6.00","6.00","6.00","6.00","0.20K","-2.44%"
"Nov 30, 2016","5.95","5.80","6.15","5.80","0.20K","-0.83%"
"Dec 01, 2016","6.10","6.15","6.15","6.00","1.20K","2.52%"
"Dec 02, 2016","6.00","6.15","6.15","6.00","1.40M","-1.64%"
"Dec 05, 2016","6.10","6.10","6.10","6.10","0.60K","1.67%"
"Dec 13, 2016","5.70","5.70","5.70","5.70","1.10K","-6.56%"
"Dec 14, 2016","5.70","5.70","5.70","5.70","0.10K","0.00%"
"Dec 15, 2016","6.10","6.10","6.10","6.10","0.10K","7.02%"
"Dec 16, 2016","6.05","6.05","6.05","6.05","0.10K","-0.82%"
"Dec 19, 2016","6.05","6.05","6.05","6.05","0.30K","0.00%"
"Dec 20, 2016","5.85","5.80","6.05","5.80","1.50K","-3.31%"
"Dec 21, 2016","6.05","6.05","6.10","6.05","0.30K","3.42%"
"Dec 22, 2016","6.10","6.10","6.10","6.10","0.30K","0.83%"
"Dec 29, 2016","6.10","6.10","6.10","6.10","0.30K","0.00%"
"Dec 30, 2016","6.05","6.00","6.10","6.00","0.30K","-0.82%"
"Jan 03, 2017","6.10","6.10","6.10","6.00","3.30K","0.83%"
"Jan 04, 2017","6.10","6.10","6.10","6.10","3.00K","0.00%"
"Jan 05, 2017","6.10","6.10","6.10","6.10","0.70K","0.00%"
"Jan 09, 2017","6.10","6.10","6.10","6.10","0.10K","0.00%"
"Jan 10, 2017","5.80","6.10","6.10","5.75","2.60K","-4.92%"
"Jan 13, 2017","5.80","5.80","5.80","5.80","0.20K","0.00%"
"Jan 17, 2017","5.80","5.80","5.80","5.80","2.00K","0.00%"
"Jan 19, 2017","5.80","5.80","5.80","5.80","0.10K","0.00%"
"Jan 20, 2017","5.80","5.80","5.80","5.80","1.10K","0.00%"
"Jan 23, 2017","5.80","5.80","5.80","5.80","50.00K","0.00%"
"Jan 24, 2017","5.80","5.80","5.80","5.80","1.00K","0.00%"
"Jan 25, 2017","5.25","5.25","5.25","5.25","0.10K","-9.48%"
"Jan 26, 2017","5.25","5.25","5.25","5.25","1.90K","0.00%"
"Jan 31, 2017","5.25","5.25","5.25","5.25","37.50K","0.00%"
"Feb 01, 2017","4.75","4.75","4.75","4.75","0.10K","-9.52%"
"Feb 02, 2017","5.00","5.00","5.00","5.00","0.10K","5.26%"
"Feb 03, 2017","5.00","5.00","5.00","5.00","0.20K","0.00%"
"Feb 06, 2017","5.00","5.00","5.00","5.00","0.20K","0.00%"
"Feb 07, 2017","4.65","4.50","4.95","4.50","1.10K","-7.00%"
"Feb 08, 2017","4.20","4.20","4.20","4.20","0.60K","-9.68%"
"Feb 14, 2017","4.50","4.50","4.50","4.50","10.50K","7.14%"
"Feb 17, 2017","4.50","4.50","4.50","4.50","1.10K","0.00%"
"Feb 20, 2017","4.50","4.50","4.50","4.50","1.10K","0.00%"
"Feb 22, 2017","4.70","4.70","4.70","4.70","0.60K","4.44%"
"Feb 23, 2017","4.60","4.55","4.70","4.50","0.90K","-2.13%"
"Mar 01, 2017","4.45","4.25","4.70","4.25","0.20K","-3.26%"
"Mar 02, 2017","4.10","4.45","4.45","4.05","1.01M","-7.87%"
"Mar 03, 2017","4.00","4.10","4.10","4.00","153.10K","-2.44%"
"Mar 08, 2017","3.85","4.15","4.15","3.85","80.10K","-3.75%"
"Mar 09, 2017","3.80","3.85","3.85","3.80","2.70K","-1.30%"
"Mar 13, 2017","3.80","3.80","3.80","3.80","0.10K","0.00%"
"Mar 14, 2017","3.80","3.80","3.80","3.80","0.10K","0.00%"
"Mar 15, 2017","3.85","3.85","3.85","3.60","10.10K","1.32%"
"Mar 16, 2017","3.85","3.85","3.85","3.85","3.10K","0.00%"
"Mar 21, 2017","3.85","3.85","3.85","3.85","0.10K","0.00%"
"Mar 22, 2017","3.85","3.85","3.85","3.85","0.20K","0.00%"
"Mar 23, 2017","3.85","3.85","3.85","3.85","0.50K","0.00%"
