"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 27, 2012","1.750","1.700","1.850","1.750","1.90K","2.94%"
"Sep 28, 2012","1.750","1.750","1.800","1.700","50.90K","0.00%"
"Oct 01, 2012","1.750","1.750","1.850","1.600","2.30K","0.00%"
"Oct 02, 2012","1.700","1.750","1.750","1.600","7.10K","-2.86%"
"Oct 03, 2012","1.650","1.700","1.750","1.600","0.90K","-2.94%"
"Oct 04, 2012","1.600","1.650","1.750","1.600","19.80K","-3.03%"
"Oct 05, 2012","1.650","1.600","1.750","1.650","11.20K","3.12%"
"Oct 08, 2012","1.700","1.650","1.750","1.600","10.60K","3.03%"
"Oct 09, 2012","1.750","1.700","1.750","1.750","5.20K","2.94%"
"Oct 10, 2012","1.750","1.750","1.800","1.650","11.80K","0.00%"
"Oct 11, 2012","1.700","1.750","1.800","1.700","9.10K","-2.86%"
"Oct 12, 2012","1.700","1.700","1.750","1.700","4.40K","0.00%"
"Oct 15, 2012","1.700","1.700","1.700","1.650","8.40K","0.00%"
"Oct 16, 2012","1.650","1.700","1.700","1.600","2.10K","-2.94%"
"Oct 17, 2012","1.700","1.650","1.750","1.600","22.00K","3.03%"
"Oct 18, 2012","1.650","1.700","1.700","1.650","7.20K","-2.94%"
"Oct 19, 2012","1.650","1.650","1.750","1.650","10.00K","0.00%"
"Oct 22, 2012","1.650","1.650","1.750","1.650","7.00K","0.00%"
"Oct 23, 2012","1.700","1.650","1.750","1.650","11.90K","3.03%"
"Oct 24, 2012","1.650","1.700","1.700","1.650","5.30K","-2.94%"
"Oct 25, 2012","1.650","1.650","1.700","1.650","30.70K","0.00%"
"Oct 26, 2012","1.600","1.650","1.650","1.600","21.40K","-3.03%"
"Oct 29, 2012","1.600","1.600","1.700","1.600","84.80K","0.00%"
"Oct 30, 2012","1.600","1.600","1.650","1.600","1.60K","0.00%"
"Oct 31, 2012","1.650","1.600","1.700","1.600","9.40K","3.12%"
"Nov 01, 2012","1.600","1.650","1.750","1.600","21.10K","-3.03%"
"Nov 02, 2012","1.700","1.600","1.750","1.650","50.00K","6.25%"
"Nov 05, 2012","1.650","1.700","1.700","1.650","2.30K","-2.94%"
"Nov 06, 2012","1.600","1.650","1.650","1.600","7.80K","-3.03%"
"Nov 07, 2012","1.650","1.600","1.700","1.600","11.70K","3.12%"
"Nov 08, 2012","1.650","1.600","1.700","1.650","15.80K","0.00%"
"Nov 09, 2012","1.600","1.650","1.650","1.600","0.80K","-3.03%"
"Nov 12, 2012","1.600","1.600","1.750","1.600","20.20K","0.00%"
"Nov 13, 2012","1.650","1.600","1.750","1.600","9.70K","3.12%"
"Nov 14, 2012","1.600","1.650","1.700","1.600","7.80K","-3.03%"
"Nov 15, 2012","1.650","1.600","1.750","1.600","7.50K","3.12%"
"Nov 16, 2012","1.750","1.650","1.800","1.600","57.60K","6.06%"
"Nov 19, 2012","1.700","1.750","1.800","1.650","24.60K","-2.86%"
"Nov 20, 2012","1.700","1.700","1.800","1.650","3.30K","0.00%"
"Nov 21, 2012","1.750","1.650","1.800","1.650","49.60K","2.94%"
"Nov 22, 2012","1.850","1.750","1.900","1.700","14.50K","5.71%"
"Nov 23, 2012","2.000","1.850","2.000","1.750","4.13M","8.11%"
"Nov 26, 2012","2.000","2.000","2.000","1.900","145.30K","0.00%"
