"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 01, 2012","3.850","3.750","3.850","3.850","0.50K","2.67%"
"Oct 02, 2012","3.950","3.850","3.950","3.800","5.20K","2.60%"
"Oct 03, 2012","3.850","3.950","3.900","3.750","13.70K","-2.53%"
"Oct 04, 2012","3.750","3.850","3.900","3.750","16.90K","-2.60%"
"Oct 05, 2012","3.750","3.750","3.750","3.750","6.30K","0.00%"
"Oct 08, 2012","3.850","3.750","3.950","3.800","1.00K","2.67%"
"Oct 09, 2012","3.750","3.850","3.900","3.750","2.10K","-2.60%"
"Oct 10, 2012","3.800","3.750","3.850","3.750","4.30K","1.33%"
"Oct 11, 2012","3.850","3.800","3.900","3.750","58.50K","1.32%"
"Oct 12, 2012","3.900","3.850","3.900","3.850","2.50K","1.30%"
"Oct 15, 2012","3.750","3.900","3.750","3.750","0.40K","-3.85%"
"Oct 16, 2012","3.700","3.750","3.750","3.600","18.10K","-1.33%"
"Oct 17, 2012","3.700","3.700","3.750","3.600","6.90K","0.00%"
"Oct 18, 2012","3.650","3.700","3.750","3.600","1.30K","-1.35%"
"Oct 19, 2012","3.750","3.650","3.800","3.600","10.80K","2.74%"
"Oct 22, 2012","3.800","3.750","3.850","3.750","3.20K","1.33%"
"Oct 23, 2012","3.850","3.800","3.900","3.750","2.10K","1.32%"
"Oct 24, 2012","3.750","3.850","3.800","3.750","0.60K","-2.60%"
"Oct 25, 2012","3.750","3.750","3.800","3.750","1.20K","0.00%"
"Oct 26, 2012","3.850","3.750","3.900","3.800","7.50K","2.67%"
"Oct 29, 2012","3.850","3.850","3.900","3.800","1.70K","0.00%"
"Oct 30, 2012","3.700","3.850","3.850","3.700","46.00K","-3.90%"
"Oct 31, 2012","3.600","3.700","3.700","3.500","11.10K","-2.70%"
"Nov 01, 2012","3.600","3.600","3.700","3.600","10.40K","0.00%"
"Nov 02, 2012","3.650","3.600","3.700","3.600","5.40K","1.39%"
"Nov 05, 2012","3.650","3.650","3.700","3.600","15.10K","0.00%"
"Nov 06, 2012","3.600","3.650","3.700","3.600","51.50K","-1.37%"
"Nov 07, 2012","3.600","3.600","3.700","3.600","11.40K","0.00%"
"Nov 08, 2012","3.600","3.600","3.650","3.600","15.40K","0.00%"
"Nov 09, 2012","3.550","3.600","3.650","3.500","20.60K","-1.39%"
"Nov 12, 2012","3.450","3.550","3.650","3.450","13.70K","-2.82%"
"Nov 13, 2012","3.500","3.450","3.600","3.500","127.20K","1.45%"
"Nov 14, 2012","3.500","3.500","3.500","3.400","17.70K","0.00%"
