"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 15, 2013","1,120.000","1,120.000","1,120.000","1,120.000","40.40K","13.13%"
"Aug 15, 2013","320.000","320.000","320.000","300.000","12.22K","-71.43%"
"Jan 13, 2014","13.850","13.900","14.000","13.750","62.40K","-95.67%"
"Jan 14, 2014","13.650","13.750","13.800","13.500","124.30K","-1.44%"
"Jan 15, 2014","13.500","13.650","13.650","13.200","182.20K","-1.10%"
"Jan 16, 2014","13.400","13.500","13.600","13.050","109.60K","-0.74%"
"Jan 17, 2014","13.400","13.500","13.800","13.100","176.80K","0.00%"
"Jan 20, 2014","13.150","13.500","13.500","13.100","147.70K","-1.87%"
"Jan 21, 2014","13.150","13.150","13.200","13.150","135.10K","0.00%"
"Jan 22, 2014","13.150","13.200","13.250","13.000","44.90K","0.00%"
"Jan 23, 2014","13.000","13.250","13.250","13.000","132.00K","-1.14%"
"Jan 24, 2014","13.000","13.150","13.150","13.000","117.30K","0.00%"
"Jan 27, 2014","12.800","13.150","13.150","12.100","92.40K","-1.54%"
"Jan 28, 2014","12.950","12.700","13.150","12.600","155.10K","1.17%"
"Jan 29, 2014","12.800","12.900","13.000","12.750","103.70K","-1.16%"
"Jan 30, 2014","12.600","12.750","13.000","12.400","55.60K","-1.56%"
"Jan 31, 2014","11.950","12.600","12.600","11.350","207.80K","-5.16%"
"Feb 03, 2014","11.800","12.000","12.600","11.500","45.80K","-1.26%"
"Feb 04, 2014","11.950","11.900","12.100","11.900","78.80K","1.27%"
"Feb 05, 2014","11.950","11.950","12.000","11.900","33.90K","0.00%"
"Feb 06, 2014","11.950","11.950","12.000","11.900","38.40K","0.00%"
"Feb 07, 2014","11.850","12.000","12.000","11.700","109.40K","-0.84%"
"Feb 10, 2014","11.650","11.700","11.900","11.650","595.00K","-1.69%"
"Feb 11, 2014","11.550","11.850","11.850","11.500","235.10K","-0.86%"
"Feb 12, 2014","11.550","11.900","11.900","11.500","189.40K","0.00%"
"Feb 13, 2014","11.750","11.800","11.950","11.600","119.30K","1.73%"
"Feb 14, 2014","11.800","11.700","11.900","11.700","151.00K","0.43%"
"Feb 17, 2014","11.850","11.800","11.950","11.750","143.90K","0.42%"
"Feb 18, 2014","11.750","11.800","11.800","11.600","84.80K","-0.84%"
"Feb 19, 2014","11.750","11.800","11.900","11.700","161.70K","0.00%"
"Feb 20, 2014","11.750","11.750","11.950","11.600","83.90K","0.00%"
"Feb 21, 2014","11.750","11.900","11.900","11.500","98.20K","0.00%"
"Feb 24, 2014","11.800","11.550","11.900","11.550","50.10K","0.43%"
"Feb 25, 2014","11.850","11.800","11.950","11.750","237.50K","0.42%"
"Feb 26, 2014","11.950","11.850","12.000","11.850","364.00K","0.84%"
"Feb 27, 2014","12.050","12.000","12.600","12.000","13.40K","0.84%"
"Feb 28, 2014","12.100","12.050","12.500","12.000","353.50K","0.41%"
"Mar 03, 2014","11.850","12.000","12.000","11.700","150.60K","-2.07%"
"Mar 04, 2014","11.950","11.900","12.050","11.850","395.20K","0.84%"
"Mar 05, 2014","11.850","11.950","12.000","11.800","200.10K","-0.84%"
"Mar 06, 2014","11.750","11.900","12.000","11.700","209.10K","-0.84%"
"Mar 07, 2014","11.750","12.000","12.000","11.700","162.00K","0.00%"
"Mar 10, 2014","11.550","11.650","11.800","11.500","282.20K","-1.70%"
"Mar 11, 2014","11.500","11.750","11.750","11.450","366.70K","-0.43%"
"Mar 12, 2014","11.450","11.700","11.750","11.000","1.08M","-0.43%"
"Mar 13, 2014","11.850","11.800","12.000","11.550","579.40K","3.49%"
"Mar 14, 2014","11.950","11.950","12.500","11.900","223.50K","0.84%"
"Mar 17, 2014","11.950","12.000","12.000","11.800","121.80K","0.00%"
"Mar 18, 2014","12.000","11.950","12.500","11.850","447.50K","0.42%"
"Mar 19, 2014","12.250","12.050","12.900","12.050","125.60K","2.08%"
"Mar 20, 2014","12.600","12.500","12.850","12.250","337.70K","2.86%"
"Mar 21, 2014","13.100","12.800","13.500","12.750","374.60K","3.97%"
"Mar 24, 2014","13.250","13.500","13.500","13.200","284.50K","1.15%"
"Mar 25, 2014","13.100","13.200","13.250","12.850","363.30K","-1.13%"
"Mar 26, 2014","12.600","13.000","13.100","12.100","123.70K","-3.82%"
"Mar 27, 2014","12.200","12.900","12.900","12.100","132.80K","-3.17%"
"Mar 28, 2014","12.400","12.200","12.500","12.200","847.50K","1.64%"
"Mar 31, 2014","12.500","12.200","12.900","12.200","197.00K","0.81%"
"Apr 01, 2014","12.950","12.500","13.150","12.500","292.50K","3.60%"
"Apr 02, 2014","13.100","13.000","13.150","13.000","217.30K","1.16%"
"Apr 03, 2014","13.050","13.100","13.150","12.900","304.20K","-0.38%"
"Apr 04, 2014","13.050","12.900","13.150","12.900","100.10K","0.00%"
"Apr 07, 2014","13.150","13.100","13.400","13.000","287.90K","0.77%"
"Apr 08, 2014","12.900","13.100","13.100","12.800","108.40K","-1.90%"
"Apr 09, 2014","12.950","13.150","13.150","12.800","121.40K","0.39%"
"Apr 10, 2014","12.950","13.000","13.000","12.900","120.70K","0.00%"
"Apr 11, 2014","12.950","12.950","13.000","12.900","176.10K","0.00%"
"Apr 14, 2014","12.900","13.000","13.000","12.800","67.00K","-0.39%"
"Apr 15, 2014","12.800","12.900","12.950","12.550","66.40K","-0.78%"
"Apr 16, 2014","12.650","12.600","12.800","12.600","96.30K","-1.17%"
"Apr 17, 2014","12.600","12.650","12.750","12.550","153.60K","-0.40%"
"Apr 22, 2014","12.650","12.650","12.950","12.600","279.90K","0.40%"
"Apr 23, 2014","12.800","12.800","13.000","12.750","94.40K","1.19%"
"Apr 24, 2014","12.800","12.800","12.900","12.750","149.20K","0.00%"
"Apr 25, 2014","12.750","12.800","12.900","12.700","283.50K","-0.39%"
"Apr 28, 2014","12.850","12.850","12.950","12.800","248.30K","0.78%"
"Apr 29, 2014","12.650","12.850","12.900","12.500","150.80K","-1.56%"
"Apr 30, 2014","12.500","12.700","12.800","12.400","1.21M","-1.19%"
