"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 27, 2015","8.57","8.52","8.80","8.52","78.08K","0.59%"
"Mar 02, 2015","8.52","8.61","8.61","8.52","56.00K","-0.58%"
"Mar 03, 2015","8.47","8.61","8.61","8.47","31.91K","-0.59%"
"Mar 04, 2015","8.52","8.52","8.57","8.52","55.89K","0.59%"
"Mar 05, 2015","8.61","8.57","8.99","8.52","46.81K","1.06%"
"Mar 06, 2015","8.71","8.66","8.99","8.52","49.24K","1.16%"
"Mar 09, 2015","8.75","8.94","8.99","8.71","23.77K","0.46%"
"Mar 10, 2015","8.66","8.94","8.99","8.42","37.72K","-1.03%"
"Mar 11, 2015","8.71","8.71","8.75","8.71","76.92K","0.58%"
"Mar 12, 2015","8.52","8.61","8.80","8.38","57.27K","-2.18%"
"Mar 13, 2015","8.52","8.52","8.71","8.42","41.42K","0.00%"
"Mar 16, 2015","8.57","8.71","8.71","8.42","68.99K","0.59%"
"Mar 17, 2015","8.47","8.52","8.52","8.33","23.67K","-1.17%"
"Mar 18, 2015","7.86","8.47","8.52","7.67","170.42K","-7.20%"
"Mar 19, 2015","7.95","8.52","8.52","7.48","202.65K","1.15%"
"Mar 20, 2015","8.04","8.23","8.23","8.04","34.66K","1.13%"
"Mar 23, 2015","8.09","8.04","8.23","8.04","56.00K","0.62%"
"Mar 24, 2015","8.19","8.23","8.42","8.09","87.59K","1.24%"
"Mar 25, 2015","8.19","8.23","8.23","8.14","46.70K","0.00%"
"Mar 26, 2015","8.28","8.38","8.38","8.23","71.42K","1.10%"
"Mar 27, 2015","8.28","8.28","8.33","8.23","87.27K","0.00%"
"Mar 30, 2015","8.33","8.33","8.42","8.28","24.94K","0.60%"
"Mar 31, 2015","8.19","8.33","8.33","8.14","104.18K","-1.68%"
"Apr 01, 2015","8.23","8.33","8.33","8.19","85.16K","0.49%"
"Apr 02, 2015","8.19","8.19","8.23","8.19","5.18K","-0.49%"
"Apr 07, 2015","8.09","8.23","8.23","8.04","48.60K","-1.22%"
"Apr 08, 2015","7.95","8.09","8.09","7.90","7.61K","-1.73%"
"Apr 09, 2015","7.86","7.95","7.95","7.81","73.54K","-1.13%"
"Apr 10, 2015","7.86","7.95","7.95","7.86","17.86K","0.00%"
"Apr 13, 2015","7.90","7.95","7.95","7.86","21.77K","0.51%"
"Apr 14, 2015","7.90","7.62","7.95","7.62","27.37K","0.00%"
"Apr 15, 2015","7.90","7.90","7.95","7.86","15.11K","0.00%"
"Apr 16, 2015","7.90","7.86","7.95","7.86","15.32K","0.00%"
"Apr 17, 2015","7.67","7.90","7.90","7.67","197.47K","-2.91%"
"Apr 20, 2015","7.67","7.67","7.86","7.67","72.06K","0.00%"
"Apr 21, 2015","7.71","7.76","7.86","7.57","50.61K","0.52%"
"Apr 22, 2015","7.62","7.67","7.67","7.57","5.49K","-1.17%"
"Apr 23, 2015","7.57","7.67","7.67","7.57","28.11K","-0.66%"
"Apr 24, 2015","7.52","7.67","7.67","7.48","33.39K","-0.66%"
"Apr 27, 2015","7.34","7.29","7.57","6.91","78.61K","-2.39%"
"Apr 28, 2015","7.34","7.57","7.67","7.29","75.12K","0.00%"
"Apr 29, 2015","7.34","7.67","7.67","7.19","32.75K","0.00%"
"Apr 30, 2015","7.57","7.38","7.86","7.19","256.85K","3.13%"
"May 04, 2015","7.71","7.86","7.86","7.29","6.13K","1.85%"
"May 05, 2015","7.24","7.34","7.76","7.10","86.96K","-6.10%"
"May 06, 2015","7.52","7.76","7.76","7.19","4.23K","3.87%"
"May 07, 2015","7.57","7.57","7.71","7.57","29.69K","0.66%"
"May 08, 2015","7.38","7.57","7.67","7.10","55.68K","-2.51%"
"May 11, 2015","7.57","7.57","7.67","7.38","31.91K","2.57%"
"May 12, 2015","7.48","7.67","7.67","7.38","25.15K","-1.19%"
"May 13, 2015","7.52","7.57","7.57","7.48","13.10K","0.53%"
"May 14, 2015","7.52","7.57","7.57","7.52","3.91K","0.00%"
"May 15, 2015","7.00","7.19","7.52","6.81","17.75K","-6.91%"
"May 18, 2015","7.05","7.48","7.48","7.00","92.66K","0.71%"
"May 19, 2015","7.00","7.10","7.10","7.00","52.19K","-0.71%"
"May 20, 2015","7.00","7.05","7.10","7.00","48.60K","0.00%"
"May 21, 2015","6.86","7.10","7.10","6.81","118.12K","-2.00%"
"May 22, 2015","7.00","7.10","7.10","6.86","42.90K","2.04%"
"May 25, 2015","6.72","7.00","7.00","6.63","181.52K","-4.00%"
"May 26, 2015","6.72","7.00","7.00","6.53","30.43K","0.00%"
"May 27, 2015","6.77","6.81","6.86","6.63","41.31K","0.74%"
"May 28, 2015","6.81","6.81","6.81","6.72","2.22K","0.59%"
"May 29, 2015","6.58","6.72","6.72","6.44","67.73K","-3.38%"
"Jun 02, 2015","6.67","6.81","6.81","6.63","17.43K","1.37%"
"Jun 03, 2015","6.67","6.91","6.91","6.63","26.84K","0.00%"
"Jun 04, 2015","6.63","6.63","6.72","6.63","13.84K","-0.60%"
"Jun 05, 2015","6.63","6.96","6.96","6.63","24.20K","0.00%"
"Jun 08, 2015","6.77","6.72","6.96","6.63","31.49K","2.11%"
"Jun 09, 2015","6.77","6.91","6.91","6.67","32.33K","0.00%"
"Jun 10, 2015","6.86","6.91","7.00","6.77","10.04K","1.33%"
"Jun 11, 2015","6.77","6.91","6.91","6.77","45.01K","-1.31%"
"Jun 12, 2015","6.91","7.00","7.19","6.91","57.69K","2.07%"
"Jun 15, 2015","7.00","7.10","7.10","7.00","6.66K","1.30%"
"Jun 16, 2015","7.10","7.00","7.10","7.00","54.62K","1.43%"
"Jun 17, 2015","7.29","7.38","7.38","7.10","45.75K","2.68%"
"Jun 18, 2015","7.29","7.38","7.38","7.24","36.77K","0.00%"
"Jun 19, 2015","7.10","7.24","7.24","7.00","12.89K","-2.61%"
"Jun 22, 2015","6.91","7.34","7.34","6.91","61.39K","-2.68%"
"Jun 23, 2015","7.10","7.34","7.34","7.00","11.62K","2.75%"
"Jun 24, 2015","7.19","7.10","7.29","6.91","45.22K","1.27%"
"Jun 25, 2015","7.05","7.10","7.10","6.91","104.18K","-1.95%"
"Jun 26, 2015","6.91","6.91","7.10","6.91","6.45K","-1.99%"
"Jun 29, 2015","6.96","7.10","7.10","6.91","26.52K","0.72%"
"Jun 30, 2015","6.96","6.91","7.10","6.91","32.86K","0.00%"
"Jul 01, 2015","6.96","6.96","7.10","6.96","49.66K","0.00%"
"Jul 02, 2015","6.96","7.00","7.10","6.96","54.10K","0.00%"
"Jul 03, 2015","6.96","7.10","7.10","6.96","36.77K","0.00%"
"Jul 06, 2015","6.91","7.00","7.05","6.91","120.66K","-0.72%"
"Jul 07, 2015","6.96","6.96","7.05","6.96","37.30K","0.72%"
"Jul 08, 2015","6.96","6.96","7.00","6.91","17.86K","0.00%"
"Jul 09, 2015","6.91","6.96","6.96","6.86","5.92K","-0.72%"
"Jul 10, 2015","6.91","6.96","7.00","6.91","28.95K","0.00%"
"Jul 13, 2015","6.81","6.91","6.91","6.81","16.80K","-1.45%"
"Jul 14, 2015","6.81","6.86","6.86","6.81","4.44K","0.00%"
"Jul 15, 2015","7.05","6.77","7.29","6.77","89.91K","3.52%"
"Jul 16, 2015","6.81","7.24","7.24","6.81","20.81K","-3.40%"
"Jul 17, 2015","6.81","7.15","7.15","6.81","13.52K","0.00%"
"Jul 20, 2015","6.67","7.10","7.10","6.58","24.83K","-2.06%"
"Jul 21, 2015","6.63","6.72","6.86","6.53","23.88K","-0.60%"
"Jul 22, 2015","6.44","6.53","6.58","6.34","26.41K","-2.87%"
"Jul 23, 2015","6.48","6.53","6.53","6.25","7.71K","0.62%"
"Jul 24, 2015","6.44","6.48","6.48","6.34","8.03K","-0.62%"
"Jul 27, 2015","6.39","6.44","6.48","6.25","14.26K","-0.78%"
"Jul 28, 2015","6.20","6.48","6.63","6.15","100.59K","-2.97%"
"Jul 29, 2015","6.15","6.15","6.63","6.10","59.38K","-0.81%"
"Jul 30, 2015","6.29","6.15","6.72","6.15","21.77K","2.28%"
"Jul 31, 2015","6.63","6.72","6.72","6.63","1.90K","5.41%"
"Aug 03, 2015","6.67","6.72","6.72","6.63","15.85K","0.60%"
"Aug 04, 2015","6.48","6.63","7.00","6.34","7.08K","-2.85%"
"Aug 05, 2015","6.63","6.77","6.77","6.44","18.60K","2.31%"
"Aug 06, 2015","6.53","6.67","6.67","6.25","4.54K","-1.51%"
"Aug 07, 2015","6.48","6.34","6.63","6.25","21.34K","-0.77%"
"Aug 10, 2015","6.48","6.48","6.63","6.48","32.01K","0.00%"
"Aug 11, 2015","6.63","6.39","6.67","6.39","75.12K","2.31%"
"Aug 12, 2015","6.63","6.63","6.67","6.58","69.21K","0.00%"
"Aug 13, 2015","6.39","6.67","6.67","6.15","74.49K","-3.62%"
"Aug 14, 2015","6.15","6.58","6.63","6.15","34.66K","-3.76%"
"Aug 17, 2015","6.58","6.15","6.63","6.15","6.13K","6.99%"
"Aug 18, 2015","6.53","6.63","6.63","6.34","12.05K","-0.76%"
"Aug 19, 2015","6.15","6.34","6.34","6.15","33.60K","-5.82%"
"Aug 20, 2015","6.15","6.39","6.39","6.15","82.52K","0.00%"
"Aug 21, 2015","6.20","6.20","6.20","6.15","82.10K","0.81%"
"Aug 24, 2015","6.15","6.20","6.20","6.10","55.36K","-0.81%"
"Aug 25, 2015","6.15","6.15","6.20","6.15","18.28K","0.00%"
"Aug 26, 2015","6.20","6.20","6.39","6.20","63.18K","0.81%"
"Aug 27, 2015","6.20","6.20","6.39","6.20","137.04K","0.00%"
"Aug 28, 2015","6.25","6.25","6.39","6.25","59.06K","0.81%"
"Aug 31, 2015","6.20","6.20","6.39","6.20","8.14K","-0.80%"
"Sep 01, 2015","6.34","6.39","6.39","6.25","9.09K","2.26%"
"Sep 02, 2015","6.39","6.39","6.44","6.39","15.95K","0.79%"
"Sep 03, 2015","6.39","6.44","6.44","6.34","8.66K","0.00%"
"Sep 04, 2015","6.58","6.34","6.63","6.34","295.31K","2.97%"
"Sep 07, 2015","6.48","6.44","6.63","6.44","5.81K","-1.52%"
"Sep 08, 2015","6.77","6.53","7.10","6.53","42.37K","4.48%"
"Sep 09, 2015","7.05","7.10","7.38","6.72","24.20K","4.14%"
"Sep 10, 2015","7.15","7.05","7.48","7.05","11.41K","1.42%"
"Sep 11, 2015","7.10","6.77","7.15","6.77","32.23K","-0.70%"
"Sep 14, 2015","7.10","7.10","7.48","7.10","28.00K","0.00%"
"Sep 15, 2015","7.00","7.15","7.15","6.86","12.47K","-1.41%"
"Sep 16, 2015","6.72","6.81","7.00","6.63","6.55K","-4.00%"
"Sep 17, 2015","6.67","6.67","6.72","6.67","7.71K","-0.74%"
"Sep 18, 2015","6.96","7.00","7.00","6.63","4.12K","4.35%"
"Sep 21, 2015","6.63","7.00","7.00","6.63","6.97K","-4.74%"
"Sep 22, 2015","6.63","7.00","7.00","6.63","39.73K","0.00%"
"Sep 23, 2015","6.67","6.63","7.00","6.63","31.70K","0.60%"
"Sep 24, 2015","6.63","6.81","6.96","6.63","67.73K","-0.60%"
"Sep 25, 2015","6.29","6.72","6.72","5.68","96.04K","-5.13%"
"Sep 28, 2015","6.06","6.15","6.15","6.06","4.02K","-3.66%"
"Sep 29, 2015","5.87","5.96","6.06","5.68","17.12K","-3.14%"
"Sep 30, 2015","5.92","6.06","6.06","5.87","23.77K","0.85%"
"Oct 01, 2015","5.87","6.06","6.06","5.87","26.52K","-0.84%"
"Oct 02, 2015","6.06","6.06","6.06","5.96","18.60K","3.24%"
"Oct 05, 2015","5.96","5.96","6.01","5.87","31.17K","-1.65%"
"Oct 06, 2015","5.77","5.87","5.87","5.77","0.53K","-3.19%"
"Oct 07, 2015","5.77","5.77","6.06","5.58","41.84K","0.00%"
"Oct 08, 2015","6.06","6.06","6.15","5.96","30.11K","5.03%"
"Oct 09, 2015","5.96","6.15","6.15","5.87","33.18K","-1.65%"
"Oct 12, 2015","5.92","5.92","5.96","5.87","3.80K","-0.67%"
"Oct 13, 2015","5.68","5.68","5.68","5.68","12.47K","-4.05%"
"Oct 14, 2015","5.68","5.68","5.68","5.58","7.50K","0.00%"
"Oct 15, 2015","5.16","5.87","5.87","5.11","143.48K","-9.15%"
"Oct 16, 2015","5.16","5.30","5.30","5.11","9.30K","0.00%"
"Oct 19, 2015","5.21","5.30","5.54","5.21","8.24K","0.97%"
"Oct 21, 2015","5.11","5.16","5.16","4.73","49.76K","-1.92%"
"Oct 22, 2015","5.06","5.11","5.11","5.06","2.43K","-0.98%"
"Oct 23, 2015","4.92","5.02","5.02","4.92","10.14K","-2.77%"
"Oct 26, 2015","4.45","4.92","4.92","4.45","72.16K","-9.55%"
"Oct 27, 2015","4.68","4.73","4.73","4.64","6.23K","5.17%"
"Oct 28, 2015","4.64","4.73","4.73","4.64","4.65K","-0.85%"
"Oct 29, 2015","4.50","4.64","4.73","4.26","14.69K","-3.02%"
"Oct 30, 2015","4.54","4.64","4.64","4.50","11.41K","0.89%"
"Nov 02, 2015","4.31","4.54","4.54","4.31","10.25K","-5.07%"
"Nov 03, 2015","4.68","4.64","4.73","4.64","432.77K","8.58%"
"Nov 04, 2015","4.50","4.73","4.73","4.35","12.15K","-3.85%"
"Nov 05, 2015","4.35","4.35","4.35","4.31","46.70K","-3.33%"
"Nov 06, 2015","4.50","4.54","4.73","4.35","4.44K","3.45%"
"Nov 09, 2015","4.68","4.73","4.83","4.50","8.56K","4.00%"
"Nov 10, 2015","4.50","4.50","4.54","4.45","41.63K","-3.85%"
"Nov 11, 2015","4.45","4.50","4.50","4.45","14.48K","-1.11%"
"Nov 12, 2015","4.45","4.45","4.50","4.45","10.57K","0.00%"
"Nov 13, 2015","4.45","4.50","4.50","4.35","45.12K","0.00%"
"Nov 16, 2015","4.40","4.50","4.83","4.35","55.68K","-1.12%"
"Nov 17, 2015","4.21","4.31","4.40","4.21","216.60K","-4.32%"
"Nov 18, 2015","4.21","4.21","4.26","4.21","16.69K","0.00%"
"Nov 19, 2015","4.26","4.26","4.54","4.26","18.81K","1.19%"
"Nov 20, 2015","4.50","4.50","4.59","4.50","10.78K","5.63%"
"Nov 23, 2015","4.45","4.50","4.64","4.26","5.49K","-1.11%"
"Nov 24, 2015","4.59","4.54","4.73","4.54","5.39K","3.15%"
"Nov 25, 2015","4.45","4.73","4.73","4.26","36.45K","-3.05%"
"Nov 27, 2015","4.50","4.68","4.68","4.35","30.75K","1.12%"
"Nov 30, 2015","4.45","4.64","4.64","4.40","21.03K","-1.11%"
"Dec 01, 2015","4.21","4.45","4.45","4.07","9.51K","-5.39%"
