"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 23, 2016","8.00","8.00","8.00","8.00","0.60K","0.00%"
"Jun 24, 2016","8.00","8.00","8.00","8.00","1.60K","0.00%"
"Jun 27, 2016","8.00","8.00","8.00","8.00","1.20K","0.00%"
"Jun 28, 2016","8.00","8.00","8.00","8.00","100.10K","0.00%"
"Jun 29, 2016","8.00","8.00","8.00","8.00","100.40K","0.00%"
"Jun 30, 2016","8.00","8.00","8.00","8.00","112.20K","0.00%"
"Jul 01, 2016","8.00","7.20","8.00","7.20","100.40K","0.00%"
"Jul 05, 2016","8.00","8.00","8.00","8.00","0.50K","0.00%"
"Jul 12, 2016","8.00","8.00","8.00","8.00","1.70K","0.00%"
"Jul 13, 2016","8.00","8.00","8.00","8.00","0.30K","0.00%"
"Jul 14, 2016","8.00","8.00","8.00","8.00","0.20K","0.00%"
"Jul 15, 2016","8.00","8.00","8.00","8.00","0.30K","0.00%"
"Jul 18, 2016","7.20","7.20","7.20","7.20","0.10K","-10.00%"
"Aug 08, 2016","7.50","7.50","7.50","7.50","3.30K","4.17%"
"Aug 09, 2016","7.50","7.50","7.50","7.50","0.10K","0.00%"
"Aug 10, 2016","7.50","7.50","7.50","7.50","1.60K","0.00%"
"Aug 11, 2016","7.50","7.50","7.50","7.50","0.20K","0.00%"
"Aug 12, 2016","7.50","7.50","7.50","7.50","0.10K","0.00%"
"Aug 15, 2016","7.30","7.00","7.50","7.00","0.30K","-2.67%"
"Aug 16, 2016","7.50","7.50","7.50","7.50","0.40K","2.74%"
"Aug 17, 2016","7.50","7.50","7.50","7.50","0.10K","0.00%"
"Aug 18, 2016","7.50","7.50","7.50","7.50","0.20K","0.00%"
"Aug 19, 2016","7.50","7.50","7.50","7.50","0.30K","0.00%"
"Aug 22, 2016","7.50","7.50","7.50","7.50","0.10K","0.00%"
"Aug 24, 2016","7.50","7.50","7.50","7.50","1.10K","0.00%"
"Aug 29, 2016","7.50","7.50","7.50","7.50","0.30K","0.00%"
"Aug 30, 2016","7.50","7.50","7.50","7.50","0.20K","0.00%"
"Sep 02, 2016","7.50","7.50","7.50","7.50","0.10K","0.00%"
"Sep 05, 2016","7.50","7.50","7.50","7.50","1.00K","0.00%"
"Sep 08, 2016","7.50","7.50","7.50","7.50","1.00K","0.00%"
"Sep 13, 2016","7.50","7.50","7.50","7.50","1.20K","0.00%"
"Sep 15, 2016","7.00","7.00","7.00","7.00","0.10K","-6.67%"
"Sep 16, 2016","7.50","7.50","7.50","7.50","0.30K","7.14%"
"Sep 19, 2016","7.50","7.50","7.50","7.50","5.10K","0.00%"
"Sep 21, 2016","7.35","6.75","7.50","6.75","0.70K","-2.00%"
"Sep 22, 2016","7.35","6.65","7.50","6.65","0.70K","0.00%"
"Sep 23, 2016","7.20","6.65","7.50","6.65","0.30K","-2.04%"
"Sep 26, 2016","7.00","7.35","7.50","6.50","1.10K","-2.78%"
"Sep 27, 2016","7.50","7.50","7.50","7.50","0.20K","7.14%"
"Sep 30, 2016","7.00","7.00","7.00","7.00","0.10K","-6.67%"
"Oct 03, 2016","7.50","7.50","7.50","7.50","0.20K","7.14%"
"Oct 18, 2016","7.45","7.45","7.50","7.45","0.20K","-0.67%"
"Oct 19, 2016","7.50","7.50","7.50","7.50","0.10K","0.67%"
"Oct 25, 2016","7.50","7.50","7.50","7.50","1.00K","0.00%"
"Oct 27, 2016","7.50","7.50","7.50","7.50","0.50K","0.00%"
"Oct 28, 2016","7.50","7.50","7.50","7.50","0.10K","0.00%"
"Oct 31, 2016","7.50","7.50","7.50","7.50","0.10K","0.00%"
"Nov 01, 2016","7.50","7.50","7.50","7.50","0.10K","0.00%"
"Nov 02, 2016","7.50","7.50","7.50","7.50","0.20K","0.00%"
"Nov 03, 2016","7.50","7.50","7.50","7.50","0.20K","0.00%"
"Nov 07, 2016","7.35","7.50","7.50","7.10","0.30K","-2.00%"
"Nov 08, 2016","7.50","7.50","7.50","7.50","0.10K","2.04%"
