"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2012","52.00","51.50","52.50","51.50","7.20K","0.97%"
"Jun 12, 2012","52.50","52.00","53.00","52.50","4.30K","0.96%"
"Jun 13, 2012","53.50","52.50","55.00","51.50","16.50K","1.90%"
"Jun 14, 2012","54.50","53.50","55.00","51.50","77.90K","1.87%"
"Jun 15, 2012","52.50","54.50","54.00","51.50","4.30K","-3.67%"
"Jun 18, 2012","54.00","52.50","55.00","54.00","8.10K","2.86%"
"Jun 19, 2012","54.50","54.00","56.00","53.00","10.80K","0.93%"
"Jun 20, 2012","54.50","54.50","55.00","53.00","30.50K","0.00%"
"Jun 21, 2012","54.50","54.50","55.00","53.50","106.40K","0.00%"
"Jun 22, 2012","54.00","54.50","55.00","53.00","6.00K","-0.92%"
"Jun 25, 2012","53.50","54.00","54.00","53.50","9.50K","-0.93%"
"Jun 26, 2012","53.50","53.50","54.00","53.50","3.70K","0.00%"
"Jun 27, 2012","54.50","53.50","55.00","53.50","1.79M","1.87%"
"Jun 28, 2012","54.50","54.50","55.00","53.50","1.24M","0.00%"
"Jun 29, 2012","54.50","54.50","55.00","53.50","54.10K","0.00%"
"Jul 02, 2012","53.50","54.50","54.50","53.00","10.40K","-1.83%"
"Jul 03, 2012","53.00","53.50","54.00","53.00","9.70K","-0.93%"
"Jul 04, 2012","51.50","53.00","54.00","51.00","14.70K","-2.83%"
"Jul 05, 2012","52.00","51.50","52.00","52.00","4.40K","0.97%"
"Jul 06, 2012","50.88","52.00","51.50","50.00","2.10K","-2.15%"
"Jul 09, 2012","51.50","50.75","52.00","51.00","8.10K","1.22%"
"Jul 10, 2012","50.50","51.50","51.50","50.50","14.00K","-1.94%"
"Jul 11, 2012","50.50","50.50","51.50","50.50","21.50K","0.00%"
"Jul 12, 2012","50.50","50.50","51.50","50.50","8.10K","0.00%"
"Jul 13, 2012","51.00","50.50","51.50","51.00","5.30K","0.99%"
"Jul 16, 2012","53.00","51.00","54.00","50.00","54.70K","3.92%"
"Jul 17, 2012","51.00","53.00","52.00","51.00","6.20K","-3.77%"
"Jul 18, 2012","53.00","51.00","54.00","51.00","5.00K","3.92%"
"Jul 19, 2012","53.50","53.00","54.00","51.00","20.60K","0.94%"
"Jul 20, 2012","54.00","53.50","54.50","53.50","162.40K","0.93%"
"Jul 23, 2012","54.00","54.00","55.00","52.50","17.70K","0.00%"
"Jul 24, 2012","54.50","54.00","55.00","52.00","9.80K","0.93%"
"Jul 25, 2012","54.00","54.50","55.00","52.00","5.10K","-0.92%"
"Jul 26, 2012","53.50","54.00","54.50","53.50","5.20K","-0.93%"
"Jul 27, 2012","53.50","53.50","55.00","53.50","19.30K","0.00%"
"Jul 30, 2012","55.50","53.50","56.00","52.00","57.80K","3.74%"
"Jul 31, 2012","53.50","55.50","54.00","53.00","26.50K","-3.60%"
"Aug 01, 2012","54.50","53.50","55.00","53.50","27.20K","1.87%"
"Aug 02, 2012","53.50","54.50","55.00","53.00","2.40K","-1.83%"
"Aug 03, 2012","55.00","53.50","56.00","53.50","21.90K","2.80%"
"Aug 06, 2012","55.50","55.00","58.00","54.00","15.30K","0.91%"
"Aug 07, 2012","57.50","55.50","58.00","54.50","37.00K","3.60%"
"Aug 08, 2012","57.00","57.50","57.50","56.00","14.60K","-0.87%"
"Aug 09, 2012","57.00","57.00","57.50","56.00","16.80K","0.00%"
