"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2012","23.75","200.00","24.00","23.50","2.40K","-1.04%"
"Nov 29, 2012","23.50","23.75","23.50","23.50","0.10K","-1.05%"
"Nov 30, 2012","23.75","23.50","23.75","23.75","0.10K","1.06%"
"Dec 03, 2012","22.50","23.75","23.50","22.50","1.00K","-5.26%"
"Dec 04, 2012","22.75","22.50","22.75","22.75","3.70K","1.11%"
"Dec 06, 2012","22.75","22.75","23.00","22.75","1.90K","0.00%"
"Dec 07, 2012","23.00","22.75","23.00","23.00","0.20K","1.10%"
"Dec 10, 2012","22.50","23.00","23.00","22.50","5.80K","-2.17%"
"Dec 11, 2012","21.00","22.50","23.00","20.50","23.40K","-6.67%"
"Dec 13, 2012","22.25","21.00","23.00","20.50","0.80K","5.95%"
"Dec 14, 2012","20.75","22.25","22.25","20.50","5.80K","-6.74%"
"Dec 17, 2012","20.75","20.75","20.75","20.75","1.10K","0.00%"
"Dec 19, 2012","21.00","21.00","21.00","21.00","0.30K","1.20%"
"Dec 20, 2012","21.25","22.50","22.50","21.25","1.20K","1.19%"
"Dec 21, 2012","21.75","21.25","22.50","21.25","2.00K","2.35%"
"Dec 28, 2012","21.75","21.75","21.75","21.75","0.40K","0.00%"
"Jan 02, 2013","22.50","22.50","22.50","22.50","0.60K","3.45%"
"Jan 03, 2013","22.00","22.50","22.50","22.00","13.30K","-2.22%"
"Jan 08, 2013","22.25","22.50","22.50","22.00","9.80K","1.14%"
"Jan 09, 2013","22.50","22.75","22.75","22.50","0.30K","1.12%"
"Jan 10, 2013","24.00","24.00","24.00","24.00","0.10K","6.67%"
"Jan 11, 2013","23.25","22.50","25.50","22.50","29.60K","-3.13%"
"Jan 15, 2013","24.00","23.50","24.25","23.50","7.40K","3.23%"
"Jan 16, 2013","24.00","24.00","24.00","24.00","3.50K","0.00%"
"Jan 17, 2013","24.00","24.00","24.00","24.00","1.00K","0.00%"
"Jan 18, 2013","23.75","24.00","24.00","23.75","5.50K","-1.04%"
"Jan 22, 2013","24.75","25.00","25.00","23.75","4.00K","4.21%"
"Jan 23, 2013","23.75","24.00","24.00","23.50","13.80K","-4.04%"
"Jan 24, 2013","23.50","24.00","24.00","23.50","2.00K","-1.05%"
"Jan 25, 2013","23.00","23.50","23.50","22.50","0.40K","-2.13%"
"Jan 29, 2013","22.50","23.00","23.00","22.50","0.90K","-2.17%"
"Jan 31, 2013","22.00","22.50","22.50","22.00","10.00K","-2.22%"
"Feb 01, 2013","23.50","23.00","24.00","22.00","8.50K","6.82%"
"Feb 06, 2013","23.75","23.50","24.00","23.50","1.10K","1.06%"
"Feb 08, 2013","23.75","23.75","23.75","23.75","0.20K","0.00%"
"Feb 11, 2013","23.75","23.75","23.75","23.75","0.40K","0.00%"
"Feb 12, 2013","23.75","24.00","24.00","23.75","3.50K","0.00%"
"Feb 13, 2013","23.50","23.50","23.50","23.50","0.90K","-1.05%"
"Feb 14, 2013","24.00","24.00","24.00","24.00","1.30K","2.13%"
"Feb 15, 2013","24.75","24.25","25.00","24.25","1.40K","3.13%"
"Feb 18, 2013","24.50","24.25","25.00","24.25","0.50K","-1.01%"
"Feb 20, 2013","24.00","24.00","24.00","24.00","2.00K","-2.04%"
"Feb 21, 2013","24.00","24.00","24.00","24.00","1.00K","0.00%"
"Feb 22, 2013","24.00","24.00","24.00","24.00","0.20K","0.00%"
"Feb 25, 2013","24.00","24.00","24.00","24.00","0.10K","0.00%"
"Feb 26, 2013","24.00","24.00","24.25","24.00","1.00K","0.00%"
"Feb 27, 2013","24.00","24.00","25.00","24.00","0.50K","0.00%"
"Feb 28, 2013","24.00","24.00","25.00","24.00","0.70K","0.00%"
"Mar 01, 2013","24.50","24.50","24.50","24.50","0.60K","2.08%"
"Mar 07, 2013","25.00","25.00","25.00","25.00","2.50K","2.04%"
"Mar 08, 2013","24.75","24.75","25.00","24.75","2.10K","-1.00%"
"Mar 11, 2013","26.50","26.00","26.75","26.00","6.50K","7.07%"
"Mar 12, 2013","26.25","26.00","26.75","26.00","3.30K","-0.94%"
"Mar 13, 2013","26.75","26.75","27.00","26.75","2.40K","1.90%"
"Mar 14, 2013","25.50","27.00","27.00","25.00","30.60K","-4.67%"
"Mar 15, 2013","24.75","25.00","25.00","24.75","1.80K","-2.94%"
"Mar 18, 2013","23.00","23.00","23.00","23.00","0.50K","-7.07%"
"Mar 19, 2013","23.00","23.00","23.00","23.00","0.70K","0.00%"
"Mar 22, 2013","24.75","24.50","25.25","24.50","3.10K","7.61%"
"Mar 26, 2013","26.75","25.00","27.00","25.00","12.00K","8.08%"
"Mar 27, 2013","28.50","28.00","29.25","28.00","15.20K","6.54%"
"Mar 28, 2013","31.00","31.00","31.25","31.00","0.50K","8.77%"
"Apr 02, 2013","33.50","34.00","34.00","32.00","0.50K","8.06%"
"Apr 03, 2013","35.50","34.00","36.50","34.00","18.90K","5.97%"
"Apr 04, 2013","37.50","39.00","39.00","36.00","30.90K","5.63%"
"Apr 05, 2013","37.00","37.00","38.00","36.00","4.30K","-1.33%"
"Apr 08, 2013","37.75","38.00","38.00","37.00","3.30K","2.03%"
"Apr 10, 2013","35.00","35.00","35.00","35.00","3.20K","-7.28%"
"Apr 11, 2013","32.25","34.00","34.00","32.00","32.70K","-7.86%"
"Apr 12, 2013","35.00","35.00","35.00","35.00","0.10K","8.53%"
"Apr 15, 2013","34.50","35.00","35.00","32.50","2.60K","-1.43%"
"Apr 16, 2013","33.75","32.25","35.00","32.25","3.60K","-2.17%"
"Apr 17, 2013","34.50","34.75","34.75","34.00","3.00K","2.22%"
"Apr 18, 2013","34.50","33.00","34.75","33.00","26.40K","0.00%"
"Apr 19, 2013","33.00","33.00","33.00","33.00","0.10K","-4.35%"
"Apr 22, 2013","34.25","34.75","34.75","34.00","4.70K","3.79%"
"Apr 23, 2013","31.75","33.00","33.00","30.00","14.60K","-7.30%"
"Apr 24, 2013","32.00","31.75","32.00","31.75","6.10K","0.79%"
"Apr 25, 2013","29.75","29.00","30.00","29.00","1.10K","-7.03%"
"Apr 26, 2013","29.00","29.75","29.75","29.00","4.30K","-2.52%"
"Apr 29, 2013","29.75","29.75","29.75","29.75","8.30K","2.59%"
"Apr 30, 2013","29.75","29.75","29.75","29.75","2.80K","0.00%"
"May 02, 2013","29.00","29.00","29.00","29.00","2.80K","-2.52%"
"May 06, 2013","29.00","29.00","29.00","29.00","1.00K","0.00%"
"May 08, 2013","29.50","29.75","29.75","29.00","5.20K","1.72%"
"May 10, 2013","29.50","29.75","29.75","29.00","1.90K","0.00%"
"May 13, 2013","29.25","29.75","29.75","29.00","2.20K","-0.85%"
"May 14, 2013","29.50","29.75","29.75","29.00","5.50K","0.85%"
"May 15, 2013","30.00","30.00","30.00","30.00","0.40K","1.69%"
"May 16, 2013","31.50","31.50","31.50","31.50","0.10K","5.00%"
"May 17, 2013","30.00","30.00","30.00","30.00","3.00K","-4.76%"
"May 21, 2013","30.00","30.00","30.00","30.00","2.30K","0.00%"
"May 22, 2013","30.00","30.00","30.00","30.00","0.10K","0.00%"
"May 23, 2013","30.00","30.25","30.25","30.00","8.90K","0.00%"
"May 24, 2013","30.25","30.25","30.25","30.25","1.50K","0.83%"
"May 27, 2013","30.25","30.25","30.25","30.25","0.30K","0.00%"
"May 28, 2013","30.25","30.25","31.00","30.00","20.80K","0.00%"
"May 29, 2013","30.50","30.00","31.00","30.00","2.20K","0.83%"
"May 31, 2013","31.00","30.25","31.50","30.25","2.50K","1.64%"
"Jun 03, 2013","30.50","30.25","31.00","30.25","1.90K","-1.61%"
"Jun 04, 2013","31.00","30.50","31.50","30.50","1.70K","1.64%"
"Jun 05, 2013","30.50","30.50","30.50","30.50","7.10K","-1.61%"
"Jun 06, 2013","30.75","31.50","31.50","30.25","4.50K","0.82%"
"Jun 07, 2013","31.50","31.50","31.50","31.50","0.50K","2.44%"
"Jun 10, 2013","31.00","31.00","31.50","31.00","3.30K","-1.59%"
"Jun 11, 2013","31.50","31.50","33.25","31.00","27.40K","1.61%"
"Jun 12, 2013","30.25","30.25","31.00","30.25","1.90K","-3.97%"
"Jun 13, 2013","31.00","31.00","31.00","31.00","5.30K","2.48%"
"Jun 17, 2013","30.50","30.50","30.50","30.50","0.10K","-1.61%"
"Jun 18, 2013","30.50","30.50","31.00","30.50","0.30K","0.00%"
"Jun 19, 2013","30.50","30.50","30.50","30.25","7.00K","0.00%"
"Jun 20, 2013","30.50","30.50","30.50","30.50","0.50K","0.00%"
"Jun 21, 2013","30.25","30.25","30.25","30.25","0.40K","-0.82%"
"Jun 24, 2013","29.00","30.25","30.25","29.00","6.20K","-4.13%"
"Jun 25, 2013","28.00","27.25","30.00","27.25","8.90K","-3.45%"
"Jul 01, 2013","28.50","30.50","30.50","28.00","0.50K","1.79%"
"Jul 02, 2013","27.00","27.00","27.00","27.00","0.50K","-5.26%"
"Jul 04, 2013","27.00","27.00","27.25","27.00","0.70K","0.00%"
"Jul 05, 2013","29.50","29.50","29.50","29.50","0.20K","9.26%"
"Jul 10, 2013","29.50","29.50","29.50","29.50","2.10K","0.00%"
"Jul 12, 2013","29.00","29.00","29.00","29.00","3.60K","-1.69%"
"Jul 17, 2013","29.00","29.00","29.00","29.00","1.10K","0.00%"
"Jul 18, 2013","29.00","29.00","29.00","29.00","0.20K","0.00%"
"Jul 19, 2013","27.50","29.50","29.50","27.50","16.20K","-5.17%"
"Jul 23, 2013","27.50","27.50","28.00","27.50","2.80K","0.00%"
"Jul 24, 2013","27.50","27.50","27.50","27.50","4.00K","0.00%"
"Jul 25, 2013","28.00","28.00","28.00","28.00","1.00K","1.82%"
"Jul 26, 2013","27.75","28.00","28.00","27.50","0.70K","-0.89%"
"Jul 29, 2013","27.00","27.00","27.00","27.00","0.70K","-2.70%"
"Jul 30, 2013","27.75","27.75","27.75","27.75","0.40K","2.78%"
"Jul 31, 2013","27.50","27.00","27.75","27.00","4.00K","-0.90%"
"Aug 01, 2013","27.25","27.00","27.50","27.00","3.60K","-0.91%"
"Aug 02, 2013","27.50","27.50","27.50","27.50","0.20K","0.92%"
"Aug 05, 2013","27.25","27.50","27.50","27.00","4.50K","-0.91%"
"Aug 06, 2013","27.50","27.50","27.50","27.50","1.00K","0.92%"
"Aug 07, 2013","27.00","27.00","27.00","27.00","2.10K","-1.82%"
"Aug 08, 2013","27.50","27.50","27.50","27.50","0.10K","1.85%"
"Aug 13, 2013","27.00","27.50","27.50","27.00","2.50K","-1.82%"
"Aug 14, 2013","27.00","27.00","27.25","27.00","28.30K","0.00%"
"Aug 15, 2013","27.00","27.00","27.25","27.00","0.80K","0.00%"
"Aug 16, 2013","27.50","27.50","27.50","27.50","0.20K","1.85%"
"Aug 20, 2013","27.00","27.50","27.50","27.00","28.10K","-1.82%"
"Aug 21, 2013","26.00","26.00","26.00","26.00","0.10K","-3.70%"
"Aug 22, 2013","26.00","26.00","26.00","26.00","3.80K","0.00%"
"Aug 23, 2013","26.00","26.25","26.25","26.00","1.10K","0.00%"
"Aug 26, 2013","26.50","26.50","26.50","26.50","1.00K","1.92%"
"Aug 27, 2013","27.50","27.50","27.50","27.50","1.30K","3.77%"
"Aug 29, 2013","26.75","26.50","27.00","26.50","7.80K","-2.73%"
"Sep 02, 2013","26.50","27.00","27.00","26.50","1.10K","-0.93%"
"Sep 03, 2013","27.00","27.00","27.00","27.00","0.50K","1.89%"
"Sep 04, 2013","26.00","26.00","26.00","26.00","20.20K","-3.70%"
"Sep 05, 2013","26.25","26.00","27.00","26.00","3.60K","0.96%"
"Sep 06, 2013","26.00","26.00","26.00","26.00","5.10K","-0.95%"
"Sep 09, 2013","27.00","26.00","27.25","26.00","37.90K","3.85%"
"Sep 10, 2013","27.25","27.25","27.50","27.25","1.50K","0.93%"
