"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 05, 2012","37.75","38.00","38.00","37.00","5.90K","-0.66%"
"Dec 06, 2012","39.00","37.75","39.00","39.00","0.20K","3.31%"
"Dec 10, 2012","39.00","39.00","39.00","39.00","14.30K","0.00%"
"Dec 11, 2012","39.00","39.00","40.00","37.50","3.80K","0.00%"
"Dec 13, 2012","40.00","39.00","40.00","39.00","42.30K","2.56%"
"Dec 14, 2012","37.50","40.00","37.50","37.50","4.80K","-6.25%"
"Dec 17, 2012","37.75","37.50","38.00","37.00","16.40K","0.67%"
"Dec 18, 2012","39.75","40.00","40.00","38.00","2.60K","5.30%"
"Dec 19, 2012","40.00","40.00","40.00","40.00","11.10K","0.63%"
"Dec 20, 2012","40.00","41.00","41.00","40.00","21.50K","0.00%"
"Dec 21, 2012","40.00","40.00","40.00","40.00","44.20K","0.00%"
"Dec 24, 2012","40.00","40.00","40.00","40.00","1.60K","0.00%"
"Dec 27, 2012","40.00","40.00","40.00","40.00","1.50K","0.00%"
"Dec 28, 2012","41.00","41.00","41.00","41.00","1.00K","2.50%"
"Dec 31, 2012","40.00","40.00","40.00","40.00","0.10K","-2.44%"
"Jan 02, 2013","39.25","39.25","39.25","39.25","1.00K","-1.88%"
"Jan 03, 2013","40.00","39.75","42.00","39.75","6.60K","1.91%"
"Jan 04, 2013","41.75","42.00","42.00","40.00","15.20K","4.38%"
"Jan 07, 2013","41.00","41.00","41.00","41.00","0.10K","-1.80%"
"Jan 08, 2013","42.00","42.00","42.00","42.00","5.00K","2.44%"
"Jan 09, 2013","42.00","42.00","42.00","42.00","0.90K","0.00%"
"Jan 10, 2013","41.75","41.50","44.00","41.50","21.50K","-0.60%"
"Jan 11, 2013","42.00","42.00","42.00","42.00","3.00K","0.60%"
"Jan 14, 2013","42.00","42.00","42.00","42.00","0.40K","0.00%"
"Jan 15, 2013","42.00","42.50","42.50","42.00","3.60K","0.00%"
"Jan 16, 2013","42.00","42.00","42.00","42.00","4.40K","0.00%"
"Jan 17, 2013","44.00","44.00","44.00","44.00","0.90K","4.76%"
"Jan 18, 2013","43.75","44.00","44.00","42.50","4.50K","-0.57%"
"Jan 21, 2013","42.75","43.00","43.00","42.50","0.20K","-2.29%"
"Jan 22, 2013","42.75","42.50","43.00","42.50","47.20K","0.00%"
"Jan 23, 2013","42.25","42.50","42.50","42.00","1.00K","-1.17%"
"Jan 24, 2013","42.00","42.50","42.50","42.00","11.60K","-0.59%"
"Jan 25, 2013","42.00","42.00","43.00","42.00","15.30K","0.00%"
"Jan 28, 2013","42.00","42.00","42.00","42.00","0.80K","0.00%"
"Jan 29, 2013","42.50","42.50","42.50","42.50","0.50K","1.19%"
"Jan 30, 2013","43.25","43.00","44.00","43.00","38.20K","1.76%"
"Jan 31, 2013","43.00","43.25","43.25","43.00","2.50K","-0.58%"
"Feb 04, 2013","41.00","41.00","41.00","41.00","2.60K","-4.65%"
"Feb 05, 2013","42.00","42.00","42.00","42.00","1.40K","2.44%"
"Feb 06, 2013","40.25","41.00","41.00","40.00","4.70K","-4.17%"
"Feb 08, 2013","40.50","42.00","42.00","40.50","0.80K","0.62%"
"Feb 11, 2013","40.75","40.50","41.00","40.50","2.50K","0.62%"
"Feb 12, 2013","41.25","41.00","42.00","41.00","6.70K","1.23%"
"Feb 13, 2013","41.25","41.25","41.50","41.00","18.50K","0.00%"
"Feb 14, 2013","42.00","42.00","42.00","42.00","18.50K","1.82%"
"Feb 15, 2013","43.50","43.00","45.00","43.00","65.60K","3.57%"
"Feb 18, 2013","42.75","42.00","43.00","42.00","25.20K","-1.72%"
"Feb 19, 2013","42.75","42.00","43.00","42.00","1.50K","0.00%"
"Feb 21, 2013","43.25","42.25","45.00","42.25","1.60K","1.17%"
"Feb 22, 2013","42.50","42.75","42.75","42.50","14.90K","-1.73%"
"Feb 25, 2013","42.50","42.50","42.50","42.50","2.40K","0.00%"
"Feb 26, 2013","42.25","42.00","42.50","42.00","0.50K","-0.59%"
"Feb 27, 2013","42.25","42.00","42.50","42.00","1.00K","0.00%"
"Feb 28, 2013","43.25","43.25","43.25","43.25","0.40K","2.37%"
"Mar 05, 2013","43.50","43.50","44.00","43.50","3.20K","0.58%"
"Mar 06, 2013","45.00","45.00","45.00","45.00","17.00K","3.45%"
"Mar 07, 2013","48.00","47.50","48.50","47.50","8.20K","6.67%"
"Mar 08, 2013","49.00","48.00","50.00","48.00","10.90K","2.08%"
"Mar 11, 2013","50.00","50.00","50.00","50.00","1.50K","2.04%"
"Mar 12, 2013","52.00","50.00","55.00","50.00","19.50K","4.00%"
"Mar 13, 2013","54.00","55.00","55.00","52.00","72.90K","3.85%"
"Mar 14, 2013","52.00","55.00","55.00","50.00","26.80K","-3.70%"
"Mar 15, 2013","51.50","52.50","52.50","51.00","11.10K","-0.96%"
"Mar 18, 2013","52.00","50.00","53.00","50.00","10.70K","0.97%"
"Mar 19, 2013","52.00","52.00","52.50","50.00","16.10K","0.00%"
"Mar 20, 2013","50.50","50.00","52.00","50.00","0.70K","-2.88%"
"Mar 21, 2013","50.50","50.00","51.00","50.00","2.60K","0.00%"
"Mar 22, 2013","50.50","50.50","52.00","50.50","7.70K","0.00%"
"Mar 25, 2013","54.00","52.00","55.00","52.00","9.10K","6.93%"
"Mar 26, 2013","54.00","54.00","54.50","54.00","3.60K","0.00%"
"Mar 27, 2013","54.00","54.00","54.00","54.00","0.10K","0.00%"
"Mar 28, 2013","51.50","51.00","52.00","51.00","6.40K","-4.63%"
"Apr 02, 2013","55.50","55.00","56.50","55.00","16.90K","7.77%"
"Apr 03, 2013","54.50","55.00","55.00","53.50","4.60K","-1.80%"
"Apr 04, 2013","54.50","54.00","55.00","54.00","3.00K","0.00%"
"Apr 05, 2013","53.50","53.50","53.50","53.50","1.90K","-1.83%"
"Apr 08, 2013","53.50","53.00","54.00","53.00","7.70K","0.00%"
"Apr 10, 2013","52.00","53.00","53.00","52.00","8.60K","-2.80%"
"Apr 11, 2013","53.50","53.50","55.00","53.50","15.30K","2.88%"
"Apr 12, 2013","53.00","54.50","54.50","53.00","26.90K","-0.93%"
"Apr 15, 2013","53.50","55.00","55.00","52.00","2.70K","0.94%"
"Apr 16, 2013","53.50","53.00","55.00","53.00","6.50K","0.00%"
"Apr 17, 2013","52.50","53.00","53.50","52.50","4.10K","-1.87%"
"Apr 18, 2013","53.00","53.00","54.00","53.00","5.30K","0.95%"
"Apr 19, 2013","53.50","53.00","54.50","53.00","15.40K","0.94%"
"Apr 22, 2013","53.00","53.00","53.00","53.00","7.40K","-0.93%"
"Apr 23, 2013","52.50","55.00","55.00","52.50","7.20K","-0.94%"
"Apr 24, 2013","54.00","54.00","54.00","52.50","521.20K","2.86%"
"Apr 25, 2013","52.50","52.50","52.50","52.50","2.00K","-2.78%"
"Apr 26, 2013","52.00","52.00","52.50","51.50","7.40K","-0.95%"
"Apr 29, 2013","52.50","52.50","53.50","52.50","1.50K","0.96%"
"Apr 30, 2013","53.00","53.00","53.00","53.00","3.40K","0.95%"
"May 02, 2013","52.50","52.50","53.00","52.50","24.10K","-0.94%"
"May 03, 2013","53.50","54.00","54.00","52.00","131.80K","1.90%"
"May 06, 2013","52.00","52.00","52.00","52.00","4.30K","-2.80%"
"May 07, 2013","51.00","52.00","53.00","50.00","5.40K","-1.92%"
"May 08, 2013","52.00","52.00","52.00","52.00","6.00K","1.96%"
"May 09, 2013","52.00","53.00","53.00","51.00","9.60K","0.00%"
"May 10, 2013","52.00","52.00","52.50","52.00","6.00K","0.00%"
"May 13, 2013","53.00","53.00","53.50","53.00","2.90K","1.92%"
"May 14, 2013","53.00","53.00","54.00","53.00","1.80K","0.00%"
"May 15, 2013","53.50","53.00","54.00","53.00","2.30K","0.94%"
"May 16, 2013","53.50","53.00","54.50","53.00","1.70K","0.00%"
"May 17, 2013","52.50","53.00","53.00","52.50","5.00K","-1.87%"
"May 20, 2013","52.50","52.50","52.50","52.50","0.70K","0.00%"
"May 21, 2013","53.00","53.50","53.50","52.50","9.00K","0.95%"
"May 22, 2013","52.50","52.50","52.50","52.50","0.20K","-0.94%"
"May 23, 2013","52.00","52.50","52.50","52.00","3.30K","-0.95%"
"May 24, 2013","52.00","52.00","52.00","52.00","1.50K","0.00%"
"May 27, 2013","52.50","52.50","52.50","52.50","1.70K","0.96%"
"May 28, 2013","53.50","53.00","54.00","53.00","13.50K","1.90%"
"May 29, 2013","53.50","53.50","53.50","53.50","0.10K","0.00%"
"May 30, 2013","53.50","53.50","53.50","53.50","0.30K","0.00%"
"May 31, 2013","52.00","52.50","52.50","52.00","3.40K","-2.80%"
"Jun 03, 2013","52.00","51.00","53.50","51.00","0.20K","0.00%"
"Jun 04, 2013","53.50","53.50","54.50","53.50","4.70K","2.88%"
"Jun 05, 2013","53.50","54.50","54.50","53.50","5.20K","0.00%"
"Jun 06, 2013","53.50","54.00","54.50","53.50","9.80K","0.00%"
"Jun 07, 2013","52.00","52.00","52.50","52.00","5.80K","-2.80%"
"Jun 10, 2013","53.00","52.00","53.50","52.00","1.50K","1.92%"
"Jun 11, 2013","52.00","52.00","54.00","52.00","68.80K","-1.89%"
"Jun 12, 2013","52.50","52.50","52.50","52.00","278.40K","0.96%"
"Jun 13, 2013","52.00","52.00","52.00","52.00","28.40K","-0.95%"
"Jun 14, 2013","51.00","51.50","51.50","51.00","2.10K","-1.92%"
"Jun 17, 2013","51.50","51.50","51.50","51.50","0.70K","0.98%"
"Jun 18, 2013","49.00","51.50","51.50","47.00","7.70K","-4.85%"
"Jun 19, 2013","47.75","49.00","49.00","47.00","24.50K","-2.55%"
"Jun 20, 2013","47.75","47.00","48.00","47.00","5.80K","0.00%"
"Jun 21, 2013","47.25","48.00","48.00","47.00","37.60K","-1.05%"
"Jun 24, 2013","47.00","47.00","47.00","47.00","1.30K","-0.53%"
"Jun 25, 2013","46.00","47.00","47.00","44.00","0.50K","-2.13%"
"Jun 27, 2013","44.25","44.25","44.25","44.25","1.00K","-3.80%"
"Jun 28, 2013","46.00","46.00","47.00","45.00","3.50K","3.95%"
"Jul 01, 2013","45.00","45.00","45.00","45.00","1.80K","-2.17%"
"Jul 02, 2013","48.25","47.00","49.50","47.00","4.30K","7.22%"
"Jul 03, 2013","46.00","46.00","46.00","46.00","0.10K","-4.66%"
"Jul 04, 2013","48.25","47.50","49.00","47.50","2.30K","4.89%"
"Jul 08, 2013","49.00","49.00","49.00","49.00","7.10K","1.55%"
"Jul 09, 2013","48.50","48.50","49.00","48.50","7.00K","-1.02%"
"Jul 10, 2013","47.50","49.00","49.00","47.00","55.00K","-2.06%"
"Jul 11, 2013","47.50","47.50","47.50","47.50","0.80K","0.00%"
"Jul 12, 2013","48.00","48.00","48.00","48.00","0.20K","1.05%"
"Jul 15, 2013","48.50","48.50","48.50","48.50","6.10K","1.04%"
"Jul 16, 2013","49.00","48.75","53.00","48.75","5.50K","1.03%"
"Jul 17, 2013","52.50","51.50","53.00","51.50","0.60K","7.14%"
"Jul 18, 2013","51.50","51.50","51.50","51.50","0.50K","-1.90%"
"Jul 19, 2013","49.50","49.50","49.50","49.50","2.30K","-3.88%"
"Jul 22, 2013","50.25","51.50","51.50","49.25","1.50K","1.52%"
"Jul 23, 2013","51.00","51.00","51.00","51.00","0.20K","1.49%"
"Jul 24, 2013","50.00","50.00","50.00","50.00","4.90K","-1.96%"
"Jul 25, 2013","50.00","50.00","51.00","50.00","45.60K","0.00%"
"Jul 26, 2013","49.50","49.25","50.00","49.25","1.40K","-1.00%"
"Jul 29, 2013","49.25","49.25","49.25","49.25","0.50K","-0.51%"
"Jul 30, 2013","48.50","49.00","49.00","48.00","0.60K","-1.52%"
"Jul 31, 2013","49.00","48.00","50.00","48.00","3.70K","1.03%"
"Aug 01, 2013","48.00","48.00","49.00","48.00","1.80K","-2.04%"
"Aug 02, 2013","48.00","48.00","48.00","48.00","0.50K","0.00%"
"Aug 05, 2013","48.00","48.00","48.00","48.00","9.50K","0.00%"
"Aug 06, 2013","45.25","48.00","49.00","43.50","5.20K","-5.73%"
"Aug 07, 2013","45.50","45.00","48.25","45.00","3.40K","0.55%"
"Aug 08, 2013","48.00","48.00","48.00","48.00","0.20K","5.49%"
"Aug 12, 2013","47.25","48.00","48.00","46.00","1.20K","-1.56%"
"Aug 13, 2013","48.00","48.00","48.00","48.00","0.20K","1.59%"
"Aug 14, 2013","47.75","47.50","48.00","47.50","0.90K","-0.52%"
"Aug 15, 2013","48.00","48.00","48.00","48.00","2.90K","0.52%"
"Aug 16, 2013","48.00","48.00","48.00","48.00","0.10K","0.00%"
"Aug 19, 2013","49.25","49.50","49.50","48.00","8.80K","2.60%"
"Aug 20, 2013","49.75","49.75","49.75","49.75","0.90K","1.02%"
"Aug 21, 2013","48.50","48.00","49.50","48.00","5.50K","-2.51%"
"Aug 23, 2013","48.25","48.25","48.50","48.25","1.10K","-0.52%"
"Aug 26, 2013","48.00","48.25","48.25","48.00","4.80K","-0.52%"
"Aug 27, 2013","47.75","48.00","48.25","47.50","4.90K","-0.52%"
"Aug 28, 2013","48.25","48.25","48.50","48.25","23.70K","1.05%"
"Aug 29, 2013","48.50","48.50","48.50","48.50","9.60K","0.52%"
"Aug 30, 2013","49.00","49.00","49.00","49.00","0.30K","1.03%"
"Sep 02, 2013","48.50","48.50","48.50","48.50","2.30K","-1.02%"
"Sep 04, 2013","49.00","49.00","49.50","49.00","14.10K","1.03%"
"Sep 05, 2013","49.50","49.50","49.50","49.50","15.90K","1.02%"
"Sep 06, 2013","49.75","49.50","50.00","49.50","86.60K","0.51%"
"Sep 09, 2013","50.00","53.00","53.00","50.00","2.40K","0.50%"
"Sep 10, 2013","49.75","49.00","50.00","49.00","46.00K","-0.50%"
"Sep 12, 2013","49.50","49.75","49.75","49.00","9.50K","-0.50%"
"Sep 13, 2013","49.00","49.00","49.00","49.00","5.80K","-1.01%"
"Sep 16, 2013","48.00","49.50","49.50","48.00","3.20K","-2.04%"
"Sep 17, 2013","48.00","48.00","48.00","48.00","0.50K","0.00%"
"Sep 18, 2013","48.00","48.00","48.50","48.00","242.20K","0.00%"
"Sep 19, 2013","47.75","45.00","48.00","45.00","7.00K","-0.52%"
"Sep 20, 2013","48.00","45.00","48.75","45.00","3.60K","0.52%"
"Sep 24, 2013","45.00","47.75","47.75","45.00","3.70K","-6.25%"
"Sep 25, 2013","45.75","45.00","46.00","45.00","47.50K","1.67%"
"Sep 26, 2013","45.00","45.00","45.00","45.00","1.20K","-1.64%"
"Sep 27, 2013","46.00","46.00","46.00","46.00","4.20K","2.22%"
"Sep 30, 2013","46.25","46.25","46.50","46.25","11.60K","0.54%"
"Oct 02, 2013","46.00","46.00","46.25","46.00","3.00K","-0.54%"
"Oct 03, 2013","46.00","46.25","46.50","46.00","4.90K","0.00%"
"Oct 04, 2013","45.25","46.00","46.00","45.00","2.50K","-1.63%"
"Oct 07, 2013","45.00","45.00","45.00","45.00","6.10K","-0.55%"
"Oct 08, 2013","46.50","47.00","47.00","46.00","3.50K","3.33%"
"Oct 09, 2013","47.50","47.50","47.50","47.50","5.00K","2.15%"
"Oct 10, 2013","48.50","49.00","49.00","47.50","3.90K","2.11%"
"Oct 11, 2013","47.50","47.50","47.50","47.50","2.50K","-2.06%"
"Oct 14, 2013","47.00","47.00","47.00","47.00","0.20K","-1.05%"
"Oct 15, 2013","44.75","46.00","46.00","44.50","1.60K","-4.79%"
"Oct 16, 2013","47.50","47.50","47.50","47.50","0.60K","6.15%"
"Oct 17, 2013","45.25","45.00","45.50","45.00","5.70K","-4.74%"
"Oct 22, 2013","45.00","45.25","45.25","45.00","101.40K","-0.55%"
"Oct 23, 2013","44.75","45.00","45.00","44.50","2.00K","-0.56%"
"Oct 24, 2013","45.25","45.25","45.25","45.25","0.10K","1.12%"
"Oct 25, 2013","45.25","45.25","45.25","45.25","12.30K","0.00%"
"Oct 28, 2013","46.00","46.00","46.00","46.00","3.00K","1.66%"
"Oct 30, 2013","45.00","45.25","45.25","44.50","15.90K","-2.17%"
"Nov 01, 2013","45.00","45.00","45.50","45.00","3.70K","0.00%"
"Nov 04, 2013","45.00","45.00","45.00","45.00","0.20K","0.00%"
"Nov 05, 2013","44.00","45.00","45.00","44.00","10.00K","-2.22%"
"Nov 06, 2013","45.00","46.75","46.75","45.00","31.90K","2.27%"
"Nov 07, 2013","46.00","46.00","46.00","46.00","2.50K","2.22%"
"Nov 08, 2013","45.00","46.00","46.00","45.00","1.50K","-2.17%"
"Nov 11, 2013","44.00","44.00","44.25","44.00","2.40K","-2.22%"
"Nov 12, 2013","45.00","45.00","46.00","45.00","10.50K","2.27%"
"Nov 13, 2013","45.00","45.00","45.00","45.00","0.90K","0.00%"
"Nov 15, 2013","44.25","45.00","45.00","44.00","6.10K","-1.67%"
"Nov 18, 2013","44.25","44.00","46.00","44.00","1.90K","0.00%"
"Nov 19, 2013","44.50","44.75","44.75","44.50","1.70K","0.56%"
"Nov 20, 2013","45.00","44.50","46.00","44.50","5.50K","1.12%"
"Nov 21, 2013","44.00","45.00","46.00","44.00","176.00K","-2.22%"
"Nov 22, 2013","45.25","44.00","46.00","44.00","4.60K","2.84%"
"Nov 25, 2013","45.00","45.00","45.00","45.00","1.10K","-0.55%"
"Nov 26, 2013","46.00","46.00","46.00","46.00","2.60K","2.22%"
"Nov 27, 2013","46.00","46.00","46.25","45.00","13.00K","0.00%"
"Nov 28, 2013","46.50","47.00","47.00","46.25","5.60K","1.09%"
"Nov 29, 2013","46.50","47.00","47.00","46.50","0.90K","0.00%"
"Dec 02, 2013","46.75","46.25","46.25","46.00","54.10K","0.54%"
"Dec 03, 2013","46.25","46.00","46.50","46.00","1.50K","-1.07%"
"Dec 04, 2013","46.25","46.25","46.25","46.25","0.20K","0.00%"
"Dec 05, 2013","47.50","46.25","48.00","46.25","0.40K","2.70%"
"Dec 06, 2013","47.00","48.00","48.00","46.50","2.00K","-1.05%"
"Dec 09, 2013","46.75","46.25","47.00","46.25","0.60K","-0.53%"
"Dec 10, 2013","46.25","45.00","50.00","45.00","650.50K","-1.07%"
"Dec 11, 2013","46.00","46.00","46.00","45.00","150.70K","-0.54%"
"Dec 16, 2013","46.25","46.25","46.25","46.25","0.80K","0.54%"
"Dec 17, 2013","46.00","46.25","46.50","46.00","2.40K","-0.54%"
"Dec 18, 2013","45.25","46.00","46.00","45.00","8.50K","-1.63%"
"Dec 19, 2013","45.25","46.50","46.50","45.00","2.80K","0.00%"
"Dec 20, 2013","45.50","45.50","45.50","45.50","1.10K","0.55%"
"Dec 23, 2013","44.75","45.00","45.00","44.50","7.50K","-1.65%"
"Dec 24, 2013","45.00","45.00","45.00","45.00","2.10K","0.56%"
"Dec 30, 2013","46.75","45.00","47.25","45.00","0.50K","3.89%"
"Dec 31, 2013","45.50","45.00","46.00","45.00","209.30K","-2.67%"
"Jan 02, 2014","45.25","45.25","45.50","45.00","54.30K","-0.55%"
