"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 11, 2012","18.63","19.36","19.36","18.09","142.88K","-3.77%"
"Oct 12, 2012","18.92","18.63","19.36","17.94","180.93K","1.56%"
"Oct 15, 2012","19.21","18.92","19.55","18.63","145.75K","1.53%"
"Oct 16, 2012","19.46","19.21","19.55","18.58","1.02M","1.30%"
"Oct 17, 2012","17.84","19.46","18.58","17.60","2.13M","-8.32%"
"Oct 18, 2012","18.23","17.84","18.48","17.84","831.41K","2.19%"
"Oct 19, 2012","18.38","18.23","18.48","18.28","1.03M","0.82%"
"Oct 22, 2012","18.53","18.38","18.72","18.19","654.16K","0.82%"
"Oct 23, 2012","18.77","18.53","18.87","18.09","602.31K","1.30%"
"Oct 24, 2012","18.92","18.77","19.07","17.94","570.30K","0.80%"
"Oct 25, 2012","18.97","18.92","19.07","18.19","288.52K","0.26%"
"Oct 26, 2012","19.02","18.97","19.11","18.48","555.26K","0.26%"
"Oct 29, 2012","19.07","19.02","19.36","18.23","754.70K","0.26%"
"Oct 30, 2012","19.11","19.07","19.36","18.14","832.84K","0.21%"
"Oct 31, 2012","19.21","19.11","19.46","18.28","719.31K","0.52%"
"Nov 01, 2012","19.21","19.21","19.36","18.63","283.21K","0.00%"
"Nov 02, 2012","18.77","19.21","19.55","18.58","542.58K","-2.29%"
"Nov 05, 2012","19.46","18.77","19.55","18.77","400.01K","3.68%"
"Nov 06, 2012","19.51","19.46","19.55","18.63","479.48K","0.26%"
"Nov 07, 2012","19.07","19.51","19.55","18.67","1.18M","-2.26%"
"Nov 08, 2012","19.21","19.51","19.46","19.07","53.18K","0.73%"
"Nov 09, 2012","19.02","19.21","19.36","18.58","2.18M","-0.99%"
"Nov 12, 2012","18.67","19.02","19.07","18.67","44.18K","-1.84%"
"Nov 13, 2012","19.21","18.67","19.31","18.67","322.48K","2.89%"
"Nov 14, 2012","19.21","19.21","19.26","18.58","2.11M","0.00%"
"Nov 15, 2012","18.92","19.21","19.16","18.72","278.40K","-1.51%"
"Nov 16, 2012","18.77","18.92","19.07","18.67","27.10K","-0.79%"
"Nov 19, 2012","18.72","18.77","18.77","18.63","43.37K","-0.27%"
"Nov 20, 2012","18.92","18.72","19.16","18.63","686.79K","1.07%"
"Nov 21, 2012","19.16","18.92","19.26","18.77","1.52M","1.27%"
"Nov 22, 2012","19.11","19.16","19.21","18.72","267.15K","-0.26%"
"Nov 23, 2012","19.16","19.11","19.21","18.72","3.20M","0.26%"
"Nov 26, 2012","18.72","19.16","18.82","18.63","50.42K","-2.30%"
