"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 07, 2012","3.800","3.900","3.900","3.800","0.50K","-2.56%"
"Nov 08, 2012","3.800","3.900","3.800","3.800","3.00K","0.00%"
"Nov 09, 2012","3.800","3.800","3.800","3.800","7.40K","0.00%"
"Nov 13, 2012","3.700","3.800","3.800","3.700","1.40K","-2.63%"
"Nov 15, 2012","3.600","3.700","3.600","3.600","4.50K","-2.70%"
"Nov 16, 2012","3.600","3.600","3.600","3.600","7.50K","0.00%"
"Nov 19, 2012","3.600","3.600","3.700","3.600","0.90K","0.00%"
"Nov 20, 2012","3.600","3.600","3.600","3.600","0.20K","0.00%"
"Nov 21, 2012","3.500","3.600","3.600","3.500","13.50K","-2.78%"
"Nov 22, 2012","3.500","3.500","3.500","3.500","0.30K","0.00%"
"Nov 26, 2012","3.500","3.500","3.500","3.500","0.10K","0.00%"
"Nov 27, 2012","3.500","3.500","3.500","3.500","5.20K","0.00%"
"Nov 29, 2012","3.400","3.500","3.500","3.400","1.30K","-2.86%"
"Nov 30, 2012","3.450","3.400","3.500","3.400","4.00K","1.47%"
"Dec 03, 2012","3.450","3.450","3.450","3.450","0.90K","0.00%"
"Dec 04, 2012","3.450","3.450","3.500","3.450","5.00K","0.00%"
"Dec 05, 2012","3.450","3.450","3.450","3.450","0.20K","0.00%"
"Dec 06, 2012","3.550","3.450","3.700","3.400","0.20K","2.90%"
"Dec 07, 2012","3.500","3.550","3.550","3.400","2.80K","-1.41%"
"Dec 11, 2012","3.600","3.500","3.600","3.600","2.40K","2.86%"
"Dec 13, 2012","3.600","3.600","3.700","3.600","0.60K","0.00%"
"Dec 18, 2012","3.550","3.600","3.600","3.400","9.00K","-1.39%"
"Dec 20, 2012","3.550","3.550","3.550","3.550","0.10K","0.00%"
"Dec 21, 2012","3.550","3.550","3.550","3.550","0.50K","0.00%"
"Dec 24, 2012","3.500","3.500","3.500","3.500","2.50K","-1.41%"
"Dec 28, 2012","3.500","3.500","3.500","3.500","1.80K","0.00%"
"Dec 31, 2012","3.500","3.500","3.500","3.500","0.10K","0.00%"
"Jan 03, 2013","3.450","3.500","3.500","3.400","0.70K","-1.43%"
"Jan 04, 2013","3.500","3.500","3.500","3.500","8.30K","1.45%"
"Jan 08, 2013","3.500","3.500","3.500","3.500","2.20K","0.00%"
"Jan 09, 2013","3.150","3.500","3.500","3.150","4.50K","-10.00%"
"Jan 10, 2013","3.050","3.050","3.050","3.050","1.40K","-3.17%"
"Jan 15, 2013","3.150","3.150","3.200","3.150","9.50K","3.28%"
"Jan 17, 2013","3.250","3.300","3.300","3.150","0.40K","3.17%"
"Jan 18, 2013","3.550","3.550","3.550","3.550","0.30K","9.23%"
"Jan 21, 2013","3.500","3.550","3.550","3.500","4.60K","-1.41%"
"Jan 22, 2013","3.500","3.550","3.550","3.500","2.30K","0.00%"
"Jan 23, 2013","3.500","3.500","3.500","3.500","0.30K","0.00%"
"Jan 24, 2013","3.600","3.600","3.600","3.600","1.00K","2.86%"
"Jan 28, 2013","3.500","3.500","3.500","3.500","1.20K","-2.78%"
"Jan 29, 2013","3.500","3.500","3.500","3.500","0.20K","0.00%"
"Jan 30, 2013","3.500","3.500","3.500","3.500","1.30K","0.00%"
"Jan 31, 2013","3.500","3.500","3.500","3.500","2.00K","0.00%"
"Feb 04, 2013","3.500","3.500","3.500","3.500","1.00K","0.00%"
"Feb 08, 2013","3.500","3.500","3.500","3.500","1.00K","0.00%"
"Feb 11, 2013","3.500","3.600","3.600","3.500","0.70K","0.00%"
"Feb 12, 2013","3.250","3.200","3.300","3.200","18.10K","-7.14%"
"Feb 13, 2013","3.200","3.350","3.350","3.200","3.80K","-1.54%"
"Feb 14, 2013","3.200","3.300","3.300","3.200","5.10K","0.00%"
"Feb 18, 2013","3.250","3.300","3.300","3.200","3.30K","1.56%"
