"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 16, 2012","39.40","40.00","40.20","39.40","5.00K","-1.50%"
"Aug 17, 2012","39.60","39.40","40.00","39.60","6.50K","0.51%"
"Aug 21, 2012","39.80","39.60","41.00","36.60","28.00K","0.51%"
"Aug 22, 2012","39.20","39.80","41.20","37.20","2.00K","-1.51%"
"Aug 23, 2012","40.80","39.20","41.00","40.00","959.50K","4.08%"
"Aug 24, 2012","40.60","40.80","41.20","40.60","33.00K","-0.49%"
"Aug 27, 2012","41.00","40.60","42.00","41.00","57.50K","0.99%"
"Aug 28, 2012","41.00","41.00","41.00","41.00","18.00K","0.00%"
"Aug 29, 2012","41.00","41.00","41.00","41.00","5.50K","0.00%"
"Aug 30, 2012","41.20","41.00","41.20","41.20","16.00K","0.49%"
"Aug 31, 2012","41.20","41.20","42.00","41.20","44.00K","0.00%"
"Sep 03, 2012","41.00","41.20","41.20","41.00","16.50K","-0.49%"
"Sep 04, 2012","41.00","41.00","41.00","41.00","14.00K","0.00%"
"Sep 05, 2012","41.80","41.00","42.00","41.00","2.57M","1.95%"
"Sep 06, 2012","41.00","41.80","43.00","41.00","794.50K","-1.91%"
"Sep 07, 2012","41.60","41.00","42.00","41.20","30.00K","1.46%"
"Sep 10, 2012","41.20","41.60","42.00","41.00","89.50K","-0.96%"
"Sep 11, 2012","41.80","41.20","42.00","41.60","52.00K","1.46%"
"Sep 12, 2012","42.80","41.80","43.00","42.00","608.50K","2.39%"
"Sep 13, 2012","42.00","42.80","42.20","41.80","7.50K","-1.87%"
"Sep 14, 2012","42.40","42.00","42.60","42.20","41.00K","0.95%"
"Sep 17, 2012","41.00","42.40","41.80","41.00","113.50K","-3.30%"
"Sep 18, 2012","42.40","41.00","42.60","42.40","36.50K","3.41%"
"Sep 19, 2012","42.60","42.40","43.20","42.40","17.00K","0.47%"
"Sep 20, 2012","42.80","42.60","43.00","42.80","40.00K","0.47%"
"Sep 21, 2012","44.00","42.80","0.00","0.00","-","2.80%"
"Sep 24, 2012","44.00","40.00","44.00","44.00","9.00K","0.00%"
"Sep 25, 2012","44.60","44.00","45.00","44.40","545.00K","1.36%"
"Sep 26, 2012","45.20","44.60","45.40","42.00","130.00K","1.35%"
"Sep 27, 2012","44.80","45.20","45.20","42.00","1.31M","-0.88%"
"Sep 28, 2012","44.00","44.80","45.00","44.00","83.00K","-1.79%"
"Oct 01, 2012","44.00","44.00","45.00","44.00","36.00K","0.00%"
"Oct 02, 2012","44.00","44.00","45.00","44.00","149.00K","0.00%"
"Oct 03, 2012","45.00","44.00","45.40","45.00","8.00K","2.27%"
"Oct 04, 2012","44.00","45.00","45.40","44.00","8.50K","-2.22%"
"Oct 05, 2012","44.60","44.00","45.40","44.00","19.50K","1.36%"
"Oct 08, 2012","45.40","44.60","45.40","45.40","50.00K","1.79%"
"Oct 10, 2012","44.60","40.00","45.00","44.60","181.00K","-1.76%"
"Oct 11, 2012","47.00","44.60","49.00","45.00","11.00K","5.38%"
"Oct 12, 2012","47.00","47.00","47.00","47.00","0.50K","0.00%"
"Oct 15, 2012","47.00","47.00","47.00","47.00","0.50K","0.00%"
"Oct 16, 2012","45.60","47.00","47.00","45.00","205.50K","-2.98%"
"Oct 18, 2012","45.60","40.00","45.60","45.60","1.50K","0.00%"
"Oct 19, 2012","45.40","45.60","45.80","43.80","6.00K","-0.44%"
"Oct 22, 2012","45.60","45.40","47.60","44.00","272.50K","0.44%"
"Oct 23, 2012","45.60","45.60","47.00","45.60","372.00K","0.00%"
"Oct 24, 2012","45.60","45.60","46.80","45.60","803.50K","0.00%"
"Oct 25, 2012","45.40","45.60","45.60","45.40","105.00K","-0.44%"
"Oct 26, 2012","45.40","45.40","45.40","45.40","2.50K","0.00%"
"Oct 29, 2012","45.80","45.40","46.00","45.00","240.50K","0.88%"
"Oct 30, 2012","45.80","45.80","47.00","44.20","1.18M","0.00%"
"Oct 31, 2012","46.40","45.80","47.00","46.00","16.50K","1.31%"
"Nov 01, 2012","45.60","46.40","47.00","45.40","4.50K","-1.72%"
"Nov 02, 2012","45.40","45.60","45.40","45.40","2.50K","-0.44%"
"Nov 05, 2012","45.40","45.40","45.40","45.40","13.50K","0.00%"
"Nov 06, 2012","45.40","45.40","45.40","45.40","144.00K","0.00%"
"Nov 07, 2012","44.60","45.40","44.60","44.60","2.50K","-1.76%"
"Nov 08, 2012","44.60","45.40","44.60","44.60","0.50K","0.00%"
"Nov 12, 2012","44.40","44.60","44.40","44.40","8.00K","-0.45%"
"Nov 13, 2012","43.80","44.40","44.60","42.40","2.00K","-1.35%"
"Nov 14, 2012","44.00","43.80","44.00","44.00","126.50K","0.46%"
"Nov 16, 2012","43.00","44.00","43.40","43.00","5.50K","-2.27%"
"Nov 19, 2012","43.20","43.00","43.60","42.20","18.50K","0.47%"
"Nov 20, 2012","43.00","43.20","43.40","43.00","63.50K","-0.46%"
"Nov 21, 2012","44.00","43.00","44.20","43.40","22.50K","2.33%"
"Nov 22, 2012","43.40","44.00","44.20","43.00","12.50K","-1.36%"
"Nov 23, 2012","44.00","43.40","45.00","43.40","703.50K","1.38%"
"Nov 26, 2012","43.80","44.20","44.00","43.80","2.50K","-0.45%"
"Nov 28, 2012","43.60","43.80","43.60","43.60","20.50K","-0.46%"
"Nov 30, 2012","43.80","43.60","45.60","43.80","130.00K","0.46%"
"Dec 03, 2012","43.60","43.80","43.80","43.60","127.50K","-0.46%"
"Dec 04, 2012","43.80","43.60","44.00","43.80","819.50K","0.46%"
"Dec 05, 2012","44.00","43.80","44.00","43.00","701.00K","0.46%"
"Dec 06, 2012","42.00","44.00","42.00","42.00","0.50K","-4.55%"
"Dec 07, 2012","43.80","42.00","44.00","38.00","752.50K","4.29%"
"Dec 10, 2012","41.20","43.80","41.20","41.20","1.00K","-5.94%"
"Dec 11, 2012","41.40","41.20","42.00","41.20","10.50K","0.49%"
"Dec 13, 2012","42.60","41.40","43.00","41.40","67.50K","2.90%"
"Dec 14, 2012","43.00","42.60","43.20","42.60","32.50K","0.94%"
"Dec 17, 2012","43.40","43.00","44.00","43.00","4.50K","0.93%"
"Dec 18, 2012","43.40","43.40","44.00","43.40","262.00K","0.00%"
"Dec 19, 2012","44.40","44.40","44.60","44.40","319.50K","2.30%"
"Dec 20, 2012","44.60","44.60","45.00","44.60","12.00K","0.45%"
"Dec 21, 2012","46.00","44.60","49.00","44.60","332.50K","3.14%"
"Jan 04, 2013","50.00","48.75","50.00","48.75","95.60K","8.70%"
"Jan 07, 2013","52.00","52.00","52.00","52.00","10.20K","4.00%"
"Jan 08, 2013","51.50","51.50","52.00","51.00","96.20K","-0.96%"
"Jan 09, 2013","54.50","55.00","56.00","53.00","566.50K","5.83%"
"Jan 10, 2013","55.00","59.50","59.50","55.00","356.50K","0.92%"
"Jan 11, 2013","56.00","60.00","60.00","55.00","286.70K","1.82%"
"Jan 14, 2013","59.00","59.50","60.00","58.00","147.00K","5.36%"
"Jan 15, 2013","59.00","59.00","60.00","59.00","89.50K","0.00%"
"Jan 16, 2013","59.50","60.00","63.00","59.50","144.50K","0.85%"
"Jan 17, 2013","59.50","59.50","60.00","59.00","89.50K","0.00%"
"Jan 18, 2013","57.00","60.00","60.00","56.00","64.40K","-4.20%"
"Jan 21, 2013","57.50","59.00","59.00","57.00","10.40K","0.88%"
"Jan 22, 2013","57.00","58.00","58.00","56.00","22.00K","-0.87%"
"Jan 23, 2013","54.00","57.00","57.00","52.00","79.60K","-5.26%"
"Jan 24, 2013","52.50","52.00","54.00","51.50","106.50K","-2.78%"
"Jan 25, 2013","52.50","54.00","54.00","52.00","14.30K","0.00%"
"Jan 28, 2013","52.50","52.50","53.00","52.50","982.50K","0.00%"
"Jan 29, 2013","52.00","53.00","53.00","52.00","131.80K","-0.95%"
"Jan 30, 2013","51.00","52.50","52.50","51.00","309.30K","-1.92%"
"Jan 31, 2013","52.00","53.00","53.00","51.00","684.20K","1.96%"
"Feb 01, 2013","51.50","53.00","53.00","51.00","320.60K","-0.96%"
"Feb 04, 2013","52.50","53.00","53.00","51.50","29.80K","1.94%"
"Feb 05, 2013","55.50","53.00","56.50","53.00","40.60K","5.71%"
"Feb 06, 2013","56.50","55.00","59.00","55.00","101.20K","1.80%"
"Feb 07, 2013","60.00","55.50","61.00","55.00","14.45M","6.19%"
"Feb 08, 2013","59.50","60.50","61.00","59.00","347.20K","-0.83%"
"Feb 11, 2013","58.50","60.00","60.00","58.50","346.80K","-1.68%"
"Feb 12, 2013","59.00","58.50","60.00","58.00","469.40K","0.85%"
"Feb 13, 2013","60.00","60.00","61.00","60.00","183.90K","1.69%"
"Feb 14, 2013","59.50","60.00","60.00","59.00","57.20K","-0.83%"
"Feb 15, 2013","60.00","60.00","60.50","60.00","135.60K","0.84%"
"Feb 18, 2013","59.50","60.00","60.00","59.50","50.30K","-0.83%"
"Feb 19, 2013","60.00","60.00","61.00","59.50","636.70K","0.84%"
"Feb 20, 2013","61.00","60.00","62.50","60.00","107.00K","1.67%"
"Feb 21, 2013","62.00","61.00","64.00","61.00","43.10K","1.64%"
"Feb 22, 2013","62.50","62.50","64.00","62.00","214.70K","0.81%"
"Feb 25, 2013","62.50","63.00","63.00","62.00","7.80K","0.00%"
"Feb 26, 2013","62.00","62.50","62.50","61.00","21.70K","-0.80%"
"Feb 27, 2013","62.00","62.00","62.50","62.00","172.20K","0.00%"
"Feb 28, 2013","62.00","62.50","62.50","62.00","906.10K","0.00%"
"Mar 01, 2013","62.50","62.50","63.00","62.50","360.00K","0.81%"
"Mar 05, 2013","62.50","62.50","62.50","62.50","3.70K","0.00%"
"Mar 06, 2013","62.50","62.50","63.00","62.50","18.10K","0.00%"
"Mar 07, 2013","63.00","63.00","63.50","63.00","66.50K","0.80%"
"Mar 08, 2013","64.00","64.00","65.00","64.00","67.10K","1.59%"
"Mar 11, 2013","67.50","67.00","68.50","67.00","122.60K","5.47%"
"Mar 12, 2013","71.50","70.00","74.00","70.00","160.60K","5.93%"
"Mar 13, 2013","71.00","74.00","74.00","71.00","2.90M","-0.70%"
"Mar 14, 2013","69.50","71.00","71.50","68.00","96.80K","-2.11%"
"Mar 15, 2013","69.00","69.50","70.00","68.50","32.10K","-0.72%"
"Mar 18, 2013","67.00","70.00","70.00","66.00","32.20K","-2.90%"
"Mar 19, 2013","67.00","67.00","68.50","66.50","41.80K","0.00%"
"Mar 20, 2013","68.00","67.00","69.00","67.00","460.40K","1.49%"
"Mar 21, 2013","68.00","69.00","69.00","67.50","46.40K","0.00%"
"Mar 22, 2013","67.50","68.00","68.50","67.50","23.10K","-0.74%"
"Mar 25, 2013","67.00","68.00","68.50","67.00","1.01M","-0.74%"
"Mar 26, 2013","66.50","66.50","67.00","66.50","226.60K","-0.75%"
"Mar 27, 2013","67.50","66.50","68.00","66.50","323.50K","1.50%"
"Mar 28, 2013","68.50","69.00","69.50","68.00","43.00K","1.48%"
"Apr 02, 2013","70.00","69.50","72.00","68.00","105.20K","2.19%"
"Apr 03, 2013","67.50","70.00","70.00","67.50","38.70K","-3.57%"
"Apr 04, 2013","68.50","71.00","71.00","63.00","79.90K","1.48%"
