"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 21, 2012","164.00","163.00","164.00","164.00","21.00K","0.61%"
"Jun 25, 2012","158.00","164.00","164.00","158.00","73.50K","-3.66%"
"Jun 26, 2012","158.00","158.00","159.00","158.00","0.70K","0.00%"
"Jun 27, 2012","160.00","158.00","164.00","160.00","33.50K","1.27%"
"Jun 28, 2012","164.00","160.00","165.00","164.00","42.90K","2.50%"
"Jun 29, 2012","165.00","164.00","166.00","160.00","2.10K","0.61%"
"Jul 02, 2012","166.00","165.00","166.00","166.00","1.80K","0.61%"
"Jul 03, 2012","165.00","166.00","166.00","161.00","0.60K","-0.60%"
"Jul 04, 2012","165.00","165.00","166.00","165.00","15.20K","0.00%"
"Jul 05, 2012","169.00","165.00","170.00","166.00","51.10K","2.42%"
"Jul 06, 2012","169.00","169.00","166.00","165.00","1.50K","0.00%"
"Jul 09, 2012","166.00","165.00","169.00","166.00","2.10K","-1.78%"
"Jul 10, 2012","165.00","166.00","166.00","165.00","5.90K","-0.60%"
"Jul 11, 2012","170.00","165.00","171.00","169.00","42.40K","3.03%"
"Jul 12, 2012","176.00","170.00","180.00","175.00","1.30K","3.53%"
"Jul 13, 2012","180.00","176.00","180.00","180.00","1.80K","2.27%"
"Jul 16, 2012","180.00","180.00","180.00","180.00","52.10K","0.00%"
"Jul 17, 2012","178.00","180.00","178.00","178.00","0.20K","-1.11%"
"Jul 19, 2012","179.00","178.00","180.00","178.00","25.00K","0.56%"
"Jul 20, 2012","179.00","179.00","179.00","179.00","0.20K","0.00%"
"Jul 24, 2012","180.00","179.00","180.00","180.00","3.00K","0.56%"
"Jul 25, 2012","185.00","180.00","185.00","180.00","360.50K","2.78%"
"Jul 26, 2012","180.00","185.00","180.00","180.00","3.50K","-2.70%"
"Jul 30, 2012","180.00","180.00","181.00","180.00","58.60K","0.00%"
"Jul 31, 2012","180.00","180.00","181.00","180.00","3.40K","0.00%"
"Aug 01, 2012","180.00","180.00","180.00","180.00","0.50K","0.00%"
"Aug 02, 2012","180.00","180.00","181.00","180.00","3.10K","0.00%"
"Aug 03, 2012","180.00","180.00","180.00","180.00","5.70K","0.00%"
"Aug 06, 2012","180.00","180.00","180.00","180.00","4.50K","0.00%"
"Aug 07, 2012","180.00","180.00","180.00","180.00","175.40K","0.00%"
"Aug 09, 2012","179.00","180.00","180.00","175.00","51.50K","-0.56%"
"Aug 13, 2012","176.00","180.00","179.00","175.00","0.40K","-1.68%"
"Aug 14, 2012","175.00","176.00","180.00","175.00","240.10K","-0.57%"
"Aug 15, 2012","175.00","175.00","176.00","175.00","119.50K","0.00%"
"Aug 16, 2012","175.00","175.00","175.00","175.00","28.20K","0.00%"
"Aug 17, 2012","174.00","175.00","174.00","174.00","2.00K","-0.57%"
"Aug 21, 2012","179.00","174.00","180.00","175.00","48.40K","2.87%"
"Aug 22, 2012","180.00","179.00","180.00","180.00","38.30K","0.56%"
"Aug 23, 2012","179.00","180.00","180.00","178.00","58.00K","-0.56%"
"Aug 24, 2012","177.00","179.00","177.00","177.00","20.70K","-1.12%"
"Aug 27, 2012","177.00","177.00","177.00","176.00","190.00K","0.00%"
"Aug 28, 2012","176.00","177.00","177.00","165.00","11.40K","-0.56%"
"Aug 29, 2012","177.00","176.00","177.00","177.00","13.20K","0.57%"
"Aug 30, 2012","176.00","177.00","178.00","176.00","221.90K","-0.56%"
"Aug 31, 2012","168.00","176.00","176.00","168.00","314.00K","-4.55%"
"Sep 04, 2012","175.00","180.00","176.00","175.00","50.80K","4.17%"
"Sep 05, 2012","168.00","175.00","168.00","168.00","0.10K","-4.00%"
"Sep 06, 2012","170.00","168.00","174.00","168.00","0.30K","1.19%"
"Sep 07, 2012","174.00","170.00","174.00","174.00","88.20K","2.35%"
"Sep 10, 2012","166.00","174.00","171.00","165.00","12.00K","-4.60%"
"Sep 11, 2012","174.00","166.00","174.00","174.00","0.20K","4.82%"
"Sep 13, 2012","175.00","180.00","178.00","175.00","88.20K","0.57%"
"Sep 17, 2012","176.00","180.00","176.00","176.00","0.10K","0.57%"
"Sep 18, 2012","175.00","176.00","175.00","175.00","0.10K","-0.57%"
"Sep 19, 2012","172.00","175.00","172.00","172.00","0.20K","-1.71%"
"Sep 20, 2012","170.00","172.00","170.00","170.00","788.30K","-1.16%"
"Sep 21, 2012","167.00","170.00","170.00","167.00","355.80K","-1.76%"
"Sep 24, 2012","168.00","167.00","170.00","168.00","3.30K","0.60%"
"Sep 25, 2012","169.00","168.00","170.00","168.00","11.00K","0.60%"
"Sep 26, 2012","170.00","169.00","170.00","170.00","20.00K","0.59%"
"Sep 27, 2012","169.00","170.00","173.00","168.00","9.30K","-0.59%"
"Sep 28, 2012","171.00","169.00","171.00","171.00","0.60K","1.18%"
"Oct 01, 2012","172.00","171.00","172.00","171.00","25.80K","0.58%"
"Oct 02, 2012","168.00","172.00","168.00","168.00","1.00K","-2.33%"
"Oct 03, 2012","167.00","168.00","168.00","165.00","89.20K","-0.60%"
"Oct 04, 2012","168.00","167.00","168.00","168.00","108.50K","0.60%"
"Oct 05, 2012","167.00","168.00","168.00","167.00","4.30K","-0.60%"
"Oct 09, 2012","168.00","180.00","168.00","168.00","12.50K","0.60%"
"Oct 10, 2012","169.00","168.00","170.00","168.00","75.20K","0.60%"
"Oct 11, 2012","170.00","169.00","175.00","170.00","245.00K","0.59%"
"Oct 12, 2012","170.00","170.00","173.00","170.00","446.30K","0.00%"
"Oct 15, 2012","167.00","170.00","167.00","167.00","0.20K","-1.76%"
"Oct 16, 2012","167.00","167.00","170.00","167.00","0.60K","0.00%"
"Oct 17, 2012","169.00","167.00","175.00","167.00","166.20K","1.20%"
"Oct 18, 2012","165.00","169.00","165.00","165.00","1.00K","-2.37%"
"Oct 22, 2012","170.00","180.00","170.00","170.00","0.20K","3.03%"
"Oct 23, 2012","170.00","170.00","170.00","170.00","2.30K","0.00%"
"Oct 24, 2012","172.00","170.00","172.00","172.00","0.10K","1.18%"
"Oct 25, 2012","170.00","172.00","171.00","170.00","3.00K","-1.16%"
"Oct 29, 2012","172.00","180.00","172.00","172.00","0.50K","1.18%"
"Oct 30, 2012","177.00","172.00","178.00","172.00","1.77M","2.91%"
"Nov 01, 2012","175.00","180.00","176.00","175.00","18.70K","-1.13%"
"Nov 02, 2012","177.00","175.00","177.00","177.00","0.10K","1.14%"
"Nov 05, 2012","177.00","177.00","178.00","175.00","452.00K","0.00%"
"Nov 06, 2012","176.00","177.00","177.00","176.00","12.00K","-0.56%"
"Nov 07, 2012","178.00","176.00","178.00","178.00","15.00K","1.14%"
"Nov 08, 2012","178.00","176.00","178.00","178.00","5.20K","0.00%"
"Nov 09, 2012","176.00","178.00","176.00","176.00","0.10K","-1.12%"
"Nov 13, 2012","176.00","176.00","176.00","176.00","0.30K","0.00%"
"Nov 14, 2012","176.00","176.00","177.00","175.00","14.90K","0.00%"
"Nov 19, 2012","175.00","176.00","177.00","175.00","2.50K","-0.57%"
"Nov 20, 2012","176.00","175.00","177.00","176.00","22.00K","0.57%"
"Nov 21, 2012","179.00","176.00","180.00","175.00","63.90K","1.70%"
"Nov 22, 2012","177.00","179.00","177.00","177.00","6.40K","-1.12%"
"Nov 23, 2012","177.00","177.00","180.00","177.00","22.00K","0.00%"
"Nov 26, 2012","179.00","177.00","180.00","175.00","64.20K","1.13%"
"Nov 27, 2012","179.00","179.00","180.00","178.00","22.60K","0.00%"
"Nov 29, 2012","179.91","179.00","180.00","176.00","4.60K","0.51%"
"Nov 30, 2012","176.00","179.00","177.00","176.00","5.70K","-2.17%"
"Dec 04, 2012","177.00","176.00","177.00","177.00","172.40K","0.57%"
"Dec 05, 2012","179.00","177.00","181.00","177.00","533.10K","1.13%"
"Dec 06, 2012","180.00","179.00","182.00","180.00","3.70K","0.56%"
"Dec 07, 2012","182.00","180.00","182.00","182.00","2.50K","1.11%"
"Dec 10, 2012","182.00","182.00","183.00","182.00","1.40K","0.00%"
"Dec 11, 2012","185.00","182.00","185.00","185.00","1.94M","1.65%"
"Dec 13, 2012","185.00","185.00","185.00","185.00","0.20K","0.00%"
"Dec 14, 2012","185.00","185.00","185.00","185.00","13.70K","0.00%"
"Dec 17, 2012","190.00","185.00","190.00","187.00","2.52M","2.70%"
"Dec 18, 2012","190.00","190.00","190.00","185.00","351.50K","0.00%"
"Dec 19, 2012","189.00","190.00","190.00","185.00","18.20K","-0.53%"
"Dec 20, 2012","189.00","189.00","190.00","189.00","33.20K","0.00%"
"Dec 21, 2012","190.00","190.00","190.00","190.00","1.50K","0.53%"
"Dec 24, 2012","188.00","188.00","188.00","188.00","0.40K","-1.05%"
"Dec 28, 2012","185.00","185.00","185.00","185.00","0.50K","-1.60%"
"Jan 02, 2013","190.00","190.00","190.00","190.00","0.10K","2.70%"
"Jan 03, 2013","190.00","190.00","190.00","190.00","0.10K","0.00%"
"Jan 04, 2013","194.00","191.00","195.00","191.00","1.60K","2.11%"
"Jan 07, 2013","191.00","191.00","191.00","191.00","0.20K","-1.55%"
"Jan 08, 2013","190.00","191.00","191.00","190.00","2.90K","-0.52%"
"Jan 09, 2013","190.00","191.00","191.00","190.00","12.10K","0.00%"
"Jan 10, 2013","194.00","194.00","195.00","194.00","37.90K","2.11%"
"Jan 11, 2013","195.00","195.00","195.00","195.00","1.20K","0.52%"
