"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 03, 2012","36.00","35.25","36.00","36.00","2.00K","2.13%"
"Sep 04, 2012","36.00","36.00","36.00","36.00","2.70K","0.00%"
"Sep 06, 2012","35.75","32.50","36.50","35.00","0.40K","-0.69%"
"Sep 07, 2012","36.00","35.75","36.00","36.00","0.40K","0.70%"
"Sep 10, 2012","35.75","36.00","36.00","35.75","3.20K","-0.69%"
"Sep 12, 2012","35.50","32.50","35.50","35.50","59.40K","-0.70%"
"Sep 13, 2012","35.50","35.50","36.00","34.00","8.10K","0.00%"
"Sep 14, 2012","35.50","35.50","36.00","35.50","108.70K","0.00%"
"Sep 18, 2012","36.00","32.50","36.00","36.00","5.40K","1.41%"
"Sep 19, 2012","34.75","36.00","35.00","34.00","16.10K","-3.47%"
"Sep 20, 2012","35.00","34.75","35.00","35.00","3.50K","0.72%"
"Sep 24, 2012","35.00","32.50","35.00","35.00","0.20K","0.00%"
"Sep 25, 2012","34.75","35.00","35.00","34.75","2.60K","-0.71%"
"Sep 27, 2012","35.00","32.50","35.00","35.00","3.20K","0.72%"
"Sep 28, 2012","34.75","35.00","34.75","34.75","2.70K","-0.71%"
"Oct 01, 2012","38.00","34.75","38.00","38.00","0.30K","9.35%"
"Oct 02, 2012","35.00","38.00","35.00","35.00","1.00K","-7.89%"
"Oct 03, 2012","35.00","35.00","35.00","35.00","2.00K","0.00%"
"Oct 04, 2012","38.00","35.00","38.00","38.00","0.10K","8.57%"
"Oct 08, 2012","35.00","32.50","35.00","35.00","16.80K","-7.89%"
"Oct 15, 2012","35.50","32.50","35.50","35.50","1.40K","1.43%"
"Oct 17, 2012","35.25","32.50","35.50","35.00","1.00K","-0.70%"
"Oct 18, 2012","36.75","35.25","37.00","35.50","4.50K","4.26%"
"Oct 19, 2012","38.00","36.75","38.00","38.00","108.30K","3.40%"
"Oct 22, 2012","37.75","38.00","38.00","37.50","2.50K","-0.66%"
"Oct 23, 2012","38.00","37.75","38.00","38.00","8.10K","0.66%"
"Oct 24, 2012","38.00","38.00","38.00","38.00","3.00K","0.00%"
"Oct 25, 2012","38.00","38.00","38.00","38.00","3.20K","0.00%"
"Oct 26, 2012","39.00","38.00","39.00","38.00","34.10K","2.63%"
"Oct 29, 2012","38.00","39.00","38.00","38.00","0.50K","-2.56%"
"Oct 30, 2012","38.00","38.00","38.00","38.00","5.00K","0.00%"
"Oct 31, 2012","38.25","38.00","39.00","38.00","13.80K","0.66%"
"Nov 01, 2012","39.00","38.25","39.50","38.00","21.30K","1.96%"
"Nov 07, 2012","39.00","39.00","39.00","39.00","1.00K","0.00%"
"Nov 08, 2012","38.00","39.00","38.00","38.00","1.00K","-2.56%"
"Nov 09, 2012","39.00","38.00","39.00","39.00","0.10K","2.63%"
"Nov 12, 2012","38.00","39.00","38.00","38.00","1.30K","-2.56%"
"Nov 15, 2012","38.00","38.00","38.00","38.00","0.50K","0.00%"
"Nov 16, 2012","39.00","38.00","39.00","39.00","1.40K","2.63%"
"Nov 19, 2012","39.50","39.00","39.50","39.50","1.00K","1.28%"
"Nov 20, 2012","40.50","39.50","41.00","39.50","31.90K","2.53%"
"Nov 21, 2012","41.00","40.50","41.00","41.00","33.90K","1.23%"
"Nov 22, 2012","41.00","41.00","41.50","41.00","34.90K","0.00%"
"Nov 23, 2012","41.00","41.00","41.00","41.00","0.10K","0.00%"
"Nov 26, 2012","40.75","41.00","41.00","40.00","11.00K","-0.61%"
"Nov 27, 2012","40.75","40.75","41.00","38.00","11.70K","0.00%"
"Nov 28, 2012","41.00","40.75","41.00","41.00","10.00K","0.61%"
"Nov 29, 2012","41.00","41.00","41.00","41.00","19.90K","0.00%"
"Dec 04, 2012","41.00","41.00","41.00","41.00","1.00K","0.00%"
"Dec 05, 2012","41.00","41.00","41.00","41.00","3.10K","0.00%"
"Dec 06, 2012","41.00","41.00","41.00","41.00","0.10K","0.00%"
"Dec 07, 2012","42.50","41.00","42.50","42.50","0.30K","3.66%"
"Dec 11, 2012","42.50","42.50","42.50","42.50","1.00K","0.00%"
"Dec 14, 2012","42.50","0.00","42.50","42.50","-","0.00%"
"Dec 17, 2012","41.00","42.50","42.50","41.00","8.10K","-3.53%"
"Dec 18, 2012","41.00","41.00","41.00","41.00","2.30K","0.00%"
"Dec 19, 2012","41.00","41.00","41.25","41.00","10.20K","0.00%"
"Dec 20, 2012","41.00","41.00","41.00","41.00","0.30K","0.00%"
"Dec 21, 2012","41.50","41.00","42.00","41.00","1.00K","1.22%"
"Dec 27, 2012","42.50","42.50","42.50","42.50","1.50K","2.41%"
"Jan 03, 2013","41.75","42.00","42.00","41.25","38.40K","-1.76%"
"Jan 07, 2013","41.75","41.75","41.75","41.75","3.00K","0.00%"
"Jan 08, 2013","42.00","42.00","42.00","42.00","0.40K","0.60%"
"Jan 09, 2013","42.50","42.50","42.50","42.50","0.70K","1.19%"
"Jan 10, 2013","43.00","43.00","43.00","43.00","1.50K","1.18%"
"Jan 11, 2013","42.50","42.50","42.50","42.50","5.80K","-1.16%"
"Jan 15, 2013","42.00","42.00","42.00","42.00","0.10K","-1.18%"
"Jan 16, 2013","42.50","42.50","43.00","42.50","44.90K","1.19%"
"Jan 18, 2013","42.50","42.50","42.50","42.50","3.50K","0.00%"
"Jan 21, 2013","42.50","42.50","42.75","42.50","10.30K","0.00%"
"Jan 22, 2013","42.50","42.50","43.00","42.50","17.70K","0.00%"
"Jan 24, 2013","42.50","42.50","42.50","42.50","0.80K","0.00%"
