"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 27, 2012","10.50","10.35","10.60","10.40","13.80K","1.45%"
"Sep 28, 2012","10.60","10.50","10.65","10.50","10.80K","0.95%"
"Oct 01, 2012","10.85","10.60","11.00","10.50","13.60K","2.36%"
"Oct 02, 2012","10.60","10.85","10.80","10.55","21.10K","-2.30%"
"Oct 03, 2012","10.90","10.60","11.00","10.50","108.00K","2.83%"
"Oct 04, 2012","11.00","10.90","11.20","11.00","128.20K","0.92%"
"Oct 05, 2012","11.10","11.00","11.35","11.05","36.60K","0.91%"
"Oct 08, 2012","11.05","11.10","11.10","11.00","85.80K","-0.45%"
"Oct 09, 2012","11.00","11.05","11.20","11.00","20.20K","-0.45%"
"Oct 10, 2012","11.05","11.00","11.25","11.00","53.60K","0.45%"
"Oct 11, 2012","11.10","11.05","11.35","11.00","22.00K","0.45%"
"Oct 12, 2012","11.15","11.10","11.35","11.00","13.70K","0.45%"
"Oct 15, 2012","11.25","11.15","11.40","11.20","15.70K","0.90%"
"Oct 16, 2012","11.25","11.25","11.40","11.15","300.40K","0.00%"
"Oct 17, 2012","11.15","11.25","11.35","11.00","29.50K","-0.89%"
"Oct 18, 2012","11.00","11.15","11.15","11.00","3.30K","-1.35%"
"Oct 19, 2012","11.00","11.00","11.05","10.75","23.90K","0.00%"
"Oct 22, 2012","11.00","11.00","11.00","11.00","2.30K","0.00%"
"Oct 23, 2012","11.05","11.00","11.15","11.00","33.90K","0.45%"
"Oct 24, 2012","11.15","11.05","11.25","11.05","16.20K","0.90%"
"Oct 25, 2012","11.00","11.15","11.05","11.00","837.30K","-1.35%"
"Oct 26, 2012","11.00","11.00","11.20","11.00","5.70K","0.00%"
"Oct 29, 2012","11.10","11.00","11.20","11.00","2.30K","0.91%"
"Oct 30, 2012","11.05","11.10","11.20","11.00","93.70K","-0.45%"
"Oct 31, 2012","11.00","11.05","11.25","11.00","9.30K","-0.45%"
"Nov 01, 2012","11.00","11.00","11.00","11.00","6.50K","0.00%"
"Nov 02, 2012","11.10","11.00","11.20","11.00","1.90K","0.91%"
"Nov 05, 2012","11.25","11.10","11.35","11.00","33.90K","1.35%"
"Nov 06, 2012","11.15","11.25","11.20","11.10","22.40K","-0.89%"
"Nov 07, 2012","11.10","11.15","11.30","11.10","50.00K","-0.45%"
"Nov 08, 2012","11.15","11.15","11.20","11.10","101.70K","0.45%"
"Nov 09, 2012","11.25","11.15","11.35","11.10","15.20K","0.90%"
"Nov 12, 2012","11.25","11.25","11.40","11.10","26.30K","0.00%"
"Nov 13, 2012","11.15","11.25","11.35","11.00","12.00K","-0.89%"
"Nov 14, 2012","11.20","11.15","11.30","11.10","13.90K","0.45%"
"Nov 15, 2012","11.05","11.20","11.10","11.05","1.00K","-1.34%"
"Nov 16, 2012","11.20","11.05","11.25","11.05","673.90K","1.36%"
"Nov 19, 2012","11.20","11.20","11.25","11.20","63.10K","0.00%"
"Nov 20, 2012","11.25","11.20","11.30","11.20","35.30K","0.45%"
"Nov 21, 2012","11.30","11.25","11.50","11.25","136.80K","0.44%"
"Nov 22, 2012","11.35","11.30","11.45","11.35","24.60K","0.44%"
"Nov 23, 2012","11.40","11.35","11.50","11.35","131.30K","0.44%"
"Nov 26, 2012","11.55","11.40","11.65","11.35","194.50K","1.32%"
"Nov 27, 2012","11.55","11.55","11.75","11.50","86.90K","0.00%"
"Nov 28, 2012","11.65","11.55","11.65","11.65","6.40K","0.87%"
"Nov 29, 2012","11.65","11.65","11.90","11.50","62.20K","0.00%"
"Nov 30, 2012","11.65","11.65","11.70","11.60","5.20K","0.00%"
"Dec 03, 2012","11.65","11.65","11.70","11.65","8.50K","0.00%"
"Dec 04, 2012","11.70","11.65","11.80","11.60","16.70K","0.43%"
"Dec 05, 2012","11.65","11.70","11.80","11.60","97.00K","-0.43%"
"Dec 06, 2012","12.05","11.65","12.50","11.80","83.20K","3.43%"
"Dec 07, 2012","12.10","12.05","12.50","12.00","106.80K","0.41%"
"Dec 10, 2012","12.05","12.10","12.50","11.70","39.30K","-0.41%"
"Dec 11, 2012","12.05","12.05","12.20","11.75","38.90K","0.00%"
"Dec 13, 2012","12.10","12.05","12.10","12.00","88.30K","0.41%"
