"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 19, 2012","44.75","44.75","44.75","44.75","1.00K","0.00%"
"Nov 20, 2012","44.75","44.75","44.75","44.50","7.10K","0.00%"
"Nov 21, 2012","44.50","44.75","44.50","44.50","0.10K","-0.56%"
"Nov 22, 2012","44.25","44.50","44.75","43.75","2.60K","-0.56%"
"Nov 23, 2012","44.00","44.25","44.25","44.00","0.30K","-0.56%"
"Nov 27, 2012","42.50","44.00","42.50","42.50","3.00K","-3.41%"
"Nov 28, 2012","42.50","42.50","42.50","42.50","1.10K","0.00%"
"Dec 03, 2012","43.75","44.00","43.75","43.75","0.30K","2.94%"
"Dec 04, 2012","43.50","43.75","43.50","43.50","1.10K","-0.57%"
"Dec 05, 2012","43.00","43.50","43.00","43.00","0.80K","-1.15%"
"Dec 06, 2012","42.75","43.00","43.00","42.75","1.40K","-0.58%"
"Dec 07, 2012","42.75","42.75","42.75","42.75","0.20K","0.00%"
"Dec 10, 2012","42.50","42.75","42.75","42.50","2.40K","-0.58%"
"Dec 11, 2012","38.25","42.50","42.50","38.25","91.10K","-10.00%"
"Dec 13, 2012","39.00","38.25","42.00","38.50","0.60K","1.96%"
"Dec 17, 2012","39.00","39.00","39.00","39.00","1.80K","0.00%"
"Dec 18, 2012","38.50","39.00","39.00","38.25","5.00K","-1.28%"
"Dec 19, 2012","39.00","39.00","39.00","39.00","4.80K","1.30%"
"Dec 21, 2012","39.00","39.00","39.00","39.00","1.30K","0.00%"
"Jan 03, 2013","40.00","40.00","40.00","40.00","0.20K","2.56%"
"Jan 07, 2013","41.00","41.00","41.00","41.00","11.20K","2.50%"
"Jan 08, 2013","40.25","40.00","44.00","40.00","8.90K","-1.83%"
"Jan 09, 2013","40.25","41.00","41.00","39.00","11.10K","0.00%"
"Jan 10, 2013","40.50","41.50","41.50","40.00","8.60K","0.62%"
"Jan 11, 2013","40.00","41.00","41.00","40.00","2.40K","-1.23%"
"Jan 15, 2013","40.00","40.00","42.00","40.00","2.90K","0.00%"
"Jan 16, 2013","42.00","42.00","42.00","42.00","0.10K","5.00%"
"Jan 17, 2013","41.00","41.00","41.00","41.00","0.10K","-2.38%"
"Jan 18, 2013","42.00","42.00","42.00","42.00","0.30K","2.44%"
"Jan 21, 2013","45.00","45.00","45.00","45.00","0.10K","7.14%"
"Jan 22, 2013","45.00","45.00","45.00","45.00","0.10K","0.00%"
"Jan 23, 2013","45.00","45.00","45.00","45.00","0.30K","0.00%"
"Jan 24, 2013","42.50","42.50","43.00","42.00","0.80K","-5.56%"
"Jan 25, 2013","44.00","44.00","44.00","44.00","3.50K","3.53%"
"Jan 28, 2013","42.00","44.00","44.00","42.00","3.30K","-4.55%"
"Jan 29, 2013","44.00","44.00","44.00","44.00","0.20K","4.76%"
"Jan 30, 2013","42.00","42.25","42.25","42.00","1.50K","-4.55%"
"Jan 31, 2013","42.25","42.00","44.00","42.00","1.90K","0.60%"
"Feb 01, 2013","45.00","45.00","45.00","45.00","0.10K","6.51%"
"Feb 04, 2013","45.00","45.00","45.00","45.00","2.30K","0.00%"
"Feb 06, 2013","43.50","42.50","44.00","42.50","1.60K","-3.33%"
"Feb 07, 2013","44.00","44.50","44.50","43.50","0.70K","1.15%"
"Feb 11, 2013","44.00","44.00","44.00","44.00","0.40K","0.00%"
"Feb 13, 2013","43.50","43.00","44.00","43.00","0.30K","-1.14%"
"Feb 15, 2013","44.25","44.00","47.00","44.00","7.40K","1.72%"
"Feb 18, 2013","47.00","47.00","47.00","47.00","0.70K","6.21%"
"Feb 19, 2013","46.50","46.25","47.00","46.25","5.60K","-1.06%"
"Feb 21, 2013","48.00","48.00","48.25","48.00","12.00K","3.23%"
"Feb 22, 2013","46.75","47.00","48.00","46.00","5.00K","-2.60%"
"Feb 25, 2013","46.00","46.00","46.00","46.00","128.80K","-1.60%"
"Feb 26, 2013","46.75","46.00","48.00","46.00","7.20K","1.63%"
"Feb 28, 2013","49.50","48.00","50.00","48.00","0.40K","5.88%"
"Mar 01, 2013","50.00","50.00","50.00","50.00","0.10K","1.01%"
"Mar 11, 2013","53.00","53.00","53.00","53.00","1.30K","6.00%"
"Mar 12, 2013","55.00","55.00","55.00","55.00","0.60K","3.77%"
"Mar 13, 2013","54.00","55.00","58.00","53.00","12.20K","-1.82%"
