Date,Price,Open,High,Low,Vol.,Change %
"May 08, 2012",8.75,8.65,8.9,8.5,186.70K,1.16%
"May 09, 2012",8.55,8.75,8.7,8.5,94.90K,-2.29%
"May 10, 2012",8.6,8.55,8.75,8.45,76.80K,0.58%
"May 11, 2012",8.6,8.6,8.85,8.15,141.80K,0.00%
"May 14, 2012",8.65,8.6,8.8,8.6,91.70K,0.58%
"May 15, 2012",8.6,8.65,8.8,8.5,135.00K,-0.58%
"May 16, 2012",8.65,8.6,8.7,8.6,88.20K,0.58%
"May 17, 2012",8.6,8.65,8.7,8.55,255.20K,-0.58%
"May 18, 2012",8.55,8.6,8.6,8.45,173.00K,-0.58%
"May 21, 2012",8.5,8.55,8.6,8.4,57.30K,-0.58%
"May 22, 2012",8.45,8.5,8.6,8.4,41.80K,-0.59%
"May 23, 2012",8.4,8.45,8.6,8.2,633.30K,-0.59%
"May 24, 2012",8.35,8.4,8.5,8.05,136.80K,-0.60%
"May 25, 2012",8.3,8.35,8.5,8.2,74.30K,-0.60%
"May 28, 2012",8.05,8.3,8.3,8.0,183.90K,-3.01%
"May 29, 2012",8.0,8.05,8.4,8.0,341.80K,-0.62%
"May 30, 2012",8.0,8.0,8.3,7.9,266.40K,0.00%
"May 31, 2012",7.9,8.0,8.3,7.8,558.40K,-1.25%
"Jun 04, 2012",8.0,7.9,8.3,8.0,107.40K,1.27%
"Jun 05, 2012",8.0,8.0,8.45,7.9,542.20K,0.00%
"Jun 06, 2012",8.15,8.0,8.5,8.0,80.10K,1.87%
"Jun 07, 2012",8.1,8.15,8.45,8.0,21.20K,-0.61%
"Jun 08, 2012",8.15,8.1,8.3,8.05,515.10K,0.62%
"Jun 11, 2012",8.2,8.15,8.3,8.15,192.20K,0.61%
"Jun 12, 2012",8.15,8.2,8.2,8.1,159.30K,-0.61%
"Jun 13, 2012",8.1,8.15,8.15,8.1,87.50K,-0.61%
"Jun 14, 2012",8.1,8.1,8.2,8.1,272.80K,0.00%
"Jun 15, 2012",8.15,8.1,8.25,8.1,154.40K,0.62%
"Jun 18, 2012",8.2,8.15,8.3,8.15,247.50K,0.61%
"Jun 19, 2012",8.2,8.2,8.5,8.15,286.20K,0.00%
"Jun 20, 2012",8.2,8.2,8.3,8.2,903.00K,0.00%
"Jun 21, 2012",8.2,8.2,8.4,8.2,1.91M,0.00%
"Jun 22, 2012",8.45,8.2,8.8,8.2,257.80K,3.05%
"Jun 25, 2012",8.75,8.45,8.85,8.65,2.61M,3.55%
"Jun 26, 2012",8.85,8.75,9.0,8.8,397.60K,1.14%
"Jun 27, 2012",8.95,8.85,9.0,8.85,265.50K,1.13%
"Jun 28, 2012",8.85,8.95,9.0,8.4,153.70K,-1.12%
"Jun 29, 2012",8.6,8.85,9.0,8.5,46.00K,-2.82%
"Jul 02, 2012",8.7,8.6,9.0,8.6,105.10K,1.16%
"Jul 03, 2012",8.7,8.7,8.85,8.6,72.50K,0.00%
"Jul 04, 2012",8.7,8.7,8.9,8.6,141.90K,0.00%
"Jul 05, 2012",8.65,8.7,8.8,8.55,169.80K,-0.57%
"Jul 06, 2012",8.65,8.65,8.8,8.6,161.40K,0.00%
"Jul 09, 2012",8.6,8.65,8.9,8.35,140.60K,-0.58%
"Jul 10, 2012",8.55,8.6,8.7,8.45,203.40K,-0.58%
"Jul 11, 2012",8.5,8.55,8.6,8.4,615.90K,-0.58%
"Jul 12, 2012",8.55,8.5,8.7,8.5,286.40K,0.59%
"Jul 13, 2012",8.45,8.55,8.55,8.3,160.50K,-1.17%
"Jul 16, 2012",8.45,8.45,8.6,8.35,407.90K,0.00%
"Jul 17, 2012",8.4,8.45,8.6,8.3,105.00K,-0.59%
"Jul 18, 2012",8.4,8.4,8.45,8.35,142.20K,0.00%
"Jul 19, 2012",8.3,8.4,8.5,8.1,181.60K,-1.19%
"Jul 20, 2012",8.3,8.3,8.4,8.25,165.10K,0.00%
"Jul 23, 2012",8.25,8.3,8.4,8.25,173.50K,-0.60%
"Jul 24, 2012",8.3,8.25,8.5,8.25,1.27M,0.61%
"Jul 25, 2012",8.3,8.3,8.4,8.25,573.60K,0.00%
"Jul 26, 2012",8.3,8.3,8.5,8.25,1.08M,0.00%
"Jul 27, 2012",8.3,8.3,8.5,8.25,478.30K,0.00%
"Jul 30, 2012",8.3,8.3,8.35,8.25,2.87M,0.00%
"Jul 31, 2012",8.35,8.3,8.65,8.25,1.03M,0.60%
"Aug 01, 2012",8.65,8.35,8.8,8.4,177.50K,3.59%
"Aug 02, 2012",8.65,8.65,8.8,8.6,665.00K,0.00%
"Aug 03, 2012",8.7,8.65,8.8,8.6,140.50K,0.58%
"Aug 06, 2012",8.65,8.7,8.75,8.5,218.10K,-0.57%
"Aug 07, 2012",8.55,8.65,8.7,8.5,113.90K,-1.16%
"Aug 08, 2012",8.6,8.55,8.7,8.6,45.50K,0.58%
"Aug 09, 2012",8.6,8.6,8.7,8.6,149.10K,0.00%
"Aug 10, 2012",8.6,8.6,8.65,8.55,947.60K,0.00%
"Aug 13, 2012",8.5,8.6,8.6,8.3,183.40K,-1.16%
"Aug 14, 2012",8.3,8.5,8.5,8.25,577.30K,-2.35%
"Aug 15, 2012",8.4,8.3,8.5,8.3,71.80K,1.20%
"Aug 16, 2012",8.45,8.4,8.5,8.35,285.80K,0.60%
"Aug 17, 2012",8.4,8.45,8.45,8.35,336.50K,-0.59%
"Aug 21, 2012",8.35,8.4,8.45,8.3,64.00K,-0.60%
"Aug 22, 2012",8.4,8.35,8.45,8.3,154.30K,0.60%
"Aug 23, 2012",8.4,8.4,8.5,8.35,95.90K,0.00%
