"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 27, 2012","16.10","16.15","16.20","16.10","144.70K","-0.31%"
"Jul 30, 2012","16.00","16.10","16.10","16.00","91.20K","-0.62%"
"Jul 31, 2012","16.05","16.00","16.35","16.00","131.30K","0.31%"
"Aug 01, 2012","16.00","16.05","16.10","15.80","66.40K","-0.31%"
"Aug 02, 2012","15.95","16.00","16.00","15.95","31.00K","-0.31%"
"Aug 03, 2012","15.95","15.95","16.00","15.95","29.60K","0.00%"
"Aug 06, 2012","15.85","15.95","16.00","15.70","56.00K","-0.63%"
"Aug 07, 2012","15.55","15.85","15.80","15.00","34.30K","-1.89%"
"Aug 08, 2012","15.40","15.55","15.70","15.15","509.70K","-0.96%"
"Aug 09, 2012","15.45","15.40","15.50","15.40","21.40K","0.32%"
"Aug 10, 2012","15.45","15.45","15.75","15.25","57.20K","0.00%"
"Aug 13, 2012","15.45","15.45","15.50","15.40","49.90K","0.00%"
"Aug 14, 2012","15.45","15.45","15.60","15.30","317.50K","0.00%"
"Aug 15, 2012","15.45","15.45","15.60","15.00","269.90K","0.00%"
"Aug 16, 2012","15.10","15.45","15.25","14.70","383.10K","-2.27%"
"Aug 17, 2012","15.00","15.10","15.20","15.00","122.40K","-0.66%"
"Aug 21, 2012","15.00","15.00","15.15","14.75","215.00K","0.00%"
"Aug 22, 2012","14.85","15.00","15.00","14.80","39.50K","-1.00%"
"Aug 23, 2012","14.75","14.85","14.85","14.65","138.00K","-0.67%"
"Aug 24, 2012","14.50","14.75","14.75","14.50","460.60K","-1.69%"
"Aug 27, 2012","14.50","14.50","14.60","14.50","67.70K","0.00%"
"Aug 28, 2012","14.55","14.50","14.70","14.45","63.60K","0.34%"
"Aug 29, 2012","14.80","14.55","14.85","14.80","18.50K","1.72%"
"Aug 30, 2012","14.80","14.80","14.95","14.60","52.00K","0.00%"
"Aug 31, 2012","14.75","14.80","14.85","14.40","2.65M","-0.34%"
"Sep 03, 2012","15.00","14.75","15.00","14.50","8.05M","1.69%"
"Sep 04, 2012","14.85","15.00","15.00","14.80","114.70K","-1.00%"
"Sep 05, 2012","15.00","14.85","15.10","14.80","726.50K","1.01%"
"Sep 06, 2012","14.95","15.00","15.20","14.60","6.30K","-0.33%"
"Sep 07, 2012","15.10","14.95","15.10","15.05","53.90K","1.00%"
"Sep 10, 2012","13.15","15.10","14.90","13.00","3.12M","-12.91%"
"Sep 11, 2012","13.10","13.15","13.15","12.50","3.37M","-0.38%"
