"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 04, 2012","13.90","13.75","14.00","13.50","3.70K","1.09%"
"Dec 05, 2012","13.65","13.90","13.90","13.60","16.70K","-1.80%"
"Dec 06, 2012","13.75","13.65","13.90","13.60","15.90K","0.73%"
"Dec 07, 2012","13.75","13.75","13.95","13.75","24.40K","0.00%"
"Dec 10, 2012","13.95","13.75","14.00","13.90","2.20K","1.45%"
"Dec 11, 2012","13.85","13.95","13.95","13.75","11.10K","-0.72%"
"Dec 13, 2012","13.80","13.85","13.90","13.80","1.00K","-0.36%"
"Dec 14, 2012","13.70","13.80","13.85","13.60","7.30K","-0.72%"
"Dec 17, 2012","13.75","13.70","13.80","13.70","13.40K","0.36%"
"Dec 18, 2012","13.70","13.75","13.75","13.60","7.80K","-0.36%"
"Dec 19, 2012","13.65","13.60","13.70","13.60","1.30K","-0.36%"
"Dec 20, 2012","13.75","13.75","13.80","13.60","17.50K","0.73%"
"Dec 21, 2012","13.75","13.85","13.85","13.75","2.90K","0.00%"
"Dec 24, 2012","13.80","13.80","13.80","13.80","15.70K","0.36%"
"Dec 27, 2012","13.85","13.85","13.85","13.85","0.30K","0.36%"
"Dec 28, 2012","13.95","13.95","14.00","13.80","46.90K","0.72%"
"Dec 31, 2012","13.85","13.90","14.00","13.80","1.00K","-0.72%"
"Jan 02, 2013","13.90","13.95","13.95","13.75","2.60K","0.36%"
"Jan 03, 2013","13.85","13.95","13.95","13.50","1.40K","-0.36%"
"Jan 04, 2013","13.90","13.90","13.95","13.85","10.00K","0.36%"
"Jan 07, 2013","13.65","13.50","14.00","13.50","25.70K","-1.80%"
"Jan 08, 2013","13.65","13.65","13.65","13.65","1.90K","0.00%"
"Jan 09, 2013","13.55","13.65","13.65","13.55","38.10K","-0.73%"
"Jan 10, 2013","13.65","13.75","13.75","13.55","8.60K","0.74%"
"Jan 11, 2013","13.50","13.50","13.65","13.50","14.50K","-1.10%"
"Jan 14, 2013","13.90","13.95","14.00","13.50","6.70K","2.96%"
"Jan 15, 2013","13.90","13.90","13.95","13.50","10.10K","0.00%"
"Jan 16, 2013","14.00","14.00","14.40","13.90","164.90K","0.72%"
"Jan 17, 2013","14.10","14.35","14.40","14.00","45.50K","0.71%"
"Jan 18, 2013","14.30","14.30","14.40","14.30","3.70K","1.42%"
"Jan 21, 2013","14.10","14.30","14.30","14.00","5.10K","-1.40%"
"Jan 22, 2013","13.85","14.00","14.00","13.50","1.90K","-1.77%"
"Jan 23, 2013","13.90","14.00","14.00","13.80","32.60K","0.36%"
"Jan 24, 2013","13.85","13.90","13.90","13.80","10.40K","-0.36%"
"Jan 25, 2013","13.75","13.80","13.90","13.70","19.50K","-0.72%"
"Jan 28, 2013","13.45","13.70","13.90","13.00","8.70K","-2.18%"
"Jan 29, 2013","13.35","13.00","13.90","13.00","6.10K","-0.74%"
"Jan 30, 2013","13.60","13.60","13.60","13.60","0.10K","1.87%"
"Jan 31, 2013","13.65","13.65","13.90","13.65","5.20K","0.37%"
"Feb 01, 2013","14.00","14.00","14.00","14.00","7.00K","2.56%"
"Feb 04, 2013","13.60","14.00","14.00","13.60","6.10K","-2.86%"
"Feb 05, 2013","13.65","13.65","13.80","13.60","11.30K","0.37%"
"Feb 06, 2013","13.75","13.80","13.80","13.75","4.50K","0.73%"
"Feb 07, 2013","14.00","14.00","14.00","14.00","23.30K","1.82%"
"Feb 08, 2013","14.00","14.00","14.00","14.00","21.00K","0.00%"
"Feb 11, 2013","13.85","13.90","13.90","13.85","16.90K","-1.07%"
"Feb 12, 2013","13.85","13.90","13.90","13.80","3.30K","0.00%"
"Feb 13, 2013","13.80","13.80","13.85","13.75","4.80K","-0.36%"
"Feb 14, 2013","13.80","13.90","13.90","13.65","23.80K","0.00%"
"Feb 15, 2013","13.85","13.90","13.90","13.65","5.60K","0.36%"
"Feb 18, 2013","13.90","13.90","13.90","13.90","1.60K","0.36%"
"Feb 19, 2013","13.85","13.90","13.90","13.85","500.10K","-0.36%"
"Feb 20, 2013","14.05","14.00","14.15","14.00","100.90K","1.44%"
"Feb 21, 2013","14.00","14.00","14.00","14.00","50.90K","-0.36%"
"Feb 22, 2013","15.15","14.20","15.40","14.20","10.00K","8.21%"
"Feb 25, 2013","14.05","14.50","14.50","14.00","10.20K","-7.26%"
"Feb 26, 2013","14.20","14.00","14.50","14.00","9.00K","1.07%"
"Feb 27, 2013","14.20","14.10","14.50","14.00","24.00K","0.00%"
"Feb 28, 2013","14.30","14.50","14.50","14.30","5.50K","0.70%"
"Mar 01, 2013","14.50","14.50","14.50","14.50","1.50K","1.40%"
"Mar 05, 2013","14.25","14.25","14.25","14.25","15.10K","-1.72%"
"Mar 06, 2013","14.50","14.50","14.55","14.50","1.60K","1.75%"
"Mar 07, 2013","15.40","15.40","15.40","15.40","1.20K","6.21%"
"Mar 08, 2013","15.40","15.40","15.40","15.40","12.70K","0.00%"
"Mar 11, 2013","15.40","15.40","15.50","15.40","24.50K","0.00%"
"Mar 12, 2013","15.65","16.00","16.00","15.40","6.30K","1.62%"
"Mar 13, 2013","15.80","15.40","15.95","15.40","6.10K","0.96%"
"Mar 14, 2013","15.50","15.80","15.95","15.40","67.20K","-1.90%"
"Mar 15, 2013","15.55","15.40","15.80","15.40","6.90K","0.32%"
"Mar 18, 2013","15.40","15.50","15.50","15.40","4.10K","-0.96%"
"Mar 19, 2013","14.90","15.00","15.00","14.80","17.00K","-3.25%"
"Mar 20, 2013","14.60","14.70","14.80","14.60","15.40K","-2.01%"
