"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 06, 2015","21.00","21.00","21.00","21.00","0.30K","0.00%"
"Jan 12, 2015","19.00","19.00","19.00","19.00","0.10K","-9.52%"
"Jan 14, 2015","19.00","19.00","19.00","19.00","0.10K","0.00%"
"Jan 19, 2015","20.00","20.00","20.00","20.00","1.68M","5.26%"
"Jan 21, 2015","20.75","20.75","20.75","20.75","0.10K","3.75%"
"Jan 22, 2015","20.00","20.00","20.00","20.00","21.20K","-3.61%"
"Jan 27, 2015","20.00","20.00","20.00","20.00","916.60K","0.00%"
"Jan 28, 2015","21.00","21.00","21.00","21.00","10.00K","5.00%"
"Feb 02, 2015","21.00","21.00","21.00","21.00","1.00K","0.00%"
"Feb 03, 2015","20.00","20.00","20.00","20.00","2.00M","-4.76%"
"Feb 04, 2015","20.00","20.00","21.00","20.00","263.20K","0.00%"
"Feb 05, 2015","20.00","20.00","20.00","20.00","0.50K","0.00%"
"Feb 06, 2015","20.00","20.00","20.00","20.00","1.70K","0.00%"
"Feb 09, 2015","20.00","20.00","20.00","20.00","77.00K","0.00%"
"Feb 10, 2015","21.75","20.00","22.00","20.00","17.00K","8.75%"
"Feb 13, 2015","20.00","20.00","20.00","20.00","155.40K","-8.05%"
"Feb 16, 2015","20.25","20.25","20.25","20.25","100.00K","1.25%"
"Feb 17, 2015","18.50","18.50","18.50","18.50","104.30K","-8.64%"
"Feb 18, 2015","20.00","20.00","20.00","20.00","35.00K","8.11%"
"Feb 19, 2015","20.00","20.00","20.00","20.00","9.90K","0.00%"
"Feb 20, 2015","20.00","20.00","20.00","20.00","1.00K","0.00%"
"Feb 23, 2015","20.00","20.00","20.00","20.00","2.50K","0.00%"
"Feb 24, 2015","20.00","20.00","20.00","20.00","0.50K","0.00%"
"Feb 25, 2015","19.95","20.00","20.00","19.95","160.60K","-0.25%"
"Feb 27, 2015","19.95","20.00","20.00","19.95","1.58M","0.00%"
"Mar 03, 2015","19.50","19.75","19.75","19.50","1.61M","-2.26%"
"Mar 04, 2015","19.50","19.50","19.50","19.50","400.10K","0.00%"
"Mar 05, 2015","19.30","19.45","19.45","19.30","672.70K","-1.03%"
"Mar 09, 2015","19.30","19.30","19.30","19.30","153.30K","0.00%"
"Mar 10, 2015","19.30","19.30","19.30","19.30","254.00K","0.00%"
"Mar 11, 2015","19.30","19.30","19.30","19.30","40.00K","0.00%"
"Mar 12, 2015","19.30","19.30","19.30","19.30","0.80K","0.00%"
"Mar 13, 2015","19.20","19.20","19.20","19.20","3.10K","-0.52%"
"Mar 16, 2015","19.00","19.00","19.00","19.00","234.00K","-1.04%"
"Mar 17, 2015","19.00","19.30","19.30","19.00","201.50K","0.00%"
"Mar 19, 2015","18.95","18.95","18.95","18.95","2.00M","-0.26%"
