"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 23, 2015","24.75","24.50","25.25","24.50","92.80K","1.02%"
"Feb 24, 2015","24.25","23.75","24.50","23.75","20.10K","-2.02%"
"Feb 25, 2015","24.25","24.00","24.50","24.00","25.90K","0.00%"
"Feb 26, 2015","24.75","24.50","25.00","24.50","50.40K","2.06%"
"Feb 27, 2015","24.50","24.75","24.75","24.50","20.00K","-1.01%"
"Mar 02, 2015","24.75","25.00","25.00","24.50","9.30K","1.02%"
"Mar 03, 2015","24.50","24.75","24.75","24.50","13.00K","-1.01%"
"Mar 04, 2015","24.50","24.50","25.00","24.50","44.60K","0.00%"
"Mar 05, 2015","24.00","24.50","24.50","24.00","5.90K","-2.04%"
"Mar 06, 2015","24.25","24.50","24.50","24.00","38.60K","1.04%"
"Mar 09, 2015","24.00","24.00","24.50","24.00","91.80K","-1.03%"
"Mar 10, 2015","24.00","24.25","24.50","24.00","51.90K","0.00%"
"Mar 11, 2015","24.25","24.50","24.75","24.00","97.80K","1.04%"
"Mar 12, 2015","24.50","24.50","24.75","24.50","41.70K","1.03%"
"Mar 13, 2015","24.75","24.50","25.00","24.50","156.40K","1.02%"
"Mar 16, 2015","24.75","25.00","25.75","24.75","14.20K","0.00%"
"Mar 17, 2015","24.50","25.00","25.00","24.50","13.50K","-1.01%"
"Mar 18, 2015","24.50","24.75","24.75","24.50","9.70K","0.00%"
"Mar 19, 2015","24.75","24.75","25.50","24.75","22.80K","1.02%"
"Mar 20, 2015","25.00","25.00","25.50","24.75","15.60K","1.01%"
"Mar 23, 2015","25.00","25.00","25.00","25.00","2.40K","0.00%"
"Mar 24, 2015","24.50","25.00","25.50","24.50","22.60K","-2.00%"
"Mar 25, 2015","24.75","24.75","24.75","24.75","15.60K","1.02%"
"Mar 26, 2015","25.00","25.00","25.00","25.00","6.10K","1.01%"
"Mar 27, 2015","24.50","24.50","25.50","24.50","2.90K","-2.00%"
"Mar 30, 2015","24.50","24.75","25.00","24.50","20.90K","0.00%"
"Mar 31, 2015","25.00","24.75","26.00","24.75","14.80K","2.04%"
"Apr 01, 2015","25.00","26.00","26.00","25.00","21.00K","0.00%"
"Apr 02, 2015","25.25","25.00","25.75","25.00","4.30K","1.00%"
"Apr 07, 2015","25.00","25.00","25.25","25.00","3.90K","-0.99%"
"Apr 08, 2015","25.00","25.00","25.25","25.00","28.30K","0.00%"
"Apr 09, 2015","24.50","25.00","25.25","24.00","303.80K","-2.00%"
"Apr 10, 2015","24.75","25.00","26.00","22.25","46.40K","1.02%"
"Apr 13, 2015","23.00","23.00","24.00","23.00","3.10K","-7.07%"
"Apr 14, 2015","23.50","23.50","24.00","23.00","164.20K","2.17%"
"Apr 15, 2015","23.25","24.25","24.25","23.00","2.90K","-1.06%"
"Apr 16, 2015","23.00","24.75","24.75","23.00","15.40K","-1.08%"
"Apr 17, 2015","23.75","23.00","24.00","23.00","1.00K","3.26%"
"Apr 20, 2015","23.75","24.00","24.00","23.75","0.70K","0.00%"
"Apr 21, 2015","23.00","24.00","24.00","23.00","8.00K","-3.16%"
"Apr 22, 2015","23.25","23.00","23.50","23.00","3.70K","1.09%"
"Apr 23, 2015","23.00","23.50","23.50","23.00","15.20K","-1.08%"
"Apr 24, 2015","23.25","23.00","24.00","23.00","106.50K","1.09%"
"Apr 27, 2015","23.25","24.75","24.75","23.25","0.70K","0.00%"
"Apr 28, 2015","24.50","23.50","25.00","23.50","207.80K","5.38%"
"Apr 29, 2015","23.75","23.50","25.00","23.25","3.60K","-3.06%"
"Apr 30, 2015","22.50","23.25","24.00","21.50","165.50K","-5.26%"
"May 04, 2015","21.00","23.75","24.75","21.00","33.22M","-6.67%"
"May 05, 2015","22.75","22.50","23.00","22.25","12.00K","8.33%"
"May 06, 2015","23.75","25.00","25.00","23.00","19.10K","4.40%"
"May 07, 2015","23.00","22.50","24.00","22.50","1.60K","-3.16%"
"May 08, 2015","23.00","23.00","23.50","23.00","9.80K","0.00%"
"May 11, 2015","24.75","23.50","25.25","23.50","264.00K","7.61%"
"May 12, 2015","23.75","25.25","25.25","23.50","14.10K","-4.04%"
"May 13, 2015","24.75","25.00","25.00","23.50","591.30K","4.21%"
"May 14, 2015","24.75","24.75","25.00","24.75","16.80K","0.00%"
"May 15, 2015","24.75","24.75","24.75","24.75","2.80K","0.00%"
"May 18, 2015","24.50","24.75","25.00","24.50","3.20K","-1.01%"
"May 19, 2015","24.75","24.00","25.25","24.00","72.90K","1.02%"
"May 20, 2015","24.75","25.00","25.00","24.25","67.90K","0.00%"
"May 21, 2015","24.00","25.00","25.00","24.00","3.90K","-3.03%"
"May 22, 2015","24.50","24.00","24.75","24.00","5.40K","2.08%"
"May 25, 2015","24.75","24.00","25.00","24.00","54.90K","1.02%"
"May 26, 2015","24.00","24.25","24.25","24.00","0.50K","-3.03%"
"May 27, 2015","24.75","24.50","25.00","24.50","17.00K","3.13%"
"May 28, 2015","24.75","24.25","25.00","24.00","16.30K","0.00%"
"May 29, 2015","24.75","24.75","25.25","24.00","49.20K","0.00%"
"Jun 02, 2015","24.75","25.00","25.25","23.00","28.60K","0.00%"
"Jun 03, 2015","25.00","25.00","25.00","25.00","3.00K","1.01%"
"Jun 04, 2015","24.75","25.00","25.00","24.75","100.90K","-1.00%"
"Jun 05, 2015","24.50","24.50","24.75","24.50","2.80K","-1.01%"
"Jun 08, 2015","24.50","25.00","25.00","24.50","1.50K","0.00%"
"Jun 09, 2015","23.25","24.50","24.50","23.25","0.60K","-5.10%"
