"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 29, 2014","11.00","11.00","11.30","10.95","1.08M","0.00%"
"Sep 30, 2014","11.10","11.00","11.30","11.00","1.67M","0.91%"
"Oct 01, 2014","11.40","11.10","11.75","11.10","1.81M","2.70%"
"Oct 02, 2014","11.50","11.80","11.95","11.35","1.73M","0.88%"
"Oct 03, 2014","11.30","11.50","11.50","11.15","1.04M","-1.74%"
"Oct 06, 2014","11.10","11.20","11.25","11.05","484.70K","-1.77%"
"Oct 07, 2014","11.15","11.20","11.30","11.00","589.70K","0.45%"
"Oct 08, 2014","11.30","11.30","11.40","11.20","495.60K","1.35%"
"Oct 09, 2014","11.30","11.40","11.40","11.30","461.90K","0.00%"
"Oct 10, 2014","11.15","11.35","11.35","11.00","829.20K","-1.33%"
"Oct 13, 2014","11.05","11.20","11.30","11.00","584.70K","-0.90%"
"Oct 14, 2014","10.90","11.10","11.10","10.75","490.20K","-1.36%"
"Oct 15, 2014","10.70","10.80","11.00","10.05","563.10K","-1.83%"
"Oct 16, 2014","10.60","11.00","11.00","10.50","556.50K","-0.93%"
"Oct 17, 2014","10.55","10.90","11.00","10.50","959.50K","-0.47%"
"Oct 21, 2014","10.50","10.55","10.55","10.40","499.70K","-0.47%"
"Oct 22, 2014","10.30","10.50","10.55","10.10","616.40K","-1.90%"
"Oct 23, 2014","10.05","10.55","10.55","9.90","544.30K","-2.43%"
"Oct 24, 2014","9.90","10.50","10.50","9.75","344.70K","-1.49%"
"Oct 27, 2014","9.95","10.00","10.00","9.80","466.70K","0.51%"
"Oct 28, 2014","10.00","9.95","10.30","9.95","770.00K","0.50%"
"Oct 29, 2014","10.15","10.20","10.35","10.00","551.10K","1.50%"
"Oct 30, 2014","10.05","10.30","10.30","10.00","452.20K","-0.99%"
"Oct 31, 2014","10.00","10.15","10.20","10.00","554.20K","-0.50%"
"Nov 03, 2014","10.00","10.00","10.15","9.95","437.90K","0.00%"
"Nov 04, 2014","9.75","10.00","10.05","9.50","333.10K","-2.50%"
"Nov 05, 2014","9.55","9.75","9.90","9.00","194.30K","-2.05%"
"Nov 06, 2014","9.40","9.55","9.65","9.00","209.30K","-1.57%"
"Nov 07, 2014","9.55","9.35","10.00","9.30","393.60K","1.60%"
"Nov 10, 2014","9.85","9.95","10.35","9.50","297.40K","3.14%"
"Nov 11, 2014","10.05","10.00","10.35","10.00","571.90K","2.03%"
"Nov 12, 2014","10.00","10.15","10.20","9.85","499.90K","-0.50%"
"Nov 13, 2014","9.85","10.00","10.00","9.70","157.20K","-1.50%"
"Nov 14, 2014","9.80","9.80","9.90","9.75","297.20K","-0.51%"
"Nov 17, 2014","9.80","9.75","9.95","9.70","322.90K","0.00%"
"Nov 18, 2014","9.75","9.80","9.95","9.50","281.80K","-0.51%"
"Nov 19, 2014","9.75","9.70","9.80","9.50","334.40K","0.00%"
"Nov 20, 2014","9.80","9.75","9.80","9.70","878.80K","0.51%"
"Nov 21, 2014","9.75","9.90","9.95","9.70","395.10K","-0.51%"
"Nov 24, 2014","9.85","9.80","9.95","9.80","190.10K","1.03%"
"Nov 25, 2014","9.90","9.95","10.00","9.85","281.90K","0.51%"
"Nov 26, 2014","9.85","9.95","10.00","9.80","382.00K","-0.51%"
"Nov 27, 2014","9.85","9.90","10.00","9.70","315.20K","0.00%"
"Nov 28, 2014","9.70","9.90","9.90","9.60","411.80K","-1.52%"
"Dec 01, 2014","9.80","9.95","9.95","9.70","1.04M","1.03%"
"Dec 02, 2014","9.75","9.90","10.00","9.70","444.20K","-0.51%"
"Dec 03, 2014","9.70","9.75","9.80","9.65","812.10K","-0.51%"
"Dec 04, 2014","9.65","9.70","9.80","9.50","599.10K","-0.52%"
"Dec 05, 2014","9.60","9.60","9.80","9.45","150.80K","-0.52%"
"Dec 08, 2014","9.40","9.50","9.60","9.25","834.50K","-2.08%"
"Dec 09, 2014","9.35","9.40","9.45","9.20","542.50K","-0.53%"
"Dec 10, 2014","9.30","9.40","9.40","9.20","184.40K","-0.53%"
"Dec 11, 2014","9.15","9.35","9.35","9.00","559.70K","-1.61%"
"Dec 15, 2014","9.00","9.30","9.30","9.00","407.20K","-1.64%"
