"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2012","165.00","171.00","167.00","165.00","2.80K","0.00%"
"Oct 24, 2012","167.00","165.00","168.00","165.00","6.90K","1.21%"
"Oct 25, 2012","166.00","167.00","166.00","166.00","3.10K","-0.60%"
"Oct 26, 2012","166.00","166.00","167.00","166.00","4.80K","0.00%"
"Oct 29, 2012","166.00","166.00","167.00","165.00","12.70K","0.00%"
"Oct 30, 2012","166.00","166.00","170.00","166.00","2.70K","0.00%"
"Oct 31, 2012","166.00","166.00","167.00","166.00","0.40K","0.00%"
"Nov 01, 2012","167.00","166.00","170.00","166.00","0.30K","0.60%"
"Nov 02, 2012","170.00","167.00","170.00","170.00","1.20K","1.80%"
"Nov 05, 2012","168.00","170.00","170.00","166.00","2.30K","-1.18%"
"Nov 06, 2012","170.00","168.00","170.00","170.00","40.10K","1.19%"
"Nov 08, 2012","165.00","170.00","170.00","165.00","17.30K","-2.94%"
"Nov 09, 2012","169.00","165.00","170.00","169.00","0.60K","2.42%"
"Nov 12, 2012","173.00","169.00","175.00","169.00","104.80K","2.37%"
"Nov 13, 2012","170.00","173.00","178.00","168.00","9.20K","-1.73%"
"Nov 14, 2012","170.00","170.00","170.00","170.00","0.20K","0.00%"
"Nov 19, 2012","170.00","165.00","172.00","170.00","3.50K","0.00%"
"Nov 20, 2012","170.00","170.00","174.00","170.00","1.80K","0.00%"
"Nov 22, 2012","173.00","170.00","175.00","171.00","44.70K","1.76%"
"Nov 23, 2012","170.00","173.00","170.00","170.00","0.10K","-1.73%"
"Nov 26, 2012","170.00","170.00","170.00","170.00","10.00K","0.00%"
"Nov 27, 2012","170.00","170.00","170.00","170.00","4.00K","0.00%"
"Nov 28, 2012","170.00","170.00","170.00","170.00","20.00K","0.00%"
"Nov 29, 2012","170.00","170.00","170.00","170.00","1.00K","0.00%"
"Nov 30, 2012","169.00","170.00","170.00","168.00","6.40K","-0.59%"
"Dec 03, 2012","169.00","169.00","169.00","169.00","0.40K","0.00%"
"Dec 04, 2012","167.00","169.00","169.00","167.00","24.50K","-1.18%"
"Dec 05, 2012","169.00","167.00","170.00","169.00","2.30K","1.20%"
"Dec 06, 2012","170.00","169.00","170.00","170.00","2.20K","0.59%"
"Dec 07, 2012","168.00","170.00","170.00","167.00","2.90K","-1.18%"
"Dec 10, 2012","169.00","168.00","170.00","168.00","3.40K","0.60%"
"Dec 11, 2012","168.00","169.00","169.00","168.00","17.90K","-0.59%"
