"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 24, 2012","12.40","12.15","12.60","12.10","372.10K","2.06%"
"Oct 25, 2012","12.40","12.40","12.50","12.20","121.40K","0.00%"
"Oct 26, 2012","12.45","12.40","12.50","12.15","130.30K","0.40%"
"Oct 29, 2012","12.45","12.45","12.70","12.40","67.80K","0.00%"
"Oct 30, 2012","12.50","12.45","12.60","12.40","124.50K","0.40%"
"Oct 31, 2012","12.45","12.50","12.60","12.40","276.20K","-0.40%"
"Nov 01, 2012","12.45","12.45","12.50","12.35","142.10K","0.00%"
"Nov 02, 2012","12.60","12.45","12.60","12.35","1.08M","1.20%"
"Nov 05, 2012","12.35","12.60","12.60","12.20","32.00K","-1.98%"
"Nov 06, 2012","12.55","12.35","13.00","12.50","189.20K","1.62%"
"Nov 07, 2012","12.50","12.55","12.60","12.40","115.70K","-0.40%"
"Nov 08, 2012","12.45","12.55","12.50","12.40","24.60K","-0.40%"
"Nov 09, 2012","12.45","12.45","12.55","12.15","246.60K","0.00%"
"Nov 12, 2012","12.35","12.45","12.60","12.35","32.70K","-0.80%"
"Nov 13, 2012","12.20","12.35","12.40","12.20","57.50K","-1.21%"
"Nov 14, 2012","12.25","12.20","12.50","12.20","103.20K","0.41%"
"Nov 15, 2012","12.30","12.25","12.35","12.10","1.17M","0.41%"
"Nov 16, 2012","12.15","12.30","12.30","12.10","21.00K","-1.22%"
"Nov 19, 2012","12.15","12.15","12.30","12.10","44.10K","0.00%"
"Nov 20, 2012","12.10","12.15","12.35","11.65","117.20K","-0.41%"
"Nov 21, 2012","11.70","12.10","12.00","11.60","22.60K","-3.31%"
"Nov 22, 2012","11.65","11.70","11.80","11.65","15.80K","-0.43%"
"Nov 23, 2012","11.45","11.65","11.65","11.25","15.30K","-1.72%"
"Nov 26, 2012","11.60","11.45","11.65","11.45","257.90K","1.31%"
"Nov 27, 2012","11.50","11.60","11.60","11.45","51.40K","-0.86%"
"Nov 28, 2012","11.55","11.50","11.90","11.45","11.90K","0.43%"
