"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2012","40.00","40.25","40.00","40.00","0.20K","-0.62%"
"Dec 03, 2012","40.00","40.00","40.00","40.00","16.50K","0.00%"
"Dec 04, 2012","40.25","40.00","40.50","40.00","16.00K","0.63%"
"Dec 05, 2012","40.00","40.25","40.50","40.00","14.70K","-0.62%"
"Dec 06, 2012","40.00","40.00","40.00","40.00","16.00K","0.00%"
"Dec 10, 2012","40.00","40.00","40.00","40.00","3.30K","0.00%"
"Dec 11, 2012","40.00","40.00","40.00","40.00","4.30K","0.00%"
"Dec 13, 2012","40.00","40.00","40.00","40.00","1.10K","0.00%"
"Dec 14, 2012","40.25","0.00","40.75","40.00","-","0.63%"
"Dec 17, 2012","40.00","40.25","41.00","40.00","5.70K","-0.62%"
"Dec 18, 2012","40.25","40.25","40.25","40.25","0.10K","0.63%"
"Dec 19, 2012","40.00","41.00","41.00","40.00","1.80K","-0.62%"
"Dec 20, 2012","40.00","40.25","40.25","40.00","2.30K","0.00%"
"Dec 21, 2012","41.00","41.00","41.00","41.00","1.10K","2.50%"
"Dec 24, 2012","40.25","40.25","40.25","40.25","2.00K","-1.83%"
"Dec 27, 2012","40.00","40.25","40.25","40.00","2.40K","-0.62%"
"Dec 28, 2012","40.25","40.25","40.25","40.25","0.40K","0.63%"
"Dec 31, 2012","40.25","40.25","40.25","40.25","1.60K","0.00%"
"Jan 02, 2013","40.25","40.25","40.25","40.25","1.40K","0.00%"
"Jan 03, 2013","40.25","40.25","40.25","40.25","0.20K","0.00%"
"Jan 04, 2013","41.00","41.00","41.00","41.00","0.20K","1.86%"
"Jan 07, 2013","41.00","45.00","45.00","41.00","14.30K","0.00%"
"Jan 08, 2013","41.00","41.00","41.00","41.00","39.40K","0.00%"
"Jan 09, 2013","40.75","41.00","41.00","40.00","80.30K","-0.61%"
"Jan 10, 2013","41.25","44.75","44.75","41.00","107.90K","1.23%"
"Jan 11, 2013","41.75","41.50","42.00","41.50","18.30K","1.21%"
"Jan 14, 2013","41.75","41.75","42.00","41.75","3.40K","0.00%"
"Jan 15, 2013","42.00","42.00","42.50","41.75","83.30K","0.60%"
"Jan 16, 2013","42.25","42.50","42.50","42.00","21.40K","0.60%"
"Jan 17, 2013","42.25","43.00","43.00","42.00","3.00K","0.00%"
"Jan 18, 2013","42.00","42.00","42.00","42.00","4.00K","-0.59%"
"Jan 21, 2013","42.00","42.00","42.00","42.00","14.40K","0.00%"
"Jan 22, 2013","42.00","42.00","42.00","42.00","11.30K","0.00%"
"Jan 23, 2013","42.75","43.00","44.00","42.25","5.50K","1.79%"
"Jan 24, 2013","42.75","42.75","42.75","42.75","0.40K","0.00%"
"Jan 25, 2013","43.50","43.50","43.50","43.50","0.10K","1.75%"
"Jan 29, 2013","41.50","42.50","43.00","39.25","11.90K","-4.60%"
"Jan 30, 2013","42.25","43.00","43.00","42.00","15.80K","1.81%"
"Jan 31, 2013","42.75","43.00","43.00","42.00","21.40K","1.18%"
"Feb 01, 2013","42.75","42.75","43.00","42.75","2.10K","0.00%"
"Feb 04, 2013","42.00","42.25","42.25","42.00","10.00K","-1.75%"
"Feb 05, 2013","42.00","42.25","42.25","42.00","3.30K","0.00%"
"Feb 06, 2013","42.00","42.00","42.75","41.50","31.30K","0.00%"
"Feb 07, 2013","42.00","42.00","42.00","42.00","0.10K","0.00%"
"Feb 08, 2013","43.00","42.75","43.50","42.75","59.00K","2.38%"
"Feb 11, 2013","43.00","43.00","43.00","42.50","48.40K","0.00%"
"Feb 12, 2013","43.25","44.00","44.00","43.00","20.30K","0.58%"
"Feb 13, 2013","44.25","44.00","45.00","44.00","9.80K","2.31%"
"Feb 14, 2013","45.00","45.00","45.00","45.00","13.90K","1.69%"
"Feb 15, 2013","46.00","46.00","46.00","46.00","3.90K","2.22%"
"Feb 18, 2013","46.00","46.00","46.00","46.00","3.50K","0.00%"
"Feb 19, 2013","45.00","45.00","45.00","45.00","2.50K","-2.17%"
"Feb 21, 2013","47.00","47.75","48.50","45.00","21.60K","4.44%"
"Feb 22, 2013","48.00","48.00","48.50","48.00","30.10K","2.13%"
"Feb 25, 2013","48.25","48.00","50.00","48.00","29.20K","0.52%"
"Feb 26, 2013","49.50","48.50","51.50","47.75","109.80K","2.59%"
"Feb 27, 2013","49.50","48.25","50.00","48.25","8.70K","0.00%"
"Feb 28, 2013","50.00","50.00","53.00","50.00","26.20K","1.01%"
"Mar 01, 2013","50.25","52.50","52.50","50.00","22.90K","0.50%"
"Mar 05, 2013","52.50","52.00","53.00","52.00","7.20K","4.48%"
"Mar 06, 2013","52.50","53.00","53.00","52.50","135.10K","0.00%"
"Mar 07, 2013","53.00","53.00","54.00","53.00","61.90K","0.95%"
"Mar 08, 2013","52.50","54.00","54.00","52.00","30.30K","-0.94%"
"Mar 11, 2013","56.50","54.00","57.00","54.00","225.70K","7.62%"
"Mar 12, 2013","60.00","57.00","61.50","57.00","5.90K","6.19%"
"Mar 13, 2013","58.50","60.00","60.00","56.50","74.40K","-2.50%"
"Mar 14, 2013","57.50","60.00","60.00","56.50","36.80K","-1.71%"
"Mar 15, 2013","54.50","55.00","55.00","53.00","25.80K","-5.22%"
"Mar 18, 2013","56.00","57.00","57.00","55.00","13.50K","2.75%"
"Mar 19, 2013","56.50","56.00","57.50","56.00","34.70K","0.89%"
"Mar 20, 2013","57.00","57.00","58.00","56.00","13.60K","0.88%"
"Mar 21, 2013","56.00","57.50","57.50","56.00","10.60K","-1.75%"
"Mar 22, 2013","55.50","57.00","57.00","54.00","11.90K","-0.89%"
"Mar 25, 2013","56.00","56.00","57.00","55.00","18.90K","0.90%"
"Mar 26, 2013","55.50","56.00","56.00","53.00","22.70K","-0.89%"
"Mar 27, 2013","56.50","56.00","57.50","56.00","30.20K","1.80%"
"Mar 28, 2013","59.00","57.50","60.00","57.50","89.10K","4.42%"
"Apr 02, 2013","62.50","60.00","64.50","60.00","124.40K","5.93%"
"Apr 03, 2013","64.50","64.00","67.00","59.50","27.20K","3.20%"
"Apr 04, 2013","59.50","60.00","60.00","59.50","25.90K","-7.75%"
"Apr 05, 2013","60.50","59.00","63.00","59.00","14.10K","1.68%"
"Apr 08, 2013","62.00","62.50","64.50","60.50","80.50K","2.48%"
"Apr 10, 2013","63.50","64.00","64.00","61.50","4.70K","2.42%"
"Apr 11, 2013","62.50","63.00","64.00","61.50","13.70K","-1.57%"
"Apr 12, 2013","62.00","63.00","63.00","61.50","22.30K","-0.80%"
"Apr 15, 2013","61.00","61.50","63.00","60.00","53.80K","-1.61%"
"Apr 16, 2013","62.00","62.00","63.00","62.00","3.40K","1.64%"
"Apr 17, 2013","62.50","62.00","63.00","62.00","59.20K","0.81%"
"Apr 18, 2013","62.50","63.00","63.50","62.50","27.10K","0.00%"
"Apr 19, 2013","62.50","63.00","63.00","62.50","15.20K","0.00%"
"Apr 22, 2013","63.00","63.00","63.00","63.00","0.50K","0.80%"
"Apr 23, 2013","62.00","62.50","62.50","62.00","17.70K","-1.59%"
"Apr 24, 2013","62.00","62.50","62.50","62.00","1.80K","0.00%"
"Apr 25, 2013","62.00","62.00","62.00","62.00","1.30K","0.00%"
"Apr 26, 2013","62.00","62.00","63.00","62.00","5.50K","0.00%"
"Apr 29, 2013","61.00","62.00","62.00","61.00","10.80K","-1.61%"
"Apr 30, 2013","61.00","61.50","61.50","60.00","5.30K","0.00%"
"May 02, 2013","60.00","61.00","61.00","59.00","45.40K","-1.64%"
"May 03, 2013","60.00","60.00","61.00","60.00","25.20K","0.00%"
"May 06, 2013","60.50","60.00","61.50","60.00","29.60K","0.83%"
"May 07, 2013","60.50","60.50","61.00","60.50","3.90K","0.00%"
"May 08, 2013","61.50","61.00","64.00","60.50","3.50K","1.65%"
"May 09, 2013","61.00","61.00","64.00","61.00","52.90K","-0.81%"
"May 10, 2013","62.50","64.00","64.00","62.00","0.40K","2.46%"
"May 13, 2013","63.00","62.00","63.50","62.00","24.30K","0.80%"
"May 14, 2013","62.50","61.50","63.00","61.50","23.80K","-0.79%"
"May 15, 2013","62.00","62.50","62.50","62.00","16.00K","-0.80%"
"May 16, 2013","62.50","62.50","63.00","62.50","9.70K","0.81%"
"May 17, 2013","62.50","63.00","63.00","62.00","33.20K","0.00%"
"May 20, 2013","59.50","61.50","61.50","58.00","4.90K","-4.80%"
"May 21, 2013","56.50","59.50","59.50","56.50","8.60K","-5.04%"
"May 22, 2013","57.50","59.00","59.00","57.00","2.30K","1.77%"
"May 23, 2013","57.00","57.50","57.50","57.00","2.70K","-0.87%"
"May 24, 2013","59.00","59.00","59.00","59.00","0.10K","3.51%"
"May 27, 2013","57.50","59.00","59.00","57.00","36.20K","-2.54%"
"May 28, 2013","57.00","57.50","59.00","57.00","10.70K","-0.87%"
"May 29, 2013","57.00","57.50","57.50","57.00","18.00K","0.00%"
"May 30, 2013","57.00","60.00","60.00","57.00","7.80K","0.00%"
"May 31, 2013","56.50","56.00","57.00","56.00","10.10K","-0.88%"
"Jun 03, 2013","57.00","57.00","57.50","57.00","58.80K","0.88%"
"Jun 04, 2013","57.00","57.00","58.00","57.00","13.70K","0.00%"
"Jun 05, 2013","57.50","57.50","59.00","57.00","21.30K","0.88%"
"Jun 06, 2013","57.00","57.00","57.00","57.00","11.60K","-0.87%"
"Jun 07, 2013","57.00","57.00","57.00","57.00","9.10K","0.00%"
"Jun 10, 2013","59.00","59.00","59.00","59.00","0.10K","3.51%"
"Jun 11, 2013","57.50","57.50","57.50","57.50","4.80K","-2.54%"
"Jun 12, 2013","57.00","57.50","57.50","57.00","12.40K","-0.87%"
"Jun 13, 2013","57.00","57.00","57.00","57.00","1.70K","0.00%"
"Jun 14, 2013","55.50","56.00","56.00","55.00","5.50K","-2.63%"
"Jun 17, 2013","55.00","55.00","55.50","55.00","2.00K","-0.90%"
"Jun 18, 2013","55.00","56.00","56.00","55.00","5.20K","0.00%"
"Jun 19, 2013","54.00","54.00","55.00","54.00","0.80K","-1.82%"
"Jun 20, 2013","56.50","55.00","57.00","55.00","10.10K","4.63%"
"Jun 21, 2013","56.50","57.00","57.00","56.50","3.00K","0.00%"
"Jun 25, 2013","53.50","55.00","55.00","51.50","15.20K","-5.31%"
"Jun 26, 2013","51.50","51.50","51.50","51.50","14.20K","-3.74%"
"Jul 01, 2013","52.50","52.00","53.00","52.00","2.80K","1.94%"
"Jul 02, 2013","53.00","54.00","54.00","53.00","0.60K","0.95%"
"Jul 03, 2013","53.00","53.00","53.00","53.00","2.10K","0.00%"
"Jul 04, 2013","53.50","53.00","54.00","53.00","3.80K","0.94%"
"Jul 05, 2013","54.00","54.00","54.00","54.00","4.90K","0.93%"
"Jul 09, 2013","54.50","54.50","54.50","54.50","0.20K","0.93%"
"Jul 10, 2013","54.00","54.50","54.50","54.00","2.00K","-0.92%"
"Jul 11, 2013","57.00","57.00","57.00","57.00","0.10K","5.56%"
"Jul 12, 2013","56.00","56.00","56.00","56.00","1.00K","-1.75%"
"Jul 15, 2013","57.50","57.00","58.50","57.00","5.90K","2.68%"
"Jul 16, 2013","58.50","58.50","59.00","58.00","25.30K","1.74%"
"Jul 17, 2013","56.50","57.00","58.00","56.00","0.80K","-3.42%"
"Jul 18, 2013","56.50","57.00","57.00","56.00","7.00K","0.00%"
"Jul 19, 2013","55.50","55.50","56.00","55.50","15.80K","-1.77%"
"Jul 22, 2013","55.50","58.00","58.00","55.00","25.50K","0.00%"
"Jul 23, 2013","55.00","55.50","58.00","53.50","12.70K","-0.90%"
"Jul 24, 2013","54.50","54.50","54.50","54.50","0.70K","-0.91%"
"Jul 25, 2013","53.50","57.00","57.00","52.00","19.40K","-1.83%"
"Jul 26, 2013","55.00","55.00","55.50","55.00","7.90K","2.80%"
"Jul 29, 2013","55.00","55.00","55.00","55.00","0.20K","0.00%"
"Jul 30, 2013","54.50","55.00","55.00","55.00","1.50K","-0.91%"
"Jul 31, 2013","55.00","55.00","55.00","55.00","6.20K","0.92%"
"Aug 02, 2013","56.00","56.00","56.00","56.00","4.00K","1.82%"
"Aug 05, 2013","55.00","55.00","56.00","55.00","1.50K","-1.79%"
"Aug 06, 2013","56.00","56.00","56.00","56.00","7.00K","1.82%"
"Aug 07, 2013","56.00","56.00","56.00","56.00","8.40K","0.00%"
"Aug 08, 2013","55.00","56.00","56.00","55.00","5.30K","-1.79%"
"Aug 12, 2013","56.00","56.00","56.00","55.00","20.00K","1.82%"
"Aug 13, 2013","57.50","58.00","65.00","57.00","142.30K","2.68%"
"Aug 14, 2013","59.50","60.00","60.00","59.00","25.10K","3.48%"
"Aug 15, 2013","60.00","59.00","60.50","59.00","7.50K","0.84%"
"Aug 16, 2013","60.00","62.00","62.00","60.00","10.10K","0.00%"
"Aug 19, 2013","61.50","61.50","62.00","61.50","2.60K","2.50%"
"Aug 20, 2013","61.50","62.00","62.00","61.50","10.00K","0.00%"
"Aug 21, 2013","61.50","61.00","62.00","61.00","55.60K","0.00%"
