"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 03, 2014","4.00","4.00","4.15","4.00","194.20K","0.00%"
"Nov 04, 2014","4.05","4.20","4.40","3.85","152.60K","1.25%"
"Nov 05, 2014","3.80","4.00","4.00","3.65","208.10K","-6.17%"
"Nov 06, 2014","3.85","4.00","4.40","3.65","472.70K","1.32%"
"Nov 07, 2014","4.00","4.00","4.20","3.95","208.70K","3.90%"
"Nov 10, 2014","3.95","4.00","4.30","3.95","362.70K","-1.25%"
"Nov 11, 2014","4.00","4.00","4.30","3.95","340.40K","1.27%"
"Nov 12, 2014","4.00","4.35","4.35","3.95","343.50K","0.00%"
"Nov 13, 2014","4.00","4.10","4.10","3.95","426.70K","0.00%"
"Nov 14, 2014","4.15","4.05","4.35","4.00","1.35M","3.75%"
"Nov 17, 2014","4.25","4.35","4.40","4.15","523.10K","2.41%"
"Nov 18, 2014","4.50","4.40","4.65","4.30","533.70K","5.88%"
"Nov 19, 2014","4.35","4.60","4.60","4.30","144.70K","-3.33%"
"Nov 20, 2014","4.25","4.50","4.50","4.20","213.20K","-2.30%"
"Nov 21, 2014","4.20","4.20","4.45","4.15","87.00K","-1.18%"
"Nov 24, 2014","4.05","4.25","4.25","4.00","287.00K","-3.57%"
"Nov 25, 2014","4.00","4.20","4.20","3.95","463.30K","-1.23%"
"Nov 26, 2014","4.05","4.05","4.35","4.00","69.40K","1.25%"
"Nov 27, 2014","4.10","4.40","4.40","4.05","576.30K","1.23%"
"Nov 28, 2014","4.30","4.35","4.40","4.20","101.60K","4.88%"
"Dec 01, 2014","4.00","4.40","4.40","4.00","983.80K","-6.98%"
"Dec 02, 2014","4.10","4.20","4.20","4.10","209.80K","2.50%"
"Dec 03, 2014","4.10","4.20","4.25","4.10","296.40K","0.00%"
"Dec 04, 2014","4.15","4.15","4.30","4.10","82.80K","1.22%"
"Dec 05, 2014","4.10","4.15","4.30","4.05","115.00K","-1.20%"
"Dec 08, 2014","4.05","4.05","4.15","4.05","129.70K","-1.22%"
"Dec 09, 2014","4.00","4.15","4.15","4.00","250.40K","-1.23%"
"Dec 10, 2014","4.05","4.15","4.15","4.00","317.60K","1.25%"
"Dec 11, 2014","4.05","4.15","4.15","4.05","121.40K","0.00%"
"Dec 15, 2014","4.10","4.15","4.15","4.05","84.10K","1.23%"
"Dec 16, 2014","4.15","4.15","4.20","4.10","140.20K","1.22%"
"Dec 17, 2014","4.15","4.20","4.25","4.10","180.80K","0.00%"
"Dec 18, 2014","4.05","4.10","4.20","4.05","412.50K","-2.41%"
"Dec 19, 2014","4.15","4.30","4.30","4.10","212.60K","2.47%"
"Dec 22, 2014","4.15","4.20","4.20","4.10","117.80K","0.00%"
"Dec 23, 2014","4.15","4.20","4.25","4.10","195.90K","0.00%"
"Dec 24, 2014","4.10","4.15","4.25","4.10","219.40K","-1.20%"
"Dec 29, 2014","4.20","4.40","4.40","4.15","54.20K","2.44%"
"Dec 30, 2014","4.15","4.20","4.20","4.00","171.90K","-1.19%"
"Dec 31, 2014","4.10","4.20","4.20","4.05","159.80K","-1.20%"
"Jan 02, 2015","4.15","4.15","4.20","4.15","128.80K","1.22%"
"Jan 05, 2015","4.10","4.10","4.20","4.05","70.00K","-1.20%"
"Jan 06, 2015","4.05","4.10","4.10","4.00","340.90K","-1.22%"
"Jan 07, 2015","4.00","4.05","4.15","3.95","114.70K","-1.23%"
"Jan 08, 2015","4.00","4.10","4.10","4.00","172.90K","0.00%"
"Jan 09, 2015","3.95","4.00","4.10","3.95","171.40K","-1.25%"
"Jan 12, 2015","4.00","4.00","4.05","4.00","143.50K","1.27%"
"Jan 13, 2015","4.00","4.00","4.15","4.00","368.00K","0.00%"
"Jan 14, 2015","4.05","4.00","4.20","4.00","513.20K","1.25%"
"Jan 15, 2015","4.00","4.25","4.25","3.95","578.30K","-1.23%"
"Jan 16, 2015","4.00","4.00","4.10","3.95","413.10K","0.00%"
"Jan 19, 2015","4.00","4.15","4.15","3.95","409.10K","0.00%"
"Jan 20, 2015","3.95","4.00","4.00","3.90","2.28M","-1.25%"
"Jan 21, 2015","3.95","4.00","4.00","3.90","161.00K","0.00%"
"Jan 22, 2015","4.00","4.10","4.10","3.95","69.40K","1.27%"
"Jan 23, 2015","4.00","4.00","4.00","3.95","240.40K","0.00%"
"Jan 26, 2015","3.95","4.00","4.00","3.90","314.10K","-1.25%"
"Jan 27, 2015","3.90","4.00","4.00","3.90","240.20K","-1.27%"
"Jan 28, 2015","3.95","4.00","4.00","3.95","866.20K","1.28%"
"Jan 29, 2015","4.00","4.00","4.00","3.95","324.00K","1.27%"
"Jan 30, 2015","3.95","4.00","4.05","3.80","610.10K","-1.25%"
"Feb 02, 2015","3.95","3.95","4.00","3.80","100.80K","0.00%"
"Feb 03, 2015","3.90","4.00","4.00","3.85","423.80K","-1.27%"
"Feb 04, 2015","3.90","4.00","4.00","3.90","254.10K","0.00%"
"Feb 05, 2015","3.95","3.95","4.00","3.90","192.20K","1.28%"
"Feb 06, 2015","3.90","3.95","3.95","3.85","287.30K","-1.27%"
"Feb 09, 2015","3.95","4.00","4.20","3.80","177.90K","1.28%"
"Feb 10, 2015","3.90","4.00","4.00","3.90","131.80K","-1.27%"
"Feb 11, 2015","3.90","3.95","3.95","3.90","156.90K","0.00%"
"Feb 12, 2015","3.80","3.95","3.95","3.80","264.80K","-2.56%"
"Feb 13, 2015","3.80","3.90","3.90","3.75","338.10K","0.00%"
"Feb 16, 2015","3.80","3.90","3.90","3.75","216.10K","0.00%"
"Feb 17, 2015","3.80","3.80","3.90","3.75","395.60K","0.00%"
"Feb 18, 2015","3.70","3.75","3.80","3.65","340.90K","-2.63%"
"Feb 19, 2015","3.70","3.75","3.80","3.70","186.60K","0.00%"
"Feb 20, 2015","3.70","3.80","3.80","3.70","208.30K","0.00%"
"Feb 23, 2015","3.70","3.80","3.80","3.60","265.30K","0.00%"
"Feb 24, 2015","3.75","3.80","3.85","3.70","304.20K","1.35%"
"Feb 25, 2015","3.65","3.75","3.75","3.65","153.70K","-2.67%"
"Feb 26, 2015","3.70","3.70","3.75","3.65","413.30K","1.37%"
"Feb 27, 2015","3.60","3.75","3.75","3.60","343.60K","-2.70%"
"Mar 02, 2015","3.65","3.70","3.80","3.60","532.70K","1.39%"
"Mar 03, 2015","3.55","3.60","3.70","3.40","539.70K","-2.74%"
"Mar 04, 2015","3.60","3.60","3.70","3.50","441.80K","1.41%"
"Mar 05, 2015","3.60","3.70","3.70","3.50","347.20K","0.00%"
"Mar 06, 2015","3.55","3.60","3.60","3.50","164.10K","-1.39%"
"Mar 09, 2015","3.50","3.60","3.60","3.45","261.90K","-1.41%"
"Mar 10, 2015","3.45","3.50","3.60","3.40","176.90K","-1.43%"
"Mar 11, 2015","3.30","3.40","3.50","3.20","201.50K","-4.35%"
"Mar 12, 2015","3.20","3.35","3.40","3.15","566.70K","-3.03%"
"Mar 13, 2015","3.10","3.30","3.35","3.00","1.18M","-3.13%"
"Mar 16, 2015","3.25","3.40","3.40","3.15","1.04M","4.84%"
"Mar 17, 2015","3.30","3.25","3.40","3.20","568.80K","1.54%"
"Mar 18, 2015","3.25","3.45","3.45","3.25","331.90K","-1.52%"
"Mar 19, 2015","3.20","3.30","3.30","3.20","219.10K","-1.54%"
"Mar 20, 2015","3.25","3.25","3.30","3.20","330.60K","1.56%"
"Mar 23, 2015","3.20","3.30","3.30","3.20","340.90K","-1.54%"
"Mar 24, 2015","3.20","3.25","3.30","3.10","167.80K","0.00%"
"Mar 25, 2015","3.15","3.25","3.25","3.10","196.70K","-1.56%"
"Mar 26, 2015","3.15","3.10","3.25","3.10","314.30K","0.00%"
"Mar 27, 2015","3.20","3.25","3.25","3.25","160.90K","1.59%"
"Mar 30, 2015","3.20","3.20","3.20","3.15","177.90K","0.00%"
"Mar 31, 2015","3.20","3.20","3.30","3.15","1.56M","0.00%"
"Apr 01, 2015","3.20","3.20","3.40","3.20","834.90K","0.00%"
"Apr 02, 2015","3.25","3.20","3.50","3.20","299.00K","1.56%"
"Apr 07, 2015","3.40","3.50","3.50","3.30","341.50K","4.62%"
"Apr 08, 2015","3.50","3.40","3.65","3.40","349.30K","2.94%"
"Apr 09, 2015","3.50","3.65","3.65","3.45","550.20K","0.00%"
"Apr 10, 2015","3.30","3.50","3.60","3.15","245.60K","-5.71%"
"Apr 13, 2015","3.15","3.55","3.55","3.05","196.20K","-4.55%"
"Apr 14, 2015","3.10","3.20","3.20","3.10","590.30K","-1.59%"
"Apr 15, 2015","3.00","3.15","3.15","2.90","297.40K","-3.23%"
"Apr 16, 2015","3.00","3.05","3.05","2.95","1.22M","0.00%"
"Apr 17, 2015","3.00","3.20","3.20","3.00","747.40K","0.00%"
"Apr 20, 2015","3.00","3.00","3.15","3.00","214.20K","0.00%"
"Apr 21, 2015","3.00","3.05","3.05","2.95","163.30K","0.00%"
"Apr 22, 2015","3.00","3.00","3.20","3.00","663.90K","0.00%"
"Apr 23, 2015","3.05","3.10","3.15","3.00","251.30K","1.67%"
"Apr 24, 2015","3.05","3.00","3.15","3.00","134.20K","0.00%"
"Apr 27, 2015","3.15","3.10","3.25","3.05","393.20K","3.28%"
"Apr 28, 2015","3.05","3.20","3.20","3.00","276.60K","-3.17%"
"Apr 29, 2015","3.10","3.10","3.20","3.05","66.80K","1.64%"
"Apr 30, 2015","3.10","3.10","3.20","3.10","156.60K","0.00%"
"May 04, 2015","3.15","3.20","3.30","3.10","338.90K","1.61%"
"May 05, 2015","3.25","3.10","3.45","3.10","1.12M","3.17%"
"May 06, 2015","3.25","3.30","3.30","3.25","41.80K","0.00%"
"May 07, 2015","3.25","3.40","3.40","3.20","60.70K","0.00%"
"May 08, 2015","3.10","3.30","3.30","3.10","220.80K","-4.62%"
"May 11, 2015","3.00","3.15","3.15","2.95","361.60K","-3.23%"
"May 12, 2015","3.10","3.05","3.15","3.05","44.00K","3.33%"
"May 13, 2015","3.10","3.10","3.15","3.05","45.50K","0.00%"
"May 14, 2015","3.00","3.15","3.15","3.00","419.60K","-3.23%"
"May 15, 2015","3.00","3.00","3.10","2.90","430.20K","0.00%"
"May 18, 2015","2.95","3.00","3.00","2.90","116.30K","-1.67%"
"May 19, 2015","2.90","3.00","3.00","2.90","99.80K","-1.69%"
"May 20, 2015","2.95","3.00","3.00","2.80","960.60K","1.72%"
"May 21, 2015","3.00","3.00","3.10","2.95","247.30K","1.69%"
"May 22, 2015","3.05","3.10","3.15","3.00","144.50K","1.67%"
"May 25, 2015","3.00","3.05","3.10","2.95","210.00K","-1.64%"
"May 26, 2015","3.05","3.05","3.05","3.00","155.90K","1.67%"
"May 27, 2015","3.05","3.05","3.10","3.00","35.80K","0.00%"
"May 28, 2015","3.05","3.10","3.10","3.00","56.00K","0.00%"
"May 29, 2015","3.05","3.05","3.10","3.00","107.20K","0.00%"
"Jun 02, 2015","2.95","3.10","3.10","2.95","214.30K","-3.28%"
"Jun 03, 2015","3.00","3.00","3.05","2.95","159.50K","1.69%"
"Jun 04, 2015","2.95","3.00","3.00","2.90","95.70K","-1.67%"
"Jun 05, 2015","2.95","2.90","3.10","2.90","53.40K","0.00%"
"Jun 08, 2015","2.95","3.00","3.00","2.95","31.00K","0.00%"
"Jun 09, 2015","2.95","3.00","3.00","2.90","73.50K","0.00%"
"Jun 10, 2015","2.90","2.95","2.95","2.80","77.50K","-1.69%"
"Jun 11, 2015","2.95","2.95","3.00","2.95","47.20K","1.72%"
"Jun 12, 2015","2.95","3.00","3.00","2.90","61.80K","0.00%"
"Jun 15, 2015","2.95","3.00","3.00","2.95","88.70K","0.00%"
"Jun 16, 2015","2.95","2.95","3.00","2.95","88.20K","0.00%"
"Jun 17, 2015","2.85","2.95","3.00","2.85","119.50K","-3.39%"
"Jun 18, 2015","2.85","2.95","3.00","2.70","76.70K","0.00%"
"Jun 19, 2015","2.90","3.00","3.00","2.85","5.50K","1.75%"
"Jun 22, 2015","2.85","2.95","3.00","2.85","109.30K","-1.72%"
"Jun 23, 2015","2.90","2.95","3.00","2.80","116.60K","1.75%"
"Jun 24, 2015","2.90","2.95","2.95","2.90","31.60K","0.00%"
"Jun 25, 2015","2.90","2.90","2.95","2.85","32.50K","0.00%"
"Jun 26, 2015","2.90","3.00","3.00","2.85","163.80K","0.00%"
"Jun 29, 2015","2.90","2.90","3.00","2.85","127.70K","0.00%"
"Jun 30, 2015","2.90","3.00","3.00","2.85","51.80K","0.00%"
"Jul 01, 2015","2.85","2.90","3.00","2.85","243.50K","-1.72%"
"Jul 02, 2015","2.90","3.00","3.00","2.85","31.10K","1.75%"
"Jul 03, 2015","2.90","2.95","2.95","2.85","97.70K","0.00%"
"Jul 06, 2015","2.90","2.90","3.00","2.85","51.00K","0.00%"
"Jul 07, 2015","2.85","2.85","2.95","2.80","50.60K","-1.72%"
"Jul 08, 2015","2.90","2.90","2.95","2.85","117.80K","1.75%"
"Jul 09, 2015","2.80","2.85","2.90","2.65","418.40K","-3.45%"
"Jul 10, 2015","2.80","2.90","2.90","2.65","34.90K","0.00%"
"Jul 13, 2015","2.80","2.85","2.85","2.80","147.20K","0.00%"
"Jul 14, 2015","2.70","2.85","2.85","2.55","221.40K","-3.57%"
"Jul 15, 2015","2.60","2.75","2.75","2.55","73.90K","-3.70%"
"Jul 16, 2015","2.50","2.65","2.65","2.50","275.90K","-3.85%"
"Jul 17, 2015","2.50","2.60","2.60","2.50","133.60K","0.00%"
"Jul 20, 2015","2.50","2.50","2.60","2.45","291.60K","0.00%"
"Jul 21, 2015","2.45","2.50","2.60","2.45","1.39M","-2.00%"
"Jul 22, 2015","2.45","2.60","2.60","2.30","154.30K","0.00%"
"Jul 23, 2015","2.50","2.50","2.60","2.40","335.60K","2.04%"
"Jul 24, 2015","2.65","2.50","2.75","2.45","134.50K","6.00%"
"Jul 27, 2015","2.55","2.80","2.80","2.40","234.80K","-3.77%"
"Jul 28, 2015","2.45","2.50","2.50","2.45","172.50K","-3.92%"
"Jul 29, 2015","2.50","2.50","2.60","2.50","39.40K","2.04%"
"Jul 30, 2015","2.50","2.65","2.70","2.50","361.10K","0.00%"
"Jul 31, 2015","2.45","2.50","2.50","2.45","58.40K","-2.00%"
"Aug 03, 2015","2.50","2.50","2.60","2.50","23.00K","2.04%"
"Aug 04, 2015","2.50","2.55","2.55","2.50","98.20K","0.00%"
"Aug 05, 2015","2.55","2.50","2.60","2.50","80.70K","2.00%"
"Aug 06, 2015","2.50","2.60","2.60","2.50","43.00K","-1.96%"
"Aug 07, 2015","2.45","2.50","2.60","2.45","49.70K","-2.00%"
"Aug 10, 2015","2.45","2.50","2.50","2.45","72.80K","0.00%"
"Aug 11, 2015","2.35","2.50","2.50","2.30","1.18M","-4.08%"
"Aug 12, 2015","2.35","2.35","2.45","2.35","1.10M","0.00%"
"Aug 13, 2015","2.35","2.45","2.45","2.35","532.10K","0.00%"
"Aug 14, 2015","2.35","2.40","2.40","2.35","298.80K","0.00%"
"Aug 17, 2015","2.30","2.40","2.40","2.30","335.10K","-2.13%"
"Aug 18, 2015","2.30","2.30","2.40","2.25","289.10K","0.00%"
"Aug 19, 2015","2.25","2.30","2.35","2.25","173.20K","-2.17%"
"Aug 20, 2015","2.20","2.30","2.30","2.20","59.00K","-2.22%"
"Aug 21, 2015","2.20","2.25","2.25","2.15","95.50K","0.00%"
"Aug 24, 2015","2.05","2.20","2.25","2.00","686.20K","-6.82%"
"Aug 25, 2015","2.15","2.10","2.20","2.10","102.20K","4.88%"
"Aug 26, 2015","2.15","2.20","2.20","2.10","149.60K","0.00%"
"Aug 27, 2015","2.00","2.10","2.10","2.00","701.60K","-6.98%"
"Aug 28, 2015","2.05","2.10","2.10","1.95","2.34M","2.50%"
