"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 14, 2012","12.05","12.05","12.45","12.00","39.40K","0.00%"
"Aug 15, 2012","12.05","12.05","12.15","12.00","116.80K","0.00%"
"Aug 16, 2012","12.10","12.05","12.15","12.10","30.60K","0.41%"
"Aug 17, 2012","12.00","12.10","12.15","11.90","1.18M","-0.83%"
"Aug 21, 2012","11.65","12.00","12.15","11.50","268.00K","-2.92%"
"Aug 22, 2012","11.60","11.65","11.90","11.60","1.12M","-0.43%"
"Aug 23, 2012","11.60","11.60","11.70","11.55","1.99M","0.00%"
"Aug 24, 2012","11.45","11.60","11.60","11.05","146.50K","-1.29%"
"Aug 27, 2012","11.40","11.45","11.50","11.30","69.80K","-0.44%"
"Aug 28, 2012","11.40","11.40","11.50","11.30","83.60K","0.00%"
"Aug 29, 2012","11.50","11.40","12.00","11.35","97.50K","0.88%"
"Aug 30, 2012","11.50","11.50","11.80","11.45","51.00K","0.00%"
"Aug 31, 2012","12.00","11.50","12.50","11.65","195.20K","4.35%"
"Sep 03, 2012","12.30","12.00","12.50","12.05","8.70K","2.50%"
"Sep 04, 2012","12.25","12.30","12.50","12.15","122.50K","-0.41%"
"Sep 05, 2012","12.25","12.25","12.30","12.20","179.40K","0.00%"
"Sep 06, 2012","12.50","12.25","12.90","12.20","61.60K","2.04%"
"Sep 07, 2012","12.55","12.50","13.00","12.45","64.10K","0.40%"
"Sep 10, 2012","12.25","12.55","12.50","12.00","147.40K","-2.39%"
"Sep 11, 2012","12.15","12.25","12.50","11.65","20.80K","-0.82%"
"Sep 12, 2012","11.90","12.15","12.25","11.55","29.20K","-2.06%"
"Sep 13, 2012","12.05","11.90","12.25","12.00","24.60K","1.26%"
"Sep 14, 2012","11.90","12.05","12.05","11.55","28.20K","-1.24%"
"Sep 17, 2012","11.95","11.90","12.00","11.60","50.80K","0.42%"
"Sep 18, 2012","11.85","11.95","11.95","11.55","179.40K","-0.84%"
"Sep 19, 2012","11.90","11.85","12.00","11.70","63.90K","0.42%"
"Sep 20, 2012","11.80","11.90","12.00","11.75","11.60K","-0.84%"
"Sep 21, 2012","11.95","11.80","12.10","11.85","71.00K","1.27%"
"Sep 24, 2012","12.10","11.95","12.45","11.75","76.50K","1.26%"
"Sep 25, 2012","11.80","12.10","12.00","11.80","48.40K","-2.48%"
"Sep 26, 2012","11.90","11.80","12.00","11.75","162.10K","0.85%"
"Sep 27, 2012","11.95","11.90","12.10","11.80","109.50K","0.42%"
"Sep 28, 2012","12.05","11.95","12.10","11.95","78.70K","0.84%"
"Oct 01, 2012","12.30","12.05","12.75","12.15","50.90K","2.07%"
"Oct 02, 2012","12.20","12.30","12.30","11.90","28.20K","-0.81%"
"Oct 03, 2012","12.00","12.20","12.30","11.90","282.90K","-1.64%"
"Oct 04, 2012","11.90","12.00","12.00","11.80","25.80K","-0.83%"
"Oct 05, 2012","11.95","11.90","12.20","11.75","121.50K","0.42%"
"Oct 08, 2012","11.95","11.95","12.20","11.90","44.00K","0.00%"
"Oct 09, 2012","12.05","11.95","12.15","12.05","36.70K","0.84%"
"Oct 10, 2012","12.05","12.05","12.25","12.05","35.00K","0.00%"
"Oct 11, 2012","12.25","12.05","12.30","12.00","576.40K","1.66%"
"Oct 12, 2012","12.05","12.25","12.30","12.00","25.70K","-1.63%"
"Oct 15, 2012","12.00","12.05","12.05","12.00","41.60K","-0.41%"
"Oct 16, 2012","12.20","12.00","12.40","12.00","1.33M","1.67%"
"Oct 17, 2012","12.10","12.20","12.20","12.05","58.20K","-0.82%"
"Oct 18, 2012","12.10","12.10","12.30","12.10","39.70K","0.00%"
"Oct 19, 2012","12.25","12.10","12.40","12.10","35.10K","1.24%"
"Oct 22, 2012","12.40","12.25","12.50","12.20","161.40K","1.22%"
"Oct 23, 2012","12.45","12.40","12.50","12.30","437.40K","0.40%"
"Oct 24, 2012","12.55","12.45","12.75","12.40","38.10K","0.80%"
"Oct 25, 2012","12.65","12.55","13.00","12.60","227.10K","0.80%"
"Oct 26, 2012","13.00","12.65","13.10","12.85","83.40K","2.77%"
"Oct 29, 2012","13.15","13.00","13.25","13.00","90.00K","1.15%"
"Oct 30, 2012","13.25","13.15","13.35","13.00","98.70K","0.76%"
"Oct 31, 2012","13.05","13.25","13.35","13.00","299.50K","-1.51%"
"Nov 01, 2012","13.20","13.05","13.30","13.10","54.50K","1.15%"
"Nov 02, 2012","12.90","13.20","13.15","12.50","508.30K","-2.27%"
"Nov 05, 2012","12.40","12.90","12.80","12.20","150.40K","-3.88%"
"Nov 06, 2012","12.25","12.40","12.35","12.20","631.50K","-1.21%"
"Nov 07, 2012","12.30","12.25","12.50","12.25","36.00K","0.41%"
"Nov 08, 2012","12.30","12.25","12.50","12.30","138.50K","0.00%"
"Nov 09, 2012","12.30","12.30","12.35","12.20","24.00K","0.00%"
"Nov 12, 2012","12.50","12.30","12.50","12.30","94.50K","1.63%"
"Nov 13, 2012","12.50","12.50","12.80","12.50","3.24M","0.00%"
"Nov 14, 2012","12.45","12.50","12.60","12.30","171.80K","-0.40%"
"Nov 15, 2012","12.20","12.45","12.60","12.00","527.20K","-2.01%"
"Nov 16, 2012","12.20","12.20","12.50","12.05","2.59M","0.00%"
"Nov 19, 2012","12.15","12.20","12.25","12.00","125.70K","-0.41%"
"Nov 20, 2012","12.15","12.15","12.25","12.00","53.00K","0.00%"
"Nov 21, 2012","12.25","12.15","12.30","12.15","388.70K","0.82%"
"Nov 22, 2012","12.25","12.25","12.30","12.00","3.10M","0.00%"
"Nov 23, 2012","12.20","12.25","12.50","12.00","84.90K","-0.41%"
"Nov 26, 2012","12.15","12.20","12.20","12.05","257.20K","-0.41%"
"Nov 27, 2012","12.05","12.15","12.15","12.05","52.90K","-0.82%"
"Nov 28, 2012","12.45","12.05","12.50","12.05","642.00K","3.32%"
"Nov 29, 2012","12.35","12.45","12.55","12.10","30.70K","-0.80%"
"Nov 30, 2012","12.40","12.35","12.50","12.35","608.40K","0.40%"
"Dec 03, 2012","12.60","12.40","12.70","12.40","87.40K","1.61%"
"Dec 04, 2012","12.65","12.60","12.75","12.50","157.00K","0.40%"
"Dec 05, 2012","12.65","12.65","12.70","12.60","151.40K","0.00%"
"Dec 06, 2012","12.55","12.65","12.65","12.50","168.00K","-0.79%"
"Dec 07, 2012","12.50","12.55","12.65","12.50","205.30K","-0.40%"
"Dec 10, 2012","12.55","12.50","12.60","12.50","192.40K","0.40%"
"Dec 11, 2012","12.55","12.55","12.65","12.50","87.60K","0.00%"
"Dec 13, 2012","12.60","12.55","12.60","12.55","123.10K","0.40%"
"Dec 14, 2012","12.60","12.60","12.65","12.60","66.40K","0.00%"
"Dec 17, 2012","12.50","12.60","12.60","12.50","136.00K","-0.79%"
"Dec 18, 2012","12.45","12.60","12.60","12.05","289.90K","-0.40%"
"Dec 19, 2012","12.20","12.10","12.50","12.05","30.60K","-2.01%"
"Dec 20, 2012","12.15","12.50","12.50","12.10","21.10K","-0.41%"
"Dec 21, 2012","12.50","12.20","12.50","12.10","2.10M","2.88%"
"Dec 24, 2012","12.50","12.50","12.50","12.50","3.40K","0.00%"
"Dec 27, 2012","12.10","12.15","12.30","12.10","13.60K","-3.20%"
"Dec 28, 2012","12.40","12.45","12.50","12.20","46.00K","2.48%"
"Dec 31, 2012","12.35","12.40","12.40","12.20","20.40K","-0.40%"
"Jan 02, 2013","12.20","12.20","12.40","12.20","11.20K","-1.21%"
"Jan 03, 2013","12.20","12.40","12.40","12.05","27.80K","0.00%"
"Jan 04, 2013","12.55","12.05","12.60","12.05","53.90K","2.87%"
"Jan 07, 2013","12.45","12.40","12.55","12.40","42.60K","-0.80%"
"Jan 08, 2013","12.45","12.30","12.50","12.30","48.20K","0.00%"
"Jan 09, 2013","12.50","12.65","12.65","12.40","127.40K","0.40%"
"Jan 10, 2013","12.40","12.50","12.50","12.35","43.40K","-0.80%"
"Jan 11, 2013","12.25","12.30","12.40","12.20","13.70K","-1.21%"
"Jan 14, 2013","12.40","12.60","12.60","12.30","626.00K","1.22%"
"Jan 15, 2013","12.60","12.40","12.65","12.40","39.20K","1.61%"
"Jan 16, 2013","13.00","12.70","13.45","12.70","86.60K","3.17%"
"Jan 17, 2013","13.75","13.50","14.30","13.35","291.00K","5.77%"
"Jan 18, 2013","13.45","13.75","13.80","12.90","138.10K","-2.18%"
"Jan 21, 2013","12.85","12.90","12.95","12.70","43.30K","-4.46%"
"Jan 22, 2013","12.95","12.70","13.00","12.70","263.10K","0.78%"
"Jan 23, 2013","12.95","12.85","13.00","12.80","1.16M","0.00%"
"Jan 24, 2013","12.95","12.90","13.00","12.90","320.20K","0.00%"
"Jan 25, 2013","12.90","12.90","13.00","12.85","20.10K","-0.39%"
"Jan 28, 2013","13.15","13.25","13.40","13.00","832.90K","1.94%"
"Jan 29, 2013","13.30","13.40","13.45","13.05","586.50K","1.14%"
"Jan 30, 2013","13.05","13.10","13.15","13.05","13.50K","-1.88%"
"Jan 31, 2013","13.25","13.15","13.40","13.10","51.60K","1.53%"
"Feb 01, 2013","13.25","13.40","13.45","13.25","52.00K","0.00%"
"Feb 04, 2013","13.25","13.25","13.50","13.20","42.00K","0.00%"
"Feb 05, 2013","13.45","13.50","13.50","13.35","66.80K","1.51%"
"Feb 06, 2013","13.55","13.50","13.75","13.45","107.00K","0.74%"
"Feb 07, 2013","13.80","13.70","14.05","13.70","400.10K","1.85%"
"Feb 08, 2013","14.45","14.30","15.00","14.25","246.40K","4.71%"
"Feb 11, 2013","14.90","14.55","15.25","14.50","459.10K","3.11%"
"Feb 12, 2013","15.00","14.55","15.10","14.55","155.90K","0.67%"
"Feb 13, 2013","15.00","15.10","15.15","14.90","333.60K","0.00%"
"Feb 14, 2013","15.00","15.00","15.05","14.90","715.60K","0.00%"
"Feb 15, 2013","14.85","15.05","15.05","14.80","24.50K","-1.00%"
"Feb 18, 2013","14.80","14.80","15.00","14.35","232.90K","-0.34%"
"Feb 19, 2013","14.80","14.85","14.85","14.35","322.80K","0.00%"
"Feb 20, 2013","13.65","14.60","14.60","13.40","49.40K","-7.77%"
"Feb 21, 2013","13.70","13.70","13.75","13.60","82.70K","0.37%"
"Feb 22, 2013","13.75","13.65","14.15","13.60","88.80K","0.36%"
"Feb 25, 2013","13.90","14.00","14.00","13.05","12.60K","1.09%"
"Feb 26, 2013","13.55","13.10","14.00","13.05","35.10K","-2.52%"
"Feb 27, 2013","14.00","13.80","14.30","13.80","31.70K","3.32%"
"Feb 28, 2013","14.35","14.30","15.00","14.20","148.00K","2.50%"
"Mar 01, 2013","14.65","14.35","14.95","14.35","161.60K","2.09%"
"Mar 05, 2013","14.55","14.45","14.65","14.45","263.00K","-0.68%"
"Mar 06, 2013","14.55","14.60","14.60","14.50","336.80K","0.00%"
"Mar 07, 2013","14.95","14.80","15.05","14.80","339.00K","2.75%"
"Mar 08, 2013","15.25","15.80","15.80","15.25","65.60K","2.01%"
"Mar 11, 2013","16.35","15.80","16.75","15.80","485.40K","7.21%"
"Mar 12, 2013","17.80","16.75","17.95","16.75","544.30K","8.87%"
"Mar 13, 2013","17.25","17.95","18.00","16.50","444.70K","-3.09%"
"Mar 14, 2013","16.25","16.95","16.95","16.00","86.70K","-5.80%"
"Mar 15, 2013","16.00","17.00","17.00","15.00","501.60K","-1.54%"
"Mar 18, 2013","16.15","16.05","16.45","16.00","173.00K","0.94%"
"Mar 19, 2013","16.90","16.20","17.50","16.20","387.40K","4.64%"
"Mar 20, 2013","17.10","17.00","17.50","17.00","230.10K","1.18%"
"Mar 21, 2013","17.15","17.05","17.30","17.05","272.70K","0.29%"
"Mar 22, 2013","17.35","17.30","17.45","17.15","243.40K","1.17%"
"Mar 25, 2013","17.50","17.40","17.70","17.15","294.40K","0.86%"
"Mar 26, 2013","18.60","17.70","18.95","17.70","342.80K","6.29%"
"Mar 27, 2013","19.75","18.90","20.25","18.90","813.50K","6.18%"
"Mar 28, 2013","19.90","19.50","20.25","19.50","315.20K","0.76%"
"Apr 02, 2013","21.50","20.50","21.75","20.50","215.70K","8.04%"
"Apr 03, 2013","21.25","22.00","23.50","19.90","474.30K","-1.16%"
"Apr 04, 2013","19.95","21.50","21.50","19.75","259.50K","-6.12%"
"Apr 05, 2013","20.50","19.90","20.75","19.90","614.20K","2.76%"
"Apr 08, 2013","20.75","20.75","21.25","20.25","377.10K","1.22%"
"Apr 10, 2013","21.50","21.50","22.00","21.00","336.10K","3.61%"
"Apr 11, 2013","21.50","21.75","22.00","21.00","359.20K","0.00%"
"Apr 12, 2013","21.25","21.50","21.75","20.75","157.80K","-1.16%"
"Apr 15, 2013","21.50","21.00","22.00","21.00","488.30K","1.18%"
"Apr 16, 2013","21.00","21.75","22.00","21.00","1.70M","-2.33%"
"Apr 17, 2013","21.50","21.50","21.75","21.25","457.10K","2.38%"
"Apr 18, 2013","21.50","21.75","22.00","21.50","595.90K","0.00%"
"Apr 19, 2013","21.75","21.50","22.00","21.50","74.50K","1.16%"
"Apr 22, 2013","21.50","22.00","22.00","21.50","299.50K","-1.15%"
"Apr 23, 2013","21.25","21.75","21.75","21.00","226.00K","-1.16%"
"Apr 24, 2013","20.50","21.00","21.00","20.25","85.60K","-3.53%"
"Apr 25, 2013","20.25","20.50","20.50","20.00","243.40K","-1.22%"
"Apr 26, 2013","19.90","20.00","20.50","19.00","220.00K","-1.73%"
"Apr 29, 2013","19.90","19.50","20.00","19.50","248.80K","0.00%"
"Apr 30, 2013","20.25","20.25","20.75","19.95","138.80K","1.76%"
"May 02, 2013","21.25","20.50","21.75","20.50","244.10K","4.94%"
"May 03, 2013","21.00","21.50","22.00","21.00","124.10K","-1.18%"
"May 06, 2013","21.50","21.00","21.75","21.00","117.30K","2.38%"
"May 07, 2013","21.50","21.50","22.00","21.25","158.40K","0.00%"
"May 08, 2013","21.75","21.75","22.00","21.50","359.50K","1.16%"
"May 09, 2013","22.00","22.00","22.25","21.75","266.00K","1.15%"
"May 10, 2013","22.00","22.00","22.25","21.75","364.00K","0.00%"
"May 13, 2013","21.25","22.00","22.00","21.00","163.30K","-3.41%"
"May 14, 2013","21.75","22.00","22.00","21.25","127.70K","2.35%"
"May 15, 2013","21.25","21.25","21.75","21.00","126.90K","-2.30%"
"May 16, 2013","21.25","21.25","21.50","21.25","131.00K","0.00%"
"May 17, 2013","21.50","21.25","22.00","21.25","197.00K","1.18%"
"May 20, 2013","21.50","21.50","22.00","21.25","24.90K","0.00%"
"May 21, 2013","21.50","21.75","22.00","21.50","138.60K","0.00%"
"May 22, 2013","21.75","21.75","22.00","21.75","117.90K","1.16%"
"May 23, 2013","21.75","21.75","22.00","21.75","110.20K","0.00%"
"May 24, 2013","21.75","21.75","22.00","21.75","145.80K","0.00%"
"May 27, 2013","21.75","21.75","22.00","21.75","90.40K","0.00%"
"May 28, 2013","22.00","21.75","22.50","21.75","151.00K","1.15%"
"May 29, 2013","22.75","22.25","23.75","22.00","465.60K","3.41%"
"May 30, 2013","23.50","23.00","24.00","23.00","492.50K","3.30%"
"May 31, 2013","23.00","23.50","23.50","23.00","263.50K","-2.13%"
"Jun 03, 2013","23.50","23.00","24.00","23.00","262.20K","2.17%"
"Jun 04, 2013","23.50","24.00","24.00","23.25","321.00K","0.00%"
"Jun 05, 2013","23.25","23.00","24.00","22.75","1.94M","-1.06%"
"Jun 06, 2013","22.75","23.00","23.00","22.25","181.70K","-2.15%"
"Jun 07, 2013","22.25","22.25","23.00","22.00","164.70K","-2.20%"
"Jun 10, 2013","22.75","22.75","23.00","22.25","101.80K","2.25%"
"Jun 11, 2013","22.00","22.50","22.50","22.00","340.30K","-3.30%"
"Jun 12, 2013","22.00","22.25","22.25","21.50","588.80K","0.00%"
"Jun 13, 2013","23.00","22.00","23.50","21.75","662.70K","4.55%"
"Jun 14, 2013","22.00","22.50","22.50","21.50","142.40K","-4.35%"
"Jun 17, 2013","21.50","21.75","22.00","21.50","101.40K","-2.27%"
"Jun 18, 2013","21.00","21.50","21.50","20.00","47.60K","-2.33%"
"Jun 19, 2013","20.50","20.25","21.25","20.25","433.10K","-2.38%"
"Jun 20, 2013","21.50","20.75","22.50","20.75","284.30K","4.88%"
"Jun 21, 2013","21.75","21.00","22.50","21.00","53.40K","1.16%"
"Jun 24, 2013","21.75","21.75","22.50","21.00","614.60K","0.00%"
"Jun 25, 2013","21.00","21.50","21.50","21.00","313.40K","-3.45%"
"Jun 26, 2013","22.75","21.00","23.00","21.00","1.45M","8.33%"
"Jun 27, 2013","21.00","21.50","21.50","21.00","42.40K","-7.69%"
"Jun 28, 2013","21.75","21.00","22.00","20.75","471.20K","3.57%"
"Jul 01, 2013","21.00","21.00","22.00","21.00","37.30K","-3.45%"
"Jul 02, 2013","21.00","21.00","21.25","21.00","74.30K","0.00%"
"Jul 03, 2013","21.00","21.00","21.50","21.00","24.20K","0.00%"
"Jul 04, 2013","20.75","21.00","21.00","20.75","34.00K","-1.19%"
"Jul 05, 2013","21.00","21.00","21.50","21.00","18.60K","1.20%"
"Jul 08, 2013","21.75","21.00","22.00","21.00","92.70K","3.57%"
"Jul 09, 2013","22.00","21.75","22.50","21.75","125.60K","1.15%"
"Jul 10, 2013","22.00","21.75","22.50","21.75","132.10K","0.00%"
"Jul 11, 2013","22.25","22.00","22.50","22.00","66.50K","1.14%"
"Jul 12, 2013","22.25","22.00","22.75","22.00","55.70K","0.00%"
"Jul 15, 2013","22.25","22.25","22.75","22.25","296.30K","0.00%"
"Jul 16, 2013","22.50","22.50","22.75","22.50","123.80K","1.12%"
"Jul 17, 2013","22.75","22.50","23.00","22.50","621.00K","1.11%"
"Jul 18, 2013","22.50","22.50","23.00","22.50","48.20K","-1.10%"
"Jul 19, 2013","22.50","22.50","23.00","22.50","119.60K","0.00%"
"Jul 22, 2013","22.75","22.50","23.50","22.50","940.00K","1.11%"
"Jul 23, 2013","23.00","23.00","23.50","23.00","225.30K","1.10%"
"Jul 24, 2013","23.00","23.50","23.50","23.00","132.40K","0.00%"
"Jul 25, 2013","22.75","23.00","23.50","22.75","77.40K","-1.09%"
"Jul 26, 2013","23.00","23.00","23.25","23.00","16.10K","1.10%"
"Jul 29, 2013","23.00","23.00","23.25","23.00","69.40K","0.00%"
"Jul 30, 2013","23.00","23.00","23.25","23.00","80.90K","0.00%"
"Jul 31, 2013","23.00","23.00","23.25","23.00","205.10K","0.00%"
"Aug 01, 2013","23.00","23.00","23.25","23.00","58.90K","0.00%"
"Aug 02, 2013","23.00","23.00","23.50","23.00","41.50K","0.00%"
"Aug 05, 2013","23.00","23.50","23.50","23.00","37.50K","0.00%"
"Aug 06, 2013","23.00","23.25","23.50","23.00","165.80K","0.00%"
"Aug 07, 2013","23.00","23.00","23.25","23.00","128.90K","0.00%"
"Aug 08, 2013","24.50","23.00","25.00","23.00","1.49M","6.52%"
"Aug 12, 2013","25.00","24.25","25.25","24.25","722.70K","2.04%"
"Aug 13, 2013","25.00","25.00","25.75","25.00","432.10K","0.00%"
"Aug 14, 2013","25.25","25.25","25.75","25.25","156.00K","1.00%"
"Aug 15, 2013","25.50","25.25","26.00","25.25","200.90K","0.99%"
"Aug 16, 2013","25.75","25.75","26.25","25.50","458.00K","0.98%"
"Aug 19, 2013","25.25","25.50","26.00","25.00","218.40K","-1.94%"
"Aug 20, 2013","25.00","25.25","25.50","25.00","159.90K","-0.99%"
"Aug 21, 2013","25.50","25.00","25.75","25.00","206.60K","2.00%"
"Aug 22, 2013","25.25","25.50","25.50","25.00","98.20K","-0.98%"
"Aug 23, 2013","25.25","25.00","25.50","25.00","199.80K","0.00%"
"Aug 26, 2013","25.00","25.50","25.50","22.75","198.70K","-0.99%"
"Aug 27, 2013","23.50","25.00","25.00","23.25","233.90K","-6.00%"
