"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 14, 2012","3.600","3.600","3.600","3.600","0.20K","0.00%"
"Nov 15, 2012","3.650","3.600","3.650","3.650","0.20K","1.39%"
"Nov 16, 2012","3.500","3.650","3.650","3.500","3.90K","-4.11%"
"Nov 19, 2012","3.550","3.500","3.550","3.550","1.50K","1.43%"
"Nov 20, 2012","3.500","3.550","3.650","3.500","0.50K","-1.41%"
"Nov 21, 2012","3.600","3.500","3.650","3.500","0.60K","2.86%"
"Nov 22, 2012","3.600","3.600","3.600","3.600","1.00K","0.00%"
"Nov 23, 2012","3.600","3.600","3.600","3.600","10.00K","0.00%"
"Nov 26, 2012","3.550","3.600","3.550","3.550","2.00K","-1.39%"
"Nov 27, 2012","3.600","3.550","3.650","3.300","2.90K","1.41%"
"Nov 28, 2012","3.650","3.600","3.650","3.650","0.50K","1.39%"
"Nov 29, 2012","3.650","3.650","3.650","3.650","0.20K","0.00%"
"Nov 30, 2012","3.600","3.650","3.650","3.600","4.90K","-1.37%"
"Dec 03, 2012","3.600","3.600","3.600","3.600","5.50K","0.00%"
"Dec 04, 2012","3.650","3.600","3.700","3.650","8.80K","1.39%"
"Dec 05, 2012","3.650","3.650","3.650","3.650","2.00K","0.00%"
"Dec 06, 2012","3.650","3.650","3.650","3.650","0.20K","0.00%"
"Dec 07, 2012","3.650","3.650","3.650","3.650","0.10K","0.00%"
"Dec 10, 2012","3.650","3.650","3.650","3.650","1.00K","0.00%"
"Dec 11, 2012","3.500","3.650","3.500","3.500","3.70K","-4.11%"
"Dec 17, 2012","3.300","3.500","3.600","3.300","29.50K","-5.71%"
"Dec 18, 2012","3.400","3.400","3.400","3.400","1.00K","3.03%"
"Dec 19, 2012","3.550","3.600","3.650","3.400","4.20K","4.41%"
"Dec 20, 2012","3.550","3.800","3.800","3.450","1.70K","0.00%"
"Dec 21, 2012","3.450","3.550","3.550","3.450","11.80K","-2.82%"
"Dec 24, 2012","3.500","3.500","3.500","3.500","2.20K","1.45%"
"Dec 27, 2012","3.400","3.400","3.400","3.400","0.10K","-2.86%"
"Dec 28, 2012","3.400","3.400","3.400","3.400","2.00K","0.00%"
"Jan 02, 2013","3.700","3.700","3.700","3.700","0.50K","8.82%"
"Jan 03, 2013","3.600","3.700","3.700","3.600","1.30K","-2.70%"
"Jan 04, 2013","3.650","3.600","3.700","3.600","0.20K","1.39%"
"Jan 07, 2013","3.550","3.600","3.600","3.500","9.50K","-2.74%"
"Jan 09, 2013","3.500","3.500","3.500","3.500","0.20K","-1.41%"
"Jan 10, 2013","3.550","3.500","3.600","3.500","8.40K","1.43%"
"Jan 15, 2013","3.650","3.600","3.700","3.600","0.50K","2.82%"
"Jan 16, 2013","3.700","3.700","3.700","3.700","0.80K","1.37%"
"Jan 17, 2013","3.650","3.700","3.700","3.650","5.10K","-1.35%"
"Jan 18, 2013","3.700","3.700","3.700","3.700","1.30K","1.37%"
"Jan 22, 2013","3.700","3.650","3.950","3.650","8.10K","0.00%"
"Jan 23, 2013","3.700","3.950","3.950","3.700","1.10K","0.00%"
