"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 14, 2019","4.14","4.25","4.25","4.00","0.40K","-0.24%"
"Jun 12, 2019","4.15","4.15","4.15","4.15","0.20K","3.75%"
"Jun 11, 2019","4.00","4.00","4.15","4.00","25.00K","-3.61%"
"Jun 10, 2019","4.15","4.20","4.20","4.00","87.60K","-0.95%"
"Jun 07, 2019","4.19","4.20","4.20","4.18","0.30K","-1.41%"
"Jun 03, 2019","4.25","4.25","4.25","4.25","0.30K","0.00%"
"May 31, 2019","4.25","4.25","4.25","4.25","0.20K","5.20%"
"May 30, 2019","4.04","4.00","4.05","4.00","20.60K","1.00%"
"May 29, 2019","4.00","4.00","4.00","4.00","0.30K","-0.25%"
"May 28, 2019","4.01","4.00","4.05","4.00","0.60K","-6.74%"
"May 27, 2019","4.30","4.40","4.40","4.00","6.50K","6.17%"
"May 24, 2019","4.05","4.05","4.05","4.05","0.20K","4.11%"
"May 23, 2019","3.89","3.72","4.05","3.72","0.20K","4.85%"
"May 22, 2019","3.71","3.55","3.72","3.55","10.00K","9.44%"
"May 21, 2019","3.39","3.31","3.55","3.31","15.00K","4.95%"
"May 20, 2019","3.23","3.31","3.31","3.01","7.00K","7.31%"
"May 16, 2019","3.01","3.32","3.32","3.00","5.10K","-9.34%"
"May 10, 2019","3.32","3.30","3.50","3.30","2.20K","-4.87%"
"May 09, 2019","3.49","3.50","3.50","3.40","1.50K","-0.29%"
"May 08, 2019","3.50","3.50","3.50","3.50","0.50K","-4.63%"
"May 07, 2019","3.67","3.70","3.70","3.50","1.30K","-0.27%"
"May 06, 2019","3.68","3.63","3.90","3.50","21.20K","1.38%"
"May 03, 2019","3.63","3.64","3.64","3.60","0.30K","3.71%"
"May 02, 2019","3.50","3.35","3.64","3.35","0.20K","-1.41%"
"Apr 30, 2019","3.55","3.55","3.55","3.55","0.30K","6.29%"
"Apr 29, 2019","3.34","3.30","3.35","3.30","14.50K","8.79%"
"Apr 26, 2019","3.07","3.00","3.08","3.00","8.40K","2.33%"
"Apr 25, 2019","3.00","3.00","3.00","3.00","0.30K","7.14%"
"Apr 23, 2019","2.80","2.80","2.80","2.80","0.50K","1.45%"
"Apr 18, 2019","2.76","3.00","3.00","2.71","1.60K","1.10%"
"Apr 16, 2019","2.73","2.96","2.96","2.70","11.50K","-2.50%"
"Apr 15, 2019","2.80","2.86","2.86","2.80","11.90K","0.00%"
"Apr 12, 2019","2.80","2.80","2.80","2.80","0.90K","-2.10%"
"Apr 10, 2019","2.86","2.98","2.98","2.75","13.40K","-4.03%"
"Apr 09, 2019","2.98","2.98","2.98","2.98","0.10K","9.96%"
"Apr 05, 2019","2.71","2.72","2.72","2.71","1.00K","-9.97%"
"Apr 02, 2019","3.01","3.20","3.28","3.00","3.30K","0.67%"
"Mar 27, 2019","2.99","2.99","2.99","2.99","7.50K","0.00%"
"Mar 26, 2019","2.99","3.10","3.44","2.90","6.10K","-4.47%"
"Mar 25, 2019","3.13","3.40","3.40","3.10","1.80K","-7.94%"
"Mar 22, 2019","3.40","3.40","3.40","3.40","0.60K","9.68%"
"Mar 21, 2019","3.10","3.10","3.10","3.10","4.60K","-3.13%"
"Mar 19, 2019","3.20","3.20","3.20","3.16","15.60K","1.59%"
"Mar 18, 2019","3.15","3.15","3.15","3.15","0.20K","-6.53%"
"Mar 15, 2019","3.37","3.38","3.38","3.15","1.80K","1.51%"
"Mar 14, 2019","3.32","3.15","3.38","3.15","3.10K","5.40%"
