"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 10, 2014","13.39","13.12","13.43","12.75","9.10M","9.57%"
"Sep 11, 2014","14.70","14.70","14.70","14.70","2.32M","9.78%"
"Sep 12, 2014","16.12","16.12","16.12","16.12","8.42M","9.66%"
"Sep 15, 2014","17.44","17.62","17.62","16.12","4.61M","8.19%"
"Sep 16, 2014","17.62","19.12","19.12","16.12","4.42M","1.03%"
"Sep 17, 2014","16.31","15.94","17.62","15.94","2.89M","-7.43%"
"Sep 18, 2014","17.62","17.62","17.81","17.44","2.19M","8.03%"
"Sep 19, 2014","18.75","18.00","19.31","18.00","2.01M","6.41%"
"Sep 22, 2014","20.25","19.31","20.62","19.31","3.68M","8.00%"
"Sep 23, 2014","19.69","20.25","21.00","18.38","4.18M","-2.77%"
"Sep 24, 2014","18.56","19.88","19.88","18.19","1.79M","-5.74%"
"Sep 25, 2014","17.06","18.19","18.38","16.88","3.43M","-8.08%"
"Sep 26, 2014","17.25","18.00","18.19","17.06","1.33M","1.11%"
"Sep 29, 2014","17.25","17.62","18.00","17.06","680.40K","0.00%"
"Sep 30, 2014","17.62","17.44","17.81","17.25","717.73K","2.14%"
"Oct 01, 2014","17.25","17.62","17.62","17.06","1.00M","-2.10%"
"Oct 02, 2014","16.69","17.25","17.25","16.31","394.93K","-3.25%"
"Oct 03, 2014","16.69","16.69","17.25","16.50","198.13K","0.00%"
"Oct 06, 2014","17.25","16.69","17.62","16.69","531.20K","3.36%"
"Oct 07, 2014","17.06","17.62","17.62","16.69","695.87K","-1.10%"
"Oct 08, 2014","17.06","17.25","17.44","16.50","368.27K","0.00%"
"Oct 09, 2014","16.88","17.25","17.25","16.50","421.07K","-1.06%"
"Oct 10, 2014","17.06","17.25","17.25","16.50","3.53M","1.07%"
"Oct 13, 2014","17.06","17.25","17.25","16.88","198.40K","0.00%"
"Oct 14, 2014","16.88","17.06","17.06","16.50","191.73K","-1.06%"
"Oct 15, 2014","16.50","16.88","17.06","16.31","223.33K","-2.25%"
"Oct 16, 2014","16.31","16.88","16.88","16.12","1.62M","-1.15%"
"Oct 17, 2014","16.31","16.88","17.06","16.31","176.67K","0.00%"
"Oct 21, 2014","16.31","16.50","16.88","16.31","204.93K","0.00%"
"Oct 22, 2014","16.12","16.50","16.50","16.12","242.13K","-1.16%"
"Oct 23, 2014","15.75","16.12","16.31","15.75","823.47K","-2.30%"
"Oct 24, 2014","15.94","15.00","16.50","15.00","176.93K","1.21%"
"Oct 27, 2014","15.38","15.75","15.75","15.19","127.87K","-3.51%"
"Oct 28, 2014","15.00","15.38","15.56","14.25","264.00K","-2.47%"
"Oct 29, 2014","14.78","15.00","15.75","14.40","220.00K","-1.47%"
"Oct 30, 2014","14.96","15.00","15.38","14.66","123.20K","1.22%"
"Oct 31, 2014","15.00","15.38","15.38","15.00","120.53K","0.27%"
"Nov 03, 2014","15.94","15.00","16.50","15.00","187.07K","6.27%"
"Nov 04, 2014","16.50","16.69","17.06","16.31","297.33K","3.51%"
"Nov 05, 2014","16.12","16.50","16.50","15.75","61.73K","-2.30%"
"Nov 06, 2014","15.75","15.94","16.12","15.75","75.87K","-2.30%"
"Nov 07, 2014","15.56","15.94","16.12","15.38","64.53K","-1.21%"
"Nov 10, 2014","15.38","15.75","16.12","15.19","41.73K","-1.16%"
"Nov 11, 2014","15.19","15.38","15.75","15.00","115.07K","-1.24%"
"Nov 12, 2014","15.19","15.19","15.56","15.00","140.67K","0.00%"
"Nov 13, 2014","15.56","15.19","15.94","15.00","171.73K","2.44%"
"Nov 14, 2014","15.75","15.56","16.12","15.38","61.87K","1.22%"
"Nov 17, 2014","15.75","16.12","16.12","15.56","76.40K","0.00%"
"Nov 18, 2014","15.75","15.94","16.12","15.56","260.40K","0.00%"
"Nov 19, 2014","15.75","15.94","15.94","15.75","76.93K","0.00%"
"Nov 20, 2014","15.75","15.94","16.12","15.75","393.60K","0.00%"
"Nov 21, 2014","15.75","15.94","15.94","15.56","94.40K","0.00%"
"Nov 24, 2014","15.75","15.75","16.12","15.75","475.60K","0.00%"
"Nov 25, 2014","15.75","15.75","15.75","15.56","124.27K","0.00%"
"Nov 26, 2014","15.56","15.75","15.75","15.38","278.27K","-1.21%"
"Nov 27, 2014","15.56","15.38","15.94","15.38","119.47K","0.00%"
"Nov 28, 2014","15.94","15.38","16.31","15.00","458.00K","2.44%"
"Dec 01, 2014","16.31","16.50","16.50","16.12","7.19M","2.32%"
"Dec 02, 2014","16.31","16.50","16.50","16.12","66.67K","0.00%"
"Dec 03, 2014","16.12","16.31","16.50","16.12","68.67K","-1.16%"
