"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 22, 2012","111.00","111.00","112.00","111.00","6.00K","0.00%"
"Aug 24, 2012","110.00","115.00","115.00","110.00","102.90K","-0.90%"
"Aug 27, 2012","101.00","110.00","109.00","100.00","0.60K","-8.18%"
"Aug 28, 2012","106.00","101.00","108.00","105.00","0.30K","4.95%"
"Aug 29, 2012","101.00","106.00","108.00","101.00","40.50K","-4.72%"
"Aug 30, 2012","102.00","101.00","108.00","101.00","0.50K","0.99%"
"Aug 31, 2012","102.00","102.00","102.00","102.00","0.10K","0.00%"
"Sep 03, 2012","101.00","102.00","103.00","100.00","3.20K","-0.98%"
"Sep 05, 2012","101.00","115.00","101.00","101.00","0.50K","0.00%"
"Sep 07, 2012","101.00","115.00","101.00","101.00","0.10K","0.00%"
"Sep 10, 2012","102.00","101.00","102.00","102.00","3.90K","0.99%"
"Sep 11, 2012","102.00","102.00","102.00","102.00","4.00K","0.00%"
"Sep 12, 2012","102.00","102.00","102.00","102.00","1.70K","0.00%"
"Sep 13, 2012","106.00","102.00","110.00","102.00","0.50K","3.92%"
"Sep 14, 2012","102.00","106.00","102.00","102.00","0.20K","-3.77%"
"Sep 21, 2012","102.00","115.00","102.00","102.00","0.80K","0.00%"
"Sep 24, 2012","102.00","102.00","102.00","102.00","0.20K","0.00%"
"Oct 03, 2012","111.00","115.00","112.00","110.00","2.00K","8.82%"
"Oct 04, 2012","112.00","111.00","112.00","112.00","2.10K","0.90%"
"Oct 08, 2012","102.00","115.00","102.00","102.00","0.20K","-8.93%"
"Oct 11, 2012","102.00","115.00","102.00","102.00","0.90K","0.00%"
"Oct 12, 2012","102.00","102.00","102.00","102.00","0.30K","0.00%"
"Oct 16, 2012","102.00","115.00","102.00","102.00","0.80K","0.00%"
"Oct 24, 2012","110.00","0.00","110.00","110.00","-","7.84%"
"Oct 29, 2012","112.00","115.00","112.00","112.00","0.50K","1.82%"
"Oct 31, 2012","113.00","115.00","115.00","112.00","0.20K","0.89%"
"Nov 06, 2012","113.00","113.00","113.00","113.00","0.10K","0.00%"
"Nov 13, 2012","113.00","113.00","113.00","113.00","0.10K","0.00%"
"Nov 19, 2012","113.00","113.00","113.00","113.00","0.10K","0.00%"
"Nov 21, 2012","110.00","113.00","110.00","110.00","4.10K","-2.65%"
"Nov 22, 2012","108.00","110.00","110.00","107.00","4.30K","-1.82%"
"Nov 30, 2012","106.00","108.00","108.00","105.00","1.50K","-1.85%"
"Dec 04, 2012","105.00","106.00","105.00","105.00","0.70K","-0.94%"
"Dec 05, 2012","104.00","105.00","105.00","102.00","14.10K","-0.95%"
"Dec 11, 2012","100.00","104.00","103.00","100.00","5.00K","-3.85%"
"Dec 13, 2012","100.00","100.00","101.00","100.00","4.30K","0.00%"
"Dec 14, 2012","98.00","100.00","100.00","97.00","5.20K","-2.00%"
"Dec 17, 2012","90.00","98.00","98.00","90.00","16.30K","-8.16%"
"Dec 20, 2012","99.00","99.00","99.00","99.00","0.10K","10.00%"
"Dec 21, 2012","99.50","99.00","100.00","99.00","113.30K","0.51%"
"Jan 03, 2013","99.50","100.00","100.00","99.50","13.00K","0.00%"
"Jan 04, 2013","99.50","99.50","100.00","99.50","11.90K","0.00%"
"Jan 07, 2013","99.50","99.50","100.00","99.00","15.00K","0.00%"
"Jan 08, 2013","99.50","100.00","100.00","99.00","10.30K","0.00%"
"Jan 09, 2013","100.00","100.00","100.00","100.00","12.60K","0.50%"
"Jan 10, 2013","100.00","100.00","100.00","100.00","46.60K","0.00%"
"Jan 11, 2013","100.00","100.00","100.00","100.00","76.90K","0.00%"
"Jan 14, 2013","100.00","100.00","100.00","100.00","0.30K","0.00%"
"Jan 15, 2013","99.00","100.00","100.00","99.00","9.40K","-1.00%"
"Jan 16, 2013","100.00","100.00","100.00","100.00","10.40K","1.01%"
"Jan 17, 2013","100.00","100.00","100.00","100.00","5.90K","0.00%"
"Jan 18, 2013","99.50","101.00","101.00","99.50","18.90K","-0.50%"
"Jan 21, 2013","100.00","100.00","100.00","100.00","4.10K","0.50%"
"Jan 22, 2013","95.00","100.00","100.00","95.00","33.30K","-5.00%"
"Jan 24, 2013","98.00","98.00","98.00","98.00","0.40K","3.16%"
"Jan 25, 2013","98.00","98.00","98.00","98.00","1.00K","0.00%"
"Jan 28, 2013","98.00","98.00","98.00","98.00","0.20K","0.00%"
"Jan 29, 2013","98.00","98.00","98.00","98.00","0.10K","0.00%"
"Jan 31, 2013","105.00","105.00","105.00","105.00","1.00K","7.14%"
"Feb 04, 2013","105.00","105.00","105.00","105.00","1.40K","0.00%"
"Feb 07, 2013","101.00","101.00","101.00","101.00","3.00K","-3.81%"
"Feb 08, 2013","100.00","100.00","101.00","100.00","2.30K","-0.99%"
