"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 06, 2012","15.33","15.73","15.47","15.33","90.00K","-2.54%"
"Dec 10, 2012","15.47","15.33","15.47","15.47","3.00K","0.91%"
"Dec 13, 2012","15.73","15.47","15.73","15.73","2.25K","1.68%"
"Dec 14, 2012","15.47","0.00","15.73","15.33","-","-1.65%"
"Dec 17, 2012","15.33","15.47","15.73","15.33","8.25K","-0.90%"
"Dec 18, 2012","15.33","15.73","15.73","15.33","24.75K","0.00%"
"Dec 21, 2012","15.33","15.47","15.73","15.07","24.00K","0.00%"
"Dec 31, 2012","16.27","16.27","16.27","16.27","0.75K","6.13%"
"Jan 02, 2013","16.00","16.00","16.00","16.00","7.50K","-1.66%"
"Jan 04, 2013","15.73","15.73","16.00","15.73","219.00K","-1.69%"
"Jan 09, 2013","16.67","16.67","16.67","16.67","3.00K","5.98%"
"Jan 11, 2013","15.87","15.33","16.00","15.33","57.75K","-4.80%"
"Jan 15, 2013","15.87","15.87","15.87","15.87","21.00K","0.00%"
"Jan 16, 2013","15.87","16.00","16.13","15.87","134.25K","0.00%"
"Jan 17, 2013","16.00","16.00","16.00","16.00","65.25K","0.82%"
"Jan 21, 2013","16.40","16.40","16.40","16.40","1.50K","2.50%"
"Jan 22, 2013","16.53","16.53","16.53","16.53","24.75K","0.79%"
"Jan 23, 2013","16.67","16.67","16.67","16.67","2.25K","0.85%"
"Jan 25, 2013","16.00","16.00","16.00","16.00","1.50K","-4.02%"
"Jan 29, 2013","16.67","16.67","16.67","16.67","0.75K","4.19%"
"Jan 31, 2013","16.13","16.13","16.13","16.13","142.50K","-3.24%"
"Feb 01, 2013","16.53","16.53","16.53","16.53","2.25K","2.48%"
"Feb 05, 2013","16.53","16.53","16.53","16.53","0.75K","0.00%"
"Feb 06, 2013","16.53","16.53","16.53","16.53","48.75K","0.00%"
"Feb 07, 2013","16.53","16.67","16.67","16.53","85.50K","0.00%"
"Feb 08, 2013","16.53","16.53","16.67","16.53","72.00K","0.00%"
"Feb 11, 2013","16.53","16.53","16.53","16.53","18.00K","0.00%"
"Feb 12, 2013","16.40","16.53","16.53","16.40","30.75K","-0.79%"
"Feb 13, 2013","16.27","16.27","16.27","16.27","1.50K","-0.79%"
"Feb 14, 2013","16.27","16.27","16.27","16.27","2.25K","0.00%"
"Feb 15, 2013","16.27","16.27","16.27","16.27","0.75K","0.00%"
"Feb 20, 2013","16.53","16.67","16.67","16.27","258.75K","1.60%"
"Feb 21, 2013","16.40","16.53","16.53","16.27","262.50K","-0.79%"
"Feb 22, 2013","16.27","16.27","16.27","16.27","6.75K","-0.79%"
"Feb 26, 2013","16.00","16.27","16.53","16.00","95.25K","-1.66%"
"Feb 28, 2013","16.00","16.00","16.00","16.00","2.25K","0.00%"
"Mar 01, 2013","16.80","16.80","16.80","16.80","0.75K","5.00%"
"Mar 06, 2013","16.80","16.80","16.80","16.80","1.50K","0.00%"
"Mar 11, 2013","16.00","16.93","16.93","16.00","76.50K","-4.76%"
"Mar 12, 2013","16.00","17.33","17.33","16.00","156.75K","0.00%"
"Mar 13, 2013","16.13","16.13","16.13","16.13","207.00K","0.81%"
"Mar 14, 2013","16.00","16.27","16.27","16.00","4.50K","-0.81%"
"Mar 15, 2013","16.93","16.93","16.93","16.93","12.75K","5.81%"
"Mar 18, 2013","16.27","17.47","17.47","16.27","38.25K","-3.90%"
"Mar 20, 2013","16.80","16.80","16.80","16.80","2.25K","3.26%"
"Mar 22, 2013","16.80","16.80","16.80","16.80","18.75K","0.00%"
"Mar 25, 2013","17.20","17.20","17.20","17.20","6.75K","2.38%"
"Mar 27, 2013","17.87","17.87","18.00","17.87","54.00K","3.90%"
"Mar 28, 2013","17.33","17.33","17.33","17.33","7.50K","-3.02%"
"Apr 02, 2013","18.67","18.67","18.67","18.67","12.75K","7.73%"
"Apr 03, 2013","18.67","18.67","18.67","18.67","2.25K","0.00%"
"Apr 04, 2013","18.13","18.53","18.53","18.00","3.75K","-2.89%"
"Apr 05, 2013","18.00","18.00","18.00","18.00","2.25K","-0.72%"
"Apr 10, 2013","18.13","18.13","18.13","18.13","0.75K","0.72%"
"Apr 12, 2013","17.33","17.33","17.33","17.33","75.00K","-4.41%"
"Apr 16, 2013","17.33","17.33","17.33","17.33","0.75K","0.00%"
"Apr 18, 2013","18.00","18.00","18.13","18.00","4.50K","3.87%"
"Apr 19, 2013","18.27","18.00","18.67","18.00","18.75K","1.50%"
"Apr 24, 2013","18.53","18.27","18.67","18.27","9.00K","1.42%"
"Apr 25, 2013","18.27","18.27","18.27","18.27","7.50K","-1.40%"
"Apr 26, 2013","18.13","18.27","18.27","18.13","9.00K","-0.77%"
"Apr 29, 2013","18.13","18.27","18.27","18.13","9.75K","0.00%"
"Apr 30, 2013","18.13","18.13","18.13","18.13","3.75K","0.00%"
"May 02, 2013","18.40","18.40","18.40","18.40","7.50K","1.49%"
"May 06, 2013","18.67","18.67","18.67","18.67","15.00K","1.47%"
"May 07, 2013","18.53","18.53","18.53","18.53","0.75K","-0.75%"
"May 08, 2013","18.53","18.67","18.67","18.53","22.50K","0.00%"
"May 09, 2013","18.67","18.67","18.67","18.67","2.25K","0.76%"
"May 10, 2013","18.80","18.80","18.80","18.80","19.50K","0.70%"
"May 13, 2013","19.07","18.80","19.20","18.80","19.50K","1.44%"
"May 14, 2013","20.00","20.00","20.00","20.00","15.75K","4.88%"
"May 15, 2013","19.33","19.33","19.47","19.33","90.00K","-3.35%"
"May 16, 2013","19.33","20.00","20.00","19.33","114.00K","0.00%"
"May 17, 2013","19.33","19.33","19.33","19.33","165.75K","0.00%"
"May 21, 2013","19.07","18.80","19.33","18.67","12.75K","-1.35%"
"May 22, 2013","18.80","18.80","18.93","18.80","83.25K","-1.42%"
"May 23, 2013","18.67","19.20","20.00","18.67","684.00K","-0.69%"
"May 27, 2013","18.67","18.67","18.67","18.67","12.00K","0.00%"
"May 28, 2013","18.53","18.67","18.67","18.40","10.50K","-0.75%"
"May 29, 2013","18.53","18.67","18.67","18.53","2.25K","0.00%"
"May 30, 2013","18.53","18.53","18.67","18.53","21.75K","0.00%"
"May 31, 2013","18.67","18.67","19.33","18.67","104.25K","0.76%"
"Jun 03, 2013","18.67","18.67","18.67","18.67","21.75K","0.00%"
"Jun 05, 2013","18.67","18.80","18.80","18.67","18.00K","0.00%"
"Jun 06, 2013","18.67","18.67","18.67","18.67","3.75K","0.00%"
"Jun 07, 2013","18.80","18.80","18.80","18.80","0.75K","0.70%"
"Jun 10, 2013","18.80","18.80","18.80","18.80","11.25K","0.00%"
