"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 01, 2012","221.00","221.00","222.00","211.00","330.10K","0.00%"
"Aug 02, 2012","219.00","221.00","222.00","209.00","499.60K","-0.90%"
"Aug 03, 2012","220.00","219.00","222.00","220.00","645.40K","0.46%"
"Aug 06, 2012","220.00","220.00","222.00","220.00","7.60K","0.00%"
"Aug 07, 2012","223.00","220.00","225.00","221.00","11.70K","1.36%"
"Aug 08, 2012","225.00","223.00","226.00","222.00","194.70K","0.90%"
"Aug 09, 2012","229.00","225.00","230.00","226.00","55.60K","1.78%"
"Aug 10, 2012","231.00","229.00","235.00","228.00","696.80K","0.87%"
"Aug 13, 2012","225.00","231.00","227.00","225.00","6.10K","-2.60%"
"Aug 14, 2012","225.00","225.00","227.00","225.00","10.40K","0.00%"
"Aug 15, 2012","227.00","225.00","230.00","226.00","19.60K","0.89%"
"Aug 16, 2012","230.00","227.00","232.00","227.00","33.60K","1.32%"
"Aug 17, 2012","232.00","230.00","240.00","230.00","895.80K","0.87%"
"Aug 21, 2012","229.00","232.00","232.00","221.00","389.70K","-1.29%"
"Aug 22, 2012","229.00","229.00","230.00","227.00","228.80K","0.00%"
"Aug 23, 2012","229.00","229.00","238.00","229.00","178.90K","0.00%"
"Aug 24, 2012","223.00","229.00","229.00","220.00","143.40K","-2.62%"
"Aug 27, 2012","223.00","223.00","224.00","221.00","243.70K","0.00%"
"Aug 28, 2012","221.00","223.00","223.00","220.00","43.60K","-0.90%"
"Aug 29, 2012","223.00","221.00","225.00","222.00","5.10K","0.90%"
"Aug 30, 2012","225.00","223.00","228.00","225.00","18.10K","0.90%"
"Aug 31, 2012","226.00","225.00","226.00","226.00","12.80K","0.44%"
"Sep 03, 2012","225.00","226.00","229.00","216.00","26.50K","-0.44%"
"Sep 04, 2012","226.00","225.00","226.00","226.00","1.60K","0.44%"
"Sep 05, 2012","229.00","226.00","230.00","229.00","1.20M","1.33%"
"Sep 06, 2012","227.00","229.00","229.00","226.00","257.80K","-0.87%"
"Sep 07, 2012","230.00","227.00","230.00","230.00","2.60K","1.32%"
"Sep 10, 2012","225.00","230.00","230.00","225.00","5.92M","-2.17%"
"Sep 11, 2012","229.00","225.00","230.00","227.00","244.70K","1.78%"
"Sep 12, 2012","228.00","229.00","230.00","228.00","586.00K","-0.44%"
"Sep 13, 2012","229.00","228.00","232.00","228.00","87.90K","0.44%"
"Sep 14, 2012","229.00","229.00","230.00","228.00","282.20K","0.00%"
"Sep 17, 2012","228.00","229.00","229.00","228.00","72.50K","-0.44%"
"Sep 18, 2012","228.00","228.00","229.00","227.00","100.70K","0.00%"
"Sep 19, 2012","226.00","228.00","230.00","226.00","181.80K","-0.88%"
