"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 11, 2014","10.75","10.75","10.75","10.75","66.50K","-9.66%"
"Nov 12, 2014","9.70","9.70","9.70","9.70","23.50K","-9.77%"
"Nov 13, 2014","8.75","9.30","9.30","8.75","216.50K","-9.79%"
"Nov 14, 2014","8.85","8.00","8.95","8.00","2.67M","1.14%"
"Nov 17, 2014","9.00","9.00","9.30","9.00","44.40K","1.69%"
"Nov 18, 2014","9.00","9.00","9.00","8.95","189.70K","0.00%"
"Nov 19, 2014","9.00","9.00","9.00","9.00","39.80K","0.00%"
"Nov 20, 2014","8.65","8.95","8.95","8.50","34.30K","-3.89%"
"Nov 21, 2014","8.80","8.80","8.80","8.80","1.70K","1.73%"
"Nov 24, 2014","8.60","8.80","8.80","8.50","9.90K","-2.27%"
"Nov 25, 2014","8.50","8.75","8.90","8.10","5.80K","-1.16%"
"Nov 26, 2014","8.75","8.75","8.80","8.75","9.90K","2.94%"
"Nov 27, 2014","8.70","8.80","8.80","8.70","14.10K","-0.57%"
"Nov 28, 2014","8.45","8.65","8.90","8.10","9.60K","-2.87%"
"Dec 01, 2014","8.30","8.90","8.90","8.15","17.10K","-1.78%"
"Dec 02, 2014","8.20","8.80","8.80","8.00","67.10K","-1.20%"
"Dec 03, 2014","8.60","8.70","8.70","8.50","0.30K","4.88%"
"Dec 04, 2014","8.50","8.70","8.70","8.40","2.10K","-1.16%"
"Dec 05, 2014","8.45","8.50","8.50","8.30","7.40K","-0.59%"
"Dec 08, 2014","8.15","8.30","8.30","8.00","22.30K","-3.55%"
"Dec 09, 2014","8.30","8.40","8.40","8.30","8.60K","1.84%"
"Dec 10, 2014","8.10","8.40","8.40","8.00","9.00K","-2.41%"
"Dec 11, 2014","8.15","8.10","8.20","8.10","34.70K","0.62%"
"Dec 15, 2014","8.05","8.10","8.10","8.00","45.70K","-1.23%"
"Dec 16, 2014","8.00","8.05","8.10","8.05","26.50K","-0.62%"
"Dec 17, 2014","8.00","8.00","8.10","8.00","136.60K","0.00%"
"Dec 18, 2014","8.00","8.00","8.20","8.00","7.50K","0.00%"
"Dec 19, 2014","8.00","8.00","8.00","8.00","0.50K","0.00%"
"Dec 22, 2014","8.00","8.10","8.10","8.00","3.03M","0.00%"
"Dec 23, 2014","8.00","8.00","8.00","8.00","69.30K","0.00%"
"Dec 24, 2014","8.00","8.00","8.40","8.00","432.60K","0.00%"
"Dec 29, 2014","8.10","8.15","8.80","8.05","41.20K","1.25%"
"Dec 30, 2014","8.25","8.80","8.80","8.20","10.30K","1.85%"
"Dec 31, 2014","8.20","8.45","8.45","8.20","3.70K","-0.61%"
"Jan 02, 2015","8.25","8.25","8.25","8.25","0.30K","0.61%"
"Jan 05, 2015","8.60","8.45","8.90","8.40","73.10K","4.24%"
"Jan 06, 2015","8.40","8.90","8.95","8.20","87.10K","-2.33%"
"Jan 07, 2015","8.60","8.60","8.60","8.60","0.10K","2.38%"
"Jan 08, 2015","8.45","8.60","8.60","8.40","5.70K","-1.74%"
"Jan 09, 2015","8.50","8.50","8.50","8.50","0.80K","0.59%"
"Jan 12, 2015","8.50","8.50","8.60","8.40","66.50K","0.00%"
"Jan 13, 2015","8.50","8.50","8.50","8.50","0.60K","0.00%"
"Jan 14, 2015","8.50","8.50","8.50","8.50","15.30K","0.00%"
"Jan 15, 2015","8.35","8.30","8.50","8.00","8.00K","-1.76%"
"Jan 16, 2015","8.10","8.30","8.35","8.00","2.10K","-2.99%"
"Jan 19, 2015","8.35","8.35","8.35","8.35","7.70K","3.09%"
"Jan 20, 2015","8.30","8.35","8.35","8.30","7.70K","-0.60%"
"Jan 21, 2015","8.25","8.35","8.35","8.00","4.10K","-0.60%"
"Jan 23, 2015","8.35","8.35","8.35","8.35","1.40K","1.21%"
"Jan 26, 2015","8.10","8.30","8.30","8.10","135.90K","-2.99%"
"Jan 27, 2015","8.20","8.25","8.25","8.20","7.20K","1.23%"
"Jan 28, 2015","8.50","8.20","9.00","8.20","3.70K","3.66%"
"Jan 29, 2015","8.20","8.20","8.20","8.20","6.40K","-3.53%"
"Jan 30, 2015","8.20","8.25","8.25","8.20","3.10K","0.00%"
"Feb 02, 2015","8.10","8.15","8.20","8.10","4.80K","-1.22%"
"Feb 03, 2015","8.00","8.20","8.20","8.00","22.60K","-1.23%"
"Feb 04, 2015","8.05","8.20","8.20","8.00","8.70K","0.63%"
"Feb 05, 2015","8.15","8.10","8.20","8.10","11.60K","1.24%"
"Feb 06, 2015","8.20","8.20","8.45","8.20","46.20K","0.61%"
"Feb 09, 2015","8.30","8.20","8.50","8.20","0.30K","1.22%"
"Feb 10, 2015","9.00","9.00","9.00","9.00","0.20K","8.43%"
