"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 05, 2012","5.500","6.050","5.800","5.300","606.60K","-9.09%"
"Nov 06, 2012","5.650","5.500","5.750","5.550","408.50K","2.73%"
"Nov 07, 2012","5.700","5.650","5.800","5.600","810.80K","0.88%"
"Nov 08, 2012","5.800","5.650","5.900","5.750","560.40K","1.75%"
"Nov 09, 2012","5.850","5.800","5.900","5.800","1.72M","0.86%"
"Nov 12, 2012","5.750","5.850","5.900","5.550","267.70K","-1.71%"
"Nov 13, 2012","5.500","5.750","5.600","5.350","7.61M","-4.35%"
"Nov 14, 2012","5.550","5.500","5.650","5.500","734.80K","0.91%"
"Nov 15, 2012","5.500","5.550","5.600","5.500","897.60K","-0.90%"
"Nov 16, 2012","5.550","5.500","5.600","5.500","295.80K","0.91%"
"Nov 19, 2012","5.750","5.550","5.850","5.550","3.12M","3.60%"
"Nov 20, 2012","5.600","5.750","5.750","5.550","200.20K","-2.61%"
"Nov 21, 2012","5.750","5.600","5.800","5.550","2.47M","2.68%"
"Nov 22, 2012","5.650","5.750","5.750","5.600","68.00K","-1.74%"
"Nov 23, 2012","5.650","5.650","5.850","5.600","169.00K","0.00%"
"Nov 26, 2012","5.600","5.650","5.700","5.550","230.40K","-0.88%"
"Nov 27, 2012","5.500","5.600","5.700","5.500","613.20K","-1.79%"
"Nov 28, 2012","5.500","5.500","5.600","5.250","1.75M","0.00%"
"Nov 29, 2012","5.250","5.500","5.350","5.100","609.20K","-4.55%"
"Nov 30, 2012","5.000","5.250","5.250","4.850","243.60K","-4.76%"
"Dec 03, 2012","4.900","5.000","5.000","4.850","148.30K","-2.00%"
"Dec 04, 2012","4.850","4.900","5.000","4.800","495.50K","-1.02%"
"Dec 05, 2012","4.850","4.850","4.950","4.800","202.10K","0.00%"
"Dec 06, 2012","4.800","4.850","5.000","4.750","753.50K","-1.03%"
"Dec 07, 2012","4.900","4.800","5.000","4.800","318.40K","2.08%"
"Dec 10, 2012","4.850","4.900","4.950","4.850","103.00K","-1.02%"
"Dec 11, 2012","4.900","4.850","4.950","4.800","405.70K","1.03%"
"Dec 13, 2012","4.800","4.900","4.950","4.800","958.20K","-2.04%"
"Dec 14, 2012","4.800","4.800","4.950","4.750","520.80K","0.00%"
"Dec 17, 2012","4.900","4.800","4.950","4.800","1.62M","2.08%"
"Dec 18, 2012","5.100","4.950","5.250","4.950","1.45M","4.08%"
"Dec 19, 2012","5.150","5.100","5.200","5.100","1.10M","0.98%"
"Dec 20, 2012","5.100","5.200","5.200","4.950","394.90K","-0.97%"
"Dec 21, 2012","4.950","5.100","5.100","4.900","104.10K","-2.94%"
"Dec 24, 2012","4.900","5.150","5.150","4.850","194.30K","-1.01%"
"Dec 27, 2012","4.850","4.900","4.950","4.850","287.60K","-1.02%"
"Dec 28, 2012","4.850","4.850","4.900","4.850","616.60K","0.00%"
"Dec 31, 2012","4.850","4.850","4.900","4.850","480.70K","0.00%"
"Jan 02, 2013","4.900","4.900","4.950","4.850","112.00K","1.03%"
"Jan 03, 2013","4.950","4.900","5.000","4.900","483.50K","1.02%"
"Jan 04, 2013","5.050","4.950","5.100","4.950","1.23M","2.02%"
"Jan 07, 2013","5.000","5.000","5.050","5.000","335.20K","-0.99%"
"Jan 08, 2013","5.000","5.000","5.050","4.950","4.26M","0.00%"
"Jan 09, 2013","4.950","5.000","5.000","4.900","3.32M","-1.00%"
"Jan 10, 2013","4.950","5.000","5.000","4.950","2.83M","0.00%"
"Jan 11, 2013","4.950","5.000","5.000","4.900","723.20K","0.00%"
"Jan 14, 2013","4.900","5.000","5.000","4.900","1.98M","-1.01%"
"Jan 15, 2013","4.950","4.950","5.050","4.850","2.07M","1.02%"
"Jan 16, 2013","5.250","5.050","5.400","5.000","1.52M","6.06%"
"Jan 17, 2013","5.300","5.300","5.400","5.200","813.10K","0.95%"
"Jan 18, 2013","5.250","5.300","5.350","5.050","1.34M","-0.94%"
"Jan 21, 2013","5.150","5.300","5.300","5.100","146.80K","-1.90%"
"Jan 22, 2013","5.100","5.200","5.200","5.050","566.60K","-0.97%"
"Jan 23, 2013","5.000","5.100","5.150","5.000","486.00K","-1.96%"
"Jan 24, 2013","4.950","5.000","5.100","4.900","957.50K","-1.00%"
"Jan 25, 2013","5.000","5.000","5.100","4.950","2.58M","1.01%"
"Jan 28, 2013","5.050","5.050","5.150","5.050","574.70K","1.00%"
"Jan 29, 2013","5.050","5.050","5.150","5.000","108.50K","0.00%"
"Jan 30, 2013","5.050","5.050","5.150","5.000","2.60M","0.00%"
"Jan 31, 2013","5.050","5.000","5.100","4.950","4.27M","0.00%"
"Feb 01, 2013","5.000","5.050","5.050","5.000","383.50K","-0.99%"
"Feb 04, 2013","5.000","5.050","5.050","4.950","1.03M","0.00%"
"Feb 05, 2013","5.000","5.000","5.050","4.950","380.80K","0.00%"
"Feb 06, 2013","4.950","5.000","5.000","4.950","640.30K","-1.00%"
"Feb 07, 2013","5.000","5.000","5.000","4.950","818.70K","1.01%"
"Feb 08, 2013","5.000","5.000","5.050","5.000","610.80K","0.00%"
"Feb 11, 2013","4.950","5.000","5.050","4.950","1.16M","-1.00%"
"Feb 12, 2013","4.950","5.000","5.000","4.900","470.00K","0.00%"
"Feb 13, 2013","4.950","5.000","5.000","4.900","707.30K","0.00%"
"Feb 14, 2013","4.950","5.000","5.000","4.950","682.00K","0.00%"
"Feb 15, 2013","5.000","5.000","5.000","4.950","997.50K","1.01%"
"Feb 18, 2013","4.950","5.000","5.000","4.950","822.80K","-1.00%"
"Feb 19, 2013","4.950","5.000","5.000","4.950","984.20K","0.00%"
"Feb 20, 2013","4.800","4.950","5.000","4.600","733.40K","-3.03%"
"Feb 21, 2013","4.750","4.800","4.800","4.650","1.89M","-1.04%"
"Feb 22, 2013","4.650","4.750","4.750","4.650","714.90K","-2.11%"
"Feb 25, 2013","4.750","4.750","4.950","4.700","636.20K","2.15%"
"Feb 26, 2013","4.700","4.750","4.850","4.700","1.08M","-1.05%"
"Feb 27, 2013","4.850","4.800","4.950","4.750","652.10K","3.19%"
"Feb 28, 2013","4.200","4.750","4.750","4.000","2.53M","-13.40%"
"Mar 01, 2013","4.200","4.150","4.350","4.150","1.67M","0.00%"
"Mar 05, 2013","4.550","4.300","4.600","4.300","1.14M","8.33%"
"Mar 06, 2013","4.450","4.600","4.600","4.300","743.40K","-2.20%"
"Mar 07, 2013","4.500","4.500","4.850","4.450","2.10M","1.12%"
"Mar 08, 2013","4.800","4.500","4.900","4.500","3.51M","6.67%"
"Mar 11, 2013","4.800","4.800","4.900","4.650","1.61M","0.00%"
"Mar 12, 2013","4.750","4.800","4.850","4.700","6.45M","-1.04%"
"Mar 13, 2013","4.700","4.800","4.900","4.550","3.15M","-1.05%"
"Mar 14, 2013","4.600","4.750","4.800","4.550","631.60K","-2.13%"
"Mar 15, 2013","4.650","4.750","4.750","4.600","2.43M","1.09%"
"Mar 18, 2013","4.600","4.650","4.700","4.550","241.80K","-1.08%"
"Mar 19, 2013","4.600","4.800","4.800","4.550","454.30K","0.00%"
"Mar 20, 2013","4.600","4.650","4.700","4.550","617.80K","0.00%"
"Mar 21, 2013","4.550","4.600","4.650","4.550","708.80K","-1.09%"
"Mar 22, 2013","4.500","4.600","4.650","4.400","957.10K","-1.10%"
"Mar 25, 2013","4.500","4.450","4.600","4.350","2.67M","0.00%"
"Mar 26, 2013","4.550","4.550","4.600","4.550","1.09M","1.11%"
