"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 02, 2014","5.00","5.00","5.00","5.00","2.00K","8.70%"
"Apr 03, 2014","5.00","5.00","5.00","5.00","1.00K","0.00%"
"Apr 04, 2014","5.00","5.00","5.00","5.00","8.50K","0.00%"
"Apr 15, 2014","5.50","5.50","5.50","5.50","0.10K","10.00%"
"Apr 17, 2014","5.60","5.60","5.60","5.60","0.40K","1.82%"
"Apr 23, 2014","6.00","6.00","6.00","6.00","0.10K","7.14%"
"Apr 24, 2014","6.60","6.60","6.60","6.60","0.10K","10.00%"
"Apr 25, 2014","6.55","6.55","6.55","6.55","4.00K","-0.76%"
"Apr 28, 2014","7.20","7.20","7.20","7.20","0.50K","9.92%"
"May 06, 2014","7.90","7.90","7.90","7.90","0.10K","9.72%"
"May 13, 2014","8.60","8.60","8.60","8.60","0.40K","8.86%"
"May 29, 2014","9.45","9.45","9.45","9.45","1.60K","9.88%"
"Jul 28, 2014","10.25","10.25","10.25","10.25","0.80K","8.47%"
"Aug 13, 2014","10.50","10.50","10.50","10.50","0.50K","2.44%"
"Aug 14, 2014","10.50","10.50","10.50","10.50","1.00K","0.00%"
"Aug 15, 2014","10.50","10.50","10.50","10.50","5.00K","0.00%"
"Aug 20, 2014","11.50","11.50","11.50","11.50","0.10K","9.52%"
"Aug 22, 2014","12.60","12.60","12.60","12.60","0.10K","9.57%"
"Aug 26, 2014","13.85","13.85","13.85","13.85","0.10K","9.92%"
"Aug 29, 2014","15.20","15.20","15.20","15.20","0.10K","9.75%"
"Sep 02, 2014","16.70","16.70","16.70","16.70","0.10K","9.87%"
"Sep 03, 2014","18.35","18.35","18.35","18.35","0.10K","9.88%"
"Sep 04, 2014","20.00","20.00","20.00","20.00","0.10K","8.99%"
"Sep 08, 2014","22.00","22.00","22.00","22.00","0.10K","10.00%"
"Sep 09, 2014","24.00","24.00","24.00","24.00","0.10K","9.09%"
"Sep 10, 2014","26.25","26.25","26.25","26.25","0.10K","9.38%"
"Sep 11, 2014","28.75","28.75","28.75","28.75","0.10K","9.52%"
"Sep 12, 2014","31.50","31.50","31.50","31.50","0.10K","9.57%"
"Sep 15, 2014","34.50","34.50","34.50","34.50","0.10K","9.52%"
"Sep 17, 2014","37.75","37.75","37.75","37.75","0.10K","9.42%"
"Sep 19, 2014","41.50","41.50","41.50","41.50","0.10K","9.93%"
"Sep 22, 2014","44.00","41.50","44.50","41.50","0.60K","6.02%"
"Sep 23, 2014","48.00","48.00","48.00","48.00","0.10K","9.09%"
"Sep 24, 2014","52.50","52.50","52.50","52.50","0.10K","9.38%"
"Sep 25, 2014","57.50","57.50","57.50","57.50","0.90K","9.52%"
"Sep 26, 2014","62.00","60.00","63.00","60.00","2.00K","7.83%"
"Sep 29, 2014","67.00","67.00","67.00","67.00","0.10K","8.06%"
"Sep 30, 2014","73.00","73.00","73.00","73.00","0.30K","8.96%"
"Oct 01, 2014","80.00","80.00","80.00","80.00","0.50K","9.59%"
"Oct 02, 2014","88.00","88.00","88.00","88.00","0.20K","10.00%"
"Oct 03, 2014","87.50","88.00","88.00","82.00","2.60K","-0.57%"
"Oct 06, 2014","94.00","90.00","96.00","90.00","0.30K","7.43%"
"Oct 07, 2014","101.00","96.50","103.00","96.50","0.60K","7.45%"
"Oct 08, 2014","111.00","111.00","111.00","111.00","0.90K","9.90%"
"Oct 09, 2014","122.00","122.00","122.00","122.00","0.10K","9.91%"
"Oct 10, 2014","127.00","122.00","134.00","122.00","1.80K","4.10%"
"Oct 13, 2014","130.00","130.00","130.00","130.00","0.10K","2.36%"
"Oct 14, 2014","133.00","130.00","139.00","130.00","0.30K","2.31%"
"Oct 15, 2014","135.00","133.00","143.00","133.00","0.50K","1.50%"
"Oct 16, 2014","140.00","140.00","140.00","140.00","0.30K","3.70%"
"Oct 17, 2014","146.00","145.00","150.00","145.00","0.30K","4.29%"
"Oct 21, 2014","160.00","160.00","160.00","160.00","0.20K","9.59%"
"Oct 22, 2014","175.00","175.00","175.00","175.00","1.20K","9.38%"
"Oct 23, 2014","175.00","175.00","175.00","175.00","0.10K","0.00%"
"Oct 24, 2014","182.00","190.00","190.00","175.00","0.20K","4.00%"
"Oct 27, 2014","181.00","181.00","181.00","181.00","0.10K","-0.55%"
"Oct 28, 2014","175.00","175.00","181.00","175.00","1.00K","-3.31%"
"Oct 29, 2014","181.00","175.00","192.00","175.00","0.80K","3.43%"
"Oct 31, 2014","190.00","190.00","190.00","190.00","0.10K","4.97%"
"Nov 03, 2014","175.00","175.00","175.00","175.00","0.40K","-7.89%"
"Nov 04, 2014","180.00","180.00","180.00","180.00","0.20K","2.86%"
"Nov 05, 2014","170.00","170.00","170.00","170.00","0.30K","-5.56%"
"Nov 06, 2014","153.00","153.00","153.00","153.00","0.30K","-10.00%"
"Nov 07, 2014","138.00","138.00","140.00","138.00","0.80K","-9.80%"
"Nov 13, 2014","125.00","125.00","125.00","125.00","0.10K","-9.42%"
"Dec 03, 2014","118.00","113.00","120.00","113.00","0.40K","-5.60%"
"Dec 05, 2014","118.00","118.00","118.00","118.00","0.80K","0.00%"
"Dec 19, 2014","110.00","110.00","110.00","110.00","0.50K","-6.78%"
"Jan 19, 2015","110.00","110.00","110.00","110.00","0.10K","0.00%"
"Feb 13, 2015","110.00","110.00","110.00","110.00","0.10K","0.00%"
"Feb 17, 2015","115.00","115.00","115.00","115.00","0.10K","4.55%"
"Feb 18, 2015","115.00","115.00","115.00","115.00","0.10K","0.00%"
"Feb 24, 2015","115.00","114.00","125.00","114.00","0.80K","0.00%"
"Mar 06, 2015","112.00","112.00","112.00","112.00","0.50K","-2.61%"
"Mar 10, 2015","112.00","112.00","112.00","112.00","0.10K","0.00%"
"Mar 11, 2015","112.00","112.00","112.00","112.00","0.30K","0.00%"
"Mar 13, 2015","115.00","115.00","115.00","115.00","0.10K","2.68%"
"Mar 17, 2015","112.00","112.00","112.00","112.00","0.10K","-2.61%"
"Apr 14, 2015","110.00","110.00","110.00","110.00","0.50K","-1.79%"
"May 04, 2015","105.00","105.00","105.00","105.00","1.40K","-4.55%"
"Jun 04, 2015","100.00","100.00","100.00","100.00","0.50K","-4.76%"
"Aug 18, 2015","100.00","100.00","100.00","100.00","0.20K","0.00%"
"Aug 21, 2015","100.00","100.00","100.00","100.00","0.90K","0.00%"
"Aug 24, 2015","100.00","100.00","100.00","100.00","0.40K","0.00%"
"Sep 28, 2015","100.00","100.00","100.00","100.00","0.10K","0.00%"
