"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 13, 2012","14.20","13.75","14.50","14.00","21.80K","3.27%"
"Sep 14, 2012","14.65","14.20","14.95","14.25","72.10K","3.17%"
"Sep 17, 2012","15.35","14.65","15.70","15.00","22.40K","4.78%"
"Sep 18, 2012","15.45","15.35","15.60","15.00","44.50K","0.65%"
"Sep 19, 2012","15.00","15.45","15.00","15.00","11.70K","-2.91%"
"Sep 20, 2012","15.00","15.00","15.20","15.00","22.80K","0.00%"
"Sep 21, 2012","15.00","15.00","15.20","15.00","12.70K","0.00%"
"Sep 24, 2012","15.10","15.00","15.30","15.00","21.30K","0.67%"
"Sep 25, 2012","15.25","15.10","15.35","15.15","39.80K","0.99%"
"Sep 26, 2012","15.20","15.25","15.20","15.20","5.00K","-0.33%"
"Sep 27, 2012","15.15","15.20","15.35","15.10","0.80K","-0.33%"
"Sep 28, 2012","13.75","15.15","14.00","13.60","1.30K","-9.24%"
"Oct 01, 2012","13.30","13.75","13.30","13.30","0.10K","-3.27%"
"Oct 02, 2012","12.00","13.30","12.00","12.00","16.00K","-9.77%"
"Oct 03, 2012","12.05","12.00","12.30","11.50","28.10K","0.42%"
"Oct 04, 2012","12.25","12.05","12.75","12.00","5.20K","1.66%"
"Oct 05, 2012","12.45","12.25","13.20","12.30","7.50K","1.63%"
"Oct 08, 2012","13.00","12.45","13.00","13.00","2.80K","4.42%"
"Oct 09, 2012","13.80","13.00","14.00","13.00","63.20K","6.15%"
"Oct 10, 2012","13.95","13.80","14.60","13.00","17.50K","1.09%"
"Oct 11, 2012","13.10","13.95","13.80","13.00","57.50K","-6.09%"
"Oct 12, 2012","12.90","13.10","13.70","12.55","15.70K","-1.53%"
"Oct 15, 2012","13.10","12.90","13.45","13.10","2.40K","1.55%"
"Oct 16, 2012","13.40","13.10","13.45","13.40","0.20K","2.29%"
"Oct 17, 2012","13.05","13.40","13.50","13.05","5.30K","-2.61%"
"Oct 18, 2012","13.15","13.05","13.40","13.15","21.90K","0.77%"
"Oct 19, 2012","13.15","13.15","13.40","13.15","9.60K","0.00%"
"Oct 22, 2012","13.00","13.15","13.40","13.00","2.80K","-1.14%"
"Oct 23, 2012","13.10","13.00","13.40","13.00","29.80K","0.77%"
"Oct 24, 2012","13.15","13.10","13.40","13.05","6.10K","0.38%"
"Oct 25, 2012","13.00","13.15","13.15","13.00","21.30K","-1.14%"
"Oct 26, 2012","13.20","13.00","13.40","13.20","0.50K","1.54%"
"Oct 29, 2012","13.00","13.20","13.00","13.00","0.20K","-1.52%"
"Oct 30, 2012","13.00","13.00","13.00","13.00","12.00K","0.00%"
"Oct 31, 2012","13.00","13.00","13.30","12.90","1.40K","0.00%"
"Nov 01, 2012","13.00","13.00","13.20","13.00","1.10K","0.00%"
"Nov 02, 2012","13.10","13.00","13.20","13.00","0.20K","0.77%"
"Nov 05, 2012","13.00","13.10","13.20","13.00","14.60K","-0.76%"
"Nov 06, 2012","13.35","13.00","14.25","13.00","35.70K","2.69%"
"Nov 07, 2012","13.05","13.35","13.20","12.75","15.00K","-2.25%"
"Nov 08, 2012","13.00","13.35","13.20","13.00","7.80K","-0.38%"
"Nov 09, 2012","13.35","13.00","13.85","13.20","0.40K","2.69%"
"Nov 12, 2012","13.20","13.35","13.25","13.20","1.00K","-1.12%"
"Nov 13, 2012","13.25","13.20","13.50","13.20","2.70K","0.38%"
"Nov 14, 2012","13.25","13.25","13.85","13.20","2.40K","0.00%"
"Nov 15, 2012","13.20","13.25","13.85","13.20","29.70K","-0.38%"
"Nov 16, 2012","13.25","13.20","13.25","13.25","0.10K","0.38%"
"Nov 19, 2012","13.95","13.25","14.00","13.85","1.20K","5.28%"
"Nov 20, 2012","13.95","13.95","14.00","13.95","6.10K","0.00%"
"Nov 21, 2012","13.40","14.00","13.85","13.30","0.40K","-3.94%"
"Nov 22, 2012","13.95","13.40","14.00","13.40","3.40K","4.10%"
"Nov 23, 2012","13.40","13.95","13.45","13.40","6.70K","-3.94%"
"Nov 26, 2012","13.50","13.40","13.50","13.50","11.70K","0.75%"
"Nov 27, 2012","13.50","13.50","13.70","13.50","76.30K","0.00%"
"Nov 28, 2012","13.50","13.50","13.50","13.50","55.20K","0.00%"
"Nov 29, 2012","13.65","13.50","14.00","13.50","9.20K","1.11%"
"Nov 30, 2012","13.70","13.65","13.80","13.60","3.60K","0.37%"
"Dec 03, 2012","13.90","13.70","14.00","13.55","31.80K","1.46%"
"Dec 04, 2012","13.85","13.90","14.25","13.55","37.20K","-0.36%"
"Dec 05, 2012","13.55","13.85","13.60","13.55","2.10K","-2.17%"
"Dec 06, 2012","13.45","13.55","13.55","13.00","2.30K","-0.74%"
"Dec 07, 2012","12.15","13.45","13.40","12.15","65.80K","-9.67%"
"Dec 10, 2012","11.65","12.15","12.20","11.00","23.30K","-4.12%"
"Dec 11, 2012","12.70","11.65","12.80","12.60","10.70K","9.01%"
"Dec 13, 2012","13.00","12.70","13.15","12.00","6.20K","2.36%"
"Dec 14, 2012","12.50","0.00","12.50","12.50","-","-3.85%"
"Dec 17, 2012","13.10","12.50","13.20","12.50","86.90K","4.80%"
"Dec 18, 2012","13.10","13.00","13.15","13.00","130.60K","0.00%"
"Dec 19, 2012","13.10","13.10","13.10","13.10","8.00K","0.00%"
"Dec 20, 2012","13.25","13.10","13.50","12.45","41.10K","1.15%"
"Dec 21, 2012","12.70","12.55","12.75","12.55","0.60K","-4.15%"
"Dec 27, 2012","13.45","13.45","13.45","13.45","0.10K","5.91%"
"Dec 28, 2012","13.05","13.00","13.45","12.70","3.90K","-2.97%"
"Jan 02, 2013","13.05","13.05","13.05","13.05","0.10K","0.00%"
"Jan 03, 2013","13.15","13.00","13.20","13.00","21.50K","0.77%"
"Jan 04, 2013","13.45","13.30","13.50","13.30","69.00K","2.28%"
"Jan 07, 2013","13.60","13.50","13.65","13.50","8.50K","1.12%"
"Jan 08, 2013","13.50","13.50","13.50","13.50","1.00K","-0.74%"
"Jan 09, 2013","13.50","13.50","13.50","13.50","4.60K","0.00%"
"Jan 10, 2013","13.60","13.50","13.65","13.50","13.10K","0.74%"
"Jan 11, 2013","13.65","13.65","13.65","13.65","8.80K","0.37%"
"Jan 14, 2013","13.60","13.65","13.70","13.60","12.60K","-0.37%"
"Jan 15, 2013","13.65","13.65","13.75","13.65","8.10K","0.37%"
"Jan 16, 2013","13.90","13.90","13.95","13.90","24.00K","1.83%"
"Jan 17, 2013","14.00","14.00","14.00","14.00","16.00K","0.72%"
"Jan 18, 2013","14.00","14.00","14.20","14.00","32.20K","0.00%"
"Jan 21, 2013","14.00","14.00","14.00","14.00","3.70K","0.00%"
"Jan 22, 2013","14.00","14.00","14.00","13.75","10.10K","0.00%"
"Jan 23, 2013","13.65","13.65","13.65","13.65","0.40K","-2.50%"
"Jan 24, 2013","13.95","13.75","14.00","13.75","23.50K","2.20%"
"Jan 25, 2013","14.00","14.00","14.00","14.00","3.50K","0.36%"
"Jan 28, 2013","13.80","14.00","14.20","13.75","11.80K","-1.43%"
"Jan 29, 2013","13.90","14.00","14.00","13.80","8.60K","0.72%"
"Jan 30, 2013","13.85","13.75","14.00","13.75","2.20K","-0.36%"
"Jan 31, 2013","13.75","14.00","14.00","13.65","62.40K","-0.72%"
"Feb 01, 2013","14.20","14.20","14.20","14.20","7.00K","3.27%"
"Feb 04, 2013","13.80","13.80","13.80","13.80","0.20K","-2.82%"
"Feb 05, 2013","14.10","13.80","14.20","13.80","19.10K","2.17%"
"Feb 06, 2013","14.00","14.00","14.00","14.00","2.70K","-0.71%"
"Feb 07, 2013","14.00","14.00","14.00","13.95","5.40K","0.00%"
