"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2015","21.50","21.50","21.50","21.50","0.10K","-9.47%"
"Dec 01, 2015","21.50","19.35","22.00","19.35","64.00K","0.00%"
"Dec 02, 2015","21.00","21.50","21.50","20.50","17.00K","-2.33%"
"Dec 03, 2015","20.50","19.50","22.00","19.50","243.00K","-2.38%"
"Dec 04, 2015","21.25","22.00","22.00","20.00","120.60K","3.66%"
"Dec 07, 2015","21.00","21.00","22.00","19.50","77.60K","-1.18%"
"Dec 08, 2015","20.75","21.00","21.25","20.50","28.80K","-1.19%"
"Dec 09, 2015","20.75","21.00","21.50","20.50","102.70K","0.00%"
"Dec 10, 2015","20.75","21.00","21.00","20.75","4.00K","0.00%"
"Dec 11, 2015","20.50","20.75","20.75","20.50","47.50K","-1.20%"
"Dec 14, 2015","20.25","21.00","21.00","20.50","40.40K","-1.22%"
"Dec 15, 2015","20.25","21.00","21.00","20.00","31.00K","0.00%"
"Dec 16, 2015","20.25","20.50","21.00","20.00","216.20K","0.00%"
"Dec 17, 2015","20.50","20.25","21.00","20.00","24.20K","1.23%"
"Dec 18, 2015","20.75","20.75","21.00","20.50","21.10K","1.22%"
"Dec 21, 2015","20.75","21.00","21.00","20.50","11.70K","0.00%"
"Dec 22, 2015","20.75","20.00","21.00","20.00","35.20K","0.00%"
"Dec 23, 2015","20.75","21.00","21.00","20.50","53.40K","0.00%"
"Dec 24, 2015","21.00","20.75","22.00","20.25","63.50K","1.20%"
"Dec 28, 2015","21.75","22.00","22.25","21.00","59.50K","3.57%"
"Dec 29, 2015","21.00","22.50","22.50","21.00","11.60K","-3.45%"
"Dec 30, 2015","22.25","21.75","22.50","21.75","30.30K","5.95%"
"Dec 31, 2015","22.00","0.00","22.25","22.00","2.50K","-1.12%"
"Jan 04, 2016","21.75","22.00","22.00","21.00","31.70K","-1.14%"
"Jan 05, 2016","21.75","22.00","22.00","21.50","50.20K","0.00%"
"Jan 06, 2016","21.25","21.50","22.00","21.00","25.60K","-2.30%"
"Jan 07, 2016","21.00","21.00","21.25","21.00","26.10K","-1.18%"
"Jan 08, 2016","20.75","21.00","21.00","20.50","53.20K","-1.19%"
"Jan 11, 2016","21.00","21.00","21.25","20.75","28.40K","1.20%"
"Jan 12, 2016","21.00","21.25","21.25","21.00","22.40K","0.00%"
"Jan 13, 2016","20.75","21.00","21.00","20.50","19.20K","-1.19%"
"Jan 14, 2016","20.75","20.50","21.00","20.25","40.70K","0.00%"
"Jan 15, 2016","20.75","20.75","21.00","20.75","21.20K","0.00%"
"Jan 18, 2016","20.75","21.00","21.00","20.75","13.90K","0.00%"
"Jan 19, 2016","20.50","21.00","21.00","20.00","40.10K","-1.20%"
"Jan 20, 2016","20.75","20.50","21.00","20.00","10.90K","1.22%"
"Jan 21, 2016","20.00","20.50","20.75","19.50","30.30K","-3.61%"
"Jan 22, 2016","20.75","20.75","20.75","20.75","4.10K","3.75%"
"Jan 25, 2016","20.25","20.75","20.75","20.25","1.40K","-2.41%"
"Jan 26, 2016","20.00","20.25","20.25","20.00","2.90K","-1.23%"
"Jan 27, 2016","19.95","20.25","20.25","19.00","49.90K","-0.25%"
"Jan 28, 2016","20.00","19.00","20.00","19.00","145.40K","0.25%"
"Jan 29, 2016","20.00","20.00","20.00","20.00","52.30K","0.00%"
"Feb 01, 2016","19.95","20.00","20.00","19.75","10.10K","-0.25%"
"Feb 02, 2016","20.00","19.75","20.50","19.50","33.40K","0.25%"
"Feb 03, 2016","20.00","19.95","20.75","19.50","26.90K","0.00%"
"Feb 04, 2016","20.25","19.50","21.00","19.50","21.00K","1.25%"
"Feb 05, 2016","20.00","20.00","20.75","20.00","6.30K","-1.23%"
"Feb 08, 2016","19.75","20.00","20.00","19.50","6.40K","-1.25%"
"Feb 09, 2016","20.00","20.00","20.50","19.85","29.10K","1.27%"
"Feb 10, 2016","20.00","20.25","20.25","20.00","30.50K","0.00%"
"Feb 11, 2016","20.00","20.50","20.50","20.00","15.70K","0.00%"
"Feb 12, 2016","20.00","20.00","20.25","20.00","45.20K","0.00%"
"Feb 15, 2016","20.00","20.00","20.25","20.00","24.90K","0.00%"
"Feb 16, 2016","20.00","20.00","20.50","20.00","27.50K","0.00%"
"Feb 17, 2016","20.00","20.00","20.50","19.50","48.90K","0.00%"
"Feb 18, 2016","20.00","20.00","20.00","20.00","351.70K","0.00%"
"Feb 19, 2016","20.00","20.25","20.25","20.00","18.20K","0.00%"
"Feb 22, 2016","20.00","20.00","20.00","20.00","91.30K","0.00%"
"Feb 23, 2016","20.00","20.00","20.25","20.00","18.70K","0.00%"
"Feb 24, 2016","20.00","20.00","20.50","20.00","26.10K","0.00%"
"Feb 25, 2016","20.25","20.00","20.50","20.00","12.90K","1.25%"
"Feb 26, 2016","20.00","20.25","20.25","20.00","29.30K","-1.23%"
"Feb 29, 2016","20.00","20.25","20.25","20.00","6.70K","0.00%"
"Mar 01, 2016","20.00","20.25","20.25","20.00","7.90K","0.00%"
"Mar 02, 2016","20.00","20.25","20.25","20.00","5.20K","0.00%"
"Mar 03, 2016","20.00","20.00","20.25","20.00","70.90K","0.00%"
"Mar 04, 2016","20.00","20.00","20.25","20.00","24.90K","0.00%"
"Mar 07, 2016","20.00","20.00","20.25","20.00","50.20K","0.00%"
"Mar 08, 2016","20.00","20.00","20.25","20.00","53.90K","0.00%"
"Mar 09, 2016","20.00","20.25","20.25","20.00","70.20K","0.00%"
"Mar 10, 2016","20.00","20.00","20.25","20.00","37.30K","0.00%"
"Mar 11, 2016","20.00","20.00","20.25","20.00","33.70K","0.00%"
"Mar 14, 2016","20.00","20.00","20.25","20.00","13.70K","0.00%"
"Mar 15, 2016","20.25","20.00","21.00","20.00","71.50K","1.25%"
"Mar 16, 2016","20.25","20.00","20.50","20.00","19.50K","0.00%"
"Mar 17, 2016","20.00","20.00","20.25","20.00","18.30K","-1.23%"
"Mar 18, 2016","20.00","20.00","20.25","20.00","7.70K","0.00%"
"Mar 21, 2016","20.00","20.00","20.00","20.00","24.10K","0.00%"
"Mar 22, 2016","20.50","20.00","21.00","20.00","44.60K","2.50%"
"Mar 23, 2016","20.50","20.50","21.00","20.50","32.50K","0.00%"
"Mar 24, 2016","20.50","20.50","21.00","20.00","97.30K","0.00%"
"Mar 29, 2016","20.75","20.50","22.00","20.00","199.50K","1.22%"
"Mar 30, 2016","21.25","20.75","22.00","20.75","70.80K","2.41%"
"Mar 31, 2016","22.50","22.00","23.25","22.00","397.60K","5.88%"
"Apr 01, 2016","22.00","22.00","22.25","22.00","33.30K","-2.22%"
"Apr 04, 2016","21.00","22.00","22.00","20.25","4.10K","-4.55%"
"Apr 05, 2016","21.25","20.00","22.00","20.00","4.90K","1.19%"
"Apr 06, 2016","21.50","22.00","22.00","21.50","6.10K","1.18%"
"Apr 07, 2016","20.50","21.50","21.50","20.00","16.60K","-4.65%"
"Apr 08, 2016","20.00","20.25","20.50","20.00","11.40K","-2.44%"
"Apr 11, 2016","20.25","20.00","21.00","20.00","27.60K","1.25%"
"Apr 12, 2016","20.50","21.00","21.00","20.00","10.20K","1.23%"
"Apr 13, 2016","20.75","20.50","21.00","20.00","16.80K","1.22%"
"Apr 14, 2016","20.50","20.50","21.00","20.00","49.90K","-1.20%"
"Apr 15, 2016","20.50","20.00","21.50","19.50","37.40K","0.00%"
"Apr 18, 2016","21.00","21.00","21.00","21.00","31.00K","2.44%"
"Apr 19, 2016","20.25","19.50","21.00","19.00","49.00K","-3.57%"
"Apr 20, 2016","20.75","20.75","21.00","20.75","4.30K","2.47%"
"Apr 21, 2016","20.25","21.00","21.00","20.00","101.50K","-2.41%"
"Apr 22, 2016","20.50","20.00","21.00","19.80","67.70K","1.23%"
"Apr 25, 2016","21.00","21.00","21.00","21.00","9.10K","2.44%"
"Apr 26, 2016","21.00","21.00","21.00","21.00","26.90K","0.00%"
"Apr 27, 2016","21.00","21.00","21.00","21.00","15.50K","0.00%"
"Apr 28, 2016","20.25","21.00","21.00","19.00","11.50K","-3.57%"
"Apr 29, 2016","21.75","22.00","22.00","21.00","67.70K","7.41%"
"May 03, 2016","21.75","22.00","22.00","19.60","5.20K","0.00%"
"May 04, 2016","20.00","19.60","20.75","19.60","21.20K","-8.05%"
"May 05, 2016","20.00","20.00","20.00","20.00","1.00K","0.00%"
"May 06, 2016","21.00","21.00","21.00","21.00","0.10K","5.00%"
"May 09, 2016","20.00","21.00","21.00","20.00","36.30K","-4.76%"
"May 10, 2016","20.00","20.00","21.00","20.00","6.30K","0.00%"
"May 11, 2016","20.00","20.00","20.25","20.00","15.40K","0.00%"
"May 12, 2016","20.00","20.00","20.25","20.00","4.60K","0.00%"
"May 13, 2016","20.00","20.00","20.50","20.00","22.10K","0.00%"
"May 16, 2016","20.00","20.00","20.25","20.00","17.10K","0.00%"
"May 17, 2016","20.00","20.00","20.25","19.90","46.60K","0.00%"
"May 18, 2016","19.95","19.00","20.00","19.00","17.00K","-0.25%"
"May 19, 2016","19.40","19.90","19.90","19.05","4.20K","-2.76%"
"May 20, 2016","19.50","19.50","19.50","19.50","1.50K","0.52%"
"May 23, 2016","20.00","19.50","21.00","19.50","61.50K","2.56%"
"May 24, 2016","20.00","20.00","21.00","19.15","9.80K","0.00%"
"May 25, 2016","20.00","20.00","21.00","19.15","6.60K","0.00%"
"May 26, 2016","19.55","19.55","19.55","19.55","2.00K","-2.25%"
"May 27, 2016","19.05","19.30","19.30","19.05","5.00K","-2.56%"
"May 30, 2016","19.95","19.55","20.00","19.55","16.40K","4.72%"
"May 31, 2016","20.00","20.00","20.75","19.55","11.10K","0.25%"
"Jun 02, 2016","20.00","19.10","21.25","19.00","31.50K","0.00%"
"Jun 03, 2016","19.55","20.00","20.00","18.20","8.40K","-2.25%"
"Jun 06, 2016","20.00","19.00","21.00","19.00","26.70K","2.30%"
"Jun 07, 2016","20.00","20.00","20.75","19.05","30.40K","0.00%"
"Jun 08, 2016","20.00","20.00","20.00","20.00","10.00K","0.00%"
"Jun 09, 2016","20.25","20.50","20.50","20.00","43.70K","1.25%"
"Jun 10, 2016","20.25","20.50","20.50","20.00","23.60K","0.00%"
"Jun 13, 2016","20.25","20.50","20.50","20.00","61.20K","0.00%"
"Jun 14, 2016","20.25","20.50","21.00","18.70","39.90K","0.00%"
"Jun 15, 2016","20.50","20.50","20.50","20.50","13.50K","1.23%"
"Jun 16, 2016","20.50","20.75","21.00","20.50","35.50K","0.00%"
"Jun 17, 2016","20.50","20.75","21.00","20.50","48.40K","0.00%"
"Jun 20, 2016","21.00","21.00","21.25","21.00","71.50K","2.44%"
"Jun 21, 2016","21.00","21.00","21.00","21.00","135.20K","0.00%"
"Jun 22, 2016","21.00","21.00","21.00","21.00","28.60K","0.00%"
"Jun 23, 2016","21.00","21.00","21.00","21.00","42.00K","0.00%"
"Jun 24, 2016","21.00","21.00","21.00","21.00","21.00K","0.00%"
"Jun 27, 2016","21.00","21.00","21.00","21.00","75.00K","0.00%"
"Jun 28, 2016","21.75","21.00","22.75","21.00","158.20K","3.57%"
"Jun 29, 2016","21.75","21.50","22.75","21.50","118.10K","0.00%"
"Jun 30, 2016","21.75","21.75","21.75","21.75","12.80K","0.00%"
"Jul 01, 2016","20.25","21.00","21.00","20.25","7.20K","-6.90%"
"Jul 04, 2016","18.75","18.40","20.50","18.30","18.30K","-7.41%"
"Jul 05, 2016","19.55","19.55","19.55","19.50","11.30K","4.27%"
"Jul 06, 2016","19.75","19.55","20.00","19.55","3.80K","1.02%"
"Jul 08, 2016","18.75","20.50","20.50","18.60","2.70K","-5.06%"
"Jul 11, 2016","18.65","18.75","19.50","18.55","9.80K","-0.53%"
"Jul 12, 2016","18.70","18.70","19.00","18.70","9.30K","0.27%"
"Jul 13, 2016","18.60","18.70","18.70","18.55","10.20K","-0.53%"
"Jul 14, 2016","18.70","18.70","19.00","18.70","14.20K","0.54%"
"Jul 15, 2016","18.70","18.70","18.90","18.55","10.10K","0.00%"
"Jul 18, 2016","18.55","18.55","18.90","18.55","4.80K","-0.80%"
"Jul 19, 2016","18.55","18.60","18.60","18.55","1.70K","0.00%"
"Jul 20, 2016","18.50","18.55","18.55","18.50","105.90K","-0.27%"
"Jul 21, 2016","18.05","18.05","18.45","18.05","14.90K","-2.43%"
"Jul 22, 2016","18.00","18.00","18.05","18.00","7.30K","-0.28%"
"Jul 25, 2016","18.05","18.05","18.50","18.05","6.10K","0.28%"
"Jul 26, 2016","18.05","18.05","18.50","18.00","10.20K","0.00%"
"Jul 27, 2016","18.05","18.05","19.55","16.25","52.80K","0.00%"
"Jul 28, 2016","18.00","19.00","19.00","18.00","69.60K","-0.28%"
"Jul 29, 2016","18.00","17.50","19.00","16.30","84.00K","0.00%"
"Aug 01, 2016","17.25","17.00","18.00","17.00","3.50K","-4.17%"
"Aug 02, 2016","18.10","18.00","18.95","16.50","7.20K","4.93%"
"Aug 03, 2016","16.35","17.50","17.50","16.30","92.60K","-9.67%"
"Aug 04, 2016","15.50","16.50","16.50","14.75","3.80K","-5.20%"
"Aug 05, 2016","16.35","16.00","17.00","15.60","15.90K","5.48%"
"Aug 08, 2016","15.85","16.35","16.35","15.60","12.50K","-3.06%"
"Aug 09, 2016","15.55","15.70","17.00","15.05","37.80K","-1.89%"
"Aug 10, 2016","15.00","15.00","15.00","15.00","16.80K","-3.54%"
"Aug 11, 2016","14.30","15.50","16.00","13.50","7.60K","-4.67%"
"Aug 12, 2016","13.75","15.00","15.00","13.50","64.20K","-3.85%"
"Aug 15, 2016","14.15","14.00","14.50","13.85","3.80K","2.91%"
"Aug 16, 2016","14.10","14.50","14.50","14.00","0.40K","-0.35%"
"Aug 17, 2016","13.70","14.00","14.00","13.50","28.70K","-2.84%"
"Aug 18, 2016","12.55","13.80","13.80","12.40","36.30K","-8.39%"
"Aug 19, 2016","11.30","11.30","11.30","11.30","96.60K","-9.96%"
"Aug 22, 2016","10.45","12.40","12.40","10.20","1.04M","-7.52%"
"Aug 23, 2016","10.50","10.25","11.30","10.20","21.30K","0.48%"
"Aug 24, 2016","11.10","11.55","11.55","10.55","2.30K","5.71%"
"Aug 25, 2016","10.55","11.00","11.00","10.50","20.00K","-4.95%"
"Aug 26, 2016","10.40","10.90","10.90","10.00","142.60K","-1.42%"
"Aug 29, 2016","11.30","11.35","11.35","11.30","2.70K","8.65%"
"Aug 30, 2016","10.75","11.30","11.50","10.20","110.50K","-4.87%"
"Aug 31, 2016","11.10","11.50","11.50","10.75","2.10K","3.26%"
"Sep 01, 2016","11.45","11.50","11.50","10.80","53.20K","3.15%"
"Sep 02, 2016","11.25","11.90","11.90","10.80","6.90K","-1.75%"
"Sep 05, 2016","11.80","11.85","11.90","11.50","17.20K","4.89%"
"Sep 06, 2016","10.75","10.85","11.10","10.65","11.30K","-8.90%"
"Sep 07, 2016","10.40","10.50","11.00","10.40","5.80K","-3.26%"
"Sep 08, 2016","11.20","11.40","11.40","10.55","12.20K","7.69%"
"Sep 09, 2016","11.00","11.00","11.00","11.00","4.50K","-1.79%"
"Sep 13, 2016","11.25","11.00","12.05","11.00","12.10K","2.27%"
"Sep 14, 2016","12.30","12.25","12.35","12.25","137.80K","9.33%"
"Sep 15, 2016","13.35","13.50","13.50","12.00","21.20K","8.54%"
"Sep 16, 2016","14.05","13.80","14.65","13.80","434.80K","5.24%"
"Sep 19, 2016","14.80","14.90","15.00","13.50","9.20K","5.34%"
"Sep 20, 2016","13.80","13.65","15.00","13.35","62.40K","-6.76%"
"Sep 21, 2016","13.20","15.00","15.00","12.45","54.60K","-4.35%"
"Sep 22, 2016","13.75","13.80","13.80","13.75","3.70K","4.17%"
"Sep 23, 2016","14.00","14.00","14.00","14.00","2.00K","1.82%"
"Sep 26, 2016","13.65","13.80","14.70","13.50","8.60K","-2.50%"
"Sep 27, 2016","14.80","14.80","14.80","14.80","0.30K","8.42%"
"Sep 28, 2016","14.10","14.00","14.50","14.00","7.20K","-4.73%"
"Sep 29, 2016","13.80","14.00","14.85","13.75","52.80K","-2.13%"
"Sep 30, 2016","14.00","14.00","14.00","14.00","0.50K","1.45%"
"Oct 03, 2016","13.75","14.00","14.00","13.75","71.00K","-1.79%"
"Oct 04, 2016","13.75","14.00","14.40","13.75","29.60K","0.00%"
"Oct 05, 2016","14.10","15.00","15.10","13.75","48.30K","2.55%"
"Oct 06, 2016","13.90","14.90","14.95","13.75","22.10K","-1.42%"
"Oct 07, 2016","13.95","14.00","14.00","13.60","103.70K","0.36%"
"Oct 10, 2016","13.95","13.80","14.50","13.20","1.10K","0.00%"
"Oct 11, 2016","14.55","13.90","14.60","13.50","10.40K","4.30%"
"Oct 12, 2016","13.80","13.50","14.25","13.50","7.60K","-5.15%"
"Oct 13, 2016","13.00","13.55","14.20","13.00","33.40K","-5.80%"
"Oct 14, 2016","13.70","14.15","14.15","13.50","2.20K","5.38%"
"Oct 17, 2016","14.00","14.00","15.00","13.60","4.10K","2.19%"
"Oct 18, 2016","14.20","14.20","14.20","14.20","0.50K","1.43%"
"Oct 19, 2016","13.80","14.15","14.15","13.75","7.20K","-2.82%"
"Oct 21, 2016","13.80","13.80","13.80","13.80","0.40K","0.00%"
"Oct 24, 2016","13.20","13.80","13.80","12.65","4.00K","-4.35%"
"Oct 25, 2016","14.00","13.80","14.20","13.80","4.50K","6.06%"
"Oct 26, 2016","13.80","13.80","13.80","13.80","1.00K","-1.43%"
"Oct 27, 2016","13.55","13.70","13.80","13.30","9.60K","-1.81%"
"Oct 28, 2016","13.35","13.55","13.55","13.15","1.00K","-1.48%"
"Oct 31, 2016","13.10","13.15","13.15","13.05","1.80K","-1.87%"
"Nov 01, 2016","13.25","13.40","13.40","13.10","1.00K","1.15%"
"Nov 02, 2016","13.00","13.15","13.95","13.00","16.50K","-1.89%"
"Nov 04, 2016","13.75","13.80","13.80","13.75","0.50K","5.77%"
"Nov 07, 2016","13.75","13.75","13.75","13.75","4.10K","0.00%"
"Nov 09, 2016","12.65","13.75","13.75","12.50","10.10K","-8.00%"
"Nov 10, 2016","12.50","12.50","12.80","12.50","6.50K","-1.19%"
"Nov 11, 2016","12.50","12.70","12.80","12.50","10.80K","0.00%"
"Nov 14, 2016","12.55","12.30","13.00","12.00","5.70K","0.40%"
"Nov 15, 2016","11.90","12.50","13.00","11.70","29.90K","-5.18%"
"Nov 16, 2016","12.20","13.00","13.00","12.15","11.10K","2.52%"
"Nov 17, 2016","12.20","12.20","12.20","12.20","0.60K","0.00%"
"Nov 18, 2016","12.60","13.15","13.15","12.20","2.20K","3.28%"
"Nov 21, 2016","13.70","12.30","13.85","12.30","30.70K","8.73%"
"Nov 22, 2016","14.15","13.95","14.25","13.95","28.80K","3.28%"
"Nov 24, 2016","13.40","13.50","13.50","13.15","4.50K","-5.30%"
"Nov 25, 2016","13.25","13.50","13.50","13.00","5.40K","-1.12%"
"Nov 29, 2016","13.00","13.00","13.25","13.00","2.20K","-1.89%"
"Nov 30, 2016","13.00","14.00","14.00","12.95","6.50K","0.00%"
"Dec 01, 2016","12.75","13.00","13.00","11.80","12.70K","-1.92%"
"Dec 02, 2016","12.55","13.00","13.00","12.50","2.80K","-1.57%"
"Dec 05, 2016","11.55","12.00","13.00","11.30","2.70K","-7.97%"
"Dec 06, 2016","12.20","12.30","12.30","12.20","4.90K","5.63%"
"Dec 07, 2016","12.35","12.35","12.35","12.35","21.50K","1.23%"
"Dec 08, 2016","13.00","13.00","13.00","13.00","17.30K","5.26%"
"Dec 09, 2016","13.00","13.00","13.00","13.00","28.10K","0.00%"
"Dec 13, 2016","12.60","12.60","12.60","12.60","1.00K","-3.08%"
"Dec 14, 2016","12.60","12.60","12.60","12.60","2.00K","0.00%"
"Dec 15, 2016","13.00","13.00","13.00","13.00","41.30K","3.17%"
"Dec 16, 2016","13.50","13.50","13.50","13.50","0.10K","3.85%"
"Dec 19, 2016","12.80","12.60","13.00","12.50","2.90K","-5.19%"
"Dec 20, 2016","12.55","12.80","12.80","12.35","3.50K","-1.95%"
"Dec 21, 2016","12.35","12.35","12.35","12.35","1.00K","-1.59%"
"Dec 28, 2016","12.35","12.35","12.40","12.35","3.20K","0.00%"
"Dec 29, 2016","11.50","12.00","12.35","11.40","7.00K","-6.88%"
"Dec 30, 2016","11.65","11.65","11.65","11.65","0.20K","1.30%"
"Jan 03, 2017","11.95","12.40","12.40","11.60","3.80K","2.58%"
"Jan 04, 2017","11.90","11.75","12.00","11.75","23.90K","-0.42%"
"Jan 05, 2017","11.70","12.00","13.00","11.70","1.57M","-1.68%"
"Jan 06, 2017","11.75","11.80","12.00","11.70","15.50K","0.43%"
"Jan 09, 2017","11.70","11.70","11.70","11.70","2.00K","-0.43%"
"Jan 10, 2017","11.65","11.65","11.65","11.65","1.00K","-0.43%"
"Jan 11, 2017","11.55","11.65","11.65","11.50","4.50K","-0.86%"
"Jan 12, 2017","11.50","12.30","12.30","11.40","1.20K","-0.43%"
"Jan 13, 2017","11.45","12.00","12.00","11.00","2.00K","-0.43%"
"Jan 16, 2017","11.50","11.50","11.55","11.00","16.80K","0.44%"
"Jan 17, 2017","11.55","11.00","12.65","10.50","7.80K","0.43%"
"Jan 18, 2017","11.60","11.75","11.75","11.60","10.30K","0.43%"
"Jan 19, 2017","11.60","11.60","11.60","11.60","3.00K","0.00%"
"Jan 20, 2017","12.70","12.70","12.70","12.70","0.10K","9.48%"
"Jan 23, 2017","12.40","12.70","12.70","12.40","3.40K","-2.36%"
"Jan 24, 2017","12.05","12.00","12.50","11.50","6.40K","-2.82%"
"Jan 25, 2017","11.55","11.55","11.55","11.55","1.70K","-4.15%"
"Jan 26, 2017","12.50","12.50","12.50","12.50","0.10K","8.23%"
"Jan 27, 2017","12.50","12.50","12.50","12.50","1.00K","0.00%"
"Jan 30, 2017","12.50","12.50","12.50","12.50","2.00K","0.00%"
"Jan 31, 2017","12.05","12.70","12.70","11.50","5.90K","-3.60%"
"Feb 02, 2017","11.00","11.00","11.00","11.00","15.00K","-8.71%"
"Feb 03, 2017","10.70","10.50","11.00","10.50","3.90K","-2.73%"
"Feb 06, 2017","10.85","10.55","11.00","10.50","30.10K","1.40%"
"Feb 07, 2017","10.50","10.50","11.00","10.50","13.00K","-3.23%"
"Feb 08, 2017","10.75","10.50","10.85","10.50","2.00K","2.38%"
"Feb 09, 2017","10.80","10.85","10.85","10.75","1.50K","0.47%"
"Feb 10, 2017","10.75","10.80","10.80","10.75","12.60K","-0.46%"
"Feb 13, 2017","11.80","11.80","11.80","11.80","0.10K","9.77%"
"Feb 14, 2017","10.75","10.80","10.80","10.75","5.60K","-8.90%"
"Feb 15, 2017","10.80","10.85","10.85","10.75","3.20K","0.47%"
"Feb 17, 2017","11.80","11.80","11.80","11.80","1.00K","9.26%"
"Feb 20, 2017","10.70","10.75","10.80","10.65","4.10K","-9.32%"
"Feb 21, 2017","10.55","10.50","10.70","10.50","1.60K","-1.40%"
"Feb 22, 2017","11.15","10.70","11.20","10.50","893.30K","5.69%"
"Feb 23, 2017","11.25","10.50","11.80","10.50","95.60K","0.90%"
"Feb 24, 2017","11.70","11.70","11.80","11.70","4.20K","4.00%"
"Feb 27, 2017","11.30","11.70","11.70","10.80","2.40K","-3.42%"
"Feb 28, 2017","11.40","11.40","11.40","11.40","0.10K","0.88%"
"Mar 01, 2017","10.85","11.40","11.40","10.50","3.60K","-4.82%"
"Mar 02, 2017","10.80","10.80","10.80","10.80","1.50K","-0.46%"
"Mar 03, 2017","10.80","10.90","10.90","10.80","1.00K","0.00%"
"Mar 06, 2017","10.80","10.80","10.80","10.80","0.40K","0.00%"
"Mar 07, 2017","10.75","10.80","10.80","10.60","6.10K","-0.46%"
"Mar 08, 2017","10.80","10.80","10.80","10.80","1.00K","0.47%"
"Mar 10, 2017","10.85","10.80","11.00","10.80","2.30K","0.46%"
"Mar 13, 2017","10.95","11.45","11.45","10.50","35.90K","0.92%"
"Mar 14, 2017","10.50","10.50","10.70","10.50","113.30K","-4.11%"
"Mar 15, 2017","10.50","10.70","10.70","10.50","11.30K","0.00%"
"Mar 16, 2017","10.40","10.50","10.50","10.40","3.10K","-0.95%"
"Mar 17, 2017","10.90","11.00","11.00","10.40","2.60K","4.81%"
"Mar 20, 2017","10.85","10.40","11.40","10.40","2.50K","-0.46%"
"Mar 21, 2017","10.50","10.65","10.65","10.45","109.00K","-3.23%"
"Mar 22, 2017","10.50","10.50","10.50","10.50","5.70K","0.00%"
"Mar 23, 2017","10.50","10.60","10.60","10.40","41.80K","0.00%"
"Mar 24, 2017","10.45","10.50","10.50","10.30","196.40K","-0.48%"
"Mar 27, 2017","10.90","10.50","11.40","10.50","15.50K","4.31%"
"Mar 28, 2017","11.10","11.40","11.40","11.00","1.60K","1.83%"
"Mar 29, 2017","10.90","11.40","11.40","10.80","3.70K","-1.80%"
"Mar 30, 2017","10.70","10.80","10.80","10.50","1.00K","-1.83%"
"Mar 31, 2017","11.00","11.00","11.50","11.00","44.60K","2.80%"
"Apr 03, 2017","10.90","11.00","11.00","10.80","4.90K","-0.91%"
"Apr 04, 2017","10.90","11.00","11.00","10.80","4.10K","0.00%"
"Apr 05, 2017","10.85","11.00","11.00","10.80","12.10K","-0.46%"
"Apr 06, 2017","10.90","10.90","11.00","10.70","6.20K","0.46%"
"Apr 07, 2017","11.00","11.00","11.00","11.00","8.70K","0.92%"
"Apr 10, 2017","10.60","10.90","11.70","10.50","9.20K","-3.64%"
"Apr 11, 2017","10.85","11.00","11.60","10.50","7.30K","2.36%"
"Apr 12, 2017","11.00","10.90","11.50","10.85","2.90K","1.38%"
"Apr 13, 2017","11.50","11.50","11.50","11.50","1.00K","4.55%"
"Apr 18, 2017","11.15","10.90","11.50","10.90","2.80K","-3.04%"
"Apr 20, 2017","11.00","11.00","11.00","11.00","1.00K","-1.35%"
"Apr 21, 2017","10.90","11.00","11.00","10.90","11.00K","-0.91%"
"Apr 24, 2017","11.20","11.20","11.20","11.20","0.10K","2.75%"
"Apr 25, 2017","11.00","11.20","11.20","11.00","6.00K","-1.79%"
"Apr 26, 2017","11.20","11.20","11.20","11.20","2.00K","1.82%"
"Apr 27, 2017","11.00","11.00","11.00","11.00","20.00K","-1.79%"
"Apr 28, 2017","11.00","11.00","11.20","11.00","1.50K","0.00%"
"May 02, 2017","10.70","11.50","11.50","10.00","21.30K","-2.73%"
"May 03, 2017","11.00","11.00","11.00","11.00","4.60K","2.80%"
"May 04, 2017","11.00","11.00","12.00","10.80","3.60K","0.00%"
"May 08, 2017","10.45","10.80","10.80","10.00","16.20K","-5.00%"
"May 09, 2017","10.90","11.00","11.00","10.45","34.60K","4.31%"
"May 10, 2017","10.50","10.50","10.50","10.50","4.40K","-3.67%"
"May 11, 2017","10.50","10.50","11.00","10.50","6.70K","0.00%"
"May 12, 2017","10.50","11.55","11.55","10.50","7.70K","0.00%"
"May 15, 2017","10.55","11.35","11.35","10.45","11.30K","0.48%"
"May 18, 2017","10.40","10.40","10.50","10.40","4.00K","-1.42%"
"May 19, 2017","10.55","10.40","11.30","10.40","3.00K","1.44%"
"May 23, 2017","10.50","10.55","10.60","10.50","2.60K","-0.47%"
"May 24, 2017","10.60","10.60","10.60","10.60","0.40K","0.95%"
"May 25, 2017","11.00","11.00","11.35","11.00","1.40K","3.77%"
"May 26, 2017","10.80","11.25","11.25","10.60","1.30K","-1.82%"
"May 29, 2017","10.35","10.60","11.00","10.00","15.70K","-4.17%"
"May 30, 2017","10.80","10.80","11.00","10.80","4.30K","4.35%"
