"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2012","3.40","3.40","3.45","3.35","3.24M","0.00%"
"Jun 12, 2012","3.45","3.40","3.50","3.40","6.09M","1.47%"
"Jun 13, 2012","3.40","3.45","3.45","3.35","7.29M","-1.45%"
"Jun 14, 2012","3.40","3.40","3.45","3.35","31.81M","0.00%"
"Jun 15, 2012","3.40","3.40","3.50","3.40","7.57M","0.00%"
"Jun 18, 2012","3.45","3.40","3.45","3.40","1.82M","1.47%"
"Jun 19, 2012","3.45","3.45","3.50","3.40","17.70M","0.00%"
"Jun 20, 2012","3.50","3.45","3.55","3.45","6.22M","1.45%"
"Jun 21, 2012","3.50","3.50","3.55","3.50","3.43M","0.00%"
"Jun 22, 2012","3.50","3.50","3.55","3.50","6.43M","0.00%"
"Jun 25, 2012","3.50","3.50","3.55","3.50","4.82M","0.00%"
"Jun 26, 2012","3.50","3.50","3.55","3.45","14.21M","0.00%"
"Jun 27, 2012","3.45","3.50","3.50","3.40","14.95M","-1.43%"
"Jun 28, 2012","3.40","3.45","3.45","3.35","3.04M","-1.45%"
"Jun 29, 2012","3.45","3.40","3.55","3.40","4.16M","1.47%"
"Jul 02, 2012","3.60","3.45","3.65","3.50","7.46M","4.35%"
"Jul 03, 2012","3.65","3.60","3.70","3.60","12.16M","1.39%"
"Jul 04, 2012","3.55","3.65","3.70","3.50","945.90K","-2.74%"
"Jul 05, 2012","3.55","3.55","3.60","3.45","1.50M","0.00%"
"Jul 06, 2012","3.56","3.55","3.60","3.55","910.30K","0.28%"
"Jul 09, 2012","3.55","3.55","3.60","3.55","1.25M","-0.28%"
"Jul 10, 2012","3.55","3.55","3.60","3.55","6.93M","0.00%"
"Jul 11, 2012","3.55","3.55","3.60","3.55","6.16M","0.00%"
"Jul 12, 2012","3.60","3.55","3.65","3.55","6.85M","1.41%"
"Jul 13, 2012","3.55","3.60","3.65","3.55","1.49M","-1.39%"
"Jul 16, 2012","3.60","3.55","3.70","3.55","9.18M","1.41%"
"Jul 17, 2012","3.65","3.60","3.75","3.60","2.05M","1.39%"
"Jul 18, 2012","3.75","3.65","3.80","3.65","2.80M","2.74%"
"Jul 19, 2012","3.85","3.75","3.90","3.75","16.54M","2.67%"
"Jul 20, 2012","3.90","3.85","3.95","3.85","2.55M","1.30%"
"Jul 23, 2012","3.90","3.90","4.00","3.85","1.62M","0.00%"
"Jul 24, 2012","3.85","3.90","3.95","3.85","1.45M","-1.28%"
"Jul 25, 2012","3.95","3.85","4.00","3.90","27.71M","2.60%"
"Jul 26, 2012","3.95","3.95","4.00","3.90","21.48M","0.00%"
"Jul 27, 2012","3.90","3.95","3.95","3.80","14.64M","-1.27%"
"Jul 30, 2012","3.80","3.90","3.90","3.70","11.91M","-2.56%"
"Jul 31, 2012","3.80","3.80","3.90","3.80","2.06M","0.00%"
"Aug 01, 2012","3.80","3.80","3.85","3.80","1.50M","0.00%"
"Aug 02, 2012","3.85","3.80","3.95","3.80","5.91M","1.32%"
"Aug 03, 2012","3.95","3.85","3.95","3.90","19.48M","2.60%"
"Aug 06, 2012","3.85","3.95","3.95","3.80","1.27M","-2.53%"
"Aug 07, 2012","3.85","3.85","3.95","3.85","3.61M","0.00%"
"Aug 08, 2012","3.85","3.85","3.90","3.80","2.41M","0.00%"
"Aug 09, 2012","3.90","3.85","3.95","3.80","36.75M","1.30%"
"Aug 10, 2012","3.80","3.90","3.90","3.70","10.92M","-2.56%"
"Aug 13, 2012","3.75","3.80","3.90","3.70","1.03M","-1.32%"
"Aug 14, 2012","3.75","3.75","3.85","3.70","426.10K","0.00%"
"Aug 15, 2012","3.75","3.75","3.85","3.70","1.30M","0.00%"
"Aug 16, 2012","3.75","3.75","3.85","3.75","791.60K","0.00%"
"Aug 17, 2012","3.75","3.75","3.90","3.75","1.26M","0.00%"
"Aug 21, 2012","3.75","3.75","3.85","3.75","571.50K","0.00%"
"Aug 22, 2012","3.85","3.75","3.95","3.75","2.93M","2.67%"
"Aug 23, 2012","3.90","3.85","3.95","3.90","2.49M","1.30%"
"Aug 24, 2012","3.90","3.90","3.95","3.90","440.40K","0.00%"
"Aug 27, 2012","3.90","3.90","3.95","3.85","1.00M","0.00%"
"Aug 28, 2012","3.85","3.90","3.95","3.70","8.10M","-1.28%"
"Aug 29, 2012","3.80","3.85","3.90","3.70","611.70K","-1.30%"
"Aug 30, 2012","3.85","3.80","3.90","3.75","774.30K","1.32%"
"Aug 31, 2012","3.80","3.85","3.90","3.75","4.50M","-1.30%"
"Sep 03, 2012","3.90","3.80","3.95","3.85","791.70K","2.63%"
"Sep 04, 2012","3.95","3.90","4.00","3.85","12.05M","1.28%"
"Sep 05, 2012","3.95","3.95","4.10","3.95","3.40M","0.00%"
"Sep 06, 2012","3.95","3.95","4.05","3.95","1.65M","0.00%"
"Sep 07, 2012","4.00","3.95","4.05","4.00","1.11M","1.27%"
"Sep 10, 2012","4.05","4.00","4.20","4.00","2.05M","1.25%"
"Sep 11, 2012","4.25","4.05","4.30","4.15","13.65M","4.94%"
"Sep 12, 2012","4.25","4.25","4.30","4.20","28.04M","0.00%"
"Sep 13, 2012","4.15","4.25","4.25","4.00","30.44M","-2.35%"
"Sep 14, 2012","3.95","4.15","4.10","3.65","5.60M","-4.82%"
"Sep 17, 2012","4.00","3.95","4.10","4.00","8.50M","1.27%"
"Sep 18, 2012","4.00","4.00","4.05","4.00","10.47M","0.00%"
"Sep 19, 2012","4.00","4.00","4.10","4.00","5.75M","0.00%"
"Sep 20, 2012","4.00","4.00","4.05","4.00","3.76M","0.00%"
"Sep 24, 2012","4.00","4.00","4.05","4.00","1.22M","0.00%"
"Sep 25, 2012","4.00","4.00","4.05","4.00","11.89M","0.00%"
"Sep 26, 2012","4.00","4.00","4.05","4.00","5.83M","0.00%"
"Sep 27, 2012","4.05","4.00","4.10","4.00","7.48M","1.25%"
"Sep 28, 2012","4.10","4.05","4.10","4.05","9.57M","1.23%"
"Oct 01, 2012","4.05","4.10","4.10","4.05","3.05M","-1.22%"
"Oct 02, 2012","4.05","4.05","4.15","4.05","10.39M","0.00%"
"Oct 03, 2012","4.05","4.05","4.10","3.90","9.19M","0.00%"
"Oct 04, 2012","4.00","4.05","4.05","4.00","1.65M","-1.23%"
"Oct 05, 2012","4.05","4.00","4.10","4.00","7.62M","1.25%"
"Oct 08, 2012","4.00","4.05","4.05","4.00","582.90K","-1.23%"
"Oct 09, 2012","4.05","4.00","4.10","4.00","2.68M","1.25%"
"Oct 10, 2012","4.05","4.05","4.15","4.05","11.68M","0.00%"
"Oct 11, 2012","4.10","4.05","4.15","4.05","7.94M","1.23%"
"Oct 12, 2012","4.10","4.10","4.15","4.05","1.78M","0.00%"
"Oct 15, 2012","4.10","4.10","4.15","4.10","1.30M","0.00%"
"Oct 16, 2012","4.10","4.10","4.15","4.10","3.00M","0.00%"
"Oct 17, 2012","4.15","4.10","4.15","4.10","4.69M","1.22%"
"Oct 18, 2012","4.20","4.15","4.20","4.10","8.49M","1.20%"
"Oct 19, 2012","4.20","4.20","4.25","4.15","803.00K","0.00%"
"Oct 22, 2012","4.25","4.20","4.50","4.20","1.89M","1.19%"
"Oct 23, 2012","4.25","4.25","4.30","4.25","474.00K","0.00%"
"Oct 24, 2012","4.25","4.25","4.40","4.25","1.87M","0.00%"
"Oct 25, 2012","4.35","4.25","4.45","4.30","4.33M","2.35%"
"Oct 26, 2012","4.45","4.35","4.50","4.40","1.44M","2.30%"
"Oct 29, 2012","4.40","4.45","4.50","4.40","831.40K","-1.12%"
"Oct 30, 2012","4.40","4.40","4.45","4.40","9.07M","0.00%"
"Oct 31, 2012","4.40","4.40","4.45","4.40","1.50M","0.00%"
"Nov 01, 2012","4.35","4.40","4.40","4.25","14.61M","-1.14%"
"Nov 02, 2012","4.35","4.35","4.40","4.25","2.91M","0.00%"
"Nov 05, 2012","4.35","4.35","4.40","4.25","1.53M","0.00%"
"Nov 06, 2012","4.35","4.35","4.45","4.25","1.41M","0.00%"
"Nov 07, 2012","4.45","4.35","4.45","4.35","39.14M","2.30%"
"Nov 08, 2012","4.45","4.35","4.55","4.45","2.49M","0.00%"
"Nov 09, 2012","4.80","4.45","4.95","4.55","7.98M","7.87%"
"Nov 12, 2012","4.80","4.80","4.85","4.80","21.65M","0.00%"
"Nov 13, 2012","4.70","4.80","4.80","4.55","7.26M","-2.08%"
"Nov 14, 2012","4.55","4.70","4.65","4.50","12.29M","-3.19%"
"Nov 15, 2012","4.60","4.55","4.75","4.50","18.08M","1.10%"
"Nov 16, 2012","4.65","4.60","4.80","4.65","31.15M","1.09%"
"Nov 19, 2012","4.60","4.65","4.70","4.55","27.03M","-1.08%"
"Nov 20, 2012","4.75","4.60","4.85","4.60","33.65M","3.26%"
"Nov 21, 2012","4.85","4.75","5.00","4.75","14.33M","2.11%"
"Nov 22, 2012","4.95","4.85","5.05","4.70","13.20M","2.06%"
"Nov 23, 2012","5.00","4.95","5.05","4.85","85.73M","1.01%"
"Nov 26, 2012","5.20","5.00","5.30","5.00","33.84M","4.00%"
"Nov 27, 2012","5.00","5.20","5.10","4.85","76.77M","-3.85%"
"Nov 28, 2012","4.90","5.00","5.00","4.85","11.74M","-2.00%"
"Nov 29, 2012","4.90","4.90","4.95","4.60","22.67M","0.00%"
"Nov 30, 2012","5.00","4.90","5.05","4.70","21.12M","2.04%"
"Dec 03, 2012","5.05","5.00","5.10","4.90","17.56M","1.00%"
"Dec 04, 2012","5.05","5.05","5.10","5.00","40.44M","0.00%"
"Dec 05, 2012","5.00","5.05","5.10","5.00","10.12M","-0.99%"
"Dec 06, 2012","5.00","5.00","5.05","5.00","18.37M","0.00%"
"Dec 07, 2012","5.05","5.00","5.10","5.00","25.40M","1.00%"
"Dec 10, 2012","5.05","5.05","5.10","5.00","9.54M","0.00%"
"Dec 11, 2012","5.00","5.05","5.10","5.00","54.09M","-0.99%"
"Dec 13, 2012","5.05","5.00","5.10","5.00","38.41M","1.00%"
"Dec 14, 2012","5.05","5.05","5.10","5.00","5.06M","0.00%"
"Dec 17, 2012","5.05","5.05","5.10","5.00","6.41M","0.00%"
"Dec 18, 2012","5.05","5.05","5.10","5.00","15.77M","0.00%"
"Dec 19, 2012","5.05","5.05","5.10","5.00","13.17M","0.00%"
"Dec 20, 2012","5.05","5.05","5.10","5.05","13.61M","0.00%"
"Dec 21, 2012","5.05","5.05","5.10","5.05","8.07M","0.00%"
"Dec 24, 2012","5.05","5.05","5.10","5.05","12.45M","0.00%"
"Dec 27, 2012","5.10","5.10","5.15","5.05","7.63M","0.99%"
"Dec 28, 2012","5.05","5.05","5.15","5.05","595.30K","-0.98%"
"Dec 31, 2012","5.05","5.05","5.10","5.00","1.76M","0.00%"
"Jan 02, 2013","5.10","5.00","5.15","5.00","3.32M","0.99%"
"Jan 03, 2013","5.15","5.10","5.25","5.10","7.25M","0.98%"
"Jan 04, 2013","5.25","5.20","5.35","5.15","4.13M","1.94%"
"Jan 07, 2013","5.35","5.20","5.45","5.20","4.10M","1.90%"
"Jan 08, 2013","5.60","5.40","5.85","5.40","11.00M","4.67%"
"Jan 09, 2013","5.80","5.65","6.00","5.50","13.69M","3.57%"
"Jan 10, 2013","5.60","5.80","5.80","5.55","6.69M","-3.45%"
"Jan 11, 2013","5.60","5.60","5.70","5.60","4.44M","0.00%"
"Jan 14, 2013","5.65","5.60","5.70","5.60","10.96M","0.89%"
"Jan 15, 2013","5.65","5.60","5.80","5.55","11.69M","0.00%"
"Jan 16, 2013","5.75","5.65","5.85","5.65","9.13M","1.77%"
"Jan 17, 2013","5.75","5.75","5.80","5.70","15.91M","0.00%"
"Jan 18, 2013","5.75","5.75","5.80","5.75","13.30M","0.00%"
"Jan 21, 2013","5.75","5.75","5.80","5.50","44.02M","0.00%"
"Jan 22, 2013","5.65","5.70","5.75","5.55","11.70M","-1.74%"
"Jan 23, 2013","5.60","5.70","5.75","5.50","15.44M","-0.88%"
"Jan 24, 2013","5.60","5.55","5.70","5.50","10.71M","0.00%"
"Jan 25, 2013","5.60","5.60","5.65","5.35","8.85M","0.00%"
"Jan 28, 2013","5.40","5.60","5.60","5.25","25.31M","-3.57%"
"Jan 29, 2013","5.30","5.25","5.40","5.20","10.54M","-1.85%"
"Jan 30, 2013","5.30","5.30","5.50","5.25","18.41M","0.00%"
"Jan 31, 2013","5.45","5.30","5.50","5.30","3.67M","2.83%"
"Feb 01, 2013","5.55","5.45","5.55","5.40","110.83M","1.83%"
"Feb 04, 2013","5.50","5.45","5.55","5.35","2.87M","-0.90%"
"Feb 05, 2013","5.40","5.50","5.60","5.35","28.08M","-1.82%"
"Feb 06, 2013","5.40","5.40","5.50","5.40","3.45M","0.00%"
"Feb 07, 2013","5.40","5.40","5.50","5.40","36.27M","0.00%"
"Feb 08, 2013","5.55","5.50","5.60","5.50","18.08M","2.78%"
"Feb 11, 2013","5.65","5.55","5.70","5.55","9.36M","1.80%"
"Feb 12, 2013","5.70","5.65","5.75","5.65","25.57M","0.88%"
"Feb 13, 2013","5.70","5.70","5.75","5.55","20.90M","0.00%"
"Feb 14, 2013","5.60","5.55","5.65","5.55","4.86M","-1.75%"
"Feb 15, 2013","5.55","5.60","5.65","5.55","1.75M","-0.89%"
"Feb 18, 2013","5.55","5.75","5.75","5.55","14.74M","0.00%"
"Feb 19, 2013","5.65","5.60","5.70","5.60","7.96M","1.80%"
"Feb 20, 2013","5.70","5.70","5.80","5.65","62.30M","0.88%"
"Feb 21, 2013","5.70","5.70","5.75","5.65","15.09M","0.00%"
"Feb 22, 2013","5.70","5.70","5.75","5.65","8.58M","0.00%"
"Feb 25, 2013","5.65","5.65","5.70","5.65","1.23M","-0.88%"
"Feb 26, 2013","5.65","5.65","5.75","5.65","3.61M","0.00%"
"Feb 27, 2013","5.75","5.70","5.80","5.70","8.03M","1.77%"
"Feb 28, 2013","5.75","5.75","5.80","5.75","4.40M","0.00%"
"Mar 01, 2013","5.80","5.75","5.90","5.75","6.74M","0.87%"
"Mar 05, 2013","5.95","5.85","6.00","5.85","13.26M","2.59%"
"Mar 06, 2013","5.95","5.95","6.00","5.90","24.04M","0.00%"
"Mar 07, 2013","5.95","5.80","6.00","5.80","23.03M","0.00%"
"Mar 08, 2013","6.00","5.90","6.10","5.90","2.75M","0.84%"
"Mar 11, 2013","6.15","6.00","6.50","6.00","10.04M","2.50%"
"Mar 12, 2013","6.25","6.25","6.35","6.15","24.59M","1.63%"
"Mar 13, 2013","6.25","6.30","6.35","6.25","11.53M","0.00%"
"Mar 14, 2013","6.30","6.30","6.40","6.25","28.09M","0.80%"
"Mar 15, 2013","6.15","6.30","6.35","5.90","3.01M","-2.38%"
"Mar 18, 2013","6.00","5.80","6.10","5.80","18.57M","-2.44%"
"Mar 19, 2013","5.95","5.95","6.00","5.90","6.55M","-0.83%"
"Mar 20, 2013","5.95","6.00","6.00","5.85","10.67M","0.00%"
"Mar 21, 2013","5.85","6.00","6.00","5.80","2.95M","-1.68%"
"Mar 22, 2013","5.80","5.85","5.90","5.80","3.06M","-0.85%"
"Mar 25, 2013","5.80","5.85","5.95","5.75","17.12M","0.00%"
"Mar 26, 2013","5.80","5.80","5.85","5.60","1.71M","0.00%"
"Mar 27, 2013","5.95","5.80","6.00","5.80","9.06M","2.59%"
"Mar 28, 2013","6.00","5.95","6.20","5.95","6.93M","0.84%"
"Apr 02, 2013","6.00","6.25","6.50","6.00","54.84M","0.00%"
"Apr 03, 2013","6.15","6.05","6.25","6.05","2.48M","2.50%"
"Apr 04, 2013","6.30","6.20","6.40","6.15","11.26M","2.44%"
"Apr 05, 2013","6.30","6.25","6.40","6.25","8.92M","0.00%"
"Apr 08, 2013","6.35","6.30","6.40","6.30","2.15M","0.79%"
"Apr 10, 2013","6.45","6.40","6.60","6.35","30.86M","1.57%"
"Apr 11, 2013","6.55","6.50","6.60","6.50","9.59M","1.55%"
"Apr 12, 2013","6.50","6.55","6.55","6.30","11.99M","-0.76%"
"Apr 15, 2013","6.40","6.50","6.50","6.35","5.66M","-1.54%"
"Apr 16, 2013","6.40","6.35","6.50","6.30","13.53M","0.00%"
"Apr 17, 2013","6.45","6.45","6.60","6.45","35.56M","0.78%"
"Apr 18, 2013","6.55","6.55","6.65","6.55","34.86M","1.55%"
"Apr 19, 2013","6.60","6.55","6.65","6.55","16.00M","0.76%"
"Apr 22, 2013","6.60","6.60","6.65","6.55","15.18M","0.00%"
"Apr 23, 2013","6.60","6.60","6.70","6.60","13.18M","0.00%"
"Apr 24, 2013","6.60","6.65","6.70","6.60","14.37M","0.00%"
"Apr 25, 2013","6.60","6.65","6.70","6.60","6.62M","0.00%"
"Apr 26, 2013","6.65","6.60","6.70","6.60","8.19M","0.76%"
"Apr 29, 2013","6.70","6.65","6.75","6.65","4.58M","0.75%"
"Apr 30, 2013","6.85","6.80","6.95","6.70","11.28M","2.24%"
"May 02, 2013","7.00","6.90","7.10","6.85","22.63M","2.19%"
"May 03, 2013","7.05","7.00","7.20","7.00","30.74M","0.71%"
"May 06, 2013","7.10","7.05","7.15","7.05","32.80M","0.71%"
"May 07, 2013","7.15","7.10","7.20","7.10","21.73M","0.70%"
"May 08, 2013","7.20","7.15","7.40","7.15","30.00M","0.70%"
"May 09, 2013","7.20","7.25","7.25","7.10","30.26M","0.00%"
"May 10, 2013","6.95","7.10","7.15","6.80","2.13M","-3.47%"
"May 13, 2013","6.90","6.85","7.00","6.80","4.88M","-0.72%"
"May 14, 2013","7.10","6.95","7.20","6.95","10.31M","2.90%"
"May 15, 2013","7.35","7.20","7.55","7.15","60.05M","3.52%"
"May 16, 2013","7.25","7.30","7.30","7.20","8.85M","-1.36%"
"May 17, 2013","7.15","7.25","7.25","7.10","6.27M","-1.38%"
"May 20, 2013","7.00","7.10","7.15","7.00","1.83M","-2.10%"
"May 21, 2013","7.10","7.00","7.20","7.00","14.33M","1.43%"
"May 22, 2013","7.15","7.10","7.20","7.05","23.90M","0.70%"
"May 23, 2013","7.05","7.10","7.10","7.00","10.23M","-1.40%"
"May 24, 2013","7.00","7.00","7.10","6.90","5.19M","-0.71%"
"May 27, 2013","7.00","7.00","7.05","6.65","4.15M","0.00%"
"May 28, 2013","7.05","7.00","7.15","7.00","5.79M","0.71%"
"May 29, 2013","7.15","7.05","7.25","7.05","9.11M","1.42%"
"May 30, 2013","7.25","7.15","7.30","7.15","17.70M","1.40%"
"May 31, 2013","7.25","7.25","7.30","7.20","33.11M","0.00%"
"Jun 03, 2013","7.20","7.20","7.25","7.15","34.15M","-0.69%"
"Jun 04, 2013","7.10","7.20","7.20","7.05","70.20M","-1.39%"
"Jun 05, 2013","7.10","7.05","7.20","7.05","72.39M","0.00%"
"Jun 06, 2013","7.15","7.10","7.25","7.10","8.19M","0.70%"
"Jun 07, 2013","7.20","7.20","7.25","7.20","4.14M","0.70%"
"Jun 10, 2013","7.25","7.20","7.35","7.20","5.53M","0.69%"
"Jun 11, 2013","7.35","7.25","7.45","7.25","16.51M","1.38%"
"Jun 12, 2013","7.35","7.35","7.45","7.30","7.46M","0.00%"
"Jun 13, 2013","7.30","7.35","7.40","7.20","26.27M","-0.68%"
"Jun 14, 2013","7.00","7.20","7.20","6.60","12.91M","-4.11%"
"Jun 17, 2013","6.70","7.00","7.00","6.50","24.97M","-4.29%"
"Jun 18, 2013","6.90","6.80","7.00","6.80","2.25M","2.99%"
"Jun 19, 2013","6.95","6.90","7.00","6.90","58.65M","0.72%"
"Jun 20, 2013","6.90","6.95","6.95","6.70","55.24M","-0.72%"
"Jun 21, 2013","6.75","6.85","6.85","6.70","19.16M","-2.17%"
"Jun 24, 2013","6.70","6.75","6.75","6.65","2.14M","-0.74%"
"Jun 25, 2013","6.75","6.70","6.80","6.65","16.33M","0.75%"
"Jun 26, 2013","6.65","6.65","6.75","6.60","3.01M","-1.48%"
"Jun 27, 2013","6.50","6.60","6.65","6.45","28.68M","-2.26%"
"Jun 28, 2013","6.55","6.50","6.65","6.45","3.53M","0.77%"
"Jul 01, 2013","6.45","6.50","6.60","6.35","8.28M","-1.53%"
"Jul 02, 2013","6.40","6.40","6.50","6.15","26.43M","-0.78%"
"Jul 03, 2013","6.35","6.40","6.50","6.25","23.66M","-0.78%"
"Jul 04, 2013","6.45","6.40","6.60","6.30","7.17M","1.57%"
"Jul 05, 2013","6.75","6.45","6.85","6.45","14.03M","4.65%"
"Jul 08, 2013","6.75","6.75","6.80","6.55","33.75M","0.00%"
"Jul 09, 2013","6.70","6.70","6.75","6.60","7.49M","-0.74%"
"Jul 10, 2013","6.75","6.70","6.85","6.65","20.35M","0.75%"
"Jul 11, 2013","6.90","6.75","7.00","6.75","1.57M","2.22%"
"Jul 12, 2013","7.05","6.90","7.15","6.90","37.89M","2.17%"
"Jul 15, 2013","7.30","7.10","7.50","7.10","13.52M","3.55%"
"Jul 16, 2013","7.40","7.30","7.50","7.30","7.01M","1.37%"
"Jul 17, 2013","7.35","7.55","7.55","7.20","38.64M","-0.68%"
"Jul 18, 2013","7.30","7.30","7.45","7.20","15.68M","-0.68%"
"Jul 19, 2013","7.25","7.35","7.35","7.20","4.64M","-0.68%"
"Jul 22, 2013","7.10","7.25","7.30","7.00","6.96M","-2.07%"
"Jul 23, 2013","7.00","7.10","7.10","7.00","21.68M","-1.41%"
"Jul 24, 2013","7.05","7.00","7.20","7.00","5.06M","0.71%"
"Jul 25, 2013","7.05","7.05","7.20","7.05","12.05M","0.00%"
"Jul 26, 2013","7.15","7.05","7.30","7.05","1.34M","1.42%"
"Jul 29, 2013","7.15","7.15","7.30","7.15","10.21M","0.00%"
"Jul 30, 2013","7.25","7.15","7.35","7.15","12.13M","1.40%"
"Jul 31, 2013","7.30","7.30","7.35","7.20","13.75M","0.69%"
"Aug 01, 2013","7.25","7.20","7.30","7.20","8.04M","-0.68%"
"Aug 02, 2013","7.25","7.30","7.35","7.25","9.79M","0.00%"
"Aug 05, 2013","7.30","7.25","7.35","7.10","11.57M","0.69%"
