,age,gender,smile,mood,attention,distance
0,32,MALE,SMILING,POSITIVE,LOOKING_LEFT,0.44
1,32,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.31
2,32,MALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.66
3,32,MALE,NOT_SMILING,POSITIVE,LOOKING_AT_ROBOT,0.54
9,24,MALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.86
10,24,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.84
20,25,FEMALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.58
27,24,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.85
30,23,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,1.09
31,23,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,1.01
32,23,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.82
33,23,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.58
34,23,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.57
35,23,FEMALE,BROADLY_SMILING,POSITIVE,LOOKING_DOWN,0.54
49,27,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.93
50,27,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.58
51,27,MALE,SMILING,POSITIVE,LOOKING_UP_RIGHT,0.69
52,27,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.73
53,27,MALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.7
54,27,MALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.57
55,27,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.7
61,26,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.56
62,26,MALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.55
63,26,MALE,SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.55
64,14,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.63
69,12,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.55
75,11,FEMALE,BROADLY_SMILING,NEUTRAL,LOOKING_DOWN,0.35
86,53,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.4
87,53,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.38
88,51,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.47
101,27,FEMALE,SMILING,POSITIVE,LOOKING_LEFT,1.24
103,14,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.8
128,21,FEMALE,BROADLY_SMILING,POSITIVE,LOOKING_AT_ROBOT,1.3
129,21,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,1.28
135,29,FEMALE,SMILING,NEUTRAL,LOOKING_DOWN,0.41
137,20,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.39
167,25,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,1.02
175,6,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.42
191,12,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.74
192,12,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.79
195,7,FEMALE,SMILING,NEUTRAL,LOOKING_DOWN,0.57
196,7,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.64
198,5,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.7
212,13,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.37
220,10,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.37
221,10,MALE,SMILING,POSITIVE,LOOKING_RIGHT,0.53
241,25,MALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.39
260,5,FEMALE,NOT_SMILING,POSITIVE,LOOKING_DOWN_LEFT,0.48
311,11,MALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.53
321,9,MALE,SMILING,NEGATIVE,LOOKING_DOWN,0.67
324,7,MALE,SMILING,NEUTRAL,LOOKING_DOWN,0.43
329,7,FEMALE,NOT_SMILING,POSITIVE,LOOKING_AT_ROBOT,0.33
